Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.4545277516,18.455398634
 01/01  02:00:00,17.1143094261,30.4581303222
 01/01  03:00:00,18.3897993928,52.29485444
 01/01  04:00:00,18.0090784261,46.388060179499995
 01/01  05:00:00,19.0319486964,63.5640940869
 01/01  06:00:00,18.2613401666,50.930105097399995
 01/01  07:00:00,19.2122380335,66.7606370495
 01/01  08:00:00,10.7661228158,49.8543314781
 01/01  09:00:00,9.26310688643,48.6982716838
 01/01  10:00:00,7.7123426639699995,22.067941695
 01/01  11:00:00,7.1349976461399995,11.7066739247
 01/01  12:00:00,6.53180357956,1.04464314423
 01/01  13:00:00,6.4965198620399995,0.0990415354517
 01/01  14:00:00,6.49282427446,0.0
 01/01  15:00:00,6.49282427446,0.0
 01/01  16:00:00,6.49282427446,0.0
 01/01  17:00:00,6.49282427446,0.0
 01/01  18:00:00,10.9814231506,0.7262483273270001
 01/01  19:00:00,15.4485753263,0.8777263129170001
 01/01  20:00:00,15.7862152599,6.84079808452
 01/01  21:00:00,15.858859631,8.145069421539999
 01/01  22:00:00,15.8316838376,7.447439160660001
 01/01  23:00:00,15.789517838499998,6.891165383530001
 01/01  24:00:00,15.679192911600001,4.93814030057
 01/02  01:00:00,15.5237137409,2.2974522719
 01/02  02:00:00,15.7860575703,6.6701107748399995
 01/02  03:00:00,15.825742908299999,7.35643951668
 01/02  04:00:00,15.797219356600001,7.01827332886
 01/02  05:00:00,15.75330629,6.210055806340001
 01/02  06:00:00,15.8535639373,7.952510213060001
 01/02  07:00:00,24.5548144879,17.8358330497
 01/02  08:00:00,37.609053656,12.0514034896
 01/02  09:00:00,55.6003598128,7.566610515569999
 01/02  10:00:00,67.5744086836,3.7934213602699995
 01/02  11:00:00,67.5744086836,1.7166491830000001
 01/02  12:00:00,67.5744086836,1.01809358552
 01/02  13:00:00,61.081584409099996,0.603567336074
 01/02  14:00:00,67.5744086836,0.0
 01/02  15:00:00,67.5744086836,0.0
 01/02  16:00:00,67.5744086836,0.0
 01/02  17:00:00,67.5744086836,0.399993901192
 01/02  18:00:00,24.9515725015,0.0
 01/02  19:00:00,15.4158242745,0.0
 01/02  20:00:00,15.4158242745,0.0
 01/02  21:00:00,15.4158242745,0.0
 01/02  22:00:00,15.4158242745,0.0
 01/02  23:00:00,15.4158242745,0.0
 01/02  24:00:00,15.4158242745,0.0
 01/03  01:00:00,15.4158242745,0.0
 01/03  02:00:00,15.4158242745,0.0
 01/03  03:00:00,15.4158242745,0.0
 01/03  04:00:00,15.4158242745,0.0
 01/03  05:00:00,15.4158242745,0.0
 01/03  06:00:00,15.4158242745,0.0
 01/03  07:00:00,24.5548144879,12.7510632403
 01/03  08:00:00,37.609053656,8.289574094219999
 01/03  09:00:00,55.6003598128,5.28459747131
 01/03  10:00:00,67.5744086836,2.50400880193
 01/03  11:00:00,67.5744086836,0.508927104953
 01/03  12:00:00,67.5744086836,0.0
 01/03  13:00:00,61.081584409099996,0.0
 01/03  14:00:00,67.5744086836,0.0
 01/03  15:00:00,67.5744086836,0.0
 01/03  16:00:00,67.5744086836,0.0
 01/03  17:00:00,67.5744086836,0.0
