Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,75.4054357522,92.1982842483
 01/02  02:00:00,79.4346847123,80.6977593173
 01/02  03:00:00,91.61167138270001,102.271780191
 01/02  04:00:00,78.5457674242,83.09949596279999
 01/02  05:00:00,119.745604137,118.144756462
 01/02  06:00:00,145.03884486299998,187.3057158
 01/02  07:00:00,192.991736564,168.170688948
 01/02  08:00:00,214.59332664099998,149.785264144
 01/02  09:00:00,206.74990108900002,135.353181143
 01/02  10:00:00,212.687767387,129.165110164
 01/02  11:00:00,218.152876153,114.252791621
 01/02  12:00:00,226.94026615400003,117.734383708
 01/02  13:00:00,221.783865415,105.100618799
 01/02  14:00:00,237.618437791,101.902374444
 01/02  15:00:00,240.536717701,108.16641757200001
 01/02  16:00:00,243.24364504099998,97.8666254835
 01/02  17:00:00,241.90832606,106.22029397200001
 01/02  18:00:00,239.848681108,99.784479065
 01/02  19:00:00,149.576823328,75.1372658905
 01/02  20:00:00,148.85170583200002,82.1249054445
 01/02  21:00:00,115.590890325,96.9225700767
 01/02  22:00:00,91.2304965425,77.0179160142
 01/02  23:00:00,73.9316632196,93.7026003275
 01/02  24:00:00,72.7783415805,78.1106239961
 01/03  01:00:00,75.4524294819,98.8732183515
 01/03  02:00:00,70.63369379390001,79.8296213322
 01/03  03:00:00,80.2908243358,101.216092582
 01/03  04:00:00,67.54054295600001,82.13273992319999
 01/03  05:00:00,108.454164602,115.16148252200001
 01/03  06:00:00,127.600997756,184.649521505
 01/03  07:00:00,181.041541275,150.30581391799998
 01/03  08:00:00,205.75044775599997,131.056905165
 01/03  09:00:00,206.25604554900002,123.493044045
 01/03  10:00:00,222.19260237,125.770479404
 01/03  11:00:00,228.90685278400002,111.074261623
 01/03  12:00:00,236.518902067,114.86743558299999
 01/03  13:00:00,231.01670437200002,102.799249145
 01/03  14:00:00,248.310921426,109.15481067299999
 01/03  15:00:00,253.62884649900002,97.94993823840001
 01/03  16:00:00,255.54302158,100.530099715
 01/03  17:00:00,252.316893427,103.42387019899999
 01/03  18:00:00,250.570125537,99.8043364252
 01/03  19:00:00,160.914401983,73.6298444097
 01/03  20:00:00,161.529693512,79.790052556
 01/03  21:00:00,132.438496641,102.699482407
 01/03  22:00:00,89.4798401961,59.039860775600005
 01/03  23:00:00,83.1649972451,84.5482161654
 01/03  24:00:00,62.1241035409,57.8002048292
