Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.569683660399999,0.0
 01/02  04:00:00,12.569683660399999,0.0
 01/02  05:00:00,12.569683660399999,0.0
 01/02  06:00:00,12.569683660399999,0.0
 01/02  07:00:00,27.6152301682,44.682947835
 01/02  08:00:00,30.1366832012,27.256220496300003
 01/02  09:00:00,42.362954427800005,15.7710388572
 01/02  10:00:00,59.9364093548,3.16922331752
 01/02  11:00:00,59.798378550900004,1.39790796228
 01/02  12:00:00,59.798378550900004,0.101201617961
 01/02  13:00:00,60.0094545519,0.0
 01/02  14:00:00,60.302423100000006,0.0
 01/02  15:00:00,60.706569218,0.0
 01/02  16:00:00,60.513071043100005,0.0
 01/02  17:00:00,60.2510153383,0.0
 01/02  18:00:00,65.4058053714,0.0
 01/02  19:00:00,55.4068781119,0.0
 01/02  20:00:00,55.4068781119,0.0
 01/02  21:00:00,50.3898566611,0.0
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.569683660399999,0.0
 01/03  03:00:00,12.569683660399999,0.0
 01/03  04:00:00,12.569683660399999,0.0
 01/03  05:00:00,12.569683660399999,0.0
 01/03  06:00:00,12.569683660399999,0.0
 01/03  07:00:00,27.7637664448,63.642290187
 01/03  08:00:00,30.29114064,51.9048547414
 01/03  09:00:00,42.418365280500005,39.2438168429
 01/03  10:00:00,60.0581111753,23.377718733600002
 01/03  11:00:00,60.0018370086,18.1421174874
 01/03  12:00:00,59.966256679,9.96267465009
 01/03  13:00:00,59.973317628000004,8.47091355337
 01/03  14:00:00,59.964645214399994,10.068309788099999
 01/03  15:00:00,59.926392899300005,10.910612023399999
 01/03  16:00:00,59.989127894,11.145068950999999
 01/03  17:00:00,60.101768378100004,21.644931113800002
 01/03  18:00:00,64.3355703737,31.897819787399996
 01/03  19:00:00,55.8507484408,37.098502064
 01/03  20:00:00,55.9209478266,47.844669882
 01/03  21:00:00,50.9413094353,52.556181383100004
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.569683660399999,0.0
 01/04  05:00:00,12.569683660399999,0.0
 01/04  06:00:00,12.5758741674,0.0
 01/04  07:00:00,28.825066186399997,162.28615504799998
 01/04  08:00:00,31.0711078546,130.633767616
 01/04  09:00:00,42.943126448600005,110.941991499
 01/04  10:00:00,60.2494182898,84.49816303829999
 01/04  11:00:00,59.9740772299,68.1918860401
 01/04  12:00:00,59.798378550900004,45.2525328691
 01/04  13:00:00,59.798378550900004,29.6850117893
 01/04  14:00:00,59.798378550900004,19.0294737095
 01/04  15:00:00,59.798378550900004,10.1514742456
 01/04  16:00:00,59.812423799099996,6.01300222331
 01/04  17:00:00,59.798378550900004,5.6378621530699995
 01/04  18:00:00,63.9313785509,21.4306567503
 01/04  19:00:00,55.4902587858,46.182763207700006
 01/04  20:00:00,55.6799856961,64.3258041227
 01/04  21:00:00,50.7501831725,72.038463724
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.569683660399999,0.0
 01/05  06:00:00,12.569683660399999,0.0
 01/05  07:00:00,28.7792069798,194.117548006
 01/05  08:00:00,31.0351427104,158.659274588
 01/05  09:00:00,42.8287613079,123.898393085
 01/05  10:00:00,60.009826768,69.85063527189999
 01/05  11:00:00,59.798378550900004,41.206173162
 01/05  12:00:00,59.798378550900004,23.0835567464
 01/05  13:00:00,59.8050216209,12.461453423
 01/05  14:00:00,60.037123277,8.562621014580001
 01/05  15:00:00,60.3079396505,6.27424154576
 01/05  16:00:00,60.6521909609,4.0724962947600005
 01/05  17:00:00,60.5215495637,3.0439426046799998
 01/05  18:00:00,64.0391577492,4.74910011241
 01/05  19:00:00,55.4068781119,19.8442268444
 01/05  20:00:00,55.4068781119,39.4688147432
 01/05  21:00:00,50.4562712564,51.8988305415
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.569683660399999,0.0
 01/06  05:00:00,12.569683660399999,0.0
 01/06  06:00:00,12.569683660399999,0.0
 01/06  07:00:00,28.0381699014,115.833157467
