Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,24.2307496252,58.0852532191
 01/02  08:00:00,23.844732933400003,38.7429537066
 01/02  09:00:00,33.6588626376,25.293499095700003
 01/02  10:00:00,50.0511395304,8.254256962769999
 01/02  11:00:00,50.0511395304,0.5664436820709999
 01/02  12:00:00,50.0511395304,0.0
 01/02  13:00:00,50.0511395304,0.0
 01/02  14:00:00,50.105496573900005,0.0
 01/02  15:00:00,50.6488530778,0.0
 01/02  16:00:00,50.7948328941,0.0
 01/02  17:00:00,50.227311183000005,0.0
 01/02  18:00:00,57.7078061971,0.0
 01/02  19:00:00,49.691350316800005,0.0
 01/02  20:00:00,49.691350316800005,0.00659590850826
 01/02  21:00:00,45.1438626376,1.66397182405
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1069992076,0.0
 01/03  06:00:00,15.1069992076,0.0
 01/03  07:00:00,24.2307496252,77.40512633739999
 01/03  08:00:00,23.844732933400003,65.1108815037
 01/03  09:00:00,33.6588626376,49.682668696899995
 01/03  10:00:00,50.0511395304,31.58664958
 01/03  11:00:00,50.0511395304,23.6914497848
 01/03  12:00:00,50.0511395304,13.784695850999999
 01/03  13:00:00,50.0511395304,11.9961822422
 01/03  14:00:00,50.0511395304,13.431069580499999
 01/03  15:00:00,50.0511395304,13.5509304802
 01/03  16:00:00,50.0511395304,14.3974170367
 01/03  17:00:00,50.0511395304,27.161126649
 01/03  18:00:00,55.7936395304,39.387681393899996
 01/03  19:00:00,49.691350316800005,45.677741539399996
 01/03  20:00:00,49.691350316800005,57.3252285221
 01/03  21:00:00,45.1438626376,62.0695819073
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.1069992076,0.0
 01/04  05:00:00,15.1069992076,0.0
 01/04  06:00:00,15.1069992076,0.0
 01/04  07:00:00,24.2307496252,168.587621338
 01/04  08:00:00,23.844732933400003,136.715495116
 01/04  09:00:00,33.6588626376,110.74159186
 01/04  10:00:00,50.0511395304,77.3325540658
 01/04  11:00:00,50.0511395304,55.7846816464
 01/04  12:00:00,50.0511395304,29.441425281799997
 01/04  13:00:00,50.0511395304,10.5878438842
 01/04  14:00:00,50.0511395304,0.802882748897
 01/04  15:00:00,50.0511395304,0.0
 01/04  16:00:00,50.0511395304,0.0
 01/04  17:00:00,50.0511395304,0.0
 01/04  18:00:00,55.7936395304,13.723569660799999
 01/04  19:00:00,49.691350316800005,49.4809407289
 01/04  20:00:00,49.691350316800005,74.06785090609999
 01/04  21:00:00,45.1438626376,84.41981918319999
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1334300084,0.5826672257450001
 01/05  06:00:00,15.160937238099999,1.18906433635
 01/05  07:00:00,24.2307496252,198.953929406
 01/05  08:00:00,23.844732933400003,170.041442205
 01/05  09:00:00,33.6588626376,125.64434023700001
 01/05  10:00:00,50.0511395304,61.9572998721
 01/05  11:00:00,50.0511395304,24.5623763313
 01/05  12:00:00,50.0511395304,2.10364503913
 01/05  13:00:00,50.0511395304,0.0
 01/05  14:00:00,50.0511395304,0.0
 01/05  15:00:00,50.0511395304,0.0
 01/05  16:00:00,50.1360617399,0.0
 01/05  17:00:00,50.1327392692,0.0
 01/05  18:00:00,55.7936395304,0.016795653549200002
 01/05  19:00:00,49.691350316800005,14.489978727999999
 01/05  20:00:00,49.691350316800005,46.1714662567
 01/05  21:00:00,45.1438626376,63.826676436499994
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1069992076,0.0
 01/06  03:00:00,15.1069992076,0.0
 01/06  04:00:00,15.1069992076,0.0
 01/06  05:00:00,15.1069992076,0.0
 01/06  06:00:00,15.1069992076,0.0
 01/06  07:00:00,24.2307496252,126.929616861
 01/06  08:00:00,25.758899600000003,98.02302287360001
 01/06  09:00:00,33.6588626376,66.6445682168
 01/06  10:00:00,50.0511395304,26.0205241573
 01/06  11:00:00,50.0511395304,4.16624781083
 01/06  12:00:00,50.0511395304,0.0
 01/06  13:00:00,50.0511395304,0.0
 01/06  14:00:00,50.0535238235,0.0
 01/06  15:00:00,50.2779363628,0.0
 01/06  16:00:00,50.5926464117,0.0
 01/06  17:00:00,50.1382834486,0.0
 01/06  18:00:00,55.7936395304,0.0
 01/06  19:00:00,49.691350316800005,0.0429530893712
 01/06  20:00:00,49.691350316800005,7.6672612119700005
 01/06  21:00:00,45.1438626376,22.5353876255
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1069992076,0.0
 01/06  24:00:00,15.1069992076,0.0
 01/07  01:00:00,14.657580751600001,0.0
 01/07  02:00:00,14.657580751600001,0.0
 01/07  03:00:00,14.657580751600001,0.0
 01/07  04:00:00,14.657580751600001,0.0
 01/07  05:00:00,14.657580751600001,0.0
 01/07  06:00:00,14.657580751600001,0.0
 01/07  07:00:00,23.7813311692,174.850814101
 01/07  08:00:00,21.2114119208,146.234428884
 01/07  09:00:00,24.5638872792,120.88267436
 01/07  10:00:00,38.2063503168,78.6870893322
 01/07  11:00:00,50.0511395304,46.4490448155
 01/07  12:00:00,50.0511395304,20.5096007044
 01/07  13:00:00,50.0511395304,5.377716630319999
 01/07  14:00:00,50.0511395304,0.15151378046800001
 01/07  15:00:00,50.0511395304,0.0
 01/07  16:00:00,50.0511395304,0.0
 01/07  17:00:00,50.0511395304,0.0
 01/07  18:00:00,55.7936395304,7.98053102634
 01/07  19:00:00,45.1438626376,56.52658834100001
 01/07  20:00:00,36.0488872792,81.6993588711
 01/07  21:00:00,36.0488872792,91.4507632785
 01/07  22:00:00,26.9539119208,102.758812956
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.657580751600001,0.0
 01/08  02:00:00,14.657580751600001,0.0
 01/08  03:00:00,14.657580751600001,0.0
 01/08  04:00:00,14.657580751600001,0.0
 01/08  05:00:00,14.657580751600001,0.0
 01/08  06:00:00,14.657580751600001,0.0
 01/08  07:00:00,14.657580751600001,0.0
 01/08  08:00:00,8.9150807516,0.0
 01/08  09:00:00,15.4689119208,140.185069616
 01/08  10:00:00,15.4689119208,84.6608425176
 01/08  11:00:00,29.111374958400003,46.9267566695
 01/08  12:00:00,29.111374958400003,22.237488907600003
 01/08  13:00:00,38.2063503168,0.529325991195
 01/08  14:00:00,38.2063503168,0.0
 01/08  15:00:00,38.2063503168,0.0
 01/08  16:00:00,38.2063503168,0.0
 01/08  17:00:00,38.2063503168,0.0
 01/08  18:00:00,34.8538749584,0.115430743947
 01/08  19:00:00,31.501399600000003,12.347073415999999
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.657580751600001,0.0
 01/08  24:00:00,14.657580751600001,0.0
 01/09  01:00:00,15.1069992076,0.0
 01/09  02:00:00,15.1069992076,0.0
 01/09  03:00:00,15.1069992076,0.0
 01/09  04:00:00,15.1069992076,0.0
 01/09  05:00:00,15.1069992076,0.0
 01/09  06:00:00,15.1069992076,0.0
 01/09  07:00:00,24.2307496252,109.329512801
 01/09  08:00:00,25.758899600000003,81.3375830452
 01/09  09:00:00,33.6588626376,55.125246929700005
 01/09  10:00:00,50.0511395304,14.6244957642
 01/09  11:00:00,50.0511395304,0.048427543863300004
 01/09  12:00:00,50.0511395304,0.0
 01/09  13:00:00,50.5878306423,0.0
 01/09  14:00:00,54.2052422234,0.0
 01/09  15:00:00,56.5252463005,0.0
 01/09  16:00:00,57.373935112,0.0
 01/09  17:00:00,56.2026380719,0.0
 01/09  18:00:00,57.1460458138,0.0
 01/09  19:00:00,49.691350316800005,0.0
 01/09  20:00:00,49.691350316800005,0.0
 01/09  21:00:00,45.1438626376,0.0
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1069992076,0.0
 01/10  02:00:00,15.1069992076,0.0
 01/10  03:00:00,15.1069992076,0.0
 01/10  04:00:00,15.1069992076,0.0
 01/10  05:00:00,15.1069992076,0.0
 01/10  06:00:00,15.1069992076,0.0
 01/10  07:00:00,24.2307496252,29.8736500922
 01/10  08:00:00,25.758899600000003,17.7739545872
 01/10  09:00:00,33.6588626376,2.7256349925200003
 01/10  10:00:00,50.0511395304,0.0
 01/10  11:00:00,50.0511395304,0.0
 01/10  12:00:00,50.44587527189999,0.0
 01/10  13:00:00,51.8492634743,0.0
 01/10  14:00:00,53.3434153303,0.0
 01/10  15:00:00,55.8495702508,0.0
 01/10  16:00:00,55.9141674851,0.0
 01/10  17:00:00,54.1073515099,0.0
 01/10  18:00:00,56.376661890600005,0.0
 01/10  19:00:00,49.691350316800005,0.0
 01/10  20:00:00,49.691350316800005,0.0
 01/10  21:00:00,45.1438626376,0.639035295709
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1069992076,0.0
 01/11  02:00:00,15.1069992076,0.0
 01/11  03:00:00,15.1069992076,0.0
 01/11  04:00:00,15.1069992076,0.0
 01/11  05:00:00,15.1069992076,0.0
 01/11  06:00:00,15.1069992076,0.0
 01/11  07:00:00,24.2307496252,155.264492827
 01/11  08:00:00,25.758899600000003,137.584832119
 01/11  09:00:00,33.6588626376,106.78861756799999
 01/11  10:00:00,50.0511395304,64.87630772520001
 01/11  11:00:00,50.0511395304,38.1078615584
 01/11  12:00:00,50.0511395304,12.4870885754
 01/11  13:00:00,50.0511395304,0.9193147605700002
 01/11  14:00:00,50.0511395304,0.0
 01/11  15:00:00,50.0511395304,0.0
 01/11  16:00:00,50.0511395304,0.0
 01/11  17:00:00,50.0511395304,0.0
 01/11  18:00:00,55.7936395304,3.10177359747
 01/11  19:00:00,49.691350316800005,21.3279510102
 01/11  20:00:00,49.691350316800005,42.5573760252
 01/11  21:00:00,45.1438626376,48.4083821841
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1069992076,0.0
 01/12  07:00:00,24.2307496252,149.64597964700002
 01/12  08:00:00,25.758899600000003,122.788043662
 01/12  09:00:00,33.6588626376,104.57001999799999
 01/12  10:00:00,50.0511395304,77.495762278
 01/12  11:00:00,50.0511395304,65.9430907168
 01/12  12:00:00,50.0511395304,52.6121743788
 01/12  13:00:00,50.0511395304,46.798200138999995
 01/12  14:00:00,50.0511395304,42.692261870900005
 01/12  15:00:00,50.0511395304,41.2072881103
 01/12  16:00:00,50.0511395304,37.5585884575
 01/12  17:00:00,50.0511395304,40.5477841712
 01/12  18:00:00,55.7936395304,49.613221834300006
 01/12  19:00:00,49.691350316800005,75.5761315056
 01/12  20:00:00,49.691350316800005,90.2848164075
 01/12  21:00:00,45.1438626376,108.253165854
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.123219991400001,0.35758731625100004
 01/13  02:00:00,15.1265871524,0.431816407719
 01/13  03:00:00,15.1447873122,0.8330390837899999
 01/13  04:00:00,15.1619690729,1.21181114177
 01/13  05:00:00,15.3240603322,4.51395467783
 01/13  06:00:00,15.3943832999,5.8126823960000005
 01/13  07:00:00,24.2307496252,204.78765061400003
 01/13  08:00:00,25.758899600000003,202.999486337
 01/13  09:00:00,33.6588626376,164.97215053
 01/13  10:00:00,50.0511395304,116.264251071
 01/13  11:00:00,50.0511395304,88.4890853384
 01/13  12:00:00,50.0511395304,58.8907069948
 01/13  13:00:00,50.0511395304,42.2575641417
 01/13  14:00:00,50.0511395304,28.3656725961
