Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,24.2893476515,58.6489580708
 01/02  08:00:00,25.8174976263,43.369914172799994
 01/02  09:00:00,33.7174606639,27.419115985100003
 01/02  10:00:00,50.109737556700004,5.16514903931
 01/02  11:00:00,50.109737556700004,0.0
 01/02  12:00:00,50.109737556700004,0.0
 01/02  13:00:00,50.9059812009,0.0
 01/02  14:00:00,53.57721256,0.0
 01/02  15:00:00,54.6367578118,0.0
 01/02  16:00:00,55.2773847841,0.0
 01/02  17:00:00,53.894540796,0.0
 01/02  18:00:00,56.4324339427,0.0
 01/02  19:00:00,49.7499483431,0.0
 01/02  20:00:00,49.7499483431,0.0
 01/02  21:00:00,45.202460663900005,0.0
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1069992076,0.0
 01/03  06:00:00,15.1069992076,0.0
 01/03  07:00:00,24.2893476515,97.45515444360001
 01/03  08:00:00,25.8174976263,78.250234656
 01/03  09:00:00,33.7174606639,66.0725728744
 01/03  10:00:00,50.109737556700004,48.3084114158
 01/03  11:00:00,50.109737556700004,48.0668847692
 01/03  12:00:00,50.109737556700004,39.8010734469
 01/03  13:00:00,50.109737556700004,35.7915878399
 01/03  14:00:00,50.109737556700004,38.0333870075
 01/03  15:00:00,50.109737556700004,38.9826768493
 01/03  16:00:00,50.109737556700004,39.2148105484
 01/03  17:00:00,50.109737556700004,43.727029012399996
 01/03  18:00:00,55.852237556700004,49.971940626700004
 01/03  19:00:00,49.7499483431,57.5728771892
 01/03  20:00:00,49.7499483431,66.0010204677
 01/03  21:00:00,45.202460663900005,67.9736690659
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.1069992076,0.0
 01/04  05:00:00,15.1069992076,0.0
 01/04  06:00:00,15.1069992076,0.0
 01/04  07:00:00,24.2893476515,164.768704871
 01/04  08:00:00,25.8174976263,133.104704113
 01/04  09:00:00,33.7174606639,106.870132968
 01/04  10:00:00,50.109737556700004,70.50205109550001
 01/04  11:00:00,50.109737556700004,46.390715909700006
 01/04  12:00:00,50.109737556700004,21.219857500699998
 01/04  13:00:00,50.109737556700004,6.5523394757
 01/04  14:00:00,50.109737556700004,0.5585783935549999
 01/04  15:00:00,50.109737556700004,0.0
 01/04  16:00:00,50.109737556700004,0.0
 01/04  17:00:00,50.109737556700004,0.0
 01/04  18:00:00,55.852237556700004,1.27409348894
 01/04  19:00:00,49.7499483431,10.2061297808
 01/04  20:00:00,49.7499483431,23.288533986500003
 01/04  21:00:00,45.202460663900005,28.1217437323
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1069992076,0.0
 01/05  06:00:00,15.1069992076,0.0
 01/05  07:00:00,24.2893476515,126.02519742700001
 01/05  08:00:00,25.8174976263,98.7867878944
 01/05  09:00:00,33.7174606639,75.1412244891
 01/05  10:00:00,50.109737556700004,37.4306526965
 01/05  11:00:00,50.109737556700004,18.2715241356
 01/05  12:00:00,50.109737556700004,1.1339573777
 01/05  13:00:00,50.109737556700004,0.0
 01/05  14:00:00,50.109737556700004,0.0
 01/05  15:00:00,50.1786156179,0.0
 01/05  16:00:00,50.66823968479999,0.0
 01/05  17:00:00,50.466468203299996,0.0
 01/05  18:00:00,55.852620208199994,0.0
 01/05  19:00:00,49.7499483431,0.0
 01/05  20:00:00,49.7499483431,2.14828851358
 01/05  21:00:00,45.202460663900005,12.6375377235
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1069992076,0.0
 01/06  03:00:00,15.1069992076,0.0
 01/06  04:00:00,15.1069992076,0.0
 01/06  05:00:00,15.1069992076,0.0
 01/06  06:00:00,15.1069992076,0.0
 01/06  07:00:00,24.2893476515,118.076432702
 01/06  08:00:00,25.8174976263,93.3630701299
 01/06  09:00:00,33.7174606639,67.1468022284
 01/06  10:00:00,50.109737556700004,34.0802074484
 01/06  11:00:00,50.109737556700004,7.84862366886
 01/06  12:00:00,50.109737556700004,0.0
 01/06  13:00:00,50.109737556700004,0.0
 01/06  14:00:00,50.109737556700004,0.0
 01/06  15:00:00,50.2642462335,0.0
 01/06  16:00:00,50.2803367167,0.0
 01/06  17:00:00,50.109737556700004,0.0
 01/06  18:00:00,53.93807089,0.0
 01/06  19:00:00,49.7499483431,0.743648711601
 01/06  20:00:00,49.7499483431,13.045906335
 01/06  21:00:00,45.202460663900005,28.8959929598
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1069992076,0.0
 01/06  24:00:00,15.1069992076,0.0
 01/07  01:00:00,14.657580751600001,0.0
 01/07  02:00:00,14.657580751600001,0.0
 01/07  03:00:00,14.657580751600001,0.0
 01/07  04:00:00,14.657580751600001,0.0
 01/07  05:00:00,14.657580751600001,0.0
 01/07  06:00:00,14.657580751600001,0.0
 01/07  07:00:00,23.8399291955,171.80326353200002
 01/07  08:00:00,21.2700099471,147.38583804700002
 01/07  09:00:00,24.622485305500003,123.778110541
 01/07  10:00:00,38.2649483431,85.8855697963
 01/07  11:00:00,50.109737556700004,55.613122810600004
 01/07  12:00:00,50.109737556700004,27.8416052477
 01/07  13:00:00,50.109737556700004,11.8024556618
 01/07  14:00:00,50.109737556700004,1.7678410392700001
 01/07  15:00:00,50.109737556700004,0.0
 01/07  16:00:00,50.109737556700004,0.0
 01/07  17:00:00,50.109737556700004,0.0
 01/07  18:00:00,53.93807089,2.6072620507599997
 01/07  19:00:00,45.202460663900005,32.9000816251
 01/07  20:00:00,36.1074853055,55.5354926841
 01/07  21:00:00,36.1074853055,64.5651632145
 01/07  22:00:00,27.0125099471,85.4406276167
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.657580751600001,0.0
 01/08  02:00:00,14.657580751600001,0.0
 01/08  03:00:00,14.657580751600001,0.0
 01/08  04:00:00,14.657580751600001,0.0
 01/08  05:00:00,14.657580751600001,0.0
 01/08  06:00:00,14.657580751600001,0.0
 01/08  07:00:00,14.657580751600001,0.0
 01/08  08:00:00,8.9150807516,0.0
 01/08  09:00:00,15.5275099471,162.571269241
 01/08  10:00:00,15.5275099471,106.47646314100001
 01/08  11:00:00,29.1699729847,63.0481716608
 01/08  12:00:00,29.1699729847,34.635588009
 01/08  13:00:00,38.2649483431,5.81489048027
 01/08  14:00:00,38.2649483431,0.0
 01/08  15:00:00,38.2649483431,0.0
 01/08  16:00:00,38.2649483431,0.0
 01/08  17:00:00,38.2649483431,0.0
 01/08  18:00:00,32.998306318000004,0.693023387732
 01/08  19:00:00,31.5599976263,16.741239763699998
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.657580751600001,0.0
 01/08  24:00:00,14.657580751600001,0.0
 01/09  01:00:00,15.1069992076,0.0
 01/09  02:00:00,15.1069992076,0.0
 01/09  03:00:00,15.1069992076,0.0
 01/09  04:00:00,15.1069992076,0.0
 01/09  05:00:00,15.1069992076,0.0
 01/09  06:00:00,15.1069992076,0.0
 01/09  07:00:00,24.2893476515,126.61184000200001
 01/09  08:00:00,25.8174976263,98.5930425217
 01/09  09:00:00,33.7174606639,69.264370097
 01/09  10:00:00,50.109737556700004,28.3764024729
 01/09  11:00:00,50.109737556700004,2.66285466537
 01/09  12:00:00,50.109737556700004,0.0
 01/09  13:00:00,50.37336429770001,0.0
 01/09  14:00:00,53.014254021099994,0.0
 01/09  15:00:00,55.0149280283,0.0
 01/09  16:00:00,56.053046673800004,0.0
 01/09  17:00:00,54.9726307934,0.0
 01/09  18:00:00,55.4056992819,0.0
 01/09  19:00:00,49.7909644442,0.0
 01/09  20:00:00,49.7499483431,0.0
 01/09  21:00:00,45.202460663900005,0.0
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1069992076,0.0
 01/10  02:00:00,15.1069992076,0.0
 01/10  03:00:00,15.1069992076,0.0
 01/10  04:00:00,15.1069992076,0.0
 01/10  05:00:00,15.1069992076,0.0
 01/10  06:00:00,15.1069992076,0.0
 01/10  07:00:00,24.2893476515,36.582326848600005
 01/10  08:00:00,25.8174976263,20.656341277
 01/10  09:00:00,33.7174606639,8.032710881849999
 01/10  10:00:00,50.109737556700004,0.0
 01/10  11:00:00,50.109737556700004,0.0
 01/10  12:00:00,50.109737556700004,0.0
 01/10  13:00:00,50.109737556700004,0.0
 01/10  14:00:00,50.4470134646,0.0
 01/10  15:00:00,52.41109415060001,0.0
 01/10  16:00:00,53.8384543659,0.0
 01/10  17:00:00,52.305567858,0.0
 01/10  18:00:00,54.192320521499994,0.0
 01/10  19:00:00,49.7499483431,0.0
 01/10  20:00:00,49.7499483431,0.0
 01/10  21:00:00,45.202460663900005,5.45319026153
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1069992076,0.0
 01/11  02:00:00,15.1069992076,0.0
 01/11  03:00:00,15.1069992076,0.0
 01/11  04:00:00,15.1069992076,0.0
 01/11  05:00:00,15.1069992076,0.0
 01/11  06:00:00,15.1069992076,0.0
 01/11  07:00:00,24.2893476515,141.15516478700002
 01/11  08:00:00,25.8174976263,115.402671894
 01/11  09:00:00,33.7174606639,79.7452870419
 01/11  10:00:00,50.109737556700004,28.8638416219
 01/11  11:00:00,50.109737556700004,3.33332123599
 01/11  12:00:00,50.109737556700004,0.0
 01/11  13:00:00,50.1381345435,0.0
 01/11  14:00:00,51.2529704434,0.0
 01/11  15:00:00,52.9159678228,0.0
 01/11  16:00:00,53.358127752200005,0.0
 01/11  17:00:00,51.903007206000005,0.0
 01/11  18:00:00,54.0507548508,0.0
 01/11  19:00:00,49.7499483431,0.0
 01/11  20:00:00,49.7499483431,5.79467489267
 01/11  21:00:00,45.202460663900005,29.1269840388
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1069992076,0.0
 01/12  07:00:00,24.2893476515,170.538701134
 01/12  08:00:00,25.8174976263,141.154902101
 01/12  09:00:00,33.7174606639,120.411270512
 01/12  10:00:00,50.109737556700004,90.4293355934
 01/12  11:00:00,50.109737556700004,73.4754677487
 01/12  12:00:00,50.109737556700004,57.5215895745
 01/12  13:00:00,50.109737556700004,56.1967494131
 01/12  14:00:00,50.109737556700004,53.110481614499996
 01/12  15:00:00,50.109737556700004,48.3396342014
 01/12  16:00:00,50.109737556700004,44.2171345439
 01/12  17:00:00,50.109737556700004,46.367598245299995
 01/12  18:00:00,53.93807089,55.5151693305
 01/12  19:00:00,49.7499483431,67.2077487355
 01/12  20:00:00,49.7499483431,79.76130993619999
 01/12  21:00:00,45.202460663900005,86.0258138883
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1069992076,0.0
 01/13  03:00:00,15.1069992076,0.0
 01/13  04:00:00,15.1069992076,0.0
 01/13  05:00:00,15.1069992076,0.0
 01/13  06:00:00,15.1069992076,0.0
 01/13  07:00:00,24.2893476515,164.810833505
 01/13  08:00:00,25.8174976263,128.587977833
 01/13  09:00:00,33.7174606639,108.75650652
 01/13  10:00:00,50.109737556700004,83.47568492939999
 01/13  11:00:00,50.109737556700004,69.2893983569
 01/13  12:00:00,50.109737556700004,51.0497752845
 01/13  13:00:00,50.109737556700004,43.663069371999995
 01/13  14:00:00,50.109737556700004,36.7766930337
 01/13  15:00:00,50.109737556700004,33.165156393000004
