Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,123.505034217,1.77125
 01/01  02:00:00,122.054059431,1.77125
 01/01  03:00:00,120.01359166700001,1.77125
 01/01  04:00:00,118.394645674,2.91552163476
 01/01  05:00:00,124.902494137,1.77125
 01/01  06:00:00,123.22409419,1.77125
 01/01  07:00:00,154.789659613,35.2554526494
 01/01  08:00:00,161.240839683,61.24208847
 01/01  09:00:00,200.530860374,29.424539853200002
 01/01  10:00:00,187.31210938,7.508426979260001
 01/01  11:00:00,221.11464004,7.025
 01/01  12:00:00,245.56670079900002,8.16955400838
 01/01  13:00:00,269.69988098700003,9.36
 01/01  14:00:00,271.753395707,10.5046987208
 01/01  15:00:00,265.90231211599996,10.5046245788
 01/01  16:00:00,262.97272257599997,9.36
 01/01  17:00:00,263.78808562,10.5046119917
 01/01  18:00:00,234.243275645,8.16967563156
 01/01  19:00:00,242.404200365,4.69
 01/01  20:00:00,230.552478374,5.834517404570001
 01/01  21:00:00,211.64626884900002,4.69
 01/01  22:00:00,181.38295414400002,5.834399049219999
 01/01  23:00:00,125.792050317,1.77125
 01/01  24:00:00,154.904860693,1.77125
 01/02  01:00:00,137.773731258,2.355
 01/02  02:00:00,127.75097626700001,3.4992484964199995
 01/02  03:00:00,126.086069024,2.355
 01/02  04:00:00,124.63288146299999,2.355
 01/02  05:00:00,132.036436929,3.4992091152300002
 01/02  06:00:00,131.237042354,2.355
 01/02  07:00:00,176.43199748,7.79935245979
 01/02  08:00:00,182.408109553,30.8399595518
 01/02  09:00:00,262.82255093,9.78261744101
 01/02  10:00:00,302.11239677,11.672127791500001
 01/02  11:00:00,300.62202147,10.5275
 01/02  12:00:00,317.45097281700004,11.6723492255
 01/02  13:00:00,313.475239277,11.6725306001
 01/02  14:00:00,319.88833611900003,11.6724611103
 01/02  15:00:00,311.194738012,11.672393939100001
 01/02  16:00:00,305.017258451,11.672286395599999
 01/02  17:00:00,300.52048609900004,10.5275
 01/02  18:00:00,298.639697537,11.6722638503
 01/02  19:00:00,299.659539892,10.5046430236
 01/02  20:00:00,282.704338582,9.531940770539999
 01/02  21:00:00,255.19037730099998,9.337152166280001
 01/02  22:00:00,183.78643961900002,5.83448504362
 01/02  23:00:00,127.531652079,2.355
 01/02  24:00:00,156.255453581,2.355
 01/03  01:00:00,135.629037913,3.4992283847099994
 01/03  02:00:00,125.480869239,2.355
 01/03  03:00:00,125.212455145,2.355
 01/03  04:00:00,124.844552779,2.355
 01/03  05:00:00,149.547244533,3.49920352551
 01/03  06:00:00,149.344989639,2.355
 01/03  07:00:00,195.771285217,8.256270842889998
 01/03  08:00:00,194.73124611,31.3159710441
 01/03  09:00:00,262.50446506099996,11.5444730291
 01/03  10:00:00,301.719750977,11.672048548
 01/03  11:00:00,302.711053758,10.5275
 01/03  12:00:00,319.906936794,11.672406575
 01/03  13:00:00,311.62702331099996,11.6723739448
 01/03  14:00:00,308.58440779200004,11.672519270899999
 01/03  15:00:00,299.622777876,11.6722692405
 01/03  16:00:00,295.844370911,11.6721751581
 01/03  17:00:00,295.566707243,10.5275
 01/03  18:00:00,298.066295621,11.672323390399999
 01/03  19:00:00,299.928527857,10.5047029599
 01/03  20:00:00,283.085201899,10.504585144
 01/03  21:00:00,257.337069555,8.1925
 01/03  22:00:00,182.59410232099998,5.83443295258
 01/03  23:00:00,132.01585727100002,2.355
 01/03  24:00:00,160.894170209,2.355
 01/04  01:00:00,141.880042433,3.4992268012800003
 01/04  02:00:00,130.246331341,2.355
 01/04  03:00:00,129.578866514,2.355
 01/04  04:00:00,128.457658219,2.355
 01/04  05:00:00,135.783027381,3.4992020818
 01/04  06:00:00,135.290601889,2.355
 01/04  07:00:00,180.856055543,4.69
 01/04  08:00:00,185.357546632,10.6749270001
 01/04  09:00:00,265.071139279,8.1925
 01/04  10:00:00,301.040454323,11.6721098165
 01/04  11:00:00,299.010133058,10.5275
 01/04  12:00:00,318.628764993,11.672467807
 01/04  13:00:00,311.53583343099996,11.6724353295
 01/04  14:00:00,312.94754866799997,11.6723692534
 01/04  15:00:00,302.616370042,11.6723316018
 01/04  16:00:00,295.62397997700003,11.6722379079
 01/04  17:00:00,292.547004476,11.6721990257
 01/04  18:00:00,295.18640755,10.5275
 01/04  19:00:00,297.981166853,10.5047664442
 01/04  20:00:00,285.044672304,10.5046489674
 01/04  21:00:00,259.772393851,8.1925
 01/04  22:00:00,187.609563748,5.83449716838
 01/04  23:00:00,130.917802975,2.355
 01/04  24:00:00,160.11594962700002,2.355
 01/05  01:00:00,140.94133217,3.49922860204
 01/05  02:00:00,129.65954620600002,2.355
 01/05  03:00:00,129.79415291,2.355
 01/05  04:00:00,129.906843093,3.4992040508599995
 01/05  05:00:00,138.251394055,2.355
 01/05  06:00:00,137.44253135600002,2.355
 01/05  07:00:00,184.85509730400003,4.69
 01/05  08:00:00,195.365746309,6.450671047159999
 01/05  09:00:00,269.946169118,8.1925
 01/05  10:00:00,305.992469063,11.672037759
 01/05  11:00:00,301.31756599,11.672142646700001
 01/05  12:00:00,311.35701691099996,10.5275
 01/05  13:00:00,301.721999203,11.672500449600001
 01/05  14:00:00,305.455505777,11.672434703
 01/05  15:00:00,298.36135700299997,11.6723975544
 01/05  16:00:00,292.05726779400004,11.6723040704
 01/05  17:00:00,289.732523647,11.6722654357
 01/05  18:00:00,289.953868623,10.5275
 01/05  19:00:00,292.470830156,10.5046705798
 01/05  20:00:00,276.41851484299997,10.6833491177
 01/05  21:00:00,246.20019094900002,8.1925
 01/05  22:00:00,176.182188432,5.834452071419999
 01/05  23:00:00,125.110583665,2.355
 01/05  24:00:00,154.676471534,2.355
 01/06  01:00:00,130.30199128700002,3.4992341291900004
 01/06  02:00:00,117.367723274,2.355
 01/06  03:00:00,114.660250461,2.355
 01/06  04:00:00,111.507516028,3.4992097704100003
 01/06  05:00:00,138.597652893,2.355
 01/06  06:00:00,139.861195459,2.355
 01/06  07:00:00,187.660360178,10.4701152191
 01/06  08:00:00,190.18204641900002,28.420485500199998
 01/06  09:00:00,254.78376933799998,10.3501208272
 01/06  10:00:00,289.635392992,11.6721058422
 01/06  11:00:00,286.257740401,11.6722108903
 01/06  12:00:00,310.067738773,10.5275
 01/06  13:00:00,304.39600273400004,11.6725688428
 01/06  14:00:00,304.999886835,11.672503216099999
 01/06  15:00:00,295.500188692,11.672283066199999
 01/06  16:00:00,291.142579301,11.6722030099
 01/06  17:00:00,287.626083219,11.672335247000001
 01/06  18:00:00,283.126126275,10.5275
 01/06  19:00:00,290.98310676799997,10.504740717699999
 01/06  20:00:00,267.86654664900004,10.695470074
 01/06  21:00:00,233.49872196400003,14.166523937100001
 01/06  22:00:00,160.423630078,5.834522951880001
 01/06  23:00:00,104.22454064600001,2.355
 01/06  24:00:00,132.111958347,3.49928972756
 01/07  01:00:00,101.29578761,1.77125
 01/07  02:00:00,90.9086420842,1.77125
 01/07  03:00:00,89.87355414129999,2.91555022808
 01/07  04:00:00,91.9969674715,1.77125
 01/07  05:00:00,101.997146765,1.77125
 01/07  06:00:00,103.83487929700001,1.77125
 01/07  07:00:00,137.115587799,88.67923236840001
 01/07  08:00:00,146.867826012,99.3493400407
 01/07  09:00:00,216.501870512,49.721677238000005
 01/07  10:00:00,250.407583228,10.9420526781
 01/07  11:00:00,277.080863986,11.672244058399999
 01/07  12:00:00,305.047064587,11.6723807383
 01/07  13:00:00,295.449849263,11.6723438877
 01/07  14:00:00,294.94684547099996,11.6724905677
 01/07  15:00:00,289.838345365,10.5275
 01/07  16:00:00,285.245094587,11.6723392315
 01/07  17:00:00,283.435805607,11.6723013431
 01/07  18:00:00,280.643084292,11.672247591400001
 01/07  19:00:00,273.040668159,8.1925
 01/07  20:00:00,228.895683978,7.002208390980001
 01/07  21:00:00,211.20746988599998,10.192635555
 01/07  22:00:00,158.805848725,3.5225
 01/07  23:00:00,119.630674848,2.9156617212400002
 01/07  24:00:00,148.210415694,1.77125
 01/08  01:00:00,122.97181478700001,1.77125
 01/08  02:00:00,111.675538832,2.9154741868799996
 01/08  03:00:00,110.194515695,1.77125
 01/08  04:00:00,108.24406100600001,1.77125
 01/08  05:00:00,114.906536559,1.77125
 01/08  06:00:00,114.15847175799999,2.91550467047
 01/08  07:00:00,146.573165807,56.937059517799995
 01/08  08:00:00,156.52177934899998,78.2281103664
 01/08  09:00:00,194.05676318099998,40.4390987481
 01/08  10:00:00,177.706027171,10.5874302383
 01/08  11:00:00,213.883533838,8.1695655253
 01/08  12:00:00,240.95341052,7.025
 01/08  13:00:00,262.94835705599996,10.5046908965
 01/08  14:00:00,265.159065303,10.5046581571
 01/08  15:00:00,260.748083621,9.36
 01/08  16:00:00,256.977489343,10.504587062799999
 01/08  17:00:00,253.865425507,10.504583353400001
 01/08  18:00:00,220.78909142900002,7.025
 01/08  19:00:00,235.480557735,5.83444687876
 01/08  20:00:00,221.047534478,4.69
 01/08  21:00:00,203.745686897,5.83441682362
 01/08  22:00:00,177.229375828,4.69
 01/08  23:00:00,121.60090092200001,1.77125
 01/08  24:00:00,150.656526112,2.91550442592
 01/09  01:00:00,129.644270686,2.355
 01/09  02:00:00,117.624716724,2.355
 01/09  03:00:00,115.60266927100001,3.4992290823900003
 01/09  04:00:00,114.426681185,2.355
 01/09  05:00:00,120.091389297,2.355
 01/09  06:00:00,119.000106392,2.355
 01/09  07:00:00,164.911070486,40.0747919991
 01/09  08:00:00,173.942860975,62.696572027100004
 01/09  09:00:00,252.26274670200002,27.0026651291
 01/09  10:00:00,291.57875552,10.5275
 01/09  11:00:00,291.733381703,11.6722463568
 01/09  12:00:00,315.354690433,11.6724914239
 01/09  13:00:00,308.292459962,11.672499670699999
 01/09  14:00:00,306.789723244,11.672426935599999
 01/09  15:00:00,298.981526589,10.5275
 01/09  16:00:00,296.891328775,11.6722313076
 01/09  17:00:00,290.18477898,11.672188344
 01/09  18:00:00,285.126659825,11.672337284700001
 01/09  19:00:00,293.056310848,9.36
 01/09  20:00:00,278.281578242,10.5045627528
 01/09  21:00:00,244.384606953,9.33711781525
 01/09  22:00:00,172.63764276700002,4.69
 01/09  23:00:00,120.89417004100001,2.355
 01/09  24:00:00,151.031031504,3.4992738815599997
 01/10  01:00:00,126.910192987,2.355
 01/10  02:00:00,115.65787993200001,2.355
 01/10  03:00:00,115.46940914700001,3.4992435717300006
 01/10  04:00:00,115.870306732,2.355
 01/10  05:00:00,139.382552092,2.355
 01/10  06:00:00,136.05233682600002,2.355
 01/10  07:00:00,170.813238894,51.406931308900006
 01/10  08:00:00,156.797539765,80.0039298187
 01/10  09:00:00,230.243158065,37.3276302825
 01/10  10:00:00,285.28896540700003,10.5275
 01/10  11:00:00,287.204131777,11.6721660755
 01/10  12:00:00,315.566284478,11.672369554600001
