Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,4.2280187684,0.02
 01/01  02:00:00,4.2280187684,0.453059720181
 01/01  03:00:00,4.2280187684,0.02
 01/01  04:00:00,4.2280187684,0.453071835504
 01/01  05:00:00,4.2280187684,0.453083896451
 01/01  06:00:00,4.2280187684,0.02
 01/01  07:00:00,4.2280187684,0.45306929639700005
 01/01  08:00:00,1.9250187684,0.02
 01/01  09:00:00,1.9250187684,0.45308336558300005
 01/01  10:00:00,2.35871262637,0.45308222916599994
 01/01  11:00:00,2.6677771795200003,0.02
 01/01  12:00:00,2.66030880908,0.45308531348700004
 01/01  13:00:00,2.83381591134,0.453078697167
 01/01  14:00:00,2.71560261055,0.02
 01/01  15:00:00,2.8633427822,0.45308906624
 01/01  16:00:00,3.34063759425,0.453079158377
 01/01  17:00:00,3.30579607486,0.02
 01/01  18:00:00,3.18579678825,0.45308024336400005
 01/01  19:00:00,4.9337682236500005,0.02
 01/01  20:00:00,4.78221339182,0.453081054722
 01/01  21:00:00,4.8820776311300005,0.453068893535
 01/01  22:00:00,4.73867343996,0.02
 01/01  23:00:00,4.8195786618000005,0.453054399972
 01/01  24:00:00,4.56579150019,0.453084654324
 01/02  01:00:00,4.7780241307999995,0.02
 01/02  02:00:00,4.7780241307999995,0.453082811758
 01/02  03:00:00,4.7780241307999995,0.02
 01/02  04:00:00,4.7780241307999995,0.453064751121
 01/02  05:00:00,4.7780241307999995,0.45308065189499996
 01/02  06:00:00,5.053026812,0.02
 01/02  07:00:00,9.46377755706,0.453072257138
 01/02  08:00:00,7.688050891930001,0.45309116978299996
 01/02  09:00:00,15.4029372276,0.453117878128
 01/02  10:00:00,16.2956289044,0.02
 01/02  11:00:00,16.8163347097,0.453122736154
 01/02  12:00:00,17.016735236800002,0.453134492143
 01/02  13:00:00,16.230955817999998,0.453123733711
 01/02  14:00:00,17.1122442922,0.453143846555
 01/02  15:00:00,17.241892541600002,0.453100576726
 01/02  16:00:00,17.3058092443,0.45311994610699996
 01/02  17:00:00,17.0528873206,0.453130410115
 01/02  18:00:00,11.8203445776,0.02
 01/02  19:00:00,11.517337101199999,0.453111792646
 01/02  20:00:00,11.208280851600001,0.453093452724
 01/02  21:00:00,10.3662551556,0.45307481298
 01/02  22:00:00,10.182841641,0.02
 01/02  23:00:00,5.053026812,0.453085666311
 01/02  24:00:00,4.7780241307999995,0.453076747474
 01/03  01:00:00,4.7780241307999995,0.02
 01/03  02:00:00,4.7780241307999995,0.453058671558
 01/03  03:00:00,4.7780241307999995,0.02
 01/03  04:00:00,4.7780241307999995,0.453074620858
 01/03  05:00:00,4.7780241307999995,0.45305653290299996
 01/03  06:00:00,5.053026812,0.02
 01/03  07:00:00,9.116819511769998,0.45308219416900003
 01/03  08:00:00,7.447329837610001,0.45310276558799994
 01/03  09:00:00,15.297369997,0.45312371800499995
 01/03  10:00:00,15.968347783199999,0.02
 01/03  11:00:00,16.2161460506,0.453119922886
 01/03  12:00:00,16.314426104200002,0.453117991329
 01/03  13:00:00,15.6447024097,0.453144524379
 01/03  14:00:00,16.5288695924,0.453099922342
 01/03  15:00:00,16.511058038199998,0.453110136007
 01/03  16:00:00,16.3978549422,0.453099425691
 01/03  17:00:00,16.2884108163,0.453115389748
 01/03  18:00:00,11.2131987105,0.45310969452399996
 01/03  19:00:00,10.812053517799999,0.02
 01/03  20:00:00,10.4486993139,0.453085176573
 01/03  21:00:00,9.62050223048,0.45308573381800005
 01/03  22:00:00,9.533301814260001,0.02
 01/03  23:00:00,5.053026812,0.453073242895
 01/03  24:00:00,4.7780241307999995,0.45305349271000006
 01/04  01:00:00,4.7780241307999995,0.02
 01/04  02:00:00,4.7780241307999995,0.453069486676
 01/04  03:00:00,4.7780241307999995,0.02
 01/04  04:00:00,4.7780241307999995,0.453085387961
 01/04  05:00:00,4.7780241307999995,0.453067364198
 01/04  06:00:00,5.053026812,0.02
 01/04  07:00:00,8.70549977153,0.453083401943
 01/04  08:00:00,7.219026402689999,0.45309374032300004
 01/04  09:00:00,14.7095959741,0.45311110810500005
 01/04  10:00:00,15.3476229998,0.02
 01/04  11:00:00,16.0454022391,0.453125046049
 01/04  12:00:00,16.1465403681,0.453129887251
 01/04  13:00:00,15.3842534757,0.45311682224100003
 01/04  14:00:00,16.5843280561,0.45314043585600006
