Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,17.2649464138,1.15876161392
 01/01  02:00:00,16.242649779100002,0.7218808069600001
 01/01  03:00:00,15.7012578195,0.39422020174
 01/01  04:00:00,15.3833743871,0.39422020174
 01/01  05:00:00,17.3739558203,0.7218808069600001
 01/01  06:00:00,22.087146910100003,3.23394544698
 01/01  07:00:00,27.900640294499997,10.5516989636
 01/01  08:00:00,25.8905452848,11.207020174
 01/01  09:00:00,24.226264269,10.770139367
 01/01  10:00:00,22.8096991248,9.45949694617
 01/01  11:00:00,22.248280081300003,8.58573533225
 01/01  12:00:00,24.113681234,6.94743230614
 01/01  13:00:00,24.853121773,6.07367069222
 01/01  14:00:00,24.3275056524,5.41834948178
 01/01  15:00:00,24.72279692,4.76302827134
 01/01  16:00:00,25.4388629763,5.41834948178
 01/01  17:00:00,32.3467130866,6.2921110957
 01/01  18:00:00,39.5392846806,8.258074727030001
 01/01  19:00:00,45.2405293761,9.67793734965
 01/01  20:00:00,44.149022815,9.24105654269
 01/01  21:00:00,43.6268825901,8.476515130510002
 01/01  22:00:00,37.382842371500004,6.94743230614
 01/01  23:00:00,29.1080166602,6.07367069222
 01/01  24:00:00,21.977459190900003,3.4523858504600002
 01/02  01:00:00,17.3822784601,1.1591403666700002
 01/02  02:00:00,16.3768795557,0.7221082241600001
 01/02  03:00:00,15.7739883228,0.39428022126
 01/02  04:00:00,15.4085946175,0.39428136459700003
 01/02  05:00:00,17.3757561895,0.722135809464
 01/02  06:00:00,21.903559935700002,3.23593412013
 01/02  07:00:00,27.4424397177,10.559440280599999
 01/02  08:00:00,25.4775706331,11.2153497543
 01/02  09:00:00,25.5695376696,10.7781365146
 01/02  10:00:00,23.8403485346,9.46649445471
 01/02  11:00:00,22.9061856802,8.59206641144
 01/02  12:00:00,23.9368291081,6.95251383023
 01/02  13:00:00,24.6267697127,6.078085786919999
 01/02  14:00:00,25.11351011,5.4222647544400004
 01/02  15:00:00,25.0727831919,4.76644372196
 01/02  16:00:00,26.382842238600002,5.4222647544400004
 01/02  17:00:00,34.6111745201,6.29669279775
 01/02  18:00:00,40.7609019095,8.2641558952
 01/02  19:00:00,46.3730215535,9.68510146558
 01/02  20:00:00,44.302359455200005,9.24788744392
 01/02  21:00:00,43.1376408181,8.48276290602
 01/02  22:00:00,36.8444217686,6.95251383023
 01/02  23:00:00,28.569348873899997,6.078085786919999
 01/02  24:00:00,21.6076064155,3.454801657
 01/03  01:00:00,17.148970785,1.1597846725399998
 01/03  02:00:00,16.2387508437,0.722428183157
 01/03  03:00:00,15.717851729400001,0.394360028225
 01/03  04:00:00,15.4073635616,0.39436110549900005
 01/03  05:00:00,17.4356003314,0.722454174653
 01/03  06:00:00,22.232492988,3.2380675886400003
 01/03  07:00:00,28.1227332335,10.566820242
 01/03  08:00:00,26.159226634,11.223195230999998
 01/03  09:00:00,25.739196943099998,10.785668126900001
 01/03  10:00:00,23.823300905700002,9.4730846152
 01/03  11:00:00,22.0336044242,8.5980289376
 01/03  12:00:00,23.010450485,6.95729954202
 01/03  13:00:00,23.7467474496,6.0822438643800005
 01/03  14:00:00,23.4219026477,5.4259521061500005
 01/03  15:00:00,23.1815791438,4.76966034791
 01/03  16:00:00,24.6368010427,5.4259521061500005
 01/03  17:00:00,32.472156956599996,6.30100778379
 01/03  18:00:00,39.1026112892,8.269883058480001
 01/03  19:00:00,45.59697703689999,9.691848534650001
 01/03  20:00:00,44.0964037821,9.254320695830001
 01/03  21:00:00,43.2297821108,8.48864697789
 01/03  22:00:00,37.0814042396,6.95729954202
 01/03  23:00:00,28.846388205,6.0822438643800005
 01/03  24:00:00,21.792891985100002,3.4570768314499998
 01/04  01:00:00,17.244085181400003,1.16039009147
 01/04  02:00:00,16.272626523499998,0.7227286843170001
 01/04  03:00:00,15.710902436900001,0.39443496957900004
 01/04  04:00:00,15.359556143099999,0.394435980381
 01/04  05:00:00,17.345114615,0.7227530721100001
 01/04  06:00:00,22.1163779184,3.2400695625200004
 01/04  07:00:00,28.0375965363,10.5737421908
 01/04  08:00:00,26.0405984661,11.230553446099998
 01/04  09:00:00,25.8237142669,10.7927319681
 01/04  10:00:00,24.1146373113,9.47926547599
 01/04  11:00:00,22.0253772577,8.60362114498
 01/04  12:00:00,22.6390413634,6.961788024260001
 01/04  13:00:00,22.5442997183,6.0861436932099995
 01/04  14:00:00,22.164390040100002,5.42941044492
 01/04  15:00:00,21.6912626117,4.77267719663
 01/04  16:00:00,22.6828423002,5.42941044492
 01/04  17:00:00,30.527959845799998,6.30505477597
 01/04  18:00:00,37.7779282061,8.27525452083
 01/04  19:00:00,44.459545534700005,9.69817655879
 01/04  20:00:00,43.0111296134,9.26035439326
 01/04  21:00:00,42.1690033111,8.4941656036
 01/04  22:00:00,36.0330645289,6.961788024260001
 01/04  23:00:00,27.9846129695,6.0861436932099995
 01/04  24:00:00,21.182331414300002,3.45921070006
 01/05  01:00:00,16.7889352468,1.16095644335
 01/05  02:00:00,15.862091500999998,0.723009638461
 01/05  03:00:00,15.372649111900001,0.39450502309600005
 01/05  04:00:00,15.1411246738,0.394505967041
 01/05  05:00:00,17.1803061066,0.723032413262
 01/05  06:00:00,21.8330647911,3.24193944929
 01/05  07:00:00,27.5992720335,10.5802040777
 01/05  08:00:00,25.633594500999997,11.2374222205
 01/05  09:00:00,25.5065993034,10.799325946400002
 01/05  10:00:00,24.1497029091,9.48503520668
 01/05  11:00:00,23.504586898600003,8.6088413775
 01/05  12:00:00,25.4871062573,6.96597794773
 01/05  13:00:00,26.437417502800002,6.08978411852
 01/05  14:00:00,26.5631664213,5.43263874661
 01/05  15:00:00,27.7524118832,4.7754933747
 01/05  16:00:00,29.9603837795,5.43263874661
 01/05  17:00:00,36.823749855900004,6.30883257582
 01/05  18:00:00,42.56602001,8.280268691549999
 01/05  19:00:00,48.004040851199996,9.70408366401
 01/05  20:00:00,45.7269247287,9.26598674941
 01/05  21:00:00,44.4296432016,8.49931714885
 01/05  22:00:00,38.0129186578,6.96597794773
 01/05  23:00:00,29.570171975900003,6.08978411852
 01/05  24:00:00,22.2865706985,3.46120263089
 01/06  01:00:00,17.6024122312,1.1614835596100002
 01/06  02:00:00,16.579942704,0.723270962192
 01/06  03:00:00,16.009423802,0.39457016799999994
 01/06  04:00:00,15.6410139929,0.394571044729
 01/06  05:00:00,17.613898721400002,0.723292115327
 01/06  06:00:00,22.4223212465,3.2436766956200005
 01/06  07:00:00,28.3796540905,10.5862039898
 01/06  08:00:00,26.4192685513,11.24379952
 01/06  09:00:00,26.746020341100003,10.8054481089
 01/06  10:00:00,26.255286693400002,9.490392098600001
 01/06  11:00:00,26.0394538718,8.613688089239998
 01/06  12:00:00,27.362751061300003,6.96986807163
 01/06  13:00:00,27.9478564077,6.0931640622300005
 01/06  14:00:00,27.0249557308,5.435636055190001
 01/06  15:00:00,25.414255861100003,4.77810804814
 01/06  16:00:00,26.1330219813,5.435636055190001
 01/06  17:00:00,34.2473712149,6.312340064580001
 01/06  18:00:00,41.0837676673,8.28492408572
 01/06  19:00:00,47.164723181099994,9.70956810098
 01/06  20:00:00,45.383466908,9.271216096289999
 01/06  21:00:00,44.3871079215,8.504100088069999
 01/06  22:00:00,38.2479764701,6.96986807163
 01/06  23:00:00,29.9466306287,6.0931640622300005
 01/06  24:00:00,22.685733769200002,3.4630520340499995
 01/07  01:00:00,17.9333573595,1.16197128329
 01/07  02:00:00,16.8907723132,0.723512577928
 01/07  03:00:00,16.3299746408,0.394630384966
 01/07  04:00:00,15.9799041023,0.394631194146
 01/07  05:00:00,17.9846159527,0.7235321013379999
 01/07  06:00:00,22.8333191154,3.2452807874299996
 01/07  07:00:00,28.7517662422,10.5917401512
 01/07  08:00:00,27.5564436744,11.2496834562
 01/07  09:00:00,25.272536339699997,10.811096642599999
 01/07  10:00:00,24.6744843903,9.49533456538
 01/07  11:00:00,23.863817426100002,8.61815984489
 01/07  12:00:00,25.434299070500003,6.97345724393
 01/07  13:00:00,26.985255648800003,6.096282523409999
 01/07  14:00:00,28.2914924021,5.43840148303
 01/07  15:00:00,29.3116565869,4.78052044264
 01/07  16:00:00,30.6982043392,5.43840148303
 01/07  17:00:00,38.736135844,6.31557620354
 01/07  18:00:00,46.5767851353,8.2892193247
 01/07  19:00:00,51.7216198824,9.714628245539998
 01/07  20:00:00,49.281792438100005,9.27604088528
 01/07  21:00:00,47.8609757185,8.50851300483
 01/07  22:00:00,41.2489390054,6.97345724393
 01/07  23:00:00,32.5940119346,6.096282523409999
 01/07  24:00:00,24.988184198600003,3.46475836187
 01/08  01:00:00,19.740539667100002,1.1624194691
 01/08  02:00:00,18.2157850712,0.72373441392
 01/08  03:00:00,17.2728259667,0.394685656129
 01/08  04:00:00,16.6720767857,0.39468639745300005
 01/08  05:00:00,18.5167228109,0.723752300167
 01/08  06:00:00,23.3506370774,3.2467512501200004
 01/08  07:00:00,29.4742201208,10.596810923
 01/08  08:00:00,28.825066959,11.2550722866
 01/08  09:00:00,27.495698436599998,10.8162698749
 01/08  10:00:00,27.7482346689,9.49986114334
 01/08  11:00:00,26.621445347199998,8.62225532019
 01/08  12:00:00,28.743480182600003,6.9767444017299995
 01/08  13:00:00,29.5210372729,6.09913857855
 01/08  14:00:00,29.005424358499997,5.44093421117
 01/08  15:00:00,29.2384279698,4.78272984379
 01/08  16:00:00,30.6863648969,5.44093421117
 01/08  17:00:00,38.6895325613,6.31854003435
 01/08  18:00:00,46.291021364799995,8.293153136499999
 01/08  19:00:00,51.456327313500005,9.71926259916
 01/08  20:00:00,48.9365137803,9.28045968757
 01/08  21:00:00,47.4336635425,8.51255459229
 01/08  22:00:00,40.8031845472,6.9767444017299995
 01/08  23:00:00,32.1625363403,6.09913857855
 01/08  24:00:00,24.53830768,3.4663211090199995
 01/09  01:00:00,19.2619137871,1.16282798343
 01/09  02:00:00,17.7969164571,0.723936404274
 01/09  03:00:00,16.953646781,0.39473596509000003
 01/09  04:00:00,16.427295336300002,0.394736638275
 01/09  05:00:00,18.323805993900002,0.7239526465449999
 01/09  06:00:00,23.1293206525,3.2480876486400003
 01/09  07:00:00,29.129096164,10.6014148043
 01/09  08:00:00,28.515791690700002,11.259964415399999
 01/09  09:00:00,29.1385072252,10.820966273599998
 01/09  10:00:00,29.6083563978,9.50397049198
 01/09  11:00:00,29.5753126971,8.62597330229
 01/09  12:00:00,32.1252734239,6.97972857158
 01/09  13:00:00,32.7954727177,6.10173138186
 01/09  14:00:00,30.7890757517,5.443233489580001
 01/09  15:00:00,30.4244622095,4.78473559729
 01/09  16:00:00,31.5706355859,5.443233489580001
 01/09  17:00:00,39.0655618063,6.32123067929
 01/09  18:00:00,44.884327478500005,8.29672435615
 01/09  19:00:00,50.293450120200006,9.72346978944
 01/09  20:00:00,48.0418333963,9.28447119458
 01/09  21:00:00,46.6551017922,8.51622365358
 01/09  22:00:00,40.1552870776,6.97972857158
 01/09  23:00:00,31.602746109,6.10173138186
 01/09  24:00:00,24.0891816351,3.4677398127199996
 01/10  01:00:00,18.9189396967,1.1631967044299998
 01/10  02:00:00,17.6169757764,0.724118488973
 01/10  03:00:00,16.8636974304,0.394781296916
 01/10  04:00:00,16.4069669634,0.39478190170599997
 01/10  05:00:00,18.3487486873,0.724133081083
 01/10  06:00:00,23.2237212764,3.24928958766
 01/10  07:00:00,29.327716411199997,10.6055504325
 01/10  08:00:00,28.8356892627,11.2643583938
 01/10  09:00:00,29.5243191211,10.8251844481
 01/10  10:00:00,28.966178835900003,9.507661394360001
 01/10  11:00:00,27.7440565851,8.62931269016
 01/10  12:00:00,29.4134726969,6.98240886973
 01/10  13:00:00,30.4632577852,6.104060165499999
 01/10  14:00:00,31.365277093400003,5.4452986373300005
 01/10  15:00:00,31.878950656799997,4.78653710916
 01/10  16:00:00,32.8306042798,5.4452986373300005
 01/10  17:00:00,39.7767186735,6.32364734156
 01/10  18:00:00,44.741956542,8.29993192607
 01/10  19:00:00,49.7568123421,9.727248570439999
 01/10  20:00:00,47.419787220299995,9.288074218330001
 01/10  21:00:00,46.0472363696,8.519519102130001
 01/10  22:00:00,39.6249005305,6.98240886973
 01/10  23:00:00,31.1955357125,6.104060165499999
 01/10  24:00:00,23.7498126083,3.4690140528199995
 01/11  01:00:00,18.7195909543,1.163525522
 01/11  02:00:00,17.5194349308,0.724280613891
 01/11  03:00:00,16.821320488399998,0.394821638149
 01/11  04:00:00,16.4020743541,0.39482217431500005
 01/11  05:00:00,18.3759151712,0.7242935502869999
 01/11  06:00:00,23.2629513446,3.25035671167
 01/11  07:00:00,29.3630979942,10.6092165836
 01/11  08:00:00,28.8975260954,11.2682529206
 01/11  09:00:00,29.4290084254,10.828923149100001
 01/11  10:00:00,29.5937108757,9.51093275746
 01/11  11:00:00,30.174292024099998,8.63227249486
 01/11  12:00:00,32.483623535599996,6.98478450245
 01/11  13:00:00,32.734554793600005,6.106124239830001
 01/11  14:00:00,31.667846420700002,5.447129042869999
 01/11  15:00:00,31.4393853402,4.78813384591
 01/11  16:00:00,32.4450037468,5.447129042869999
 01/11  17:00:00,40.058299356599996,6.32578930549
 01/11  18:00:00,45.463002484899995,8.30277489638
 01/11  19:00:00,51.8060595437,9.730597823130001
 01/11  20:00:00,49.456893699700004,9.29126769182
 01/11  21:00:00,47.945563326700004,8.52243996203
 01/11  22:00:00,41.286482557,6.98478450245
 01/11  23:00:00,32.541799257600005,6.106124239830001
 01/11  24:00:00,24.867903040799998,3.4701434519800003
 01/12  01:00:00,19.585366780799998,1.1638143378899999
 01/12  02:00:00,18.0910395517,0.724422730813
 01/12  03:00:00,17.194842640999997,0.394856976811
 01/12  04:00:00,16.6337885376,0.394857444149
 01/12  05:00:00,18.5374587043,0.724434006576
