Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,118.148132908,4.85426
 01/01  02:00:00,118.10027729299999,4.85426
 01/01  03:00:00,118.10983032799999,4.85426
 01/01  04:00:00,118.13109474299999,4.85426
 01/01  05:00:00,118.66689660600001,4.85426
 01/01  06:00:00,118.64447468200001,4.85426
 01/01  07:00:00,118.65345010700001,4.85426
 01/01  08:00:00,106.549447197,13.4424658825
 01/01  09:00:00,100.609007948,4.85426
 01/01  10:00:00,100.700153093,4.85426
 01/01  11:00:00,380.933642287,4.85426
 01/01  12:00:00,537.6600101419999,4.85426
 01/01  13:00:00,494.331624742,4.85426
 01/01  14:00:00,576.262670209,13.4462415775
 01/01  15:00:00,515.7922374340001,4.85426
 01/01  16:00:00,542.9905889180001,4.85426
 01/01  17:00:00,445.374922895,4.85426
 01/01  18:00:00,407.857685584,4.85426
 01/01  19:00:00,254.20186950599998,4.85426
 01/01  20:00:00,134.36536769999998,4.85426
 01/01  21:00:00,118.804012773,13.4425946941
 01/01  22:00:00,118.55013809299999,4.85426
 01/01  23:00:00,118.201285496,4.85426
 01/01  24:00:00,119.03849084299999,4.85426
 01/02  01:00:00,118.21252448899999,4.85426
 01/02  02:00:00,118.212557549,4.85426
 01/02  03:00:00,118.211650566,13.447122995
 01/02  04:00:00,118.21065963,4.85426
 01/02  05:00:00,118.738516336,4.85426
 01/02  06:00:00,118.703591783,4.85426
 01/02  07:00:00,557.342709658,4.86565451151
 01/02  08:00:00,694.70702768,22.2526504703
 01/02  09:00:00,1011.63195468,53.7619999177
 01/02  10:00:00,1114.94374551,62.67790904140001
 01/02  11:00:00,1134.21863604,74.7872921196
 01/02  12:00:00,1147.158301,83.6780247844
 01/02  13:00:00,1146.04014173,74.9009290312
 01/02  14:00:00,1133.0781154000001,59.6277594762
 01/02  15:00:00,1130.06110853,50.5987737062
 01/02  16:00:00,1131.52091266,31.301928157800003
 01/02  17:00:00,1157.7436152,31.155042344699996
 01/02  18:00:00,1059.77873854,31.1411178983
 01/02  19:00:00,1071.32638256,22.4242355927
 01/02  20:00:00,1020.70669058,13.4934495666
 01/02  21:00:00,966.55997092,13.486176571700002
 01/02  22:00:00,118.573444314,13.486165058
 01/02  23:00:00,118.246490126,4.85426
 01/02  24:00:00,119.153867111,4.85426
 01/03  01:00:00,118.28742372399999,13.4470373009
 01/03  02:00:00,118.283789738,4.85426
 01/03  03:00:00,118.279401791,4.85426
 01/03  04:00:00,118.275379793,4.85426
 01/03  05:00:00,120.904635359,4.85426
 01/03  06:00:00,120.511130277,13.4470559442
 01/03  07:00:00,630.468149993,4.86544185674
 01/03  08:00:00,756.378970847,13.5529650043
 01/03  09:00:00,1082.38046243,62.4965994505
 01/03  10:00:00,1124.55769158,62.6781784887
 01/03  11:00:00,1147.58456167,74.7875644874
 01/03  12:00:00,1162.98243727,74.8504215347
 01/03  13:00:00,1162.92426091,83.7461797288
 01/03  14:00:00,1150.70866918,59.629533485
 01/03  15:00:00,1147.28995503,50.599503928199994
 01/03  16:00:00,1147.30197549,31.315825267399998
 01/03  17:00:00,1171.61729559,22.3925580711
 01/03  18:00:00,1066.32909449,31.143219540700002
 01/03  19:00:00,1073.85155369,31.208276546799997
 01/03  20:00:00,1061.68344204,13.492897814800001
 01/03  21:00:00,1055.80002001,4.85426
 01/03  22:00:00,118.23616664,13.486544773399999
 01/03  23:00:00,118.28802253200001,13.463156025
