Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,140.209007731,150.882473355
 01/01  02:00:00,146.972189049,133.230686439
 01/01  03:00:00,151.032832761,193.090773699
 01/01  04:00:00,151.7933961,144.559778988
 01/01  05:00:00,152.481295216,215.81919998200001
 01/01  06:00:00,146.853630786,141.525668134
 01/01  07:00:00,149.656287181,195.610386085
 01/01  08:00:00,141.423376973,116.63645230200001
 01/01  09:00:00,117.794399508,155.35654696
 01/01  10:00:00,115.349876195,113.75697250200001
 01/01  11:00:00,119.592201732,139.738408162
 01/01  12:00:00,112.49494693,95.1456484349
 01/01  13:00:00,112.30382129899999,131.478036063
 01/01  14:00:00,114.989697996,82.4965394859
 01/01  15:00:00,109.896715069,106.52529195299999
 01/01  16:00:00,113.742328411,80.6353857399
 01/01  17:00:00,114.316866782,113.196197991
 01/01  18:00:00,126.527474131,79.5882290869
 01/01  19:00:00,130.681091944,104.90226308
 01/01  20:00:00,129.435626562,77.9526353088
 01/01  21:00:00,128.00624108600002,102.14643974100001
 01/01  22:00:00,133.177296555,105.768648756
 01/01  23:00:00,132.938887793,135.605036206
 01/01  24:00:00,145.92473700000002,107.345206192
 01/02  01:00:00,134.729679932,145.434232796
 01/02  02:00:00,149.991548865,121.84929992
 01/02  03:00:00,136.310704188,158.31551590200002
 01/02  04:00:00,149.997006146,126.75867207
 01/02  05:00:00,155.30830531700002,204.58336167299998
 01/02  06:00:00,146.14971879799998,145.661869558
 01/02  07:00:00,197.073322696,2980.54241587
 01/02  08:00:00,371.008233762,2442.41354694
 01/02  09:00:00,446.99743010300006,2133.48293502
 01/02  10:00:00,446.781566644,1984.55834092
 01/02  11:00:00,452.630479771,1808.411896
 01/02  12:00:00,453.59190775300004,1676.34563107
 01/02  13:00:00,452.516254502,1560.92630512
 01/02  14:00:00,446.523990026,1432.38760535
 01/02  15:00:00,446.49592037699995,1378.64678617
 01/02  16:00:00,438.62266227699996,1287.98261435
 01/02  17:00:00,436.58490547699995,1236.57689436
 01/02  18:00:00,371.798626905,1427.42034871
 01/02  19:00:00,371.83321187,1526.35461381
 01/02  20:00:00,372.25102000000004,1542.05998564
 01/02  21:00:00,372.23403001699995,1573.31725204
 01/02  22:00:00,119.06888141399999,14.858580715599999
 01/02  23:00:00,118.823744516,15.2195660279
 01/02  24:00:00,121.709692571,9.31494940201
 01/03  01:00:00,121.586033659,18.1024696235
 01/03  02:00:00,122.627037385,14.3890536842
 01/03  03:00:00,121.58653752200001,14.7235923515
 01/03  04:00:00,127.496387535,25.1759976522
 01/03  05:00:00,130.529276716,37.4709168661
 01/03  06:00:00,135.718654544,45.225038400699994
 01/03  07:00:00,197.36741040799998,2808.9307596
 01/03  08:00:00,369.796883176,2376.70040049
 01/03  09:00:00,446.68709531300004,2123.03920785
 01/03  10:00:00,446.66884800400004,2029.527264
 01/03  11:00:00,452.643266724,1966.9336638
 01/03  12:00:00,453.66509019800003,1920.34073782
 01/03  13:00:00,452.599984553,1863.97419454
 01/03  14:00:00,446.608839816,1805.63675953
 01/03  15:00:00,446.56563978099996,1774.91807609
 01/03  16:00:00,438.675240525,1640.18256155
 01/03  17:00:00,436.66909835300004,1516.44862618
 01/03  18:00:00,371.907763425,1703.29917651
 01/03  19:00:00,371.931687203,1756.99496575
 01/03  20:00:00,371.91026142,1740.83004192
 01/03  21:00:00,371.91513359,1746.58844157
 01/03  22:00:00,118.844763884,16.5667199941
 01/03  23:00:00,118.83752069100001,17.0706321826
 01/03  24:00:00,123.35930752799999,12.890509050799999
 01/04  01:00:00,121.606273074,20.8914590405
 01/04  02:00:00,122.653672521,19.8804228791
 01/04  03:00:00,126.46986633,21.6809416792
 01/04  04:00:00,127.527927206,42.885435249000004
 01/04  05:00:00,127.553336942,35.2682625215
 01/04  06:00:00,137.955181927,56.6001626456
 01/04  07:00:00,196.76315192200002,2792.32793188
 01/04  08:00:00,369.775970879,2305.40208609
 01/04  09:00:00,446.648704776,2027.18524023
 01/04  10:00:00,446.604199171,1890.83399672
 01/04  11:00:00,452.56977695,1795.95878937
 01/04  12:00:00,453.580287517,1699.80741414
 01/04  13:00:00,452.5589355,1736.31552329
 01/04  14:00:00,446.590687795,1768.87129142
 01/04  15:00:00,446.57262744800005,1752.58836874
 01/04  16:00:00,438.70927274699994,1692.7101177000002
 01/04  17:00:00,436.724863462,1657.65439084
 01/04  18:00:00,371.96110201199997,1817.7394318
 01/04  19:00:00,371.9905443,1888.3401619000003
 01/04  20:00:00,372.406383055,1904.91340525
 01/04  21:00:00,372.397565865,1951.61673735
 01/04  22:00:00,119.225836303,26.7633008257
 01/04  23:00:00,121.26429966299999,11.4028010304
 01/04  24:00:00,123.721289759,27.7515678482
 01/05  01:00:00,125.20021103399999,23.4278942439
 01/05  02:00:00,127.56114307899999,40.301435567
 01/05  03:00:00,134.69921727,58.5916079537
 01/05  04:00:00,132.922773446,73.6179364602
 01/05  05:00:00,138.131687985,83.7942007428
 01/05  06:00:00,151.864240472,125.830164726
 01/05  07:00:00,197.075702576,3171.39046929
 01/05  08:00:00,370.437654442,2666.64438459
 01/05  09:00:00,446.86703619,2393.58450572
 01/05  10:00:00,446.84288808300005,2351.05731582
 01/05  11:00:00,452.821310395,2324.40812395
 01/05  12:00:00,453.83067662199994,2277.84967755
 01/05  13:00:00,452.76159203099996,2265.08490816
 01/05  14:00:00,446.760654953,2203.72105797
 01/05  15:00:00,446.71937459699996,2150.90030478
 01/05  16:00:00,438.843123136,2058.08459171
