Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,92.2415496902,74.25464227319999
 01/01  02:00:00,94.96063049850001,110.154129661
 01/01  03:00:00,90.06068700629999,99.4142347743
 01/01  04:00:00,95.4562421639,148.232623126
 01/01  05:00:00,103.176771934,136.647256568
 01/01  06:00:00,96.32962664790001,107.618783388
 01/01  07:00:00,123.52545808200001,695.6818232830001
 01/01  08:00:00,125.860663485,631.021194656
 01/01  09:00:00,154.680410052,553.023835519
 01/01  10:00:00,127.110284584,537.320641346
 01/01  11:00:00,161.738588741,508.708743981
 01/01  12:00:00,193.26189154,490.721561726
 01/01  13:00:00,200.40856852099998,461.81878262699996
 01/01  14:00:00,197.425420925,453.45895001800005
 01/01  15:00:00,193.670224042,447.83585376699995
 01/01  16:00:00,190.280146238,443.90843167300005
 01/01  17:00:00,197.10953990599998,441.24106950699996
 01/01  18:00:00,175.479563557,496.61721784199995
 01/01  19:00:00,182.07455883400002,509.59093742199997
 01/01  20:00:00,162.09025826799999,505.215146278
 01/01  21:00:00,153.225594246,493.83182262699995
 01/01  22:00:00,139.12680054,444.468147438
 01/01  23:00:00,76.5983896513,2.91564794956
 01/01  24:00:00,121.258264577,28.0095685707
 01/02  01:00:00,100.92374641200001,57.2805503254
 01/02  02:00:00,95.39561797709999,54.4549314725
 01/02  03:00:00,89.4730593837,50.3519509176
 01/02  04:00:00,95.2722409151,79.6056143517
 01/02  05:00:00,101.851332989,65.1737604218
 01/02  06:00:00,95.58110326399999,59.018738614499995
 01/02  07:00:00,137.977348711,552.318675981
 01/02  08:00:00,140.349439628,490.927582971
 01/02  09:00:00,209.810114747,448.21944171800004
 01/02  10:00:00,234.021645003,408.659482966
 01/02  11:00:00,224.19001714599997,388.274774081
 01/02  12:00:00,255.008906957,370.876069485
 01/02  13:00:00,234.88878156599998,365.502355456
 01/02  14:00:00,231.612169907,358.90321633400004
 01/02  15:00:00,227.767351285,354.68867776699994
 01/02  16:00:00,224.357124503,349.955119215
 01/02  17:00:00,231.14408420599997,348.43373618199996
 01/02  18:00:00,237.879307235,353.233322944
 01/02  19:00:00,237.24941505299998,362.370939501
 01/02  20:00:00,221.051285265,369.11644981
 01/02  21:00:00,196.131899569,382.1378577
 01/02  22:00:00,139.21900280000003,366.992410483
 01/02  23:00:00,79.02782308970001,3.49950507565
 01/02  24:00:00,123.545107747,28.2973486313
 01/03  01:00:00,93.92242966180001,34.9363810363
 01/03  02:00:00,95.3621788989,55.400285759
 01/03  03:00:00,93.6057390148,71.4302569781
 01/03  04:00:00,90.9398271707,51.222428041
 01/03  05:00:00,117.651149249,73.070500412
 01/03  06:00:00,115.933425596,87.5052642772
 01/03  07:00:00,154.651784276,572.156095529
 01/03  08:00:00,149.309685169,529.955919985
 01/03  09:00:00,209.76644243,497.009979855
 01/03  10:00:00,233.65617493599999,460.443543845
 01/03  11:00:00,223.855750041,456.021182145
 01/03  12:00:00,254.83461697099997,455.945877999
 01/03  13:00:00,234.522276215,453.80301434300003
 01/03  14:00:00,231.08142298099997,451.103097284
 01/03  15:00:00,227.30304135,440.54206784699994
 01/03  16:00:00,223.890644343,438.551845629
 01/03  17:00:00,230.67550597099998,443.175283288
 01/03  18:00:00,237.44547757400002,454.21522894699996
 01/03  19:00:00,236.99620149,468.901794923
 01/03  20:00:00,214.113545412,484.03901345400004
 01/03  21:00:00,189.547057471,502.398708141
 01/03  22:00:00,134.273229029,483.047177391
 01/03  23:00:00,84.8543333368,29.8111526252
 01/03  24:00:00,128.64584545399998,62.667437042399996
 01/04  01:00:00,101.149303819,108.503216226
 01/04  02:00:00,95.3161922417,127.07632434700001
 01/04  03:00:00,93.8753554799,127.22265233
 01/04  04:00:00,97.0521438602,165.358285369
 01/04  05:00:00,103.60379201200001,167.153223413
 01/04  06:00:00,100.716589859,156.105751581
 01/04  07:00:00,137.654943546,724.862381546
 01/04  08:00:00,139.954798888,674.41003483
 01/04  09:00:00,209.608720597,633.8184786
 01/04  10:00:00,233.522129103,593.072215816
 01/04  11:00:00,223.674558986,579.680345298
 01/04  12:00:00,254.726819817,566.9921831219999
 01/04  13:00:00,234.48458747799998,562.631165739
 01/04  14:00:00,230.918575753,556.847145179
 01/04  15:00:00,227.146911372,551.971290391
 01/04  16:00:00,223.73034569900003,547.4859279780001
 01/04  17:00:00,230.522577996,554.801901016
 01/04  18:00:00,237.297415677,563.9014326619999
 01/04  19:00:00,236.951405077,587.087655906
 01/04  20:00:00,220.63394440099998,610.3478855569999
 01/04  21:00:00,195.594501948,628.3383105959999
 01/04  22:00:00,138.976861482,612.097809559
 01/04  23:00:00,86.906531136,51.122754606899996
 01/04  24:00:00,134.131791128,165.41898536
 01/05  01:00:00,104.710872037,194.98024824799998
 01/05  02:00:00,92.2052581908,158.486119684
 01/05  03:00:00,97.25900595700001,233.157469967
 01/05  04:00:00,98.4908904747,227.70482383599997
 01/05  05:00:00,98.6761565663,179.81195340099998
 01/05  06:00:00,103.24956577799999,255.743523977
 01/05  07:00:00,137.909160053,817.91115216
 01/05  08:00:00,139.91112097200002,755.8534614289999
 01/05  09:00:00,209.598787453,691.1091252739999
 01/05  10:00:00,233.555852473,624.446608022
 01/05  11:00:00,223.678982073,574.206638151
 01/05  12:00:00,254.74386395599998,529.391726509
 01/05  13:00:00,234.523718987,495.608370256
 01/05  14:00:00,231.003894489,478.33798868300005
 01/05  15:00:00,227.229075192,461.196370358
 01/05  16:00:00,223.82641463099998,443.68798954
