Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,239.788304344,23.1639055825
 01/01  02:00:00,239.54725128299998,21.9625945535
 01/01  03:00:00,239.95464954,29.7376251505
 01/01  04:00:00,239.54967816,24.4887233941
 01/01  05:00:00,252.17983613599998,32.8689232484
 01/01  06:00:00,276.219741561,26.5721860197
 01/01  07:00:00,325.515489842,35.4968944207
 01/01  08:00:00,341.00922261200003,28.1626070396
 01/01  09:00:00,298.693695361,31.3904484746
 01/01  10:00:00,261.613751476,17.5507235712
 01/01  11:00:00,213.125954194,18.9180333373
 01/01  12:00:00,216.053045399,16.303338109000002
 01/01  13:00:00,234.290542838,14.974824478199999
 01/01  14:00:00,230.628829826,14.9638080443
 01/01  15:00:00,234.13677731200002,9.36177904446
 01/01  16:00:00,224.40526256,5.91050511038
 01/01  17:00:00,270.347006031,7.173477293160001
 01/01  18:00:00,349.53467825900003,9.82608721995
 01/01  19:00:00,349.9389316,14.5339463126
 01/01  20:00:00,325.09406897,13.735081626600001
 01/01  21:00:00,325.49816902099997,18.3040390137
 01/01  22:00:00,300.653089863,17.9111713275
 01/01  23:00:00,276.611628667,20.6751164125
 01/01  24:00:00,251.765293519,18.3641281932
 01/02  01:00:00,289.787903188,22.4350840079
 01/02  02:00:00,289.384370511,18.4678181993
 01/02  03:00:00,289.789472507,26.306740057
 01/02  04:00:00,289.385917571,20.1365185122
 01/02  05:00:00,302.013220463,25.8326725633
 01/02  06:00:00,350.97413163699997,22.117554846399997
 01/02  07:00:00,429.09006376199994,1201.25950642
 01/02  08:00:00,544.29996791,863.480727539
 01/02  09:00:00,1049.39680329,420.126545655
 01/02  10:00:00,1012.64103137,329.475305122
 01/02  11:00:00,963.658779335,227.722037581
 01/02  12:00:00,963.6391307939999,193.62786844400003
 01/02  13:00:00,927.0251801769999,204.389160537
 01/02  14:00:00,1011.84626604,160.632182332
 01/02  15:00:00,1027.2346141,124.668858539
 01/02  16:00:00,1034.67227047,96.90532310469999
 01/02  17:00:00,1051.16221985,119.885055889
 01/02  18:00:00,950.890614015,164.84259757700002
 01/02  19:00:00,758.084239714,210.82524140200002
 01/02  20:00:00,753.207414109,219.97769908900003
 01/02  21:00:00,610.2596323390001,287.022557732
 01/02  22:00:00,553.2451986269999,331.613659521
 01/02  23:00:00,349.356938074,2.1906220956799998
 01/02  24:00:00,299.992178945,4.3611037684800005
 01/03  01:00:00,287.769982385,2.1904882787299997
 01/03  02:00:00,287.769982378,2.1905682141900003
 01/03  03:00:00,287.769982734,2.1906481021
 01/03  04:00:00,287.76998272599997,4.36116689435
 01/03  05:00:00,299.99218016599997,2.19051919824
 01/03  06:00:00,349.35844724099996,4.36690266925
 01/03  07:00:00,428.60865362199996,852.347903258
 01/03  08:00:00,544.693409,1347.31023691
 01/03  09:00:00,1050.12729809,1076.17054628
 01/03  10:00:00,1013.39657189,882.864025332
 01/03  11:00:00,964.474298006,762.597054438
 01/03  12:00:00,964.435714056,693.890508902
 01/03  13:00:00,914.550636589,655.2250347319999
 01/03  14:00:00,964.3044806089999,595.415829585
 01/03  15:00:00,964.384471034,645.361663346
 01/03  16:00:00,964.4677007989999,687.221583355
 01/03  17:00:00,1013.4709557,749.251451182
 01/03  18:00:00,952.1618731469999,886.156696161
 01/03  19:00:00,753.025317838,961.390210348
 01/03  20:00:00,728.6532715889999,956.477410237
 01/03  21:00:00,579.243020333,994.495703195
 01/03  22:00:00,554.83641695,999.063068555
 01/03  23:00:00,349.356939727,4.36113119468
 01/03  24:00:00,299.99218044,2.19053754433
