Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,93.1730469865,96.6822165333
 01/02  02:00:00,83.8405134167,83.261471516
 01/02  03:00:00,98.19796118129999,104.606625564
 01/02  04:00:00,85.9535238082,85.0456365663
 01/02  05:00:00,120.829389584,120.057778018
 01/02  06:00:00,147.05182461299998,186.64743683700001
 01/02  07:00:00,204.713193583,158.019127537
 01/02  08:00:00,226.620074191,140.82131125
 01/02  09:00:00,222.02556139200001,137.832972671
 01/02  10:00:00,232.624841316,144.414950715
 01/02  11:00:00,231.913412727,132.928529199
 01/02  12:00:00,229.605866083,137.422010853
 01/02  13:00:00,217.03535697900003,124.849600326
 01/02  14:00:00,226.90022980700002,131.519713654
 01/02  15:00:00,227.090434385,128.06915835700002
 01/02  16:00:00,226.867067937,115.880980749
 01/02  17:00:00,226.610724035,124.84104191899999
 01/02  18:00:00,238.143590596,115.79550277
 01/02  19:00:00,143.60677568100002,86.372395528
 01/02  20:00:00,143.793352391,91.3005389472
 01/02  21:00:00,124.10852393200001,103.99417794799999
 01/02  22:00:00,102.31290860200001,89.37072711260001
 01/02  23:00:00,76.82780416189999,79.1905697854
 01/02  24:00:00,92.720791064,100.354845328
 01/03  01:00:00,86.6054244715,89.87399132280001
 01/03  02:00:00,96.1708478477,102.572737551
 01/03  03:00:00,89.25327652979999,83.1652299792
 01/03  04:00:00,96.47714836610001,104.70426551700001
 01/03  05:00:00,123.40995721,118.53837063299999
 01/03  06:00:00,152.116644081,186.81975819099998
 01/03  07:00:00,207.978139358,166.120216242
 01/03  08:00:00,227.34320256900003,146.674743734
 01/03  09:00:00,223.12819945799998,138.79384265
 01/03  10:00:00,231.153790168,142.135924076
 01/03  11:00:00,227.986523708,130.88349799600002
 01/03  12:00:00,226.881975367,137.07367202
 01/03  13:00:00,215.04975341,126.29369278700001
 01/03  14:00:00,226.269999768,134.493510878
 01/03  15:00:00,226.819330345,134.408101977
 01/03  16:00:00,228.1690152,124.375034142
 01/03  17:00:00,233.334702968,133.583319477
 01/03  18:00:00,248.47720984,125.864335731
 01/03  19:00:00,152.341145194,88.45784009190001
 01/03  20:00:00,154.38071864,92.10699126940001
 01/03  21:00:00,134.829292789,104.568972164
 01/03  22:00:00,113.3912237,89.98409518620001
 01/03  23:00:00,91.0185322088,79.9135153287
 01/03  24:00:00,110.04405906,102.31381036
 01/04  01:00:00,97.4702857657,90.1349142605
 01/04  02:00:00,115.884944608,107.431513065
 01/04  03:00:00,101.11212252,85.71593998029999
 01/04  04:00:00,120.30062748299999,110.27435472399999
 01/04  05:00:00,144.343226456,133.017506454
 01/04  06:00:00,186.97543688099998,192.129183805
 01/04  07:00:00,234.54906105799998,207.594586082
 01/04  08:00:00,252.80903939200002,195.34153691
 01/04  09:00:00,247.45179378400002,190.48286966700002
 01/04  10:00:00,256.405071699,193.514581537
 01/04  11:00:00,253.490507752,179.392880946
 01/04  12:00:00,251.744004012,183.313452131
 01/04  13:00:00,238.627214958,168.662351473
 01/04  14:00:00,246.525072163,172.412193635
 01/04  15:00:00,244.53037402299998,165.567139067
 01/04  16:00:00,243.681199582,150.12721158600002
 01/04  17:00:00,246.26051288099998,160.11077513799998
 01/04  18:00:00,260.141025534,156.61754297299998
 01/04  19:00:00,161.281746433,97.6930093561
 01/04  20:00:00,163.910923317,103.908213102
 01/04  21:00:00,149.15589425299999,120.666128419
 01/04  22:00:00,127.686822915,101.961236554
 01/04  23:00:00,99.5797308937,87.0159677714
 01/04  24:00:00,119.355283089,111.01838057299999
