Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,17.3685497713,50.799055976800005
 01/01  02:00:00,16.827270456,51.19528657
 01/01  03:00:00,16.5784813363,51.864223475799996
 01/01  04:00:00,16.4707201021,53.056599723199994
 01/01  05:00:00,18.5553213795,53.90198487600001
 01/01  06:00:00,23.030986228899998,56.6797562094
 01/01  07:00:00,28.2220549912,66.5881522303
 01/01  08:00:00,29.14993255,67.5992876669
 01/01  09:00:00,23.3830526369,67.0992204355
 01/01  10:00:00,20.4077862505,59.8194189778
 01/01  11:00:00,17.3257854864,52.9132827521
 01/01  12:00:00,17.3360183571,45.623819384799994
 01/01  13:00:00,17.0925693917,40.9817813408
 01/01  14:00:00,16.6209524846,38.8059518491
 01/01  15:00:00,16.4918614777,38.1488550752
 01/01  16:00:00,17.84702705,39.2206312725
 01/01  17:00:00,27.1178672554,42.0400480622
 01/01  18:00:00,37.8537445896,43.8155568601
 01/01  19:00:00,40.0832775115,45.6226754574
 01/01  20:00:00,39.196703198099996,47.4090408483
 01/01  21:00:00,38.8102508979,47.5807258597
 01/01  22:00:00,33.4442046201,47.687206204700004
 01/01  23:00:00,26.6793960541,51.3259548893
 01/01  24:00:00,20.9421151426,51.245630578500005
 01/02  01:00:00,17.3931025734,51.703085794399996
 01/02  02:00:00,16.8804441202,53.2085085436
 01/02  03:00:00,16.6436290699,54.344812848500005
 01/02  04:00:00,16.5428679691,55.7947748661
 01/02  05:00:00,18.6277374933,56.647237204700005
 01/02  06:00:00,23.1293410943,60.3323849001
 01/02  07:00:00,28.344543962600003,71.0471813509
 01/02  08:00:00,29.4979837023,72.99596244050001
 01/02  09:00:00,25.355443954800002,77.3261959909
 01/02  10:00:00,22.2929252913,66.0859622593
 01/02  11:00:00,19.1951761306,58.216456659399995
 01/02  12:00:00,19.316445108099998,54.0963426473
 01/02  13:00:00,18.9788051733,51.474051144499995
 01/02  14:00:00,18.5495912653,45.2785726096
 01/02  15:00:00,18.2355713064,39.1218850036
 01/02  16:00:00,19.5276955882,38.239505638699995
 01/02  17:00:00,27.9010874548,40.8609433383
 01/02  18:00:00,38.0432544556,43.903078693699996
 01/02  19:00:00,40.108734971,46.727487091499995
 01/02  20:00:00,39.2214732575,48.4665270825
 01/02  21:00:00,38.873801592,49.878836881400005
 01/02  22:00:00,33.545484705300005,51.2794032661
 01/02  23:00:00,26.874055721100003,58.3608992325
 01/02  24:00:00,21.2275079665,61.6896521017
 01/03  01:00:00,17.761704228,65.3372270605
 01/03  02:00:00,17.3487757381,70.75427492930001
 01/03  03:00:00,17.2372498519,76.9051429274
 01/03  04:00:00,17.2239789363,81.6782774388
 01/03  05:00:00,19.3474776871,83.7759928678
 01/03  06:00:00,23.861426456,87.59959043
 01/03  07:00:00,29.0527010647,96.951369675
 01/03  08:00:00,30.1656843815,97.20328768659999
 01/03  09:00:00,25.806761064299998,93.9735368998
 01/03  10:00:00,22.6539516188,78.655470678
 01/03  11:00:00,19.407461276,64.9504853896
 01/03  12:00:00,19.2511893697,51.740867268500004
 01/03  13:00:00,18.7063100932,42.6443883255
 01/03  14:00:00,18.2515492202,35.9701299566
 01/03  15:00:00,17.9592191099,30.4197225464
 01/03  16:00:00,19.2511497391,29.618988721399997
 01/03  17:00:00,27.5902347491,31.296252760599998
 01/03  18:00:00,37.7209729077,34.0751779297
 01/03  19:00:00,39.7809197044,36.6152648403
 01/03  20:00:00,38.8784291493,37.7839869334
 01/03  21:00:00,38.5120969718,38.551346392199996
 01/03  22:00:00,33.1663379484,39.1997687383
 01/03  23:00:00,26.4293055341,43.6047378222
 01/03  24:00:00,20.7561679236,45.6230126293
 01/04  01:00:00,17.2442710764,47.3424597279
 01/04  02:00:00,16.7370639968,48.9155255787
 01/04  03:00:00,16.4965684509,49.8050661043
 01/04  04:00:00,16.3958826819,51.1852706391
 01/04  05:00:00,18.4685360925,51.4999793257
 01/04  06:00:00,22.9257068141,53.527150146000004
 01/04  07:00:00,28.109175167600004,63.1343922258
 01/04  08:00:00,29.2106307128,63.350757485600006
 01/04  09:00:00,25.067796431399998,66.2404901713
 01/04  10:00:00,22.2254664633,62.3789451529
 01/04  11:00:00,19.138029593800002,54.7765976416
 01/04  12:00:00,18.9204582007,40.34872343
