Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,17.3272293709,48.9053409908
 01/01  02:00:00,16.7503209403,48.239553516099996
 01/01  03:00:00,16.4828030059,48.418211668400005
 01/01  04:00:00,16.360386660699998,49.1520481577
 01/01  05:00:00,18.4418069955,49.8948319086
 01/01  06:00:00,22.9416929575,53.578384049600004
 01/01  07:00:00,28.1509168469,64.1805529219
 01/01  08:00:00,28.164168130500002,64.4150398706
 01/01  09:00:00,23.423372215300002,67.8557512591
 01/01  10:00:00,20.6230698993,65.9724349553
 01/01  11:00:00,17.673841704,63.2332671287
 01/01  12:00:00,17.788853108399998,59.0642867795
 01/01  13:00:00,17.6201556254,56.714447227799994
 01/01  14:00:00,17.186265936199998,55.74771955520001
 01/01  15:00:00,17.0318653083,54.1824599534
 01/01  16:00:00,18.3578623603,54.1643119708
 01/01  17:00:00,28.378429854,52.540970867
 01/01  18:00:00,38.0853731723,50.11777860310001
 01/01  19:00:00,40.1915408422,48.1098173358
 01/01  20:00:00,39.2132909597,47.0299405402
 01/01  21:00:00,38.7803797608,45.8039444634
 01/01  22:00:00,33.3522314719,43.9525767435
 01/01  23:00:00,26.5907299508,47.712980581000004
 01/01  24:00:00,20.9187083728,49.9157112249
 01/02  01:00:00,17.4087373224,51.7872250754
 01/02  02:00:00,16.8967633419,53.375626607200005
 01/02  03:00:00,16.6703579598,54.9358028584
 01/02  04:00:00,16.6248755785,58.436115865299996
 01/02  05:00:00,18.7731452628,61.6372313696
 01/02  06:00:00,23.302235973400002,66.3295648262
 01/02  07:00:00,28.541623461900002,77.9021310176
 01/02  08:00:00,28.8479260789,81.6116125676
 01/02  09:00:00,25.4769134718,82.6660823478
 01/02  10:00:00,22.5292982283,75.25130285600001
 01/02  11:00:00,19.4648359354,68.1226534901
 01/02  12:00:00,19.5318254503,62.104998656499994
 01/02  13:00:00,19.1862365514,59.423079145
 01/02  14:00:00,18.8096298587,54.802067905600005
 01/02  15:00:00,18.6312982679,52.7394226202
 01/02  16:00:00,20.0380561969,55.496388422200006
 01/02  17:00:00,30.2850406507,61.1318888922
 01/02  18:00:00,38.6135612689,62.990179822200005
 01/02  19:00:00,40.634163157399996,64.1100494314
 01/02  20:00:00,39.749117531399996,66.071848942
 01/02  21:00:00,39.4205979012,68.3838857798
 01/02  22:00:00,34.0929217178,70.106872584
 01/02  23:00:00,27.3727448001,75.81226467810001
 01/02  24:00:00,21.736076488200002,79.90226389829999
 01/03  01:00:00,18.2731173652,84.00910477810001
