Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.963172981500001,7.65494978008
 01/02  02:00:00,12.9861421199,7.730645124460001
 01/02  03:00:00,13.115148814100001,10.3461582418
 01/02  04:00:00,13.153193182599999,10.608384873
 01/02  05:00:00,13.2867453738,13.4623752402
 01/02  06:00:00,13.352895618599998,14.0686399912
 01/02  07:00:00,27.2360024179,284.663915466
 01/02  08:00:00,33.5677884888,232.57154019400002
 01/02  09:00:00,41.5202812571,211.56245753
 01/02  10:00:00,58.5678833455,170.433676074
 01/02  11:00:00,58.1482128416,144.923982082
 01/02  12:00:00,57.7660697804,121.453065701
 01/02  13:00:00,57.613901382200005,106.86357942299999
 01/02  14:00:00,57.613901382200005,98.90740220709999
 01/02  15:00:00,57.613901382200005,91.20605947989999
 01/02  16:00:00,57.630295323199995,86.9596577673
 01/02  17:00:00,60.765468910200006,99.4676605641
 01/02  18:00:00,66.6646181441,121.05993028200001
 01/02  19:00:00,54.1876032439,140.432218379
 01/02  20:00:00,54.3286522989,156.559401354
 01/02  21:00:00,49.3755382284,163.791907278
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.585092681099999,0.465684313283
 01/02  24:00:00,12.9188381933,7.642764248810001
 01/03  01:00:00,13.0874056925,9.708834684289998
 01/03  02:00:00,13.281063888499999,13.5392277974
 01/03  03:00:00,13.3800758724,14.7742654277
 01/03  04:00:00,13.753938028499999,22.2755232009
 01/03  05:00:00,13.8758279356,23.6940607909
 01/03  06:00:00,13.9578692928,25.8342116852
 01/03  07:00:00,27.339484012600003,297.387842739
 01/03  08:00:00,33.6327914695,243.088030488
 01/03  09:00:00,41.5355196572,214.73668591599997
 01/03  10:00:00,58.6643376424,175.837506131
 01/03  11:00:00,58.602611588100004,155.388301347
 01/03  12:00:00,58.6191252092,136.442310585
 01/03  13:00:00,58.57875477020001,123.224468662
 01/03  14:00:00,58.4592481507,110.716801624
 01/03  15:00:00,58.253589245200004,99.926509379
 01/03  16:00:00,58.065395270399996,87.18553450379999
 01/03  17:00:00,60.989272156700004,92.8241663509
 01/03  18:00:00,66.74904533729999,112.112325179
 01/03  19:00:00,54.2482058942,130.25213837299998
 01/03  20:00:00,54.342693606000005,141.88793967700002
 01/03  21:00:00,49.3743206275,148.898770691
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.7255463657,2.208873923
 01/04  01:00:00,12.8988158898,5.26870780854
 01/04  02:00:00,12.9633709391,6.7612301732099995
 01/04  03:00:00,12.9604873312,6.23115314269
 01/04  04:00:00,12.9407565654,6.18012798043
 01/04  05:00:00,12.8657758745,4.51859054915
 01/04  06:00:00,12.8719339135,4.75247507453
 01/04  07:00:00,26.7473762327,205.93601439
 01/04  08:00:00,33.0533133287,153.964094848
 01/04  09:00:00,40.991441085700004,130.297459853
 01/04  10:00:00,58.2045686969,99.7289485565
 01/04  11:00:00,58.0846629923,83.50478995479999
 01/04  12:00:00,57.848771749899996,61.039112052700006
 01/04  13:00:00,57.6532846354,50.4138017557
 01/04  14:00:00,57.770902695299995,47.5004841166
 01/04  15:00:00,57.8795907164,48.2697068326
 01/04  16:00:00,57.9220653201,49.0768990958
 01/04  17:00:00,60.8223220692,62.7294906364
 01/04  18:00:00,66.478073349,74.8748443224
 01/04  19:00:00,53.880563844300006,80.6883291605
 01/04  20:00:00,53.956775569799994,90.59057593290001
 01/04  21:00:00,49.0204013227,102.15300967799999
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.62596754,0.577266885094
 01/05  03:00:00,12.6984870623,1.2184425940399999
 01/05  04:00:00,12.7673553355,2.24529853523
 01/05  05:00:00,12.9024926128,5.28819726247
 01/05  06:00:00,12.9636313853,6.312507700429999
 01/05  07:00:00,26.889628089099997,226.529517721
 01/05  08:00:00,33.2282007254,178.765918928
 01/05  09:00:00,41.2434062629,160.244576585
 01/05  10:00:00,58.7451637911,134.898814915
 01/05  11:00:00,58.6629019797,126.33793480700001
 01/05  12:00:00,58.5701359147,114.136307267
 01/05  13:00:00,58.5312771462,108.777374813
 01/05  14:00:00,58.520401526899995,106.41683227899999
 01/05  15:00:00,58.5032301959,104.394112124
 01/05  16:00:00,58.4811580943,100.22758417
 01/05  17:00:00,59.8471449417,101.198475075
 01/05  18:00:00,66.8014966251,105.951956113
 01/05  19:00:00,54.1809661987,110.66944022700001
 01/05  20:00:00,54.2263863068,117.34448781799999
 01/05  21:00:00,49.2272263652,120.44151392299999
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.5821574587,0.0
 01/06  01:00:00,12.700456099,1.33384026642
 01/06  02:00:00,12.7956462334,2.58429531284
 01/06  03:00:00,12.8616385677,3.59113740881
 01/06  04:00:00,12.9815016883,6.3591789723500005
 01/06  05:00:00,13.0635360705,8.049027637430001
 01/06  06:00:00,13.1055963548,8.52036041985
 01/06  07:00:00,27.0342399558,238.65837934900003
 01/06  08:00:00,33.3694062236,192.39995575700001
 01/06  09:00:00,41.3853488771,175.526137642
 01/06  10:00:00,58.88254020390001,152.797299194
 01/06  11:00:00,58.802702951499995,146.217588454
 01/06  12:00:00,58.718785161499994,136.950680416
 01/06  13:00:00,58.6133142813,129.681904276
 01/06  14:00:00,58.463860078100005,120.14260405600001
 01/06  15:00:00,58.103310212299995,108.495989531
 01/06  16:00:00,57.969729639700006,100.08206839299999
 01/06  17:00:00,59.6066483776,103.25677445
 01/06  18:00:00,66.751349293,113.070875321
 01/06  19:00:00,54.224403291899996,124.004198279
 01/06  20:00:00,54.285421029300004,130.350120818
 01/06  21:00:00,49.2794823029,131.79144646700001
 01/06  22:00:00,20.693606815,0.0
 01/06  23:00:00,12.569683660399999,0.0
 01/06  24:00:00,12.5809481359,0.0
 01/07  01:00:00,12.0945122847,1.28358899713
 01/07  02:00:00,12.1917809454,2.59711659369
 01/07  03:00:00,12.267152887,4.01333508058
 01/07  04:00:00,12.327234385499999,5.2802111697
 01/07  05:00:00,12.3730237994,6.37384214342
 01/07  06:00:00,12.3617696357,6.0401368075
 01/07  07:00:00,26.223075014299997,211.08299396599998
 01/07  08:00:00,28.1083996827,160.316994193
 01/07  09:00:00,30.9819999695,137.085803577
 01/07  10:00:00,45.4509209958,98.61383786370001
 01/07  11:00:00,57.6896216853,64.9404050212
 01/07  12:00:00,57.613901382200005,33.631243633000004
 01/07  13:00:00,57.613901382200005,20.4824003925
 01/07  14:00:00,57.613901382200005,13.622156224400001
 01/07  15:00:00,57.613901382200005,7.99029571812
 01/07  16:00:00,57.613901382200005,5.22591645114
 01/07  17:00:00,58.99156804890001,9.17491262076
 01/07  18:00:00,65.9954709455,26.7686788087
 01/07  19:00:00,48.5447949176,49.3030275795
