Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,257.927180571,244.800506925
 01/01  02:00:00,255.181092165,211.343413179
 01/01  03:00:00,259.519324284,293.340067467
 01/01  04:00:00,255.19450324299999,227.000521232
 01/01  05:00:00,271.768164401,324.057027932
 01/01  06:00:00,291.88692095700003,254.51865931900002
 01/01  07:00:00,345.12798279599997,352.756947005
 01/01  08:00:00,339.599311619,265.810867098
 01/01  09:00:00,318.218927034,242.61968021799998
 01/01  10:00:00,277.183275254,125.73016907700001
 01/01  11:00:00,232.593451257,160.13190999100001
 01/01  12:00:00,228.28220654700002,112.76074522100001
 01/01  13:00:00,232.56947058900002,132.104904045
 01/01  14:00:00,228.27162063400002,101.667809776
 01/01  15:00:00,232.539233695,97.47402661049999
 01/01  16:00:00,228.247258839,72.0581185041
 01/01  17:00:00,298.533077354,119.961839355
 01/01  18:00:00,365.110221096,126.245406085
 01/01  19:00:00,369.429371355,185.64401785400003
 01/01  20:00:00,340.680263368,143.871157885
 01/01  21:00:00,344.99572348199996,199.11475953400003
 01/01  22:00:00,316.249084389,160.482891508
 01/01  23:00:00,296.133042811,230.846873415
 01/01  24:00:00,267.383126704,187.77400976200002
 01/02  01:00:00,309.324497066,251.370684743
 01/02  02:00:00,305.007234287,194.162944435
 01/02  03:00:00,309.33546367900004,267.042015027
 01/02  04:00:00,305.01662381200003,205.590769082
 01/02  05:00:00,321.57628896200004,287.150871823
 01/02  06:00:00,366.615701007,220.221423804
 01/02  07:00:00,431.08235503599997,3034.49970443
 01/02  08:00:00,528.659802022,2511.82397383
 01/02  09:00:00,1050.3712463,1686.07333784
 01/02  10:00:00,1013.34494242,1380.54476674
 01/02  11:00:00,964.2329477760001,1217.50796944
 01/02  12:00:00,964.123619085,1133.76546023
 01/02  13:00:00,914.2853825560001,1146.37295102
 01/02  14:00:00,963.948888218,989.864825359
 01/02  15:00:00,963.7784392130001,838.269916175
 01/02  16:00:00,963.684192131,765.452278565
 01/02  17:00:00,1029.62771409,746.669188474
 01/02  18:00:00,951.0014920560001,804.8827034589999
 01/02  19:00:00,751.822635772,986.935341785
 01/02  20:00:00,727.427411912,1029.70086559
 01/02  21:00:00,578.0005589140001,1121.58953222
