Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,148.76136708299998,259.535703924
 01/01  02:00:00,141.30973891600001,200.602723078
 01/01  03:00:00,121.303631936,197.96456495200002
 01/01  04:00:00,120.194996574,194.13589393900003
 01/01  05:00:00,127.08079609,231.76507871400003
 01/01  06:00:00,140.189644582,272.605629389
 01/01  07:00:00,218.650554118,371.860800451
 01/01  08:00:00,300.37136956,898.030066248
 01/01  09:00:00,342.75450346599996,1162.19481239
 01/01  10:00:00,285.052580652,971.429027667
 01/01  11:00:00,236.630442803,854.814738155
 01/01  12:00:00,236.629877358,774.5247672889999
 01/01  13:00:00,237.788636982,692.355156352
 01/01  14:00:00,220.596191543,684.107276209
 01/01  15:00:00,219.602383673,679.680843616
 01/01  16:00:00,209.947854715,697.64819288
 01/01  17:00:00,221.377257016,673.375173429
 01/01  18:00:00,256.14770327900004,716.1405934869999
 01/01  19:00:00,326.393563536,765.254030502
 01/01  20:00:00,342.033640385,812.703509778
 01/01  21:00:00,370.492940021,804.810034615
 01/01  22:00:00,343.326771813,793.399275162
 01/01  23:00:00,288.367742496,948.836530455
 01/01  24:00:00,200.509843688,750.542204255
 01/02  01:00:00,137.687861616,258.11085193099996
 01/02  02:00:00,122.476244331,203.907813103
 01/02  03:00:00,112.06680293299999,196.07165288599998
 01/02  04:00:00,110.96695350200001,186.330380039
 01/02  05:00:00,118.151082641,230.80108152
 01/02  06:00:00,152.4848656,352.456856647
 01/02  07:00:00,278.485245906,557.597038381
 01/02  08:00:00,363.92900174,1045.98920533
 01/02  09:00:00,279.97725365400004,977.834530727
 01/02  10:00:00,256.717126837,858.41044206
 01/02  11:00:00,213.441946035,776.759996995
 01/02  12:00:00,219.345263322,694.6182285089999
 01/02  13:00:00,225.769157665,686.88833874
 01/02  14:00:00,215.251308442,672.572675646
 01/02  15:00:00,203.739859104,678.602119303
 01/02  16:00:00,188.28331287400002,686.574754309
 01/02  17:00:00,208.155422235,652.750982151
 01/02  18:00:00,264.613097319,714.8360864010001
 01/02  19:00:00,335.455734892,926.884813809
 01/02  20:00:00,342.28596846799996,783.521752789
 01/02  21:00:00,373.921951285,780.338074985
 01/02  22:00:00,363.00247938,925.1263720769999
 01/02  23:00:00,277.123793029,809.894320827
 01/02  24:00:00,184.2928291,660.408922541
 01/03  01:00:00,129.90475720799998,261.68481372599996
 01/03  02:00:00,118.219325859,207.764027866
 01/03  03:00:00,108.42714252,202.009128842
 01/03  04:00:00,107.088142123,194.186706838
 01/03  05:00:00,114.19242923,240.75831379599998
 01/03  06:00:00,144.941557771,364.932339931
 01/03  07:00:00,262.985550226,574.65244392
 01/03  08:00:00,349.21032711,1178.99198283
 01/03  09:00:00,265.407397917,1122.26148359
 01/03  10:00:00,238.400233418,1005.17602262
 01/03  11:00:00,198.638882675,933.91215396
 01/03  12:00:00,206.395845875,845.4508114439999
 01/03  13:00:00,210.681320359,826.435472675
 01/03  14:00:00,202.202577285,813.168813227
 01/03  15:00:00,201.729706615,785.3090675889999
