Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,120.26996665799999,10.1164018303
 01/01  02:00:00,108.17116588200001,9.18728000221
 01/01  03:00:00,128.73427607899998,12.6402971546
 01/01  04:00:00,104.75277023700001,8.56000262111
 01/01  05:00:00,125.059639654,12.016810957799999
 01/01  06:00:00,104.25361638700001,8.452391968310002
 01/01  07:00:00,126.625997965,12.061351251400001
 01/01  08:00:00,103.38359603100001,8.585470560960001
 01/01  09:00:00,110.52826195700001,12.035236298900001
 01/01  10:00:00,81.5860978237,8.21216873723
 01/01  11:00:00,102.061763183,11.4978995682
 01/01  12:00:00,83.4930716874,7.91298856454
 01/01  13:00:00,103.038073343,11.1296459786
 01/01  14:00:00,84.1366559319,8.697708886989998
 01/01  15:00:00,104.046851843,9.778108507339999
 01/01  16:00:00,85.4588773207,8.56696149844
 01/01  17:00:00,111.716592171,9.7411859291
 01/01  18:00:00,102.69639813200001,7.60792233258
 01/01  19:00:00,124.858876364,11.2745165016
 01/01  20:00:00,104.18952178299999,7.94401485349
 01/01  21:00:00,124.825458435,11.423893771500001
 01/01  22:00:00,103.195501005,7.902315360860001
 01/01  23:00:00,123.588046691,11.3663633705
 01/01  24:00:00,102.925478765,7.9486899726499995
 01/02  01:00:00,126.634113194,11.388102151099998
 01/02  02:00:00,105.79607652799999,7.938559129010001
 01/02  03:00:00,125.431185074,11.3596092964
 01/02  04:00:00,105.66879430899999,7.92693656502
 01/02  05:00:00,125.583654764,11.3588264152
 01/02  06:00:00,108.25740831899999,8.9537088255
 01/02  07:00:00,337.132055493,3.0914096838
 01/02  08:00:00,303.09920396900003,105.54428905700001
 01/02  09:00:00,291.420264867,101.34486264700001
 01/02  10:00:00,257.72224463,98.18713173629999
 01/02  11:00:00,247.57320742599998,94.03970909870002
 01/02  12:00:00,240.633738373,91.92596025530001
 01/02  13:00:00,238.988599651,89.1370854915
 01/02  14:00:00,225.66841799099998,85.0900341256
 01/02  15:00:00,216.202195187,83.1965384132
 01/02  16:00:00,211.27630249999999,85.3451226519
 01/02  17:00:00,208.83886825599998,87.78135471190001
 01/02  18:00:00,218.687499362,86.7221035086
 01/02  19:00:00,193.822259861,86.41490482020001
 01/02  20:00:00,193.950045085,86.5496604623
 01/02  21:00:00,187.316525235,87.1107139918
 01/02  22:00:00,186.671864288,87.2332165066
 01/02  23:00:00,44.175055173400004,1.53811843037
 01/02  24:00:00,51.3594784905,0.915388109067
 01/03  01:00:00,67.9576915751,4.49463736914
 01/03  02:00:00,68.229546126,3.64745586565
 01/03  03:00:00,81.9537472705,7.2626334545399995
 01/03  04:00:00,76.33754943,5.506898555069999
 01/03  05:00:00,89.8306826083,9.23955984885
 01/03  06:00:00,84.02695200000001,6.724746036619999
 01/03  07:00:00,278.970656243,3.2107357792299998
 01/03  08:00:00,244.356209465,129.468820511
 01/03  09:00:00,255.135318874,131.684167191
 01/03  10:00:00,234.689312435,130.452612417
 01/03  11:00:00,223.767965845,126.66238290000001
 01/03  12:00:00,219.52707767400003,124.326457185
 01/03  13:00:00,223.760530851,121.71146059899999
 01/03  14:00:00,213.871964757,122.288674308
 01/03  15:00:00,206.90532147599998,119.69139753200001
 01/03  16:00:00,204.366394841,122.168642491
 01/03  17:00:00,204.63662014599998,124.895764094
 01/03  18:00:00,216.177112005,124.129511524
 01/03  19:00:00,190.86625170099998,124.147005885
 01/03  20:00:00,192.93703680299998,124.60945017799999
 01/03  21:00:00,188.406276904,128.23790038
 01/03  22:00:00,190.22241836599997,133.46596894200002
 01/03  23:00:00,53.883144682799994,2.9502719047799997
 01/03  24:00:00,75.99745083149999,6.8495354632800005
 01/04  01:00:00,85.5785625208,8.282872536489998
 01/04  02:00:00,89.78591133639999,11.2556140116
 01/04  03:00:00,96.66093798940001,10.7554201524
 01/04  04:00:00,99.1376582273,13.980070308
 01/04  05:00:00,106.06609616799999,12.629701264400001
 01/04  06:00:00,111.33411499200001,15.729790973499998
 01/04  07:00:00,297.990224865,7.10029235495
 01/04  08:00:00,262.817187317,175.02465172900003
 01/04  09:00:00,270.57083060599996,174.139352487
 01/04  10:00:00,247.9882344,171.051638036
 01/04  11:00:00,238.03536442900003,163.53234254
 01/04  12:00:00,232.946257957,159.35343331200002
 01/04  13:00:00,235.742091993,154.494435855
 01/04  14:00:00,224.65212898599998,152.989832312
 01/04  15:00:00,213.09186497099998,150.308547701
 01/04  16:00:00,205.718101408,149.813984393
 01/04  17:00:00,210.856620617,156.017035814
 01/04  18:00:00,225.918317498,164.901307199
 01/04  19:00:00,202.443612349,171.861438627
 01/04  20:00:00,205.380023257,174.51035473299999
 01/04  21:00:00,201.86970380099999,175.44906723900002
 01/04  22:00:00,205.620111697,177.581448115
 01/04  23:00:00,64.3237098817,6.73684952306
 01/04  24:00:00,89.53597802680001,10.8204609911
 01/05  01:00:00,84.3096657726,11.609397576600001
 01/05  02:00:00,98.23991087600001,13.451335417300001
 01/05  03:00:00,87.8253444343,12.8898735216
 01/05  04:00:00,101.90270188299999,14.0593644966
 01/05  05:00:00,91.23380878649999,12.7314944902
 01/05  06:00:00,108.09562455,13.517842444400001
 01/05  07:00:00,282.375619283,5.57618591973
 01/05  08:00:00,245.897005949,127.978175455
 01/05  09:00:00,253.760760861,124.88318862700001
 01/05  10:00:00,230.783962693,121.275654459
 01/05  11:00:00,215.188507561,114.366424806
 01/05  12:00:00,188.129574537,106.655796316
 01/05  13:00:00,183.167810639,95.5955218869
 01/05  14:00:00,172.057438336,88.28036276799999
 01/05  15:00:00,169.820573283,80.2512359359
 01/05  16:00:00,159.928674576,74.5177316178
 01/05  17:00:00,164.506640914,72.7639381906
 01/05  18:00:00,182.03006598599998,71.8980875363
 01/05  19:00:00,158.081496303,71.9837543612
 01/05  20:00:00,158.929640089,72.6273933429
 01/05  21:00:00,153.864983814,70.7787195758
 01/05  22:00:00,155.08962267799998,69.1624107378
 01/05  23:00:00,41.6166002114,1.10306634933
 01/05  24:00:00,38.9361841996,0.02
 01/06  01:00:00,45.0002862364,1.69294049972
 01/06  02:00:00,47.6698223911,0.592628081836
 01/06  03:00:00,47.208596892799996,2.41763866818
 01/06  04:00:00,49.978167019,1.68423330118
 01/06  05:00:00,49.272019200900004,3.17681008464
 01/06  06:00:00,55.2560635162,2.6514803753900003
 01/06  07:00:00,221.96437326,1.2579552118100001
 01/06  08:00:00,203.31553504099998,98.824409782
 01/06  09:00:00,220.26862637,106.065744001
 01/06  10:00:00,182.093704715,112.613050971
 01/06  11:00:00,169.85032705700002,112.770148909
 01/06  12:00:00,171.247255269,115.779514025
 01/06  13:00:00,186.135684868,117.39882148299999
 01/06  14:00:00,170.909717861,116.54150357799999
 01/06  15:00:00,160.119747446,114.097833612
 01/06  16:00:00,155.183568804,117.53853533799999
 01/06  17:00:00,168.520599821,126.079746191
 01/06  18:00:00,189.832902795,129.782792142
 01/06  19:00:00,168.392287396,136.05863701
 01/06  20:00:00,171.991668578,141.233957151
 01/06  21:00:00,171.169474335,145.535498771
 01/06  22:00:00,175.094124754,145.580624135
 01/06  23:00:00,47.4142088679,3.0271006289
 01/06  24:00:00,71.290330824,6.99162582219
 01/07  01:00:00,66.9352538027,8.123859820349999
 01/07  02:00:00,79.0570090728,10.346815965700001
 01/07  03:00:00,72.2736721856,9.64507670139
 01/07  04:00:00,85.6560009174,11.7653030021
 01/07  05:00:00,76.30201466359999,10.5016376649
 01/07  06:00:00,91.6676388224,12.7797266289
 01/07  07:00:00,266.698401485,4.80715594297
 01/07  08:00:00,225.082377887,142.68001311700002
 01/07  09:00:00,211.19446056400002,141.15856722200002
 01/07  10:00:00,187.035743665,129.373047371
 01/07  11:00:00,186.024270177,123.5616113
 01/07  12:00:00,184.521825888,116.148640712
 01/07  13:00:00,178.048315342,112.551533353
 01/07  14:00:00,174.278013234,110.969757885
 01/07  15:00:00,157.696859781,109.031508683
 01/07  16:00:00,144.242047291,104.134850273
 01/07  17:00:00,149.453192445,104.605310314
 01/07  18:00:00,167.743376259,106.79672844299999
 01/07  19:00:00,38.2021803705,0.833857810496
 01/07  20:00:00,50.1134354719,3.64084540442
 01/07  21:00:00,62.2750223318,5.70160446265
 01/07  22:00:00,67.3374692844,5.07586598737
 01/07  23:00:00,68.392751438,7.502636054960001
 01/07  24:00:00,72.186773712,6.108139588869999
 01/08  01:00:00,73.8299099726,8.79835711773
 01/08  02:00:00,77.3931537214,7.049804439430001
 01/08  03:00:00,78.4763685705,9.498218280489999
 01/08  04:00:00,81.1675752889,7.409448011399999
 01/08  05:00:00,82.5318909073,9.93891641044
 01/08  06:00:00,84.8197777829,7.71545176416
 01/08  07:00:00,85.3189706376,10.263449438099999
 01/08  08:00:00,84.9273897956,7.95165783548
 01/08  09:00:00,73.9639136704,10.545858067200001
 01/08  10:00:00,71.9229520242,8.05936353477
 01/08  11:00:00,59.60936044,10.2559775064
 01/08  12:00:00,66.3724901744,7.54511621468
 01/08  13:00:00,70.610050298,9.50547734176
 01/08  14:00:00,72.3938739904,7.0992692446
 01/08  15:00:00,73.9726130351,9.39414896361
 01/08  16:00:00,75.3850765726,8.348667874710001
 01/08  17:00:00,79.5081551943,9.06331154901
 01/08  18:00:00,101.320768946,8.49828937531
 01/08  19:00:00,106.36614292600001,11.9887231144
 01/08  20:00:00,112.984362744,10.2725293885
 01/08  21:00:00,115.12549243299999,13.936757354000001
 01/08  22:00:00,119.45649333700001,11.4974824369
 01/08  23:00:00,121.33118861700001,15.3530846711
 01/08  24:00:00,124.97185116700001,12.5528561094
 01/09  01:00:00,130.93916949299998,16.781083149100002
 01/09  02:00:00,136.026816921,13.9371711242
 01/09  03:00:00,136.713158535,18.0856747073
 01/09  04:00:00,139.872030438,14.6845906064
 01/09  05:00:00,141.742220146,19.3268003323
 01/09  06:00:00,147.369832441,16.7531366558
 01/09  07:00:00,352.703918886,10.873555505399999
 01/09  08:00:00,331.41214080599997,185.98141838799998
 01/09  09:00:00,321.625359748,183.46282956599998
 01/09  10:00:00,285.004649831,177.115588599
 01/09  11:00:00,269.687024913,165.027007908
 01/09  12:00:00,261.362673337,153.882790282
 01/09  13:00:00,257.22169631400004,147.25292748
 01/09  14:00:00,242.39080472900002,135.372336064
 01/09  15:00:00,229.718414403,126.38305942299999
 01/09  16:00:00,222.600786361,124.52313407700001
 01/09  17:00:00,219.53473744599998,119.70663533700001
 01/09  18:00:00,229.08474161900003,114.664795329
 01/09  19:00:00,203.69652977299998,116.63398318600001
 01/09  20:00:00,204.577096426,120.011368401
 01/09  21:00:00,198.279167108,121.36913156799999
 01/09  22:00:00,197.413660165,120.218798939
 01/09  23:00:00,49.112136316800004,1.2459437909
 01/09  24:00:00,70.1309260127,6.426061520119999
 01/10  01:00:00,72.5909985487,5.32187779704
 01/10  02:00:00,78.19063519,8.829119173430001
 01/10  03:00:00,74.7454269414,6.204665911240001
 01/10  04:00:00,80.0847188127,9.44547420113
 01/10  05:00:00,76.6462113271,6.43563750929
 01/10  06:00:00,84.092926052,9.28634147739
 01/10  07:00:00,265.342038054,2.24751042488
 01/10  08:00:00,228.372258092,87.91499686809999
 01/10  09:00:00,232.515657778,79.1991619161
 01/10  10:00:00,196.72563063200002,75.7159929695
 01/10  11:00:00,191.82413637,68.4191915824
 01/10  12:00:00,189.08752200799998,60.366714969600004
 01/10  13:00:00,191.87446456700002,55.9855718716
 01/10  14:00:00,181.720066209,52.4040903506
 01/10  15:00:00,173.536509294,57.667201733599995
 01/10  16:00:00,168.635262831,65.9990487379
 01/10  17:00:00,174.19652016599997,80.1018017033
 01/10  18:00:00,190.92123129900003,90.44792635879999
 01/10  19:00:00,168.71576766200002,102.958405945
 01/10  20:00:00,172.23069279799998,107.28880899200001
 01/10  21:00:00,168.469562415,108.41233518899999
 01/10  22:00:00,170.325259306,109.057590145
 01/10  23:00:00,43.311517476999995,0.41078825383199996
 01/10  24:00:00,49.5916125333,3.07347103745
 01/11  01:00:00,53.2331525689,4.6384765441
 01/11  02:00:00,65.557722228,4.91079150066
 01/11  03:00:00,69.7782051228,6.1746984239
 01/11  04:00:00,71.3973433496,6.324742963509999
 01/11  05:00:00,74.5915360914,6.83973785234
 01/11  06:00:00,77.5526713844,6.92377509095
 01/11  07:00:00,249.65373583299998,1.94673393819
 01/11  08:00:00,216.59393324599998,95.513942282
 01/11  09:00:00,220.61979108900002,92.6671969436
 01/11  10:00:00,204.32706916900003,92.0291981458
 01/11  11:00:00,197.86544520400003,87.3132870017
 01/11  12:00:00,194.238923429,85.6848946326
 01/11  13:00:00,196.647610579,80.504688325
 01/11  14:00:00,183.973442853,74.8012320121
 01/11  15:00:00,175.89751746299999,70.3690367288
 01/11  16:00:00,173.48274726900001,67.84469528449999
 01/11  17:00:00,178.414042803,68.43795065229999
 01/11  18:00:00,187.58769411400002,73.28652332
 01/11  19:00:00,161.77193637,77.4233962907
 01/11  20:00:00,160.531121173,69.49340763890001
 01/11  21:00:00,154.80204603,65.3762918358
 01/11  22:00:00,156.028154874,63.5605038099
 01/11  23:00:00,41.6166002114,1.1031357737799998
 01/11  24:00:00,38.9361841996,0.02
 01/12  01:00:00,47.9154596671,1.9879742883200002
 01/12  02:00:00,47.7543156875,1.25930696209
 01/12  03:00:00,52.671486763400004,4.2127250162
 01/12  04:00:00,60.0306592752,3.1018067086900003
 01/12  05:00:00,71.63728021899999,6.08327928061
 01/12  06:00:00,69.6396201504,5.21564691442
 01/12  07:00:00,238.22947010400003,1.01753523839
 01/12  08:00:00,209.224231885,100.19228275200001
 01/12  09:00:00,224.114706652,96.47894198659999
 01/12  10:00:00,205.528059904,95.0222214638
 01/12  11:00:00,197.629370232,95.48884509850001
 01/12  12:00:00,195.262665485,94.95066959309999
 01/12  13:00:00,200.700947374,95.5876446592
 01/12  14:00:00,192.494443486,97.6741009916
 01/12  15:00:00,187.55686137200001,98.5743611298
 01/12  16:00:00,186.893260777,100.10241616
 01/12  17:00:00,190.81034084799998,104.75609596
 01/12  18:00:00,201.928934508,107.28742429200001
 01/12  19:00:00,175.94208961599998,108.552544516
 01/12  20:00:00,177.25094161799998,110.93325054
 01/12  21:00:00,175.39488670900002,119.590366995
 01/12  22:00:00,178.97899807099998,126.98014182799999
 01/12  23:00:00,46.46518458479999,1.10455821012
 01/12  24:00:00,70.117144685,6.3597424596700005
 01/13  01:00:00,72.2605904541,5.771988245730001
 01/13  02:00:00,89.00462793370001,10.515421416699999
 01/13  03:00:00,80.82827972770001,8.152308229019999
 01/13  04:00:00,97.64729108280001,12.791066468599999
 01/13  05:00:00,85.70486557439999,9.55976786065
 01/13  06:00:00,106.604159347,14.200233144
 01/13  07:00:00,275.82720131900004,4.9370538612
 01/13  08:00:00,241.69423004700002,151.303813865
 01/13  09:00:00,248.76554085700002,142.838076388
 01/13  10:00:00,213.875292875,135.290046521
 01/13  11:00:00,210.692188125,125.589306159
 01/13  12:00:00,207.771830575,118.949290604
