Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,80.02296741319999,1.77125
 01/01  02:00:00,78.6664007268,1.77125
 01/01  03:00:00,77.597913322,2.91555400232
 01/01  04:00:00,86.1372567655,13.3588719348
 01/01  05:00:00,97.03772990040001,22.0691942282
 01/01  06:00:00,96.6630279351,23.249666914699997
 01/01  07:00:00,127.22930244700001,410.70707069400004
 01/01  08:00:00,132.981482049,378.42398095199997
 01/01  09:00:00,158.608729426,325.932842072
 01/01  10:00:00,132.859848874,300.051433003
 01/01  11:00:00,168.92066866,259.031588141
 01/01  12:00:00,201.369819739,222.485799925
 01/01  13:00:00,211.057621454,186.707442452
 01/01  14:00:00,209.855006996,169.69308659
 01/01  15:00:00,207.005568013,161.71447767
 01/01  16:00:00,203.79675362400002,165.426285469
 01/01  17:00:00,205.77772712799998,187.376306462
 01/01  18:00:00,185.17746708,243.325706029
 01/01  19:00:00,188.648722121,275.17682438099996
 01/01  20:00:00,168.611335913,279.095469275
 01/01  21:00:00,160.317281951,280.421748606
 01/01  22:00:00,145.877299959,239.979889619
 01/01  23:00:00,82.7814295101,1.77125
 01/01  24:00:00,117.570971863,1.77125
 01/02  01:00:00,88.5863080478,3.4992779272199996
 01/02  02:00:00,81.4167219819,2.355
 01/02  03:00:00,80.5329511436,2.355
 01/02  04:00:00,88.9868897569,15.0050637546
 01/02  05:00:00,95.33128513860001,14.945071193599999
 01/02  06:00:00,99.61035818059999,23.146260882600004
 01/02  07:00:00,142.203576562,370.04977502099996
 01/02  08:00:00,149.56595415299998,331.448122279
 01/02  09:00:00,216.21688872599998,290.79823070599997
 01/02  10:00:00,243.245394041,243.190446194
 01/02  11:00:00,236.107300767,208.895014249
 01/02  12:00:00,268.125654672,180.82637106099997
 01/02  13:00:00,252.12148024099997,163.916452876
 01/02  14:00:00,250.725694468,143.387775362
 01/02  15:00:00,248.444563337,128.686933049
 01/02  16:00:00,245.620886695,127.65081000299999
 01/02  17:00:00,247.846442534,138.298357151
 01/02  18:00:00,257.05226524299997,153.727527648
 01/02  19:00:00,254.235078862,163.302959615
 01/02  20:00:00,240.098786873,169.887664125
 01/02  21:00:00,213.917746406,174.059113675
 01/02  22:00:00,155.205885546,142.103489368
 01/02  23:00:00,95.6107937522,2.355
 01/02  24:00:00,128.87720406100001,3.4993400234500003
 01/03  01:00:00,98.4510434551,2.355
 01/03  02:00:00,89.6917761503,2.355
 01/03  03:00:00,87.4546695615,2.49912682773
 01/03  04:00:00,84.6753131349,3.35505894626
 01/03  05:00:00,112.907104655,22.345499113000002
 01/03  06:00:00,109.974351901,27.272095843000002
 01/03  07:00:00,157.227317166,469.284812817
 01/03  08:00:00,155.38779411299998,434.91395832
 01/03  09:00:00,212.20982295,413.224154951
 01/03  10:00:00,235.702827355,370.66817845300005
 01/03  11:00:00,226.30392973,351.427855777
 01/03  12:00:00,257.222187245,339.322722126
 01/03  13:00:00,236.513790719,336.983380639
 01/03  14:00:00,233.50195677,334.871300339
 01/03  15:00:00,229.729986826,335.09694131099997
 01/03  16:00:00,226.29635555,344.28193616199997
 01/03  17:00:00,229.67181443799998,355.23623796699997
 01/03  18:00:00,239.820505437,364.604368491
 01/03  19:00:00,239.350157947,376.084066219
 01/03  20:00:00,216.461070456,385.806759997
 01/03  21:00:00,191.934867367,395.10807126599997
 01/03  22:00:00,136.619863493,371.97354494
 01/03  23:00:00,78.8274985116,2.355
 01/03  24:00:00,124.00621023299999,28.8565758387
 01/04  01:00:00,92.9397142093,32.0405634038
 01/04  02:00:00,95.5107741234,57.2589917337
 01/04  03:00:00,97.0754736449,62.447513694399994
 01/04  04:00:00,91.43027207760001,47.6747206894
 01/04  05:00:00,102.47942381799999,71.23070507
 01/04  06:00:00,103.216392578,69.1755323337
 01/04  07:00:00,140.46976641,523.072341798
 01/04  08:00:00,145.982552642,471.226266563
 01/04  09:00:00,212.089292965,428.65940113
 01/04  10:00:00,236.30797805400002,382.957333343
 01/04  11:00:00,226.478385453,366.275178391
 01/04  12:00:00,257.323463474,343.53461436
 01/04  13:00:00,237.28684390599997,320.82380907
 01/04  14:00:00,233.993958829,306.011891595
 01/04  15:00:00,230.202252484,291.611982205
 01/04  16:00:00,226.87409979,276.620076262
 01/04  17:00:00,230.36626921799999,269.92829747400003
 01/04  18:00:00,240.609670469,267.83055009099996
 01/04  19:00:00,240.12243666400002,271.84528346400003
 01/04  20:00:00,224.262340869,277.577670771
