Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.929584149500002,37.469424615
 01/01  02:00:00,16.617505909000002,45.953607581199996
 01/01  03:00:00,16.2982739496,43.908067448599994
 01/01  04:00:00,16.1267010446,42.5885459494
 01/01  05:00:00,18.2076382725,43.1459737467
 01/01  06:00:00,22.642317027199997,44.3588631155
 01/01  07:00:00,27.7778876032,52.3777021534
 01/01  08:00:00,27.751096095799998,51.3801369939
 01/01  09:00:00,22.8407641481,49.5825277099
 01/01  10:00:00,20.063222815899998,48.20263953600001
 01/01  11:00:00,17.085667840899998,44.711871823100005
 01/01  12:00:00,16.9890068813,34.6269679706
 01/01  13:00:00,16.8055289608,31.90632405
 01/01  14:00:00,16.276712076600003,28.3153996694
 01/01  15:00:00,16.091021858199998,26.054574491500002
 01/01  16:00:00,17.4064494668,25.939362949499998
 01/01  17:00:00,26.609198800300003,26.612606599899998
 01/01  18:00:00,37.370408280300005,29.2050561954
 01/01  19:00:00,39.6091826615,31.3372355193
 01/01  20:00:00,38.6522018389,30.823452060700003
 01/01  21:00:00,38.2283276828,29.768284931900002
 01/01  22:00:00,32.8130776848,28.1916443322
 01/01  23:00:00,25.975234226999998,29.2877488636
 01/01  24:00:00,20.1996373239,27.751298492399997
 01/02  01:00:00,16.6218414347,26.9854516996
 01/02  02:00:00,16.128621428800002,29.013687794299997
 01/02  03:00:00,15.903797935,30.4774652023
 01/02  04:00:00,15.7783866377,31.0852533506
 01/02  05:00:00,17.849613110099998,31.5363712998
 01/02  06:00:00,22.335470385900003,34.7555627518
 01/02  07:00:00,27.51737804,44.5777865088
 01/02  08:00:00,27.7115938656,44.4401596278
 01/02  09:00:00,24.4190567422,45.8979480933
 01/02  10:00:00,21.440507342300002,38.3448305606
 01/02  11:00:00,18.3613174585,31.955330899099998
 01/02  12:00:00,18.409753633599998,26.099885963800002
 01/02  13:00:00,17.9842974289,21.3196003883
 01/02  14:00:00,17.635899967100002,17.8686122207
 01/02  15:00:00,17.442207949500002,15.014683084300001
 01/02  16:00:00,18.7493851154,15.3804813739
 01/02  17:00:00,27.9393916019,15.810073606700001
 01/02  18:00:00,37.203395465,18.0182223999
 01/02  19:00:00,39.3142764189,19.9616481708
 01/02  20:00:00,38.336725738,19.3001026835
 01/02  21:00:00,37.8941527223,18.0985847423
 01/02  22:00:00,32.42321181,15.609389566099999
 01/02  23:00:00,25.468404847600002,15.2303470224
 01/02  24:00:00,19.6231540167,11.559779615999998
 01/03  01:00:00,15.959006867200001,8.1849404626
 01/03  02:00:00,15.408883593199999,8.35672414148
 01/03  03:00:00,15.1270539446,8.04027233438
 01/03  04:00:00,14.9781209224,7.963818904530001
 01/03  05:00:00,17.0527846084,8.53766844585
 01/03  06:00:00,21.5573665833,12.448277364800001
 01/03  07:00:00,26.8235409513,25.0726897886
 01/03  08:00:00,27.0506626732,25.9898461347
 01/03  09:00:00,23.7466457109,26.2753920698
 01/03  10:00:00,20.9208064922,23.7096276925
 01/03  11:00:00,18.129786836300003,25.567755765999998
 01/03  12:00:00,18.452420799200002,27.582667405
 01/03  13:00:00,18.250061406300002,29.226950088200002
 01/03  14:00:00,18.0731242668,31.099505673400003
 01/03  15:00:00,17.984268952,31.573403845900003
 01/03  16:00:00,19.3737887895,33.5959468973
 01/03  17:00:00,28.6498248654,36.55597607
 01/03  18:00:00,37.8506820169,38.1151055638
 01/03  19:00:00,39.853849943600004,38.8186159363
 01/03  20:00:00,38.901743287399995,38.466737639899996
 01/03  21:00:00,38.482017519,37.5596960282
 01/03  22:00:00,33.047934164699996,35.4334643576
 01/03  23:00:00,26.219693110599998,36.8888385994
 01/03  24:00:00,20.4427475854,35.4061889869
 01/04  01:00:00,16.847421417899998,34.2143372344
 01/04  02:00:00,16.302891634,34.603811025700004
 01/04  03:00:00,16.0229802618,34.2685712413
 01/04  04:00:00,15.8923443794,34.689120510500004
 01/04  05:00:00,17.969680353599998,35.3328751043
 01/04  06:00:00,22.4275163069,37.5684347113
 01/04  07:00:00,27.6371398313,48.2932181935
 01/04  08:00:00,27.8862186315,49.948962306000006
 01/04  09:00:00,24.6421952436,52.614787674300004
 01/04  10:00:00,21.8639084095,51.2172017199
 01/04  11:00:00,18.9428938706,49.432996896700004
 01/04  12:00:00,19.0723024099,45.7081362117
 01/04  13:00:00,18.7461492418,43.4742326623
 01/04  14:00:00,18.477051024,42.4765823721
 01/04  15:00:00,18.3034030532,40.4011888753
 01/04  16:00:00,19.5131225634,37.0747142134
 01/04  17:00:00,28.7029366384,37.290212251
 01/04  18:00:00,37.807525634,36.1028495112
 01/04  19:00:00,39.7497075068,35.2094557624
 01/04  20:00:00,38.8061611853,35.1929706317
 01/04  21:00:00,38.4236264914,35.4991862201
 01/04  22:00:00,33.0437954113,35.1418596108
 01/04  23:00:00,26.23189417,37.1519647958
 01/04  24:00:00,20.4472076941,35.413367246
 01/05  01:00:00,16.8596737654,34.4772726404
