Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,160.678869875,211.85504424599998
 01/01  02:00:00,152.68171094299998,165.11369787200002
 01/01  03:00:00,131.723187483,167.184269035
 01/01  04:00:00,129.540982956,159.147605515
 01/01  05:00:00,137.048776097,196.12043873599998
 01/01  06:00:00,151.477169973,242.21581230599998
 01/01  07:00:00,232.789638819,320.77132779
 01/01  08:00:00,317.090218286,726.239971005
 01/01  09:00:00,363.05779325699996,960.480064195
 01/01  10:00:00,285.990213041,794.370955811
 01/01  11:00:00,223.133709059,655.882758826
 01/01  12:00:00,213.61847712,603.262856194
 01/01  13:00:00,216.623686163,546.11774671
 01/01  14:00:00,213.140817608,511.030320405
 01/01  15:00:00,215.120879489,470.498038551
 01/01  16:00:00,216.283186471,437.70389482400003
 01/01  17:00:00,238.523327405,435.782561134
 01/01  18:00:00,272.875308906,482.645645861
 01/01  19:00:00,343.016375513,519.325972151
 01/01  20:00:00,356.578939375,579.461538094
 01/01  21:00:00,383.763637188,594.4651053169999
 01/01  22:00:00,354.483459296,603.128945699
 01/01  23:00:00,299.466023607,741.389626877
 01/01  24:00:00,213.525054666,552.39313707
 01/02  01:00:00,151.157157909,210.515053074
 01/02  02:00:00,135.978311168,161.24307816299998
 01/02  03:00:00,124.66830229,159.436659641
 01/02  04:00:00,124.28417102799999,155.023947465
 01/02  05:00:00,131.567615645,188.72238690400002
 01/02  06:00:00,165.12799431,304.649091832
 01/02  07:00:00,291.150494714,493.024647263
 01/02  08:00:00,377.642158502,856.728822461
 01/02  09:00:00,298.47096417,781.882333106
 01/02  10:00:00,256.30949370400003,681.801830544
 01/02  11:00:00,199.25640512599998,630.174955813
 01/02  12:00:00,192.759620238,585.452328646
 01/02  13:00:00,190.119207868,577.385792248
 01/02  14:00:00,181.386814337,557.9588587669999
 01/02  15:00:00,181.585203695,539.315321911
 01/02  16:00:00,180.06781841400002,552.029843788
 01/02  17:00:00,207.854050463,504.15086823400003
 01/02  18:00:00,268.360634772,531.3917769980001
 01/02  19:00:00,344.11381221,697.5823007910001
 01/02  20:00:00,351.465607886,548.301015389
 01/02  21:00:00,383.88417119800005,537.578488332
 01/02  22:00:00,374.54249321099996,618.124962486
 01/02  23:00:00,290.132613484,522.118158162
 01/02  24:00:00,199.24398937900003,458.60491339199996
 01/03  01:00:00,146.236132155,207.53219748200002
 01/03  02:00:00,134.978390139,159.42053602
 01/03  03:00:00,124.406383231,153.825221355
 01/03  04:00:00,119.354689174,159.728654883
 01/03  05:00:00,125.55065919200001,193.686111993
 01/03  06:00:00,161.858250351,310.077158905
 01/03  07:00:00,290.190965451,498.284970882
 01/03  08:00:00,375.502348321,860.1894119289999
 01/03  09:00:00,297.947330433,783.744862845
 01/03  10:00:00,260.049119093,680.895151309
 01/03  11:00:00,205.376310346,611.968760063
 01/03  12:00:00,210.379207566,522.1500719430001
 01/03  13:00:00,204.5118756,469.30692392199995
 01/03  14:00:00,192.068728119,474.82211804699995
 01/03  15:00:00,187.996007325,464.70191491800006
 01/03  16:00:00,189.31545387900002,446.66876030699996
 01/03  17:00:00,220.94009267299998,442.73411046300004
 01/03  18:00:00,275.854449133,516.5263184190001
 01/03  19:00:00,346.458398294,711.082362012
 01/03  20:00:00,349.99499594699995,624.6867842280001
 01/03  21:00:00,379.895478468,636.844836216
 01/03  22:00:00,369.70133112699995,780.8663320589999
 01/03  23:00:00,284.54612566099996,671.279374281
 01/03  24:00:00,192.81948013099998,546.09106581
 01/04  01:00:00,139.039817333,234.17452051700002
 01/04  02:00:00,126.996248923,177.613710186
 01/04  03:00:00,116.900666448,169.735144398
 01/04  04:00:00,115.16212892600001,171.15051208
 01/04  05:00:00,122.514705119,203.198360286
 01/04  06:00:00,158.475009509,315.219249428
 01/04  07:00:00,284.921842908,502.441903033
 01/04  08:00:00,371.139085545,881.640687377
 01/04  09:00:00,292.6642256,812.3426654210001
 01/04  10:00:00,249.50017951400002,732.733081454
 01/04  11:00:00,188.11105492599998,681.248616105
 01/04  12:00:00,188.76801750599998,617.0134054069999
 01/04  13:00:00,194.192315664,606.756433343
 01/04  14:00:00,185.38040785299998,594.71498545
 01/04  15:00:00,181.616390691,582.5492828619999
 01/04  16:00:00,180.76988324400003,574.634181386
 01/04  17:00:00,207.194984335,542.492066159
 01/04  18:00:00,265.14232987599996,589.088537943
 01/04  19:00:00,339.64264184,778.406276515
 01/04  20:00:00,347.90452642199995,635.600453874
 01/04  21:00:00,379.689574929,623.868907001
 01/04  22:00:00,369.37808089699996,749.391693485
 01/04  23:00:00,284.992784739,627.843982011
 01/04  24:00:00,195.721773776,489.401482134
 01/05  01:00:00,142.739874524,214.96534281900003
 01/05  02:00:00,129.641398661,170.075596336
 01/05  03:00:00,119.190582259,165.825948119
 01/05  04:00:00,118.00702155799999,159.673062136
 01/05  05:00:00,126.80261092100001,195.830171095
 01/05  06:00:00,163.742541724,309.586190944
 01/05  07:00:00,290.937372343,499.23405201
 01/05  08:00:00,377.033938448,823.8815056010001
 01/05  09:00:00,297.955869177,731.1931871419999
 01/05  10:00:00,253.117430055,664.401289358
 01/05  11:00:00,193.00305045099998,625.66319256
 01/05  12:00:00,189.871125592,547.417596476
 01/05  13:00:00,190.57443310099998,536.294850905
 01/05  14:00:00,180.44972008,532.148525521
 01/05  15:00:00,181.068934492,516.09779318
 01/05  16:00:00,179.724514673,526.922742826
 01/05  17:00:00,208.945742789,485.803321448
 01/05  18:00:00,268.48215253,511.44508495599996
 01/05  19:00:00,343.638053347,694.645037818
 01/05  20:00:00,350.334114746,572.824495749
 01/05  21:00:00,382.20673327,558.936634227
 01/05  22:00:00,372.350769753,693.596288462
 01/05  23:00:00,287.54294609,586.006024681
 01/05  24:00:00,198.272088795,441.206928287
 01/06  01:00:00,145.57437807899998,205.87225915599998
 01/06  02:00:00,132.316969171,160.145192157
 01/06  03:00:00,130.80617559,162.575909249
 01/06  04:00:00,140.796390043,154.35353800200002
 01/06  05:00:00,141.765781366,192.84979883900002
 01/06  06:00:00,174.833082025,308.99907961
 01/06  07:00:00,303.67842897599996,501.37689044300004
 01/06  08:00:00,366.679774365,848.647040492
 01/06  09:00:00,280.290633362,746.932410408
 01/06  10:00:00,249.422741253,662.358703544
 01/06  11:00:00,208.533811623,605.054401424
 01/06  12:00:00,222.236565478,514.204584957
 01/06  13:00:00,235.727604277,496.739398886
 01/06  14:00:00,232.49956245299998,484.847454874
 01/06  15:00:00,234.34568484599998,474.83376845699996
 01/06  16:00:00,231.188078217,470.047653922
 01/06  17:00:00,244.906296935,442.505529403
 01/06  18:00:00,287.61201211599996,484.582256907
 01/06  19:00:00,355.806193272,703.352924509
 01/06  20:00:00,360.35711605800003,588.474327422
 01/06  21:00:00,388.74238629900003,617.911865916
 01/06  22:00:00,375.65210064400003,785.6452665639999
 01/06  23:00:00,288.18448266,698.619341403
 01/06  24:00:00,195.962032137,578.6806385790001
 01/07  01:00:00,145.692058269,232.43401754599998
 01/07  02:00:00,140.47720977,176.953292746
 01/07  03:00:00,118.856655886,168.224048541
