Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,18.8050521338,84.6442903791
 01/01  02:00:00,17.9025669173,71.66889484069999
 01/01  03:00:00,17.6722552625,73.0285164253
 01/01  04:00:00,17.5414733639,73.7719966172
 01/01  05:00:00,19.5682745956,73.2420961178
 01/01  06:00:00,23.9825695354,75.01282866359999
 01/01  07:00:00,29.1911158782,87.34223283360001
 01/01  08:00:00,32.070238023099996,94.617969894
 01/01  09:00:00,24.5997374027,97.22789376530001
 01/01  10:00:00,21.638143993200003,90.7326434117
 01/01  11:00:00,18.8507376735,92.3246993173
 01/01  12:00:00,18.997749438699998,88.51714995489999
 01/01  13:00:00,18.7607250891,83.4420046008
 01/01  14:00:00,18.268176861300002,80.5916647814
 01/01  15:00:00,17.7906552419,70.3955818447
 01/01  16:00:00,19.029541735,68.6088402093
 01/01  17:00:00,27.689411374400002,80.5006636401
 01/01  18:00:00,39.3451538153,83.858704556
 01/01  19:00:00,41.4354740004,81.3729412716
 01/01  20:00:00,40.5909682366,84.31398846340001
 01/01  21:00:00,40.3508802568,89.0704753057
 01/01  22:00:00,35.160008844000004,94.9440651666
 01/01  23:00:00,28.4621691279,100.222264667
 01/01  24:00:00,22.835651321799997,103.173158218
 01/02  01:00:00,19.3329480958,104.24577761299999
 01/02  02:00:00,18.8149574158,104.765075956
 01/02  03:00:00,18.6722966277,108.74170509
 01/02  04:00:00,18.6328517483,110.280392244
 01/02  05:00:00,20.793578834,111.73792226299999
 01/02  06:00:00,25.346721295300004,116.031275243
 01/02  07:00:00,30.494328822399996,125.09991374299999
 01/02  08:00:00,33.4588231201,126.652754091
 01/02  09:00:00,27.4604966459,128.982327274
 01/02  10:00:00,24.467377675500003,121.003830085
 01/02  11:00:00,20.8791540375,100.33440808799999
 01/02  12:00:00,20.724357156,87.1567024522
 01/02  13:00:00,20.4672239712,86.22349977350001
 01/02  14:00:00,19.994743309300002,78.41180601810001
 01/02  15:00:00,19.44041689,65.7217754843
 01/02  16:00:00,20.6398700628,62.687085588500004
 01/02  17:00:00,29.0959784541,67.7822161158
 01/02  18:00:00,39.0141228881,66.3989245511
 01/02  19:00:00,40.8799978168,63.5216604151
 01/02  20:00:00,39.897297349,62.1688641543
 01/02  21:00:00,39.4989425802,61.7491141475
 01/02  22:00:00,34.0737287164,59.4962281961
 01/02  23:00:00,27.281126906300003,61.4568483295
 01/02  24:00:00,21.5584439952,60.876739177
 01/03  01:00:00,18.0110452013,60.4540678185
 01/03  02:00:00,17.4893447352,61.3398196403
 01/03  03:00:00,17.2029653199,60.6090125899
 01/03  04:00:00,17.0570220808,60.4435697022
 01/03  05:00:00,19.076512766700002,59.3411955416
 01/03  06:00:00,23.50077776,61.20348443
 01/03  07:00:00,28.6550976675,71.6210485761
 01/03  08:00:00,31.534327318699997,71.9196333732
 01/03  09:00:00,25.555584513000003,71.91097367479999
 01/03  10:00:00,22.555012393400002,63.7086565323
 01/03  11:00:00,19.4444845104,56.2683984876
 01/03  12:00:00,19.454240524,49.2750034597
 01/03  13:00:00,19.0425666586,45.0723831611
 01/03  14:00:00,18.6580227461,41.0708411476
 01/03  15:00:00,18.4187026587,37.474632341799996
 01/03  16:00:00,19.705466102,36.7873142581
 01/03  17:00:00,28.092594651,39.6074990767
 01/03  18:00:00,38.1038809905,41.6241459321
 01/03  19:00:00,40.0880689043,42.3331206292
 01/03  20:00:00,39.1555615216,42.3315061929
 01/03  21:00:00,38.776223561100004,42.3017301107
 01/03  22:00:00,33.3934148346,41.239106018200005
 01/03  23:00:00,26.6410114997,44.209760681000006
 01/03  24:00:00,20.9296397532,43.7196943255
 01/04  01:00:00,17.4073527236,43.816344093999994
 01/04  02:00:00,16.9158637926,45.4000341121
 01/04  03:00:00,16.7057162348,46.979865205299994
 01/04  04:00:00,16.631305749000003,49.002639609
 01/04  05:00:00,18.8066217387,52.7188199542
 01/04  06:00:00,23.430072093000003,60.748816787200006
 01/04  07:00:00,28.8102443496,78.0977939454
 01/04  08:00:00,31.6869271977,77.7394538193
 01/04  09:00:00,25.5856854044,73.1019750651
 01/04  10:00:00,22.602838405700002,65.3923550641
 01/04  11:00:00,19.726430561,64.6467345967
 01/04  12:00:00,19.9985555012,64.6936996013
 01/04  13:00:00,19.7176466134,63.878528198400005
 01/04  14:00:00,19.4375673123,62.116081468000004
 01/04  15:00:00,19.2984132717,60.79990726810001
 01/04  16:00:00,20.6411767122,61.478258279799995
 01/04  17:00:00,28.9064606781,61.115917638999996
 01/04  18:00:00,38.7926192231,59.533997979
 01/04  19:00:00,40.684166129699996,57.6712996745
 01/04  20:00:00,39.7006707297,56.448262141499995
 01/04  21:00:00,39.397087232800004,59.024152979700006
 01/04  22:00:00,34.053827730100004,59.41804487939999
 01/04  23:00:00,27.2757009802,61.8921211067
 01/04  24:00:00,21.5814253315,62.2084229279
 01/05  01:00:00,18.0585580656,62.5346425918
 01/05  02:00:00,17.5559597545,63.9134429639
 01/05  03:00:00,17.3270694104,65.0086601633
 01/05  04:00:00,17.2245023646,66.1927036778
 01/05  05:00:00,19.2678731899,65.6335876933
 01/05  06:00:00,23.7075404465,67.79107796699999
 01/05  07:00:00,28.9061289748,79.4469523747
 01/05  08:00:00,31.845943958299998,81.5165761284
 01/05  09:00:00,26.0526394552,86.8687877013
 01/05  10:00:00,23.2972206879,85.5590720404
 01/05  11:00:00,20.3541005677,82.5861348729
 01/05  12:00:00,20.516993500999998,79.6754522771
 01/05  13:00:00,20.2034333539,77.8098822623
 01/05  14:00:00,19.9200094766,75.9281736345
 01/05  15:00:00,19.7674364729,74.3913312194
 01/05  16:00:00,21.04234332,73.184275725
 01/05  17:00:00,29.299839276,72.5875443791
 01/05  18:00:00,39.193948422300004,71.0375327763
 01/05  19:00:00,41.1088739941,69.8512394706
 01/05  20:00:00,40.127962948800004,68.6812149997
 01/05  21:00:00,39.670653656599995,66.4658069346
 01/05  22:00:00,34.2284430058,63.787842823199995
 01/05  23:00:00,27.443370007,66.1238948887
 01/05  24:00:00,21.712039833600002,65.3421267579
 01/06  01:00:00,18.119399419,63.454666061400005
 01/06  02:00:00,17.5680864027,63.3489217929
 01/06  03:00:00,17.3471634855,64.9238618882
 01/06  04:00:00,17.2446104166,66.29627730819999
 01/06  05:00:00,19.2881928606,65.9012805821
 01/06  06:00:00,23.7112102768,67.6484142445
 01/06  07:00:00,28.862208464200002,77.8815722483
 01/06  08:00:00,31.7555750325,78.5134757591
 01/06  09:00:00,25.916822477100002,82.4449689247
 01/06  10:00:00,23.1088217998,79.6674168112
 01/06  11:00:00,20.0190656244,72.47796684069999
 01/06  12:00:00,20.0913709322,66.7540441325
 01/06  13:00:00,19.7434268729,64.1253581334
 01/06  14:00:00,19.4189827401,61.418943946000006
 01/06  15:00:00,19.056466510299998,54.1187003763
 01/06  16:00:00,20.1489875991,48.154556326999995
