Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,174.730179308,362.32722863199996
 01/01  02:00:00,156.755059556,181.108371676
 01/01  03:00:00,166.474790307,275.895619407
 01/01  04:00:00,157.846646735,183.7437878
 01/01  05:00:00,166.841476118,271.31861482799997
 01/01  06:00:00,157.089281644,172.1450459
 01/01  07:00:00,165.69358144,259.004125578
 01/01  08:00:00,155.665233844,187.679399945
 01/01  09:00:00,138.817915944,237.79653540900003
 01/01  10:00:00,127.00050801200001,125.714597704
 01/01  11:00:00,133.41561978200002,202.648947434
 01/01  12:00:00,138.245454281,155.79570597
 01/01  13:00:00,135.67870178,199.83962697599998
 01/01  14:00:00,120.15654707,132.406073658
 01/01  15:00:00,122.976215059,135.479854106
 01/01  16:00:00,127.260885128,83.5817353651
 01/01  17:00:00,140.820954334,151.89675456700002
 01/01  18:00:00,146.920788956,132.624964729
 01/01  19:00:00,145.616427674,218.163235079
 01/01  20:00:00,154.800843349,171.263215626
 01/01  21:00:00,160.308456104,303.033645573
 01/01  22:00:00,170.964245586,304.941971222
 01/01  23:00:00,171.259097385,432.33175676699994
 01/01  24:00:00,172.45214638299998,316.74567578799997
 01/02  01:00:00,169.29606722,431.633722609
 01/02  02:00:00,171.87618605,322.574257745
 01/02  03:00:00,169.396331933,437.132840799
 01/02  04:00:00,171.961391948,349.013558154
 01/02  05:00:00,169.895754738,444.24992505
 01/02  06:00:00,172.76389673,353.66228250800003
 01/02  07:00:00,197.460589657,3257.17656604
 01/02  08:00:00,374.773849959,2906.12099003
 01/02  09:00:00,448.906939944,2699.59207562
 01/02  10:00:00,448.17031617,2545.67085632
 01/02  11:00:00,452.890935296,2274.06034565
 01/02  12:00:00,453.395947464,2031.15389726
 01/02  13:00:00,452.27032329900004,1900.23524266
 01/02  14:00:00,446.181174203,1752.19131272
 01/02  15:00:00,446.010428177,1649.65958166
 01/02  16:00:00,438.091184288,1565.5385324000001
 01/02  17:00:00,436.179546059,1506.14163622
 01/02  18:00:00,371.47931841900004,1646.91187569
 01/02  19:00:00,371.476200618,1624.97262139
 01/02  20:00:00,371.859019605,1573.52675177
 01/02  21:00:00,371.82554082900003,1573.11615686
 01/02  22:00:00,119.304154732,26.3139493362
 01/02  23:00:00,119.565310006,10.058438079
 01/02  24:00:00,123.73102909299999,24.808573317399997
 01/03  01:00:00,121.62675810399999,16.1928675311
 01/03  02:00:00,122.694709594,35.5733764813
 01/03  03:00:00,125.594401315,27.5585323329
 01/03  04:00:00,126.666265557,42.090876915500004
 01/03  05:00:00,129.556875958,49.53729258
 01/03  06:00:00,138.309831167,56.6241309318
 01/03  07:00:00,197.431445231,2279.05697699
 01/03  08:00:00,372.724712719,1824.32356305
 01/03  09:00:00,446.031670564,1542.48888393
 01/03  10:00:00,445.964478882,1426.55633042
 01/03  11:00:00,451.922274642,1329.2197647
 01/03  12:00:00,452.93415241599996,1247.50070744
 01/03  13:00:00,451.895043392,1213.51136462
 01/03  14:00:00,445.597981638,1168.54694718
 01/03  15:00:00,445.378477095,1133.71036341
 01/03  16:00:00,437.17170928400003,1015.81158161
 01/03  17:00:00,435.13757785900003,932.2308426019999
 01/03  18:00:00,370.928801185,1103.81118418
 01/03  19:00:00,371.174684502,1137.73047017
 01/03  20:00:00,371.15256038800004,1120.33164487
 01/03  21:00:00,371.158619433,1134.89398062
 01/03  22:00:00,118.24453701600001,13.7069414314
 01/03  23:00:00,118.926662271,14.0465643018
 01/03  24:00:00,120.406350402,14.3907760554
 01/04  01:00:00,118.984488641,5.90499948795
 01/04  02:00:00,119.353837319,6.28898524199
 01/04  03:00:00,121.91413586899999,15.8809349543
 01/04  04:00:00,122.20909913,8.21845818424
 01/04  05:00:00,122.489154126,9.90336932104
 01/04  06:00:00,126.797854034,22.6448984189
 01/04  07:00:00,196.581430238,2423.32639407
 01/04  08:00:00,372.323437419,2033.38972354
 01/04  09:00:00,445.953649401,1652.62158786
 01/04  10:00:00,445.94963468,1563.98070609
 01/04  11:00:00,451.94018656699996,1549.10340405
 01/04  12:00:00,452.975863445,1491.09479577
 01/04  13:00:00,451.93843398900003,1493.26829205
 01/04  14:00:00,445.960625644,1457.51448195
 01/04  15:00:00,445.93770332400004,1415.90449515
 01/04  16:00:00,438.066307578,1339.07768522
 01/04  17:00:00,436.04518663,1246.66366281
 01/04  18:00:00,371.26584778800003,1371.47614792
 01/04  19:00:00,371.278193716,1388.66328805
