Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,82.5313662482,3.6211898949199997
 01/01  02:00:00,74.95473451470001,3.22203398455
 01/01  03:00:00,88.8591594389,5.662302265730001
 01/01  04:00:00,78.2434369517,3.8578542731199996
 01/01  05:00:00,93.9408527123,6.66708989255
 01/01  06:00:00,81.50266364390001,4.62770695776
 01/01  07:00:00,96.6270026015,7.35237594632
 01/01  08:00:00,82.821111362,5.0036395338999995
 01/01  09:00:00,84.1017555243,7.67163152975
 01/01  10:00:00,52.437932337,5.0635664005
 01/01  11:00:00,55.2607555247,6.85629708762
 01/01  12:00:00,52.4056656724,3.9046923930800004
 01/01  13:00:00,62.4232882825,5.53114243228
 01/01  14:00:00,45.047904709799994,2.62145537622
 01/01  15:00:00,47.680371001000005,3.79591705019
 01/01  16:00:00,36.6278638557,2.42197649003
 01/01  17:00:00,52.703780071000004,1.4746797175600002
 01/01  18:00:00,64.5764569443,0.972912802578
 01/01  19:00:00,73.6613215715,2.6516361437700002
 01/01  20:00:00,68.0347530138,1.25365594689
 01/01  21:00:00,76.62978033350001,3.3091759611500002
 01/01  22:00:00,70.83026365100001,1.91791964812
 01/01  23:00:00,79.5613738614,4.16016776069
 01/01  24:00:00,71.9529353507,2.36547502655
 01/02  01:00:00,83.5727313237,4.50802564737
 01/02  02:00:00,76.1718646855,2.65629244778
 01/02  03:00:00,84.9243241295,4.904387097869999
 01/02  04:00:00,78.0006853173,3.0764842746700003
 01/02  05:00:00,87.9516631113,5.5336519923
 01/02  06:00:00,84.2265052211,3.6581785439699996
 01/02  07:00:00,301.41280805099996,2.04501912848
 01/02  08:00:00,265.597755855,65.6725767947
 01/02  09:00:00,257.016670101,58.5593830191
 01/02  10:00:00,208.839673075,50.8212034677
 01/02  11:00:00,193.35503689400002,39.5801255815
 01/02  12:00:00,185.38245728799998,35.6465029801
 01/02  13:00:00,179.76849648400002,34.10126136
 01/02  14:00:00,167.568449297,31.506841829699997
 01/02  15:00:00,154.072532489,24.4383680998
 01/02  16:00:00,143.064737753,22.356363336199998
 01/02  17:00:00,152.651299276,22.8441448189
 01/02  18:00:00,166.99502343,25.767595611599997
 01/02  19:00:00,142.998727492,28.6873276875
 01/02  20:00:00,144.892613651,28.1833027986
 01/02  21:00:00,139.999917458,26.603883168200003
