Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,5.551347034909999,2.44317235088
 01/01  02:00:00,5.354343709519999,1.76033788164
 01/01  03:00:00,5.6359249448,1.8251561179799998
 01/01  04:00:00,5.354343709519999,1.81062669267
 01/01  05:00:00,5.6359249448,2.37333726009
 01/01  06:00:00,5.354343709519999,2.02636370505
 01/01  07:00:00,5.6359249448,3.3384320963599996
 01/01  08:00:00,5.354343709519999,2.20032391565
 01/01  09:00:00,3.3329249448000002,1.71813352189
 01/01  10:00:00,3.0142978348500002,1.3994044598
 01/01  11:00:00,3.25883319546,1.8542468920099997
 01/01  12:00:00,3.1254354588599997,0.947868667605
 01/01  13:00:00,2.96246619811,1.05139368805
 01/01  14:00:00,2.7553962111000003,0.687580033026
 01/01  15:00:00,2.82689769446,0.322434409924
 01/01  16:00:00,2.89232973754,0.7655997642919999
 01/01  17:00:00,3.38182725453,1.1881835045
 01/01  18:00:00,5.49169673489,1.18163764061
 01/01  19:00:00,5.498571919430001,2.13250594942
 01/01  20:00:00,5.49169673489,2.18629165737
 01/01  21:00:00,5.498571919430001,2.2552761242700003
 01/01  22:00:00,5.66105241585,2.71927659899
 01/01  23:00:00,5.77377490098,3.4804179352999998
 01/01  24:00:00,5.8939164771599994,3.27441989005
 01/02  01:00:00,6.3661191836199995,3.95329139896
 01/02  02:00:00,6.465091299680001,4.1891574599800006
 01/02  03:00:00,6.387288643740001,4.40860707604
 01/02  04:00:00,6.465091299680001,5.1112733740900005
 01/02  05:00:00,6.387288643740001,5.80932802045
 01/02  06:00:00,6.74009398088,5.03469599568
 01/02  07:00:00,7.250581266539999,30.9620206402
 01/02  08:00:00,8.35059199134,31.485499505900002
 01/02  09:00:00,12.097650977699999,19.660439465499998
 01/02  10:00:00,12.097650977699999,13.7510625099
 01/02  11:00:00,12.097650977699999,10.9021718584
 01/02  12:00:00,12.097650977699999,11.173840461800001
 01/02  13:00:00,11.5476456153,12.695381304400001
 01/02  14:00:00,12.097650977699999,9.28641172407
 01/02  15:00:00,12.097650977699999,7.701300779089999
