Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,90.0039684716,57.0339706521
 01/01  02:00:00,90.421247174,70.6520280644
 01/01  03:00:00,88.0632653141,66.3661489008
 01/01  04:00:00,92.9290106568,98.0195899191
 01/01  05:00:00,97.86105591399999,84.2393400423
 01/01  06:00:00,95.48223642030001,77.07693776229999
 01/01  07:00:00,121.93373072799999,634.90819692
 01/01  08:00:00,120.88729634399999,579.821998702
 01/01  09:00:00,153.022949635,496.165360179
 01/01  10:00:00,125.563059793,473.977823344
 01/01  11:00:00,160.21894498,440.056554091
 01/01  12:00:00,191.652317449,416.58396470199995
 01/01  13:00:00,198.832288304,383.98257712599997
 01/01  14:00:00,196.036032673,375.05784427199995
 01/01  15:00:00,192.266577448,376.971413649
 01/01  16:00:00,188.867595953,372.544648491
 01/01  17:00:00,195.67322135900002,365.877310394
 01/01  18:00:00,174.039991339,426.446019474
 01/01  19:00:00,180.51602226400001,437.642246802
 01/01  20:00:00,160.619051425,427.68241954800004
 01/01  21:00:00,151.850917901,429.369108889
 01/01  22:00:00,137.59573537,386.94193195800005
 01/01  23:00:00,77.0837800354,1.77125
 01/01  24:00:00,112.859670326,1.77125
 01/02  01:00:00,96.2937201158,35.0059326141
 01/02  02:00:00,90.14870505420001,34.319472365799996
 01/02  03:00:00,87.49279891229999,25.1968047025
 01/02  04:00:00,91.58517809690001,35.811343841799996
 01/02  05:00:00,99.63486275870001,32.4354678948
 01/02  06:00:00,95.7813323513,25.2452552022
 01/02  07:00:00,137.32167974200001,437.876704069
 01/02  08:00:00,138.033167419,386.75373979
 01/02  09:00:00,211.278652579,342.986342343
 01/02  10:00:00,236.247231314,323.59196852599996
 01/02  11:00:00,223.972048937,322.029295156
 01/02  12:00:00,253.54337453099998,319.64003427
 01/02  13:00:00,233.131559848,308.04552129
 01/02  14:00:00,230.062299768,303.732425196
 01/02  15:00:00,226.145416567,305.55931366
 01/02  16:00:00,222.667012385,309.96915904900004
 01/02  17:00:00,229.421359422,317.30494541400003
 01/02  18:00:00,236.152269455,323.992254047
 01/02  19:00:00,235.529221805,334.91691204200004
 01/02  20:00:00,219.195058028,351.639249086
 01/02  21:00:00,194.39756250599999,369.86503855300003
 01/02  22:00:00,137.486610297,352.28127684599997
 01/02  23:00:00,79.2305142704,2.355
 01/02  24:00:00,115.09191864200001,3.4993420178900005
 01/03  01:00:00,96.00668631200001,38.8652799563
 01/03  02:00:00,90.9364726873,43.7305565375
 01/03  03:00:00,89.6218612717,39.6396980834
 01/03  04:00:00,94.0246071032,47.056356530200006
 01/03  05:00:00,114.98596388700001,58.7061416513
 01/03  06:00:00,112.452211971,47.357575882
 01/03  07:00:00,152.84132015,536.45311841
 01/03  08:00:00,144.346543516,491.78791968900003
 01/03  09:00:00,208.125660846,446.96895498
 01/03  10:00:00,232.094112722,395.502654009
 01/03  11:00:00,222.29462738400002,374.058626377
 01/03  12:00:00,253.185770897,356.407096201
 01/03  13:00:00,232.91182419,347.818955625
 01/03  14:00:00,229.56451614,339.41311361099997
 01/03  15:00:00,225.74198228900002,334.570006615
 01/03  16:00:00,222.323618736,330.36896090700003
 01/03  17:00:00,229.109434968,335.524493358
 01/03  18:00:00,235.852924141,350.41602313
 01/03  19:00:00,235.345575974,373.21782439599997
 01/03  20:00:00,212.500579486,388.609629238
