Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.569683660399999,0.0
 01/02  04:00:00,12.569683660399999,0.0
 01/02  05:00:00,12.569683660399999,0.0
 01/02  06:00:00,12.569683660399999,0.0
 01/02  07:00:00,25.6319958023,84.4512361283
 01/02  08:00:00,27.972685585100002,52.1298431218
 01/02  09:00:00,40.1427151524,35.1753206713
 01/02  10:00:00,57.6894267751,15.878278737899999
 01/02  11:00:00,57.611517278,8.42770068611
 01/02  12:00:00,57.541416634799994,3.0213783883
 01/02  13:00:00,57.5779027091,7.082930277939999
 01/02  14:00:00,57.6294287384,14.757599042799999
 01/02  15:00:00,57.6746819151,21.970457450500003
 01/02  16:00:00,57.6863659283,26.2709017584
 01/02  17:00:00,61.866764786000005,30.6813201039
 01/02  18:00:00,66.0600284553,38.913031218600004
 01/02  19:00:00,53.4639315702,48.9751470066
 01/02  20:00:00,53.5257960133,57.889897601099996
 01/02  21:00:00,48.5523313118,64.416180525
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.569683660399999,0.0
 01/03  03:00:00,12.569683660399999,0.0
 01/03  04:00:00,12.569683660399999,0.0
 01/03  05:00:00,12.569683660399999,0.0
 01/03  06:00:00,12.569683660399999,0.0
 01/03  07:00:00,26.166776116100003,145.491791399
 01/03  08:00:00,28.3918422862,108.71446817100001
 01/03  09:00:00,40.595837980300004,95.6769079426
 01/03  10:00:00,58.14740503350001,75.68178613010001
 01/03  11:00:00,58.0742695364,70.4465709534
 01/03  12:00:00,58.0847810963,66.6295633716
 01/03  13:00:00,58.0774425188,66.983699899
 01/03  14:00:00,58.0656027904,65.6594855662
 01/03  15:00:00,58.0807711643,64.9946412564
 01/03  16:00:00,58.052710910100004,61.690775779300004
 01/03  17:00:00,62.161839065500004,66.3408799349
 01/03  18:00:00,66.4079233243,74.41210183310001
 01/03  19:00:00,53.7807065234,78.735008545
 01/03  20:00:00,53.7694659439,84.57796426680001
 01/03  21:00:00,48.7621332413,87.5532346791
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.575721916800001,0.0
 01/04  05:00:00,12.598644972799999,0.0
 01/04  06:00:00,12.6791546785,0.530088955908
 01/04  07:00:00,26.4327442363,176.426760883
 01/04  08:00:00,28.546858340300002,131.952501823
 01/04  09:00:00,40.5458993148,112.46534028
 01/04  10:00:00,58.1445012272,91.90757419149999
 01/04  11:00:00,58.1356986203,86.3025251915
 01/04  12:00:00,58.0629709249,74.2266379166
 01/04  13:00:00,58.052232882,72.4367946501
 01/04  14:00:00,58.036197001800005,69.411388047
 01/04  15:00:00,58.0356200242,68.8832594367
 01/04  16:00:00,58.0415815918,67.7124360662
 01/04  17:00:00,62.1916853136,69.4339792391
 01/04  18:00:00,66.3521236622,74.0732571591
 01/04  19:00:00,53.732267113199995,78.6372846853
 01/04  20:00:00,53.823032443,85.8711469659
 01/04  21:00:00,48.829562611099995,88.9825026289
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.5714683818,0.0
 01/05  04:00:00,12.600987158599999,0.0
 01/05  05:00:00,12.683273248499999,0.542379245255
 01/05  06:00:00,12.7454517351,1.17300296126
 01/05  07:00:00,26.534582718200003,188.377118226
 01/05  08:00:00,28.752230469,144.999400296
 01/05  09:00:00,40.8996897015,127.80789894700001
 01/05  10:00:00,58.4643809541,110.29432459899999
 01/05  11:00:00,58.4246395407,107.30995448700001
 01/05  12:00:00,58.3685776253,99.4168770421
 01/05  13:00:00,58.3276100167,94.0394703943
 01/05  14:00:00,58.228784334,89.3022770108
 01/05  15:00:00,58.195083042,87.8741370342
 01/05  16:00:00,58.1796988829,84.28707115510001
 01/05  17:00:00,62.3397779581,89.0348537724
 01/05  18:00:00,66.5248680156,95.93176009540001
 01/05  19:00:00,53.88842807060001,100.366879065
 01/05  20:00:00,53.974191213199994,110.630858115
 01/05  21:00:00,48.9872000941,116.095579942
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.6251654306,0.33606269999399996
 01/06  02:00:00,12.7063898402,1.12571430949
 01/06  03:00:00,12.766433007,1.92252674944
 01/06  04:00:00,12.8163174935,2.76687684094
 01/06  05:00:00,12.8825710981,3.99832638149
