Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,107.52828365799999,101.42189024700001
 01/02  02:00:00,98.2132790073,85.5645871881
 01/02  03:00:00,116.597706229,108.09574443
 01/02  04:00:00,101.228195051,91.47791101879999
 01/02  05:00:00,144.82090604,131.36973714299998
 01/02  06:00:00,174.005044475,192.302217874
 01/02  07:00:00,233.709129875,208.73261755400003
 01/02  08:00:00,242.404835687,195.06862120099998
 01/02  09:00:00,241.866878661,180.00142263
 01/02  10:00:00,248.7803874,169.41558907799998
 01/02  11:00:00,246.85966039299998,146.035385477
 01/02  12:00:00,246.428321235,140.181476633
 01/02  13:00:00,233.962772106,122.429697109
 01/02  14:00:00,242.80899468,126.52019851600001
 01/02  15:00:00,241.415441157,123.422973214
 01/02  16:00:00,238.925890056,117.26672951399999
 01/02  17:00:00,246.42977719,134.868870029
 01/02  18:00:00,252.430181912,135.29899117600002
 01/02  19:00:00,158.273248359,88.08743124530001
 01/02  20:00:00,157.283946327,91.32248176200001
 01/02  21:00:00,138.54630101200001,104.78161018
 01/02  22:00:00,119.227808868,90.8317237585
 01/02  23:00:00,92.9705514778,80.5174200007
 01/02  24:00:00,111.14962505700001,105.355410831
 01/03  01:00:00,97.1771248002,95.01565862049999
 01/03  02:00:00,114.912963301,111.35842598
 01/03  03:00:00,100.832095507,91.3131013347
 01/03  04:00:00,118.322227356,111.91673377
 01/03  05:00:00,141.178574173,131.499738281
 01/03  06:00:00,186.620268822,193.247006095
 01/03  07:00:00,233.28215640099998,209.06458660299998
 01/03  08:00:00,243.016561259,193.360469249
 01/03  09:00:00,242.167053387,179.371230646
 01/03  10:00:00,249.57037886900002,172.453326638
 01/03  11:00:00,245.874839733,149.565742287
 01/03  12:00:00,244.021993557,145.85989717299998
 01/03  13:00:00,232.254927059,127.747944659
 01/03  14:00:00,240.474625889,130.192803865
 01/03  15:00:00,238.40245307200001,128.217071181
 01/03  16:00:00,237.417577044,121.69033507600001
 01/03  17:00:00,245.487681082,140.199624126
 01/03  18:00:00,251.68422721299999,141.10140512799998
 01/03  19:00:00,157.396786582,88.7350882603
 01/03  20:00:00,156.578947269,91.54706247629998
 01/03  21:00:00,140.406474061,104.915355154
 01/03  22:00:00,117.90594147700001,90.2390587764
 01/03  23:00:00,96.059636051,79.5109132132
 01/03  24:00:00,108.685490175,101.888946115
 01/04  01:00:00,100.98882100899999,89.67740087290001
 01/04  02:00:00,111.90738690200001,106.98937306
 01/04  03:00:00,103.69538380899999,85.2817266004
 01/04  04:00:00,113.233101659,107.51322767200001
 01/04  05:00:00,142.980853564,121.47512541399999
 01/04  06:00:00,174.058587732,190.21145866700002
 01/04  07:00:00,232.61070054599998,196.16070293400003
 01/04  08:00:00,241.973687302,179.13879812
 01/04  09:00:00,241.944344315,165.416280313
 01/04  10:00:00,247.413687711,159.89851461700002
 01/04  11:00:00,242.863986021,138.451248718
 01/04  12:00:00,240.217128817,134.65380198
 01/04  13:00:00,226.97332364599998,116.257609109
 01/04  14:00:00,235.729089575,118.35004506
 01/04  15:00:00,234.331477426,116.56316601399999
 01/04  16:00:00,233.802924803,107.73276889700001
 01/04  17:00:00,243.914397088,117.77099103399999
 01/04  18:00:00,249.48090698099998,111.17247718700001
 01/04  19:00:00,155.557088631,83.96228611689999
 01/04  20:00:00,155.015589759,89.1364032364
 01/04  21:00:00,134.792297129,102.264767375
 01/04  22:00:00,108.976261835,88.26966528530001
 01/04  23:00:00,81.2323504286,78.3618799605
 01/04  24:00:00,100.112902421,100.03691654
 01/05  01:00:00,88.1322067263,81.4945760767
 01/05  02:00:00,103.95392789700001,111.532576356
 01/05  03:00:00,91.2359695923,83.62827737
 01/05  04:00:00,107.936860063,105.22487347100001
 01/05  05:00:00,128.97534284600002,118.953016385
 01/05  06:00:00,169.37842677700002,187.054271403
 01/05  07:00:00,216.50239282799998,174.695856192
 01/05  08:00:00,229.489136412,154.10485602
 01/05  09:00:00,229.568307672,144.975344227
 01/05  10:00:00,235.66564816099998,146.475122804
 01/05  11:00:00,234.256838327,130.214706289
 01/05  12:00:00,234.131675868,133.197147335
 01/05  13:00:00,219.711372094,120.85104903
 01/05  14:00:00,228.99166884599998,125.91615922
 01/05  15:00:00,228.24329306799999,123.968859257
 01/05  16:00:00,223.69145578799998,118.713567357
 01/05  17:00:00,230.31555758,128.80366537
 01/05  18:00:00,236.240632279,119.549084666
 01/05  19:00:00,141.810718705,87.2018582831
 01/05  20:00:00,142.642998767,91.6206868909
 01/05  21:00:00,121.51854912,104.464213571
 01/05  22:00:00,100.21402896,89.8433021131
 01/05  23:00:00,76.7654210637,79.5033309361
 01/05  24:00:00,89.87377786120001,100.84902788
 01/06  01:00:00,84.6286778321,90.4368769755
 01/06  02:00:00,94.590441724,103.34032011
 01/06  03:00:00,89.0382834001,83.9113588389
 01/06  04:00:00,97.4708814395,105.577359413
 01/06  05:00:00,123.73252236299999,119.48334969999999
 01/06  06:00:00,153.811085249,187.849765805
 01/06  07:00:00,211.92425832400002,172.054380458
 01/06  08:00:00,225.42092864,156.037087514
 01/06  09:00:00,225.94909968599998,147.049290708
 01/06  10:00:00,232.817370735,145.03637145
 01/06  11:00:00,229.817969925,125.34269101
 01/06  12:00:00,229.40746555400003,130.19539006
 01/06  13:00:00,217.860767799,120.52420271
 01/06  14:00:00,227.96562527400002,127.741296655
 01/06  15:00:00,228.85501834099998,128.012839203
 01/06  16:00:00,233.05622904700002,121.33358947299999
 01/06  17:00:00,244.205076383,132.800434293
 01/06  18:00:00,252.004576652,125.729056253
 01/06  19:00:00,156.986282738,87.4172598501
 01/06  20:00:00,157.925753605,91.2720256419
 01/06  21:00:00,137.440995321,104.237259191
 01/06  22:00:00,113.434393342,89.67797034350001
 01/06  23:00:00,90.3646886491,79.63985670560001
 01/06  24:00:00,107.526361451,102.274210771
 01/07  01:00:00,94.9982486767,92.0136990031
 01/07  02:00:00,112.83738877100001,105.498579047
 01/07  03:00:00,98.10672192879998,86.1149869604
 01/07  04:00:00,116.85426207799999,108.512408965
 01/07  05:00:00,124.440820945,127.67448492700001
 01/07  06:00:00,130.958287567,129.036403761
 01/07  07:00:00,158.88909036799998,166.831568075
 01/07  08:00:00,227.61464667299998,224.068013575
 01/07  09:00:00,211.646126234,211.072160726
 01/07  10:00:00,226.992213015,191.274849552
 01/07  11:00:00,222.140531846,180.95159047799999
 01/07  12:00:00,219.22125142099998,179.504577195
 01/07  13:00:00,207.528285962,163.329643459
 01/07  14:00:00,204.54883723,159.109683885
 01/07  15:00:00,201.28864777299998,155.982102147
 01/07  16:00:00,160.259436535,104.681029932
 01/07  17:00:00,168.684399049,123.50721824
 01/07  18:00:00,165.32709278,126.443292835
 01/07  19:00:00,130.549813042,109.85225650299999
 01/07  20:00:00,133.985236517,111.876827371
 01/07  21:00:00,118.527990732,120.53356327899999
 01/07  22:00:00,108.871614926,100.967246253
 01/07  23:00:00,98.0314400445,85.95038166629999
 01/07  24:00:00,115.01483638100001,108.426003725
 01/08  01:00:00,99.0242836977,88.5652299567
 01/08  02:00:00,116.580486485,111.71627745299999
 01/08  03:00:00,101.180306125,90.410717441
 01/08  04:00:00,118.896603859,113.501451637
 01/08  05:00:00,103.02714776,91.6405794067
 01/08  06:00:00,121.379583241,114.684001015
 01/08  07:00:00,104.55433045299999,92.5399847106
 01/08  08:00:00,112.895389327,115.515889045
 01/08  09:00:00,114.408580034,90.0399516268
 01/08  10:00:00,129.784661291,108.21553098700001
 01/08  11:00:00,111.007110294,85.0184039042
 01/08  12:00:00,125.90253060200001,101.718686481
 01/08  13:00:00,108.196581077,80.8963183667
 01/08  14:00:00,121.76504664,98.77650192870001
 01/08  15:00:00,102.778218221,80.2466713817
 01/08  16:00:00,116.015593275,99.97413860459999
 01/08  17:00:00,91.2674069227,92.3115648108
 01/08  18:00:00,106.334266115,108.622033341
 01/08  19:00:00,92.9045125186,89.2650762277
 01/08  20:00:00,109.309856116,111.933592227
 01/08  21:00:00,93.5829462265,90.8293261325
 01/08  22:00:00,109.01258995200001,113.340448903
 01/08  23:00:00,91.9714155164,91.71754991709999
 01/08  24:00:00,109.532855134,114.162783103
 01/09  01:00:00,100.329666927,91.0732353203
 01/09  02:00:00,113.56380109,113.160242585
 01/09  03:00:00,94.410439613,91.847318641
 01/09  04:00:00,109.434696445,114.32800193700001
 01/09  05:00:00,125.96500275,130.834136779
 01/09  06:00:00,179.854427737,199.56642160299998
 01/09  07:00:00,223.362590633,172.234743316
 01/09  08:00:00,230.25201088400001,151.19697049799998
 01/09  09:00:00,229.34691100900002,147.90068767100001
 01/09  10:00:00,236.340446297,128.670757796
 01/09  11:00:00,233.47070649,132.436328405
 01/09  12:00:00,231.051729698,118.28635396
 01/09  13:00:00,220.07482558400002,123.22333313899999
 01/09  14:00:00,228.909372985,112.165932462
 01/09  15:00:00,228.00427055900002,120.13377574200001
 01/09  16:00:00,226.36497012700002,110.372984999
 01/09  17:00:00,232.065900006,119.707494395
 01/09  18:00:00,239.490114962,111.49242965799999
 01/09  19:00:00,148.367122459,83.8073538574
 01/09  20:00:00,148.211907105,97.6543988
 01/09  21:00:00,127.227950133,102.606128021
 01/09  22:00:00,102.51127839600001,86.09014831350001
 01/09  23:00:00,74.0062430516,78.4447779546
 01/09  24:00:00,81.6097220357,100.72077993299999
 01/10  01:00:00,70.88305319199999,82.34515990930001
 01/10  02:00:00,80.9648202977,102.508477984
 01/10  03:00:00,76.1010727179,82.9169038151
 01/10  04:00:00,88.4121905782,105.984888682
 01/10  05:00:00,112.19305974299999,118.875006392
 01/10  06:00:00,148.462739728,186.89451692400002
 01/10  07:00:00,197.834380395,159.815041156
