Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,51.8478629879,60.7305901176
 01/01  02:00:00,54.1860149308,70.3481194933
 01/01  03:00:00,51.6015835828,71.8252807435
 01/01  04:00:00,52.8448015528,72.5286355144
 01/01  05:00:00,54.9733551746,71.7359948207
 01/01  06:00:00,59.1704295735,68.910629757
 01/01  07:00:00,77.0686698989,67.0031949089
 01/01  08:00:00,84.0097843129,76.5334642637
 01/01  09:00:00,100.766300058,90.2569563899
 01/01  10:00:00,87.2099429325,91.35964953940001
 01/01  11:00:00,66.09529316,89.7094482782
 01/01  12:00:00,62.859399412100004,87.671903005
 01/01  13:00:00,61.593107185600005,80.8098483767
 01/01  14:00:00,60.9126692768,78.7483935817
 01/01  15:00:00,60.1607338642,78.4073761253
 01/01  16:00:00,60.0671325009,79.9631109304
 01/01  17:00:00,69.8441902866,63.5508176086
 01/01  18:00:00,78.250480155,48.2994263622
 01/01  19:00:00,90.21182200209999,53.8641163461
 01/01  20:00:00,88.8063956556,59.759386391999996
 01/01  21:00:00,93.1590215561,61.561453317600005
 01/01  22:00:00,91.0940217243,63.0380996471
 01/01  23:00:00,72.8542325469,70.3999969618
 01/01  24:00:00,54.9373202713,61.8125133926
 01/02  01:00:00,49.8078461669,63.763395834499995
 01/02  02:00:00,49.761110439899994,64.6017727365
 01/02  03:00:00,49.6313675686,66.60610667739999
 01/02  04:00:00,51.3628262887,63.6433430404
 01/02  05:00:00,53.5553463113,69.3808729541
 01/02  06:00:00,61.3383718474,74.83192520109999
 01/02  07:00:00,85.63719025649999,80.2422119097
 01/02  08:00:00,95.34184190030001,78.8136631464
 01/02  09:00:00,84.63350192109999,81.555403576
 01/02  10:00:00,79.1122588386,85.89864644939999
 01/02  11:00:00,61.397685340200006,74.7920275803
 01/02  12:00:00,58.959911036,69.5819485522
 01/02  13:00:00,56.6314136392,66.3910532047
 01/02  14:00:00,55.379597087,70.40554833510001
 01/02  15:00:00,54.503477125299995,64.0738569303
 01/02  16:00:00,53.7934156935,66.7188318692
 01/02  17:00:00,63.6050791387,52.6800686527
 01/02  18:00:00,75.57927141319999,40.1258837871
 01/02  19:00:00,81.84929308529999,58.8070489534
 01/02  20:00:00,84.2967167789,49.935622958100005
 01/02  21:00:00,92.71102795459998,59.858849138900005
 01/02  22:00:00,87.4348215202,67.40674850069999
 01/02  23:00:00,67.1078957817,66.0624114459
 01/02  24:00:00,52.336867387,63.8515661447
 01/03  01:00:00,49.666361854499996,65.17758839999999
 01/03  02:00:00,50.381359213,67.5522028375
 01/03  03:00:00,49.9124291193,67.7578804072
 01/03  04:00:00,50.762144344,61.8200787759
 01/03  05:00:00,53.7622237635,69.40520752890001
 01/03  06:00:00,61.6920766928,75.2346905661
 01/03  07:00:00,85.6680469142,78.8109656473
 01/03  08:00:00,94.9633011028,78.06323573819999
 01/03  09:00:00,84.1943939201,81.33444905420001
 01/03  10:00:00,79.1522829295,87.0423648634
 01/03  11:00:00,61.1798932692,76.6760873867
 01/03  12:00:00,59.1506766075,73.1441793815
 01/03  13:00:00,57.230126865,69.32154017
 01/03  14:00:00,56.4204250174,67.2562081449
 01/03  15:00:00,55.7054413906,72.8846726548
 01/03  16:00:00,54.744319901000004,68.7603306992
 01/03  17:00:00,64.5013247868,55.4010495792
 01/03  18:00:00,76.6866482684,42.440584868
 01/03  19:00:00,82.8735502971,54.650017928500006
 01/03  20:00:00,85.3480031724,57.6146636082
 01/03  21:00:00,93.45362918040001,60.5372473475
 01/03  22:00:00,87.69244704479999,64.6632973314
 01/03  23:00:00,65.78185291300001,58.915006449799996
 01/03  24:00:00,50.3425262338,56.237594342399994
 01/04  01:00:00,47.314027818599996,58.277258268100006
 01/04  02:00:00,46.9707044271,59.202305042700004
 01/04  03:00:00,46.639512288999995,55.5100059546
 01/04  04:00:00,47.2745967161,61.280410313900006
 01/04  05:00:00,49.26035731939999,60.8914634783
 01/04  06:00:00,56.6643541472,65.8283295846
 01/04  07:00:00,81.3253116947,65.9208829737
 01/04  08:00:00,91.1755808962,74.1715777643
 01/04  09:00:00,80.01219543090001,73.8312214545
 01/04  10:00:00,75.4658449359,80.2477444461
 01/04  11:00:00,58.047404803,70.49997787939999
 01/04  12:00:00,56.5125657928,66.1764024959
 01/04  13:00:00,55.2174806083,62.5528987555
 01/04  14:00:00,54.6778333371,62.062810025
 01/04  15:00:00,53.89286290810001,61.1052801182
 01/04  16:00:00,53.225592593900004,59.6514359663
 01/04  17:00:00,62.1841051142,43.0497431058
 01/04  18:00:00,74.0789396945,27.3112999466
 01/04  19:00:00,80.27138659239999,43.5567775499
 01/04  20:00:00,82.4130619407,31.5805774052
 01/04  21:00:00,90.9135500836,39.4792832663
 01/04  22:00:00,85.5174597883,46.467915762299995
 01/04  23:00:00,61.2723325727,41.6205807578
 01/04  24:00:00,42.5291893284,38.0170675492
 01/05  01:00:00,38.5639725032,40.4496534874
 01/05  02:00:00,38.2281605724,42.1040977835
 01/05  03:00:00,37.5506919229,44.124957003999995
 01/05  04:00:00,38.3820399604,39.7484592255
 01/05  05:00:00,41.08085911,48.5766057157
 01/05  06:00:00,48.7031539202,53.806956838000005
 01/05  07:00:00,74.54231967609999,57.6184163625
 01/05  08:00:00,86.5551932629,53.617580411300004
 01/05  09:00:00,74.5019581454,63.6407116259
 01/05  10:00:00,71.4806184688,73.3954887861
 01/05  11:00:00,55.4146798314,65.5747681587
 01/05  12:00:00,55.3272400208,64.5666673246
 01/05  13:00:00,54.309559156899994,69.0694331821
 01/05  14:00:00,54.2370005047,61.261476967
 01/05  15:00:00,54.0528032203,61.4390595293
 01/05  16:00:00,53.977156199300005,64.4279800213
 01/05  17:00:00,63.033341616099996,47.3677473211
 01/05  18:00:00,73.9444879573,30.4783888666
 01/05  19:00:00,80.0731638939,46.0247160386
 01/05  20:00:00,82.364906645,40.853634613400004
 01/05  21:00:00,91.14121593850001,36.6141828464
 01/05  22:00:00,85.8171180755,49.795946196
 01/05  23:00:00,61.24294359859999,45.632010879300005
 01/05  24:00:00,42.7342467188,40.8338582885
 01/06  01:00:00,39.1495298201,41.3789347257
 01/06  02:00:00,38.7524377975,43.5859527178
 01/06  03:00:00,38.151017095300006,46.3796326111
 01/06  04:00:00,38.3001154182,39.2471842828
 01/06  05:00:00,40.038690981799995,43.828744911
 01/06  06:00:00,47.5214376661,48.7336950837
 01/06  07:00:00,73.9949512413,55.9428026259
 01/06  08:00:00,86.44539555989999,54.6858705274
 01/06  09:00:00,73.9364549605,64.72669322760001
 01/06  10:00:00,71.0522265736,72.9834064609
 01/06  11:00:00,53.497780433,69.9145973359
 01/06  12:00:00,53.8119110563,63.7576666387
 01/06  13:00:00,53.522283574700005,63.1232238319
 01/06  14:00:00,53.60138780850001,62.084998405200004
 01/06  15:00:00,53.7570284027,62.9406338533
 01/06  16:00:00,53.724617041,65.8256914115
 01/06  17:00:00,61.484932145500004,49.989518474499995
 01/06  18:00:00,74.6639095754,33.9258214903
 01/06  19:00:00,80.400377112,49.7560259112
 01/06  20:00:00,82.6647506218,45.7788034883
 01/06  21:00:00,91.2870898074,48.1052068115
