Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.2910152533,209.396191355
 01/01  02:00:00,21.0477714556,184.08619881099997
 01/01  03:00:00,22.748650179699997,217.98506396
 01/01  04:00:00,21.1058862559,186.11193070299998
 01/01  05:00:00,22.934123044,226.467539488
 01/01  06:00:00,21.3047162648,197.478491147
 01/01  07:00:00,23.148585135700003,237.53238727599998
 01/01  08:00:00,15.443434839000002,202.928413783
 01/01  09:00:00,14.0794780799,232.80775367
 01/01  10:00:00,12.0058344117,180.41067309299999
 01/01  11:00:00,13.1430653869,189.967409175
 01/01  12:00:00,11.1826465733,137.466195708
 01/01  13:00:00,12.145118401500001,143.94514991399998
 01/01  14:00:00,10.5750375903,104.76114694399999
 01/01  15:00:00,11.721853431900001,121.628699249
 01/01  16:00:00,10.5421853131,97.6260628507
 01/01  17:00:00,16.655755876,139.066498605
 01/01  18:00:00,20.204747846900002,134.52508418899998
 01/01  19:00:00,22.082535113899997,183.10161638
 01/01  20:00:00,20.6901158162,162.438859804
 01/01  21:00:00,22.4550743794,203.365538652
 01/01  22:00:00,20.9032953185,176.02588308400001
 01/01  23:00:00,22.647612653099998,214.456392976
 01/01  24:00:00,21.0337168343,184.85962470200002
 01/02  01:00:00,22.8001544123,221.79094411
 01/02  02:00:00,21.0902578747,186.608260592
 01/02  03:00:00,22.799216269899997,221.109592227
 01/02  04:00:00,21.1091779657,187.65256288700002
 01/02  05:00:00,22.8186961947,221.84968674099997
 01/02  06:00:00,21.0909012883,186.493069581
 01/02  07:00:00,26.622411882399998,260.044814878
 01/02  08:00:00,41.1638177172,221.88491461700002
 01/02  09:00:00,57.6679572073,185.65321599
 01/02  10:00:00,69.64200607810001,142.717002249
 01/02  11:00:00,69.64200607810001,105.281360873
 01/02  12:00:00,69.4409806969,75.67335266239999
 01/02  13:00:00,62.8600447468,63.9331123778
 01/02  14:00:00,69.4148740966,54.2709873305
 01/02  15:00:00,69.4148740966,49.61882912270001
 01/02  16:00:00,69.4148740966,50.6825226705
 01/02  17:00:00,73.8763740966,59.3878297842
 01/02  18:00:00,32.5503896982,59.129190786
 01/02  19:00:00,18.6752133394,62.738480200699996
 01/02  20:00:00,20.2833042475,100.867973882
 01/02  21:00:00,19.3484335823,89.21901966979999
 01/02  22:00:00,20.706089738,120.350115497
 01/02  23:00:00,19.6184428768,103.565067895
 01/02  24:00:00,21.0314323243,135.13933438799998
 01/03  01:00:00,19.8554663619,115.97184785399999
 01/03  02:00:00,21.344467457,149.689517663
 01/03  03:00:00,20.122346375699998,130.53343340799998
 01/03  04:00:00,21.6721545535,165.358451712
 01/03  05:00:00,20.312206613,140.79656215100002
 01/03  06:00:00,21.7435748624,168.580732755
 01/03  07:00:00,26.622411882399998,193.37028522
 01/03  08:00:00,41.1638177172,170.878239493
 01/03  09:00:00,57.6679572073,141.64401029
 01/03  10:00:00,69.64200607810001,105.894988051
 01/03  11:00:00,69.4409806969,76.6204319883
 01/03  12:00:00,69.3652700363,67.5016787133
 01/03  13:00:00,62.9096488071,62.2009366478
 01/03  14:00:00,69.4148740966,51.5570477258
 01/03  15:00:00,69.4148740966,46.8947273268
 01/03  16:00:00,69.4148740966,47.431041970500004
 01/03  17:00:00,73.8763740966,56.898275003500004
 01/03  18:00:00,32.5137443318,58.5668129075
 01/03  19:00:00,18.6778354839,63.1077482017
 01/03  20:00:00,20.3712967679,104.418020146
 01/03  21:00:00,19.4661900419,95.2142807531
 01/03  22:00:00,20.9389608978,131.088173849
 01/03  23:00:00,19.8434969711,114.87390236799999
 01/03  24:00:00,21.2658106992,145.363091333
 01/04  01:00:00,19.972444524300002,121.85056141700001
 01/04  02:00:00,21.4479782385,154.065129535
 01/04  03:00:00,20.2190126335,134.737444076
 01/04  04:00:00,21.880805604200003,173.703901073
 01/04  05:00:00,20.6107612512,155.609119844
 01/04  06:00:00,22.3304348204,195.042470662
 01/04  07:00:00,26.622411882399998,231.973213276
 01/04  08:00:00,41.1638177172,213.978536656
 01/04  09:00:00,57.6679572073,186.494798023
 01/04  10:00:00,69.64200607810001,163.98331261299998
 01/04  11:00:00,69.64200607810001,154.88885121299998
 01/04  12:00:00,69.64200607810001,150.04423204399998
 01/04  13:00:00,63.149181803699996,153.355083095
 01/04  14:00:00,69.64200607810001,146.632275317
 01/04  15:00:00,69.64200607810001,146.1957115
 01/04  16:00:00,69.64200607810001,158.399608581
 01/04  17:00:00,74.10350607810001,179.77926933
 01/04  18:00:00,35.5603946461,182.675498599
 01/04  19:00:00,21.1942820003,193.191443254
 01/04  20:00:00,23.0841247971,238.662142982
 01/04  21:00:00,21.665616391300002,216.236158755
 01/04  22:00:00,23.4488913477,255.76694002099998
 01/04  23:00:00,21.9305384512,229.86199844400002
 01/04  24:00:00,23.7072060011,269.519208285
 01/05  01:00:00,22.158194238000004,242.91914052799999
 01/05  02:00:00,23.9321610044,283.11099646599996
 01/05  03:00:00,22.3456001967,254.464189393
 01/05  04:00:00,24.0294843222,291.14779955299997
 01/05  05:00:00,22.4444875539,260.611671721
 01/05  06:00:00,24.0677948692,294.828902414
 01/05  07:00:00,26.622411882399998,342.124283627
 01/05  08:00:00,41.1638177172,321.49606979099997
 01/05  09:00:00,57.6679572073,292.072471608
 01/05  10:00:00,69.64200607810001,256.43579024400003
 01/05  11:00:00,69.64200607810001,224.677649513
 01/05  12:00:00,69.64200607810001,198.837448256
 01/05  13:00:00,63.149181803699996,180.849983431
 01/05  14:00:00,69.64200607810001,161.46322217600002
 01/05  15:00:00,69.64200607810001,155.83340601700002
 01/05  16:00:00,69.64200607810001,160.5723272
 01/05  17:00:00,74.10350607810001,183.402658901
 01/05  18:00:00,35.6771380556,191.35410523299998
 01/05  19:00:00,21.3488395003,206.02963872700002
 01/05  20:00:00,23.298660694099997,254.344079509
 01/05  21:00:00,21.8740922233,233.62086583299998
 01/05  22:00:00,23.7099825173,275.98463955299997
 01/05  23:00:00,22.1520768973,247.743091005
 01/05  24:00:00,23.8755835166,284.378115954
 01/06  01:00:00,22.281602389,255.02787642599998
 01/06  02:00:00,24.0070790642,293.609238785
 01/06  03:00:00,22.4478921021,264.618087417
 01/06  04:00:00,24.090260962800002,300.85655272599996
 01/06  05:00:00,22.5801057624,272.190603587
 01/06  06:00:00,24.1458792446,305.663833507
 01/06  07:00:00,26.622411882399998,358.730955372
 01/06  08:00:00,41.1638177172,338.890795687
 01/06  09:00:00,57.6679572073,306.213898106
 01/06  10:00:00,69.64200607810001,264.252538691
 01/06  11:00:00,69.64200607810001,222.662222542
 01/06  12:00:00,69.64200607810001,184.46293129400001
 01/06  13:00:00,63.149181803699996,161.12732342299998
 01/06  14:00:00,69.64200607810001,141.517892426
 01/06  15:00:00,69.64200607810001,139.79145569999997
 01/06  16:00:00,69.64200607810001,152.08019033899998
 01/06  17:00:00,72.6163394115,171.207287309
 01/06  18:00:00,35.3507097898,175.92846620400002
 01/06  19:00:00,21.040800525399998,189.01497542099997
 01/06  20:00:00,22.9356689984,235.509449382
 01/06  21:00:00,21.547430057399996,213.612287905
 01/06  22:00:00,23.3244449421,253.56148563099998
 01/06  23:00:00,21.7944889525,226.37680761400003
 01/06  24:00:00,23.468760169499998,261.098366013
 01/07  01:00:00,21.876176529499997,230.27810609
 01/07  02:00:00,23.5209175679,262.96600711400004
 01/07  03:00:00,21.9106612679,231.245023613
 01/07  04:00:00,23.5281290143,262.454118605
 01/07  05:00:00,21.879852091300002,228.80215410099999
 01/07  06:00:00,23.466129764699996,258.734892562
 01/07  07:00:00,21.834744379099998,225.38475206099997
 01/07  08:00:00,20.6737452158,304.04604327
 01/07  09:00:00,18.7110115605,275.87940932099997
 01/07  10:00:00,28.4079253516,252.666298308
 01/07  11:00:00,28.4079253516,229.894154381
 01/07  12:00:00,28.4079253516,208.827728243
 01/07  13:00:00,17.6994118824,196.22326246900002
 01/07  14:00:00,17.6994118824,179.209437098
 01/07  15:00:00,17.6994118824,166.108740192
 01/07  16:00:00,17.6994118824,160.523892089
 01/07  17:00:00,14.6048823631,139.641196595
 01/07  18:00:00,20.3077505628,149.080338918
 01/07  19:00:00,22.133041382,195.98765456
 01/07  20:00:00,20.911932210699998,179.499942537
 01/07  21:00:00,22.513421120100002,214.464870542
 01/07  22:00:00,21.150929904,193.26171124200002
 01/07  23:00:00,22.802953415300003,229.36368030900002
 01/07  24:00:00,21.365619211400002,205.048166705
 01/08  01:00:00,23.1047160036,245.426379537
 01/08  02:00:00,21.6443051754,219.58881109599997
 01/08  03:00:00,23.299712389899998,254.76320767299998
 01/08  04:00:00,21.7932777535,227.919605154
 01/08  05:00:00,23.411600021799998,259.589956731
 01/08  06:00:00,21.8141332202,228.75357071599998
 01/08  07:00:00,23.4721769981,263.102372558
 01/08  08:00:00,15.9125775169,230.589784064
 01/08  09:00:00,14.2229505446,246.14335899
 01/08  10:00:00,12.0477479151,183.000206677
 01/08  11:00:00,12.633683893299999,169.842150124
 01/08  12:00:00,10.7141145294,112.433215221
 01/08  13:00:00,11.3685307392,112.29937460000001
 01/08  14:00:00,10.1586700238,83.99312971479999
 01/08  15:00:00,11.1354580648,99.5016813727
 01/08  16:00:00,10.2681935985,84.73710904069999
 01/08  17:00:00,14.8505301241,128.30585939600002
 01/08  18:00:00,20.192335268,131.746674042
 01/08  19:00:00,21.9083761579,176.982766635
 01/08  20:00:00,20.8351261794,167.32506364600002
 01/08  21:00:00,22.5050038566,207.163873457
 01/08  22:00:00,21.2004532462,188.384578147
 01/08  23:00:00,22.816567465,223.48111954400002
 01/08  24:00:00,21.3513768808,197.248147612
 01/09  01:00:00,22.9674582363,231.88938442
