Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,257.771943283,265.792881821
 01/01  02:00:00,255.12261996799998,239.389027193
 01/01  03:00:00,259.444720329,326.011518443
 01/01  04:00:00,255.13725049099997,256.176242066
 01/01  05:00:00,271.7050789,369.102099722
 01/01  06:00:00,291.837478294,291.355134947
 01/01  07:00:00,345.068807703,399.94596451300004
 01/01  08:00:00,330.988977468,281.660188577
 01/01  09:00:00,318.133530052,263.07618523599996
 01/01  10:00:00,277.115179651,144.58964384200002
 01/01  11:00:00,232.49615366700002,170.308336798
 01/01  12:00:00,228.201717763,118.2457428
 01/01  13:00:00,232.46767047400002,137.777191544
 01/01  14:00:00,228.186304203,101.86956551600001
 01/01  15:00:00,232.435802397,101.755112578
 01/01  16:00:00,228.166942816,78.3853555022
 01/01  17:00:00,306.980263193,132.281865842
 01/01  18:00:00,365.0329343,135.83628786
 01/01  19:00:00,369.341371451,207.521157022
 01/01  20:00:00,340.614874683,167.232585909
 01/01  21:00:00,344.924960729,240.925751126
 01/01  22:00:00,316.195785437,197.857194038
 01/01  23:00:00,296.064539495,274.90529969799996
 01/01  24:00:00,267.321411518,214.816133648
 01/02  01:00:00,309.236399987,271.995393934
 01/02  02:00:00,304.934088782,207.59058834200002
 01/02  03:00:00,309.258109461,300.003331006
 01/02  04:00:00,304.96323597,241.573856
 01/02  05:00:00,321.522996944,346.066733741
 01/02  06:00:00,366.565531042,257.751284161
 01/02  07:00:00,431.212570917,3149.95034794
 01/02  08:00:00,520.36208801,2688.1577359000003
 01/02  09:00:00,1050.54251035,1799.3900224
 01/02  10:00:00,1013.46342863,1468.68417074
 01/02  11:00:00,964.36973224,1331.39548972
 01/02  12:00:00,964.2111987110001,1211.9437143
 01/02  13:00:00,914.37064971,1232.66528222
 01/02  14:00:00,964.064662969,1110.05178832
 01/02  15:00:00,963.953029647,1009.13956734
 01/02  16:00:00,963.878506457,947.218170108
 01/02  17:00:00,1038.36255471,919.884987742
 01/02  18:00:00,951.23198611,993.100848198
 01/02  19:00:00,752.013229731,1113.40527013
 01/02  20:00:00,727.560628655,1118.19769355
 01/02  21:00:00,578.139087582,1219.98754333
 01/02  22:00:00,553.754454105,1282.50382646
 01/02  23:00:00,349.35693806,2.19070883585
 01/02  24:00:00,299.992178952,4.36109222232
 01/03  01:00:00,288.553612956,5.705373561440001
 01/03  02:00:00,289.338138903,9.96769187065
 01/03  03:00:00,289.735357641,16.2056380114
 01/03  04:00:00,308.742092619,107.78249476200001
 01/03  05:00:00,317.508466917,119.229354676
 01/03  06:00:00,370.396908156,172.322660524
 01/03  07:00:00,429.270076899,1694.13075753
 01/03  08:00:00,520.97396907,2622.76197311
 01/03  09:00:00,1050.79986016,1391.11009596
 01/03  10:00:00,1013.36022474,976.7526150580001
 01/03  11:00:00,964.01079329,783.323229184
 01/03  12:00:00,963.871421579,758.7640786710001
 01/03  13:00:00,914.111922974,848.960173328
 01/03  14:00:00,963.885075255,809.95599379
 01/03  15:00:00,963.8491686960001,780.87506795
 01/03  16:00:00,963.9629905039999,844.776012512
 01/03  17:00:00,1030.43575041,1085.06952371
 01/03  18:00:00,952.647041668,1330.23840971
 01/03  19:00:00,753.874641258,1325.51207749
 01/03  20:00:00,729.263671615,1196.57072441
 01/03  21:00:00,579.359546419,1149.58803258
 01/03  22:00:00,554.704325705,1201.60609974
 01/03  23:00:00,349.356939763,4.361346075
 01/03  24:00:00,301.169666771,6.38858094294
 01/04  01:00:00,289.34763869299996,11.6517573409
 01/04  02:00:00,293.623972308,26.2754181533
 01/04  03:00:00,308.757725812,78.4719738682
 01/04  04:00:00,305.288063427,80.599252187
 01/04  05:00:00,321.006042787,102.346754465
 01/04  06:00:00,366.89088884,101.808896154
 01/04  07:00:00,428.939316529,1241.0537486
 01/04  08:00:00,519.281052819,1654.8851128
 01/04  09:00:00,1049.52632015,973.6925778410001
 01/04  10:00:00,1012.52113118,744.1066501339999
 01/04  11:00:00,963.430254799,612.605867115
 01/04  12:00:00,963.374152853,587.886956925
 01/04  13:00:00,913.5073396839999,586.5456375169999
 01/04  14:00:00,963.253750643,518.261759852
 01/04  15:00:00,963.21639632,495.344851761
 01/04  16:00:00,963.212300335,498.64539867800005
 01/04  17:00:00,1029.18245714,502.134611792
 01/04  18:00:00,950.520727157,527.083013683
 01/04  19:00:00,751.2108521539999,585.522621062
 01/04  20:00:00,726.77555472,601.044455935
 01/04  21:00:00,577.3699599509999,724.0720042319999
 01/04  22:00:00,552.942492774,752.774531428
 01/04  23:00:00,349.356941141,2.19063158809
 01/04  24:00:00,299.99218187,2.1907150432599996
 01/05  01:00:00,287.76998572,2.19043275967
 01/05  02:00:00,287.769985879,4.361125745940001
 01/05  03:00:00,287.769985676,2.19069284291
 01/05  04:00:00,289.337100812,10.757608666
 01/05  05:00:00,301.952326998,14.1835661099
 01/05  06:00:00,350.928683648,16.1306505493
 01/05  07:00:00,428.264678209,1113.09525852
 01/05  08:00:00,518.2298908509999,1144.01671049
 01/05  09:00:00,1048.98316905,733.246648149
 01/05  10:00:00,1012.21808329,634.877246315
 01/05  11:00:00,963.2865933060001,592.316907523
 01/05  12:00:00,963.1971672110001,507.870397034
 01/05  13:00:00,913.337317018,493.98697100699997
 01/05  14:00:00,963.09682436,423.51989109199997
 01/05  15:00:00,963.104667401,434.075596695
 01/05  16:00:00,963.126995715,461.108913416
 01/05  17:00:00,1029.10151852,459.072853273
 01/05  18:00:00,950.45396043,495.11339393199995
 01/05  19:00:00,751.149921,558.091941068
 01/05  20:00:00,726.7162369710001,569.305188463
 01/05  21:00:00,577.254183138,633.617520949
 01/05  22:00:00,552.842128763,668.6670544890001
 01/05  23:00:00,349.356942424,2.19072794529
 01/05  24:00:00,299.992183495,4.361220198580001
 01/06  01:00:00,287.769987045,2.19074580436
 01/06  02:00:00,287.769986901,2.1904646509599996
 01/06  03:00:00,287.769987129,2.19055473215
 01/06  04:00:00,289.336578362,12.5650456947
 01/06  05:00:00,301.951539077,13.6148125854
 01/06  06:00:00,350.927662877,15.310116066800001
 01/06  07:00:00,428.131074615,1007.08029962
 01/06  08:00:00,518.018488849,958.054355696
 01/06  09:00:00,1048.78714084,559.620538541
 01/06  10:00:00,1012.0028865,440.851979395
 01/06  11:00:00,963.042472322,368.38508681400003
 01/06  12:00:00,963.004906967,330.64043365599997
 01/06  13:00:00,913.154682772,325.254522718
 01/06  14:00:00,963.376162534,243.480301969
 01/06  15:00:00,963.456822603,189.15356066900003
 01/06  16:00:00,963.0193398910001,210.32260476599998
 01/06  17:00:00,1028.98909417,351.456740541
 01/06  18:00:00,950.484773107,525.8487137530001
 01/06  19:00:00,751.376864407,749.993890555
 01/06  20:00:00,727.067429569,824.631514234
 01/06  21:00:00,577.5790836580001,808.933098586
 01/06  22:00:00,553.137362403,787.36593269
 01/06  23:00:00,349.35694389900004,2.19065264057
 01/06  24:00:00,299.99218498,2.1905562493
 01/07  01:00:00,237.929261768,4.3613919977
