Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,260.40966547200003,340.13109576
 01/01  02:00:00,256.772303485,265.417158782
 01/01  03:00:00,261.496184264,347.37063566800003
 01/01  04:00:00,256.77674998099997,271.373572947
 01/01  05:00:00,273.719147741,348.862326045
 01/01  06:00:00,293.442139213,268.507647312
 01/01  07:00:00,347.048885511,345.266206414
 01/01  08:00:00,341.143932556,270.335880872
 01/01  09:00:00,320.24070877400004,357.208782659
 01/01  10:00:00,278.852496061,277.89980941700003
 01/01  11:00:00,234.675602257,345.17558244
 01/01  12:00:00,229.18241266,238.71880727799999
 01/01  13:00:00,233.517476039,301.27759643
 01/01  14:00:00,228.409595835,209.88657609
 01/01  15:00:00,232.744948579,272.882357291
 01/01  16:00:00,230.31184801599997,248.208350854
 01/01  17:00:00,308.820100165,347.111052785
 01/01  18:00:00,367.15665081,281.895013505
 01/01  19:00:00,371.134170889,366.511823219
 01/01  20:00:00,342.720287633,290.856397167
 01/01  21:00:00,346.702528178,380.662880474
 01/01  22:00:00,318.288315812,304.968791935
 01/01  23:00:00,297.828740212,396.61577095
 01/01  24:00:00,269.40384529700003,307.816212438
 01/02  01:00:00,310.988419578,375.691137224
 01/02  02:00:00,307.008891334,288.667288584
 01/02  03:00:00,310.993058469,380.68390254300004
 01/02  04:00:00,307.01473153,293.421906226
 01/02  05:00:00,323.21833248400003,379.212847731
 01/02  06:00:00,368.60013498800004,289.74561790900003
 01/02  07:00:00,431.71244404199996,3374.99746934
 01/02  08:00:00,529.01764647,2692.79661813
 01/02  09:00:00,1050.53633437,1741.81885309
 01/02  10:00:00,1013.52187461,1436.91387416
 01/02  11:00:00,964.375456258,1209.00317115
 01/02  12:00:00,964.2678721269999,1124.56282667
 01/02  13:00:00,914.3731541389999,1101.03030754
 01/02  14:00:00,963.9437598330001,884.390113877
 01/02  15:00:00,963.8509589180001,798.824708006
 01/02  16:00:00,963.817585351,762.9106397510001
 01/02  17:00:00,1038.41050897,822.1677893789999
 01/02  18:00:00,951.2982810189999,912.813539409
 01/02  19:00:00,752.105723387,1068.58795807
 01/02  20:00:00,727.691225333,1101.08193462
 01/02  21:00:00,578.272785654,1205.03505508
 01/02  22:00:00,553.886678182,1266.54640749
 01/02  23:00:00,349.356938077,2.19071008233
 01/02  24:00:00,299.99217895099997,4.36109476242
 01/03  01:00:00,287.769982389,2.1904837807299997
 01/03  02:00:00,289.74082736400004,11.0088198208
 01/03  03:00:00,289.348392151,10.7646085633
 01/03  04:00:00,289.746404455,18.0707595077
 01/03  05:00:00,313.295400437,56.9952130809
 01/03  06:00:00,369.907659476,100.370489711
 01/03  07:00:00,429.21155099699996,1527.43067604
