Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,17.0851924629,41.4235282069
 01/01  02:00:00,16.4648001887,39.0715911529
 01/01  03:00:00,16.208883097,39.5818667959
 01/01  04:00:00,16.079399095699998,40.111167257
 01/01  05:00:00,18.1363075712,40.1576965644
 01/01  06:00:00,22.595847555,42.5736572773
 01/01  07:00:00,27.7781448552,52.4097913792
 01/01  08:00:00,27.808365533099998,53.2596096218
 01/01  09:00:00,23.105771915,57.9960885916
 01/01  10:00:00,20.3682141034,58.4223316273
 01/01  11:00:00,17.433782341500002,56.337344260100004
 01/01  12:00:00,17.530893825299998,51.7383736404
 01/01  13:00:00,17.360264970699998,49.1939854625
 01/01  14:00:00,16.8521438176,45.9401042028
 01/01  15:00:00,16.7319386376,45.6098518524
 01/01  16:00:00,18.1349422553,48.0945893052
 01/01  17:00:00,28.2048795758,48.068216641099994
 01/01  18:00:00,37.941265462800004,46.4632490376
 01/01  19:00:00,40.0701985771,45.048888000299996
 01/01  20:00:00,39.121895691199995,44.925348902299994
 01/01  21:00:00,38.7123412872,44.440963492899996
 01/01  22:00:00,33.3170902336,43.6823113146
 01/01  23:00:00,26.527842474,46.6156512667
 01/01  24:00:00,20.7788511201,46.2167532372
 01/02  01:00:00,17.218637566800002,46.281857590200005
 01/02  02:00:00,16.709165951099997,47.9801020904
 01/02  03:00:00,16.4737443236,49.2359798868
 01/02  04:00:00,16.35834493,50.1946116191
 01/02  05:00:00,18.4378576715,50.878549145600005
 01/02  06:00:00,22.914497874099997,53.678819026999996
 01/02  07:00:00,28.1130870049,63.816694937799994
 01/02  08:00:00,28.325750178899998,64.1571374189
 01/02  09:00:00,24.9663904338,64.6717830576
 01/02  10:00:00,22.0438066809,58.3467050978
 01/02  11:00:00,19.0134450828,52.8292015996
 01/02  12:00:00,19.2143878256,51.3275536466
 01/02  13:00:00,18.8274488664,47.2874999633
 01/02  14:00:00,18.4272501709,42.1198866867
 01/02  15:00:00,18.2615758949,40.417069626
 01/02  16:00:00,19.629615569000002,41.7738400728
 01/02  17:00:00,29.7749417408,43.9146153983
 01/02  18:00:00,38.0428734729,44.11230303520001
 01/02  19:00:00,40.034298785,44.434944715
 01/02  20:00:00,39.113157812,45.0782195105
 01/02  21:00:00,38.7234207193,45.1200457824
 01/02  22:00:00,33.3452668803,44.8534829743
 01/02  23:00:00,26.5675826343,48.1134937459
 01/02  24:00:00,20.8626763559,49.2323994398
 01/03  01:00:00,17.3270779592,50.1998962079
 01/03  02:00:00,16.8119990097,51.630682663500004
 01/03  03:00:00,16.5634749949,52.398788995100006
 01/03  04:00:00,16.4727757948,54.292059725200005
 01/03  05:00:00,18.566340510699998,55.533374333599994
 01/03  06:00:00,23.0452998635,58.3785803021
 01/03  07:00:00,28.268509708099998,69.357269639
 01/03  08:00:00,28.5099715331,70.85749556729999
 01/03  09:00:00,25.178433877199996,71.7990915976
 01/03  10:00:00,22.1895486512,63.033759742799994
 01/03  11:00:00,19.406143046900002,65.6532119765
 01/03  12:00:00,19.5208610002,61.2735032353
 01/03  13:00:00,19.176212224,58.427335917600004
 01/03  14:00:00,18.9178116907,57.6344602342
 01/03  15:00:00,18.7944133881,57.109262547700006
 01/03  16:00:00,20.1748973113,58.941524710699994
 01/03  17:00:00,30.260017538299998,59.401968408500004
 01/03  18:00:00,38.4736288696,57.7072621502
 01/03  19:00:00,40.3992090842,55.8344402766
 01/03  20:00:00,39.446963011,55.544111550299995
 01/03  21:00:00,39.0403380482,55.13206630810001
 01/03  22:00:00,33.6382763365,54.216419289099996
 01/03  23:00:00,26.8360937578,56.7685153594
 01/03  24:00:00,21.1075108622,57.159230972299994
 01/04  01:00:00,17.5557716981,57.701746661099996
 01/04  02:00:00,17.026999660799998,58.73884614439999
 01/04  03:00:00,16.7740385353,59.3982459789
 01/04  04:00:00,16.6599200741,60.427298197700004
 01/04  05:00:00,18.766664265899998,62.169207731499995
 01/04  06:00:00,23.278448031900002,66.3316531043
 01/04  07:00:00,28.5983601891,81.1979078187
 01/04  08:00:00,28.9046537989,85.2849518088
 01/04  09:00:00,25.548619913000003,85.8535340345
 01/04  10:00:00,22.763957641399998,83.32723905510001
 01/04  11:00:00,19.783781364,78.8898331284
 01/04  12:00:00,19.9278412377,75.4005187495
 01/04  13:00:00,19.561424590799998,71.5406316326
 01/04  14:00:00,19.2722229921,69.5024864106
 01/04  15:00:00,19.1716967617,69.923342577
 01/04  16:00:00,20.560930053699998,72.2244416292
 01/04  17:00:00,30.633006690300004,72.2830316036
 01/04  18:00:00,38.8405177731,70.04555247260001
 01/04  19:00:00,40.7837791792,68.7836889311
 01/04  20:00:00,39.8474273238,69.23560179729999
 01/04  21:00:00,39.4595345413,69.6949948633
 01/04  22:00:00,34.0829289813,69.8325432078
 01/04  23:00:00,27.330484752399997,74.4941943986
 01/04  24:00:00,21.6103632198,75.4957499321
 01/05  01:00:00,18.0749672501,76.8759376704
 01/05  02:00:00,17.5777501594,79.1622930511
 01/05  03:00:00,17.3811620341,82.1749307295
 01/05  04:00:00,17.3218236703,85.6309631928
 01/05  05:00:00,19.4508200935,88.3976981506
 01/05  06:00:00,23.9650748493,92.45091788629999
 01/05  07:00:00,29.202677547199997,103.755577962
 01/05  08:00:00,29.478799535700002,106.082368929
 01/05  09:00:00,26.219232178400002,110.88027886200001
 01/05  10:00:00,23.4437021753,109.44335090000001
 01/05  11:00:00,20.4434645385,104.232602909
 01/05  12:00:00,20.4708810453,96.1285626757
 01/05  13:00:00,20.100214869600002,91.8088082666
 01/05  14:00:00,19.7175712506,86.5287854474
 01/05  15:00:00,19.4473570028,80.9491768322
 01/05  16:00:00,20.8424949749,82.7131708509
 01/05  17:00:00,30.845544022800002,79.7449390984
 01/05  18:00:00,38.984226353400004,74.7117946242
 01/05  19:00:00,40.8327091572,69.9231946682
 01/05  20:00:00,39.7837714543,66.2894701078
 01/05  21:00:00,39.3021019609,63.3544381694
 01/05  22:00:00,33.8475743536,60.6692496876
 01/05  23:00:00,27.0102834516,62.044772020299995
 01/05  24:00:00,21.2336479532,60.77221934560001
 01/06  01:00:00,17.6207034008,59.128908350699994
 01/06  02:00:00,17.0636996594,59.183887955
 01/06  03:00:00,16.8006509537,59.5358239034
 01/06  04:00:00,16.6331412336,58.7290712696
 01/06  05:00:00,18.6687122809,57.962482166099996
 01/06  06:00:00,23.133345235300002,60.4520977346
 01/06  07:00:00,28.3032971564,69.82706656090001
 01/06  08:00:00,28.486738593800002,69.32745856300001
 01/06  09:00:00,25.144141816599998,70.0107410408
 01/06  10:00:00,22.1385508253,60.9159419185
 01/06  11:00:00,19.2145330449,58.9069815013
 01/06  12:00:00,19.1639694825,49.5340291141
 01/06  13:00:00,18.8866356895,48.879528826800005
 01/06  14:00:00,18.6132861189,47.977620567200006
 01/06  15:00:00,18.492326149,47.6848916003
 01/06  16:00:00,19.844683629000002,48.6735802323
 01/06  17:00:00,29.95684871,49.793382438500004
