Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,55.4193678524,3.22568
 01/01  02:00:00,55.371763950600005,3.22568
 01/01  03:00:00,55.3689769592,6.08874279702
 01/01  04:00:00,55.365892498,3.22568
 01/01  05:00:00,55.576401617799995,6.08879227013
 01/01  06:00:00,56.571443048999996,3.81308679755
 01/01  07:00:00,56.58286903770001,6.7858477946099995
 01/01  08:00:00,50.8029259425,3.8272791985900003
 01/01  09:00:00,46.9442970188,6.09054722633
 01/01  10:00:00,46.9604562555,3.22568
 01/01  11:00:00,46.9600627,6.090556407009999
 01/01  12:00:00,47.68371343689999,6.090565552519999
 01/01  13:00:00,46.985283139399996,3.22568
 01/01  14:00:00,47.0425577388,6.090575996880001
 01/01  15:00:00,47.076553527899996,3.22568
 01/01  16:00:00,47.073784268000004,6.08875884995
 01/01  17:00:00,51.266421711899994,3.22568
 01/01  18:00:00,55.5561638742,6.088808748990001
 01/01  19:00:00,55.5578454736,3.22568
 01/01  20:00:00,55.777646473500006,6.08885859118
 01/01  21:00:00,55.7643091282,3.22568
 01/01  22:00:00,55.6496054675,6.08873942833
 01/01  23:00:00,55.4932441818,3.22568
 01/01  24:00:00,56.1842385816,3.22568
 01/02  01:00:00,55.4952339491,6.09042663465
 01/02  02:00:00,55.490620820299995,6.0904402078499995
 01/02  03:00:00,55.4842735275,3.22568
 01/02  04:00:00,55.4785974317,6.09045357776
 01/02  05:00:00,55.6824838268,6.09046682447
 01/02  06:00:00,55.6647448142,3.22568
 01/02  07:00:00,64.1096331364,193.219830555
 01/02  08:00:00,122.932443409,128.7533662
 01/02  09:00:00,165.296230409,94.3055439724
 01/02  10:00:00,165.317096862,93.9987734759
 01/02  11:00:00,169.321317804,94.6018989832
 01/02  12:00:00,173.04054991400002,66.4838522296
 01/02  13:00:00,178.25082358,60.662325732
 01/02  14:00:00,176.63173927900002,50.3674245013
 01/02  15:00:00,177.11461483099998,44.9341910833
 01/02  16:00:00,176.88066477599997,37.9685421046
 01/02  17:00:00,176.75064904599998,19.7597605411
 01/02  18:00:00,136.45537802799998,22.3088619766
 01/02  19:00:00,137.910941105,27.1373607402
 01/02  20:00:00,139.542047623,26.226363800500003
 01/02  21:00:00,139.416879839,23.650594408899998
