Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,147.938364471,233.09057977700002
 01/01  02:00:00,157.48044261,191.278716848
 01/01  03:00:00,143.824452996,170.681515792
 01/01  04:00:00,144.95816359,155.67368138
 01/01  05:00:00,154.07146896700002,176.53339030200002
 01/01  06:00:00,169.99233554399999,208.731897383
 01/01  07:00:00,306.4148558,289.720860463
 01/01  08:00:00,324.071986963,581.076163388
 01/01  09:00:00,367.393583111,793.17987673
 01/01  10:00:00,332.93829256099997,625.678103662
 01/01  11:00:00,282.677072121,466.697007157
 01/01  12:00:00,272.744346473,378.19802715599997
 01/01  13:00:00,275.529852265,297.883027836
 01/01  14:00:00,288.453879777,277.5802394
 01/01  15:00:00,292.41552972799997,256.597031366
 01/01  16:00:00,291.851525114,266.543930806
 01/01  17:00:00,320.211686006,247.41905554
 01/01  18:00:00,328.684938866,252.316907351
 01/01  19:00:00,388.53373777400003,296.273165066
 01/01  20:00:00,402.003635965,346.98161499199995
 01/01  21:00:00,432.821850051,339.338428266
 01/01  22:00:00,406.867385217,339.923165509
 01/01  23:00:00,348.71534473,464.35020258800006
 01/01  24:00:00,261.276548804,293.200945098
 01/02  01:00:00,139.242086495,173.314618116
 01/02  02:00:00,144.520581014,134.04228911
 01/02  03:00:00,142.11297232299998,138.129118519
 01/02  04:00:00,144.925793354,129.793860684
 01/02  05:00:00,193.892839235,174.252085976
 01/02  06:00:00,153.052676098,295.811237481
 01/02  07:00:00,343.701497534,475.302057536
 01/02  08:00:00,412.707398116,651.462658333
 01/02  09:00:00,313.153748728,585.191769418
 01/02  10:00:00,296.06834311299997,570.221419069
 01/02  11:00:00,248.61049644599998,540.621240244
 01/02  12:00:00,256.319706338,452.924685057
 01/02  13:00:00,265.89320342599996,449.793636861
 01/02  14:00:00,266.252465782,434.91824868699996
 01/02  15:00:00,266.8008102,433.999138105
 01/02  16:00:00,259.13277492099996,442.012140933
 01/02  17:00:00,269.834157059,429.032126705
 01/02  18:00:00,301.80014883900003,468.57466605699994
 01/02  19:00:00,341.763888829,668.0001671030001
 01/02  20:00:00,359.327698128,553.934905502
 01/02  21:00:00,426.46146330199997,533.016649193
 01/02  22:00:00,423.90529917099997,641.373675721
 01/02  23:00:00,340.67126996900004,524.406701751
