Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.589163819300001,36.855408434699996
 01/01  02:00:00,9.49994314862,3.0211
 01/01  03:00:00,9.52626851494,3.5931834141199994
 01/01  04:00:00,9.53779315283,3.0211
 01/01  05:00:00,9.68632458411,3.59316346426
 01/01  06:00:00,13.6875542931,50.4984580734
 01/01  07:00:00,28.160936150100003,53.698004357100004
 01/01  08:00:00,28.1158318206,58.550735950500005
 01/01  09:00:00,21.2158438666,53.4643581809
 01/01  10:00:00,20.6086473716,46.723513427600004
 01/01  11:00:00,25.644552310100003,56.1213296173
 01/01  12:00:00,26.8077843931,51.613919729399996
 01/01  13:00:00,25.9531228579,40.0848705593
 01/01  14:00:00,25.7687084302,35.5488790932
 01/01  15:00:00,20.7832562505,24.257462876399998
 01/01  16:00:00,20.764470263099998,23.2347920319
 01/01  17:00:00,20.6656409507,28.792547296
 01/01  18:00:00,27.54397366,33.688947909899994
 01/01  19:00:00,28.1735769927,33.936640193
 01/01  20:00:00,28.313492101399998,35.4143672454
 01/01  21:00:00,23.2860835368,34.2358516868
 01/01  22:00:00,23.2175996545,35.2658170291
 01/01  23:00:00,23.120219881999997,31.5336622027
 01/01  24:00:00,24.2858191996,16.4129420342
 01/02  01:00:00,13.8574864523,20.9010959577
 01/02  02:00:00,9.63754761788,3.5931925928699995
 01/02  03:00:00,9.68019283518,3.0211
 01/02  04:00:00,9.693822770319999,3.59314676359
 01/02  05:00:00,9.852059420660002,3.0211
 01/02  06:00:00,13.8520872632,17.3212104196
 01/02  07:00:00,28.3222241546,21.663274899
 01/02  08:00:00,28.2911007383,29.7437620581
 01/02  09:00:00,21.4004467957,24.1499822447
 01/02  10:00:00,20.7914647383,22.8975835748
 01/02  11:00:00,25.812519965,38.986996540199996
 01/02  12:00:00,26.9232130878,44.553915670100004
 01/02  13:00:00,26.089153436,40.0502947085
 01/02  14:00:00,25.868812454,34.9730886733
 01/02  15:00:00,20.8798892847,23.9812390474
 01/02  16:00:00,20.878846153199998,22.394056615300002
 01/02  17:00:00,20.795220449400002,25.394750352600003
 01/02  18:00:00,27.7100639731,29.5464476771
 01/02  19:00:00,28.3420579991,30.7001549865
 01/02  20:00:00,28.4721249548,31.277727853200002
 01/02  21:00:00,23.3609246113,29.8715367182
 01/02  22:00:00,23.229774115100003,34.7377457714
 01/02  23:00:00,23.0905798685,38.5236554746
 01/02  24:00:00,24.249353525900002,27.2789678271
 01/03  01:00:00,13.782546418099999,32.7162657207
 01/03  02:00:00,9.557565465569999,3.59318044389
 01/03  03:00:00,9.58685774033,3.0211
 01/03  04:00:00,9.59752704705,3.5931863541
 01/03  05:00:00,10.2611473823,3.0211
 01/03  06:00:00,14.259023414000001,36.8412675492
 01/03  07:00:00,28.4467129171,40.0102721268
 01/03  08:00:00,28.1757225467,47.980876780699994
 01/03  09:00:00,21.2776884669,42.9105971508
 01/03  10:00:00,20.6568256553,42.4912374173
 01/03  11:00:00,25.652713469899997,57.1762183158
 01/03  12:00:00,26.7924053908,62.665551292399996
 01/03  13:00:00,25.883174209099998,55.3989327411
 01/03  14:00:00,25.694072335799998,48.8410823755
 01/03  15:00:00,20.7151139824,36.3606621266
 01/03  16:00:00,20.7196596197,33.0093116496
 01/03  17:00:00,20.650117669700002,33.6564922249
 01/03  18:00:00,27.5603487056,34.783247313400004
 01/03  19:00:00,28.2005364898,35.5881819607
 01/03  20:00:00,28.1992272913,36.545905185
 01/03  21:00:00,23.1704341744,36.4641864275
 01/03  22:00:00,23.1132393219,38.7137005235
 01/03  23:00:00,23.107194903299998,36.6105832468
 01/03  24:00:00,24.2834201587,19.7475110873
 01/04  01:00:00,13.8227033703,28.6486666198
 01/04  02:00:00,9.56469548212,3.59318414289
 01/04  03:00:00,9.5715622888,3.0211
 01/04  04:00:00,9.56416633087,3.59319005042
 01/04  05:00:00,9.703015135689999,3.0211
 01/04  06:00:00,13.694243674700001,47.413531454799994
 01/04  07:00:00,28.1618250841,51.158187461800004
 01/04  08:00:00,28.1140339184,60.4321067734
 01/04  09:00:00,21.2143539281,55.7524825891
 01/04  10:00:00,20.589751195199998,55.996278791099996
 01/04  11:00:00,25.5870584315,70.5595449575
 01/04  12:00:00,26.7437805721,74.7295350328
 01/04  13:00:00,25.8072470658,68.34803239840001
 01/04  14:00:00,25.609461571599997,64.18995680399999
 01/04  15:00:00,20.607249976800002,56.5505485652
 01/04  16:00:00,20.590496076300003,58.2033690624
 01/04  17:00:00,20.509670972000002,62.4077991816
 01/04  18:00:00,27.411727795500003,64.56516120100001
 01/04  19:00:00,28.049217354699998,65.71161288409999
 01/04  20:00:00,28.189869349299997,66.0936777566
 01/04  21:00:00,23.174771199899997,64.2059637507
 01/04  22:00:00,23.106885062899998,66.0930679514
 01/04  23:00:00,23.0019041827,65.1250438599
 01/04  24:00:00,24.2011698559,51.3077351436
