Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.5915610428,42.0737344603
 01/01  02:00:00,9.509504212360001,3.0211
 01/01  03:00:00,9.53164766952,3.5931520972500004
 01/01  04:00:00,9.54299418044,3.0211
 01/01  05:00:00,9.69203665322,3.0211
 01/01  06:00:00,13.7413727166,45.378132298699995
 01/01  07:00:00,28.2169657814,48.7734975909
 01/01  08:00:00,27.540963701,52.3393029799
 01/01  09:00:00,20.6421179188,48.3635366209
 01/01  10:00:00,20.6498699067,47.7898565845
 01/01  11:00:00,25.645559744699998,66.3579746858
 01/01  12:00:00,26.799178743800002,71.5599764199
 01/01  13:00:00,25.866604047600003,64.7002763591
 01/01  14:00:00,25.6699352711,60.3793339888
 01/01  15:00:00,20.66515736,50.672080191199996
 01/01  16:00:00,20.648032862,51.3651100885
 01/01  17:00:00,20.5691763201,54.5482352815
 01/01  18:00:00,28.1018841455,56.31660201890001
 01/01  19:00:00,28.1061283285,55.7975608286
 01/01  20:00:00,28.252240627800003,55.7276980472
 01/01  21:00:00,23.238026622899998,52.803853103
 01/01  22:00:00,23.171610416100002,53.0229725103
 01/01  23:00:00,23.065464791900002,50.5428347278
 01/01  24:00:00,24.259391869899996,37.7242406836
 01/02  01:00:00,13.7771100654,44.2400232829
 01/02  02:00:00,9.49205451099,3.5931686067000004
 01/02  03:00:00,9.51764660882,3.0211
 01/02  04:00:00,9.531184968029999,3.0211
 01/02  05:00:00,9.68190014719,3.5931745156
 01/02  06:00:00,13.7304508475,50.8775036018
 01/02  07:00:00,28.2030083589,55.1684200272
 01/02  08:00:00,27.523337000300003,62.6713364397
 01/02  09:00:00,20.6235879663,59.338580258
 01/02  10:00:00,20.6316636248,58.633352906000006
 01/02  11:00:00,25.6282266505,72.3667630531
 01/02  12:00:00,26.786405799,76.41571086399999
 01/02  13:00:00,25.8540215917,67.9303477198
 01/02  14:00:00,25.656700010399998,62.584864045100005
 01/02  15:00:00,20.655857320899997,54.3251172963
 01/02  16:00:00,20.6394719554,55.1809817319
 01/02  17:00:00,20.557660642000002,56.8619297471
 01/02  18:00:00,28.0921377639,57.2693652709
 01/02  19:00:00,28.0952140515,59.2900370945
 01/02  20:00:00,28.235791465100004,63.2242898759
 01/02  21:00:00,23.2182040815,62.0546275279
 01/02  22:00:00,23.1520857765,61.9736180633
 01/02  23:00:00,23.047230581999997,58.9910636684
 01/02  24:00:00,24.2464911935,45.45895484890001
 01/03  01:00:00,13.7649435279,51.9126406712
 01/03  02:00:00,9.477082211219999,3.5931949586400003
 01/03  03:00:00,9.501672605560001,3.0211
 01/03  04:00:00,9.515439080810001,3.59314914509
 01/03  05:00:00,10.183058267,3.0211
 01/03  06:00:00,14.231363606199999,58.7860223488
 01/03  07:00:00,28.422329546500002,60.8886518183
 01/03  08:00:00,27.5155279206,68.0001882029
 01/03  09:00:00,20.6181183293,62.135651433
 01/03  10:00:00,20.6286382406,61.400692037700004
 01/03  11:00:00,25.6235856564,76.37509026149999
 01/03  12:00:00,26.7829798047,80.0882044465
 01/03  13:00:00,25.8464569822,71.5864594749
 01/03  14:00:00,25.645920565500003,67.1062247237
 01/03  15:00:00,20.6461744566,58.170422233100005
 01/03  16:00:00,20.6307107618,58.9158709698
 01/03  17:00:00,20.5503157384,61.7903218054
 01/03  18:00:00,28.0853547106,62.4161326041
 01/03  19:00:00,28.0877653336,64.1222166486
 01/03  20:00:00,28.0889661864,64.0844600633
 01/03  21:00:00,23.0850370755,61.629531412700004
 01/03  22:00:00,23.051742913200002,60.7228884479
 01/03  23:00:00,23.0517456875,57.991601329
 01/03  24:00:00,24.250698932,44.5797984172
 01/04  01:00:00,13.7695701912,51.2283152295
 01/04  02:00:00,9.48016087761,3.5931626601599995
 01/04  03:00:00,9.504789827389999,3.0211
 01/04  04:00:00,9.51823458329,3.0211
 01/04  05:00:00,9.66883981887,3.5931685785100003
 01/04  06:00:00,13.720581504,57.9018329152
 01/04  07:00:00,28.1957190491,62.9228896996
 01/04  08:00:00,27.520007865500002,66.95683860609999
 01/04  09:00:00,20.6273668818,57.118978364499995
 01/04  10:00:00,20.6400690636,53.8534974218
 01/04  11:00:00,25.634539294,67.31165222439999
 01/04  12:00:00,26.790915116,71.9637532806
 01/04  13:00:00,25.8554898467,65.8337576226
 01/04  14:00:00,25.6543236337,62.1268862894
 01/04  15:00:00,20.651055656,55.64539287229999
 01/04  16:00:00,20.6314925833,56.978572144
 01/04  17:00:00,20.548204299200002,61.888793800100004
 01/04  18:00:00,28.080549905399998,63.676020235299994
 01/04  19:00:00,28.086712518400002,66.2398194941
 01/04  20:00:00,28.2301679371,67.5083281484
 01/04  21:00:00,23.2150174031,65.887166771
 01/04  22:00:00,23.1488279755,65.04517761460001
 01/04  23:00:00,23.0440122623,63.030639271700004
 01/04  24:00:00,24.2441161644,49.408891825699996
 01/05  01:00:00,13.7647993018,56.359986769399995
 01/05  02:00:00,9.47409242509,3.0211
 01/05  03:00:00,9.497692190539999,3.5931624301999996
 01/05  04:00:00,9.511622538300001,3.0211
 01/05  05:00:00,9.66290826883,3.5931683489199995
