Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,38.1493921225,30.5435689619
 01/01  02:00:00,39.1314837461,37.5688714882
 01/01  03:00:00,36.1362120529,40.7185219156
 01/01  04:00:00,36.693456056,40.832746434499995
 01/01  05:00:00,38.833084694499995,41.7232757694
 01/01  06:00:00,43.796954999300006,43.1789707155
 01/01  07:00:00,62.6216993121,41.6076648976
 01/01  08:00:00,77.1809406709,50.5236232943
 01/01  09:00:00,94.39130047180001,67.5628664414
 01/01  10:00:00,79.7680293869,72.41400653859999
 01/01  11:00:00,57.386277200200006,71.4571880631
 01/01  12:00:00,55.3293830758,70.3706510121
 01/01  13:00:00,54.1593733121,62.0224852983
 01/01  14:00:00,53.6035352149,57.046399947299996
 01/01  15:00:00,53.215971843,56.5606254304
 01/01  16:00:00,52.702386807299995,57.4905054432
 01/01  17:00:00,56.2620516488,40.9037519515
 01/01  18:00:00,68.5374259739,25.0647163786
 01/01  19:00:00,85.0541469432,28.782354398800003
 01/01  20:00:00,85.8139183954,37.1324674291
 01/01  21:00:00,91.9151086989,40.705222887
 01/01  22:00:00,89.5056486919,41.6744448022
 01/01  23:00:00,66.9814871828,48.7882807329
 01/01  24:00:00,43.924036110799996,38.1381780461
 01/02  01:00:00,37.067702271,37.4949855445
 01/02  02:00:00,37.0207752606,39.559706893400005
 01/02  03:00:00,35.8975846094,39.1854340175
 01/02  04:00:00,36.174254299299996,32.4684602248
 01/02  05:00:00,38.4289122828,39.8692469168
 01/02  06:00:00,45.9791945454,45.5138158651
 01/02  07:00:00,72.9731370384,50.019827793400005
 01/02  08:00:00,92.7002806327,47.6983489091
 01/02  09:00:00,72.8086445515,59.5011433236
 01/02  10:00:00,70.3894457545,70.2463802881
 01/02  11:00:00,53.22009625020001,62.5767079084
 01/02  12:00:00,53.190329091,58.861927235100005
 01/02  13:00:00,53.06594624069999,54.411915231
 01/02  14:00:00,52.775155893000004,56.5922136964
 01/02  15:00:00,52.58513141,47.8642483079
 01/02  16:00:00,52.208782364799994,48.377923665
 01/02  17:00:00,55.631774820100006,32.0310622668
 01/02  18:00:00,71.7502173068,19.0668803179
 01/02  19:00:00,80.35135671479999,43.2363153903
 01/02  20:00:00,82.98313606159999,39.0329993675
 01/02  21:00:00,92.0254896873,47.1600363536
 01/02  22:00:00,86.6903962884,55.371502836800005
 01/02  23:00:00,61.833580660100004,53.3648923792
 01/02  24:00:00,43.1261358561,50.31430456020001
 01/03  01:00:00,39.5184833955,53.031397033000005
 01/03  02:00:00,39.7163871503,53.5307215287
