Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.6813688727,24.038929603400003
 01/01  02:00:00,9.641448425439998,3.0211
 01/01  03:00:00,9.6936348054,3.59315199815
 01/01  04:00:00,9.70739090807,3.0211
 01/01  05:00:00,9.868612657889999,3.0211
 01/01  06:00:00,13.9362726427,14.771777863399999
 01/01  07:00:00,28.4131108295,20.601096521800002
 01/01  08:00:00,27.7550824002,24.7782069738
 01/01  09:00:00,20.866212659200002,19.5950830685
 01/01  10:00:00,20.8901141602,18.1644851831
 01/01  11:00:00,25.9270293225,37.7585990588
 01/01  12:00:00,27.0611920523,45.128500694399996
 01/01  13:00:00,26.2308563766,39.4756648583
 01/01  14:00:00,26.0659461657,35.5482037298
 01/01  15:00:00,21.0224323106,23.3491375969
 01/01  16:00:00,21.0045653231,22.393531988299998
 01/01  17:00:00,20.9109478098,25.3946079269
 01/01  18:00:00,27.7935138818,28.971607661999997
 01/01  19:00:00,28.419244322399997,30.123787601799997
 01/01  20:00:00,28.5496174188,30.122879811999997
 01/01  21:00:00,23.5201478772,25.9933658145
 01/01  22:00:00,23.424839290300003,25.705892834
 01/01  23:00:00,23.2204523948,29.517674970199998
 01/01  24:00:00,24.311364282800003,23.083519706100002
 01/02  01:00:00,13.8252448441,32.3397332918
 01/02  02:00:00,9.538721056510001,3.5931941121300004
 01/02  03:00:00,9.55849073107,3.0211
 01/02  04:00:00,9.55905758357,3.0211
 01/02  05:00:00,9.70331355312,3.5931741834500004
 01/02  06:00:00,13.7540351139,45.578933650799996
 01/02  07:00:00,28.225160402800004,51.4053530042
 01/02  08:00:00,27.5457671757,60.645435897700004
 01/02  09:00:00,20.6435464897,56.965245448699996
 01/02  10:00:00,20.6508723128,56.776280447
 01/02  11:00:00,25.6433241356,72.1225309647
 01/02  12:00:00,26.8014553602,76.5332701529
 01/02  13:00:00,25.8684504432,68.3886888811
 01/02  14:00:00,25.6722364679,62.9057217234
 01/02  15:00:00,20.6687829315,53.9696983975
 01/02  16:00:00,20.651587450799997,54.523148706099995
 01/02  17:00:00,20.568865220899998,57.4444822239
 01/02  18:00:00,27.4750287141,57.8560260129
 01/02  19:00:00,28.1121863225,60.0562723925
 01/02  20:00:00,28.2563087615,62.0365205755
 01/02  21:00:00,23.2409697787,58.314563785
 01/02  22:00:00,23.1752105189,58.6266061792
 01/02  23:00:00,23.0719162928,56.1914583693
 01/02  24:00:00,24.27298162,40.4710204215
 01/03  01:00:00,13.7927390319,45.65097436479999
 01/03  02:00:00,9.49226433432,3.59319507786
 01/03  03:00:00,9.51770637027,3.0211
 01/03  04:00:00,9.53140154627,3.59314926372
 01/03  05:00:00,10.1984767527,3.0211
 01/03  06:00:00,14.2634976487,48.4936936386
 01/03  07:00:00,28.4539441259,50.9673680446
 01/03  08:00:00,27.5473055093,58.8626091729
 01/03  09:00:00,20.6491007459,54.497403544300006
 01/03  10:00:00,20.6566523662,55.5597957725
 01/03  11:00:00,25.650925525,69.6890199591
 01/03  12:00:00,26.8087998016,73.8178896175
 01/03  13:00:00,25.8752693173,66.5987820126
 01/03  14:00:00,25.677012764,62.5541841895
 01/03  15:00:00,20.6749863403,55.502784347799995
 01/03  16:00:00,20.6584022771,57.539579115600006
 01/03  17:00:00,20.5759895188,60.223323371300005
 01/03  18:00:00,27.4770058989,60.3306220106
 01/03  19:00:00,28.1146101078,63.0976936987
 01/03  20:00:00,28.114046815,63.930633758599996
 01/03  21:00:00,23.106853029,61.5561697079
 01/03  22:00:00,23.0723099253,61.2819159875
 01/03  23:00:00,23.071224519,58.6950849687
 01/03  24:00:00,24.2695035249,44.4863862099
 01/04  01:00:00,13.7869129099,50.292933544099995
 01/04  02:00:00,9.486085964039999,3.5931631943699998
 01/04  03:00:00,9.51049736195,3.0211
 01/04  04:00:00,9.52386321648,3.0211
 01/04  05:00:00,9.6745288734,3.59316911187
 01/04  06:00:00,13.7407614531,55.162351209700006
 01/04  07:00:00,28.2172853543,58.8441982412
 01/04  08:00:00,27.5410491192,65.5819155363
 01/04  09:00:00,20.6431289557,59.4630831696
 01/04  10:00:00,20.6516060738,58.043028576400005
 01/04  11:00:00,25.650049548800002,71.20246667560001
 01/04  12:00:00,26.806341928200002,74.19021530399999
 01/04  13:00:00,25.8748108383,68.3728941653
 01/04  14:00:00,25.6761078104,64.4650351862
 01/04  15:00:00,20.6751018137,55.4075283316
 01/04  16:00:00,20.660480843800002,54.3228277279
 01/04  17:00:00,20.5794065677,59.249666147700005
 01/04  18:00:00,27.4773889698,61.5593437854
 01/04  19:00:00,28.1110214173,63.80859827689999
 01/04  20:00:00,28.254201522600003,63.854793173199994
 01/04  21:00:00,23.2380466976,63.030234153500004
 01/04  22:00:00,23.166971414000002,65.93400060489999
 01/04  23:00:00,23.060141075,67.1343935356
 01/04  24:00:00,24.258268053400002,53.870362620600005
 01/05  01:00:00,13.77823815,61.9408591737
 01/05  02:00:00,9.469692355669999,3.0211
 01/05  03:00:00,9.49131211154,3.59316455104
 01/05  04:00:00,9.503783694680001,3.0211
 01/05  05:00:00,9.65387280345,3.59317046638
 01/05  06:00:00,13.7303150176,72.4380768517
 01/05  07:00:00,28.205275446399998,75.7419733188
 01/05  08:00:00,27.52349343,83.8329841819
 01/05  09:00:00,20.6259183294,78.2346246368
 01/05  10:00:00,20.6353624846,76.7316579247
 01/05  11:00:00,25.6320960035,91.1651793681
 01/05  12:00:00,26.789384061,95.421195378
 01/05  13:00:00,25.854950151100002,87.9817647058
 01/05  14:00:00,25.6533891618,84.6017343203
 01/05  15:00:00,20.6519206455,78.0963408345
 01/05  16:00:00,20.6352825924,79.3613187526
 01/05  17:00:00,20.5537376782,83.6919756074
 01/05  18:00:00,27.4547250497,85.0125103515
 01/05  19:00:00,28.0897961084,88.03319758629999
 01/05  20:00:00,28.231050559099998,90.51890760200001
 01/05  21:00:00,23.217427782199998,91.31892537809999
 01/05  22:00:00,23.1544886081,91.5873552708
 01/05  23:00:00,23.0514518736,89.6966583762
