Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,97.053321668,100.68063130200001
 01/02  02:00:00,83.23879528,86.59407016549999
 01/02  03:00:00,99.3225857836,108.634718965
 01/02  04:00:00,89.2937656703,87.7456420898
 01/02  05:00:00,126.83605853600001,124.137376516
 01/02  06:00:00,157.11341555,193.097561668
 01/02  07:00:00,210.485341164,169.574066909
 01/02  08:00:00,227.076599045,151.20864728799998
 01/02  09:00:00,223.52588334,144.125222363
 01/02  10:00:00,235.12987409,149.31986614
 01/02  11:00:00,235.02472037,138.43999963
 01/02  12:00:00,234.16389427,145.041235713
 01/02  13:00:00,222.24780088900002,134.476747701
 01/02  14:00:00,231.97676784,141.18133388
 01/02  15:00:00,231.46104313700002,130.87679101700002
 01/02  16:00:00,230.99932032200002,138.127160706
 01/02  17:00:00,229.631878763,128.481388137
 01/02  18:00:00,243.06520408,136.41803067700002
 01/02  19:00:00,146.881523737,92.16719573809999
 01/02  20:00:00,150.737293059,96.1126142932
 01/02  21:00:00,124.568581937,108.858911625
 01/02  22:00:00,109.64210429,92.77502282110001
 01/02  23:00:00,92.1033379825,81.8913407004
 01/02  24:00:00,98.53124492129999,104.511383744
 01/03  01:00:00,94.9556586833,85.3110735254
 01/03  02:00:00,101.01878936,108.262256561
 01/03  03:00:00,97.5298353479,87.68664200879999
 01/03  04:00:00,101.76789716100001,109.618217426
 01/03  05:00:00,129.647743516,123.708037407
 01/03  06:00:00,159.306811242,194.054723784
 01/03  07:00:00,211.20620422599998,169.308992598
 01/03  08:00:00,227.249179618,149.964240989
 01/03  09:00:00,224.352626421,152.30641145200002
 01/03  10:00:00,232.682836965,139.15262976399998
 01/03  11:00:00,230.500920828,142.912941929
 01/03  12:00:00,230.68906699599998,131.13940928899999
 01/03  13:00:00,218.171250303,140.133351347
 01/03  14:00:00,226.957223282,130.419113582
 01/03  15:00:00,227.758523279,138.749464756
 01/03  16:00:00,227.976088819,129.999918794
 01/03  17:00:00,229.66222713099998,139.153688584
 01/03  18:00:00,245.803233431,131.616345529
 01/03  19:00:00,149.221923739,92.8570999016
 01/03  20:00:00,153.170516375,96.46896624819999
 01/03  21:00:00,127.31189979700001,117.647343314
 01/03  22:00:00,120.193793641,93.61493766
 01/03  23:00:00,92.75983404969999,82.88569607609999
 01/03  24:00:00,110.239887631,105.744219155
 01/04  01:00:00,96.41746920780001,86.17573687950001
 01/04  02:00:00,114.091477973,108.697176776
 01/04  03:00:00,98.6842905444,88.1232737515
 01/04  04:00:00,116.80389198700001,110.50762274600001
 01/04  05:00:00,135.269969435,123.972550019
 01/04  06:00:00,182.70878064099998,193.591499727
 01/04  07:00:00,222.60672457400003,179.08444277200002
 01/04  08:00:00,237.69614796,159.707889354
 01/04  09:00:00,233.631741765,152.443270569
 01/04  10:00:00,240.52433403,157.092627233
 01/04  11:00:00,233.717740907,141.98837307899998
 01/04  12:00:00,229.357487855,142.921085427
 01/04  13:00:00,217.22031914599998,133.28492396299998
 01/04  14:00:00,227.599608078,139.917293741
 01/04  15:00:00,226.78072661099998,134.673155506
 01/04  16:00:00,225.45952009299998,123.201723391
 01/04  17:00:00,222.791111789,121.192184646
 01/04  18:00:00,239.50706285400003,132.83625649
 01/04  19:00:00,148.295410677,91.086401081
 01/04  20:00:00,153.5575129,95.7296210847
 01/04  21:00:00,132.187060215,107.44192261
 01/04  22:00:00,113.314381343,92.3187405982
 01/04  23:00:00,92.37701212309999,81.7100053211
