Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,23.8100347521,191.83168914799998
 01/02  08:00:00,19.5956847269,151.728724573
 01/02  09:00:00,33.2381477645,130.685794441
 01/02  10:00:00,49.6304246573,103.827189393
 01/02  11:00:00,49.6304246573,92.91998467549999
 01/02  12:00:00,49.6304246573,79.1980752275
 01/02  13:00:00,49.6304246573,71.48335709220001
 01/02  14:00:00,49.6304246573,65.0140348078
 01/02  15:00:00,49.6304246573,61.5261502589
 01/02  16:00:00,49.6304246573,59.963228668199996
 01/02  17:00:00,55.3729246573,65.7994711021
 01/02  18:00:00,61.1154246573,72.8808150982
 01/02  19:00:00,49.2706354437,79.4647947732
 01/02  20:00:00,49.2706354437,90.1706034292
 01/02  21:00:00,44.7231477645,96.7513170242
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1069992076,0.0
 01/03  06:00:00,15.1069992076,0.0
 01/03  07:00:00,23.8100347521,181.41787343
 01/03  08:00:00,19.5956847269,141.978109091
 01/03  09:00:00,33.2381477645,124.00565365
 01/03  10:00:00,49.6304246573,101.943978275
 01/03  11:00:00,49.6304246573,92.8590123721
 01/03  12:00:00,49.6304246573,79.3737615139
 01/03  13:00:00,49.6304246573,72.5350603759
 01/03  14:00:00,49.6304246573,68.5566237918
 01/03  15:00:00,49.6304246573,68.7482312929
 01/03  16:00:00,49.6304246573,68.4140724125
 01/03  17:00:00,55.3729246573,74.0170119016
 01/03  18:00:00,61.1154246573,81.78522841770001
 01/03  19:00:00,49.2706354437,86.7271219316
 01/03  20:00:00,49.2706354437,97.37543596649999
 01/03  21:00:00,44.7231477645,104.86848021600001
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.124421874500001,0.5308967033850001
 01/04  05:00:00,15.1433508013,1.10331667304
 01/04  06:00:00,15.141915017899999,1.06135459894
 01/04  07:00:00,23.8100347521,211.53042302400002
 01/04  08:00:00,19.5956847269,171.602735604
 01/04  09:00:00,33.2381477645,152.58346721799998
 01/04  10:00:00,49.6304246573,127.845646641
 01/04  11:00:00,49.6304246573,118.768853046
 01/04  12:00:00,49.6304246573,109.46414328
 01/04  13:00:00,49.6304246573,103.994892847
 01/04  14:00:00,49.6304246573,99.7020445599
 01/04  15:00:00,49.6304246573,97.7073149386
 01/04  16:00:00,49.6304246573,94.0318955709
 01/04  17:00:00,55.3729246573,96.73917468270001
 01/04  18:00:00,61.1154246573,103.356285406
 01/04  19:00:00,49.2706354437,109.89275126700001
 01/04  20:00:00,49.2706354437,117.850756942
 01/04  21:00:00,44.7231477645,121.09019808
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1330392525,0.7892031837369999
 01/05  03:00:00,15.1381168726,0.94366439416
 01/05  04:00:00,15.16682521,1.8116376174900002
 01/05  05:00:00,15.201659237000001,2.7358835022
 01/05  06:00:00,15.2449316365,3.997979517
 01/05  07:00:00,23.8100347521,225.338805842
 01/05  08:00:00,19.5956847269,181.678581197
 01/05  09:00:00,33.2381477645,159.700016202
 01/05  10:00:00,49.6304246573,134.00001371
 01/05  11:00:00,49.6304246573,124.208585015
 01/05  12:00:00,49.6304246573,111.212846883
 01/05  13:00:00,49.6304246573,102.19710908200001
 01/05  14:00:00,49.6304246573,90.10067788100001
 01/05  15:00:00,49.6304246573,79.4744921835
 01/05  16:00:00,49.6304246573,78.4084052359
 01/05  17:00:00,55.3729246573,87.9301770205
 01/05  18:00:00,61.1154246573,98.46023918379998
 01/05  19:00:00,49.2706354437,105.825611278
 01/05  20:00:00,49.2706354437,110.48592750899999
 01/05  21:00:00,44.7231477645,113.340563635
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1069992076,0.0
 01/06  03:00:00,15.1069992076,0.0
 01/06  04:00:00,15.1069992076,0.0
 01/06  05:00:00,15.1069992076,0.0
 01/06  06:00:00,15.1069992076,0.0
 01/06  07:00:00,23.8100347521,162.887607951
 01/06  08:00:00,19.5956847269,123.545005314
 01/06  09:00:00,33.2381477645,100.922862507
 01/06  10:00:00,49.6304246573,73.6439013168
 01/06  11:00:00,49.6304246573,60.6866368975
 01/06  12:00:00,49.6304246573,43.9291610167
 01/06  13:00:00,49.6304246573,33.465091715599996
 01/06  14:00:00,49.6304246573,29.557656678
 01/06  15:00:00,49.6304246573,27.2085769111
 01/06  16:00:00,49.6304246573,20.379850323
 01/06  17:00:00,55.3729246573,20.8383592228
 01/06  18:00:00,61.1154246573,25.6849526108
 01/06  19:00:00,49.2706354437,29.4667787669
 01/06  20:00:00,49.2706354437,35.819879532899996
 01/06  21:00:00,44.7231477645,36.4921481322
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1069992076,0.0
 01/06  24:00:00,15.1069992076,0.0
 01/07  01:00:00,14.657580751600001,0.0
 01/07  02:00:00,14.657580751600001,0.0
 01/07  03:00:00,14.657580751600001,0.0
 01/07  04:00:00,14.657580751600001,0.0
 01/07  05:00:00,14.657580751600001,0.0
 01/07  06:00:00,14.657580751600001,0.0
 01/07  07:00:00,23.3606162961,166.553940953
 01/07  08:00:00,15.0481970477,135.919683895
 01/07  09:00:00,24.1431724061,125.75537258799999
 01/07  10:00:00,37.7856354437,110.354453089
 01/07  11:00:00,49.6304246573,107.309527084
 01/07  12:00:00,49.6304246573,103.9246947
 01/07  13:00:00,49.6304246573,103.102994075
 01/07  14:00:00,49.6304246573,104.52520185899999
 01/07  15:00:00,49.6304246573,107.180209706
 01/07  16:00:00,49.6304246573,112.49211160200001
 01/07  17:00:00,55.3729246573,119.982574677
 01/07  18:00:00,61.1154246573,132.469292718
 01/07  19:00:00,44.7231477645,154.754016015
 01/07  20:00:00,35.6281724061,168.171228692
 01/07  21:00:00,35.6281724061,176.599884115
 01/07  22:00:00,26.5331970477,189.374691304
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.7306028117,2.12585593878
 01/08  01:00:00,14.9130853723,7.317165128160001
 01/08  02:00:00,15.1109232147,13.158670963099999
 01/08  03:00:00,15.505209256199999,24.522595513899997
 01/08  04:00:00,15.643301241700001,28.544713211999998
 01/08  05:00:00,15.8785273755,35.3315545277
 01/08  06:00:00,15.9251655243,36.740224015500004
 01/08  07:00:00,16.0961129932,41.6345564964
 01/08  08:00:00,4.54187057321,39.6920301521
 01/08  09:00:00,15.0481970477,259.147990796
 01/08  10:00:00,15.0481970477,240.29608933900002
 01/08  11:00:00,28.690660085300003,201.039933583
 01/08  12:00:00,28.690660085300003,176.266211546
 01/08  13:00:00,37.7856354437,150.07794804899999
 01/08  14:00:00,37.7856354437,138.11225380000002
 01/08  15:00:00,37.7856354437,128.720806347
 01/08  16:00:00,37.7856354437,126.16731076100001
 01/08  17:00:00,41.613968777,134.409718919
 01/08  18:00:00,40.1756600853,176.20751281900002
 01/08  19:00:00,31.0806847269,191.695155193
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.682501560799999,0.7564077140559999
 01/08  22:00:00,14.7587085121,2.92895781981
 01/08  23:00:00,14.8638777622,5.93470634814
 01/08  24:00:00,14.930720421300002,7.861379595660001
 01/09  01:00:00,15.7106180922,17.5144837291
 01/09  02:00:00,15.916779724100001,23.4333138748
 01/09  03:00:00,16.0333463953,26.8383206392
 01/09  04:00:00,16.2215711212,32.2483535067
 01/09  05:00:00,16.2414671747,32.8850852083
 01/09  06:00:00,16.4196276437,37.9866504643
 01/09  07:00:00,23.8100347521,259.275357717
 01/09  08:00:00,19.5956847269,253.71599087400003
 01/09  09:00:00,33.2381477645,209.225106985
 01/09  10:00:00,49.6304246573,159.39330122
 01/09  11:00:00,49.6304246573,132.341674781
 01/09  12:00:00,49.6304246573,105.08836127
 01/09  13:00:00,49.6304246573,91.33167154590001
 01/09  14:00:00,49.6304246573,82.8484134579
 01/09  15:00:00,49.6304246573,77.6516028061
 01/09  16:00:00,49.6304246573,75.6160263479
 01/09  17:00:00,53.458757990600006,86.05243635229999
 01/09  18:00:00,61.1154246573,99.9850840809
 01/09  19:00:00,49.2706354437,112.921319396
 01/09  20:00:00,49.2706354437,127.39951686299999
 01/09  21:00:00,44.7231477645,135.330336258
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.120205485,0.40427188180699997
 01/10  01:00:00,15.1656445846,1.7705598741400002
 01/10  02:00:00,15.2372942198,3.7683365330500003
 01/10  03:00:00,15.2855366373,5.15511723184
 01/10  04:00:00,15.4055230906,8.591569329039999
 01/10  05:00:00,15.5276828579,12.3225322883
 01/10  06:00:00,15.780019069000002,19.426254726
 01/10  07:00:00,23.8100347521,253.04520977599998
 01/10  08:00:00,19.5956847269,217.218576238
 01/10  09:00:00,33.2381477645,181.205839871
 01/10  10:00:00,49.6304246573,134.946774923
 01/10  11:00:00,49.6304246573,110.404906279
 01/10  12:00:00,49.6304246573,78.1797399034
 01/10  13:00:00,49.6304246573,57.3582686402
 01/10  14:00:00,49.6304246573,49.6993152339
 01/10  15:00:00,49.6304246573,45.0121102888
 01/10  16:00:00,49.6304246573,41.005300994
 01/10  17:00:00,53.458757990600006,50.630179329899995
 01/10  18:00:00,61.1154246573,61.451538779399996
 01/10  19:00:00,49.2706354437,73.0687683756
 01/10  20:00:00,49.2706354437,81.9444047289
 01/10  21:00:00,44.7231477645,87.32059508350001
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1069992076,0.0
 01/11  02:00:00,15.1069992076,0.0
 01/11  03:00:00,15.1069992076,0.0
 01/11  04:00:00,15.1069992076,0.0
 01/11  05:00:00,15.1179311469,0.334533592609
 01/11  06:00:00,15.1415931074,1.04739762393
 01/11  07:00:00,23.8100347521,197.91799654599998
 01/11  08:00:00,19.5956847269,154.690151715
 01/11  09:00:00,33.2381477645,132.217670537
 01/11  10:00:00,49.6304246573,107.367942552
 01/11  11:00:00,49.6304246573,89.26921966329999
 01/11  12:00:00,49.6304246573,69.0476934677
 01/11  13:00:00,49.6304246573,59.122946313199996
 01/11  14:00:00,49.6304246573,50.8071345368
 01/11  15:00:00,49.6304246573,45.2650980668
 01/11  16:00:00,49.6304246573,42.2272846547
 01/11  17:00:00,53.458757990600006,51.2817887964
 01/11  18:00:00,61.1154246573,62.926542183100004
 01/11  19:00:00,49.2706354437,68.9514133583
 01/11  20:00:00,49.2706354437,76.135360794
 01/11  21:00:00,44.7231477645,79.3084989078
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1069992076,0.0
 01/12  07:00:00,23.8100347521,172.032493021
 01/12  08:00:00,19.5956847269,134.104631928
 01/12  09:00:00,33.2381477645,114.44158633
 01/12  10:00:00,49.6304246573,90.6104977899
 01/12  11:00:00,49.6304246573,75.6828320524
 01/12  12:00:00,49.6304246573,64.0942411719
 01/12  13:00:00,49.6304246573,61.104340666000006
 01/12  14:00:00,49.6304246573,59.6127816866
 01/12  15:00:00,49.6304246573,57.0535984201
 01/12  16:00:00,49.6304246573,52.2585623846
 01/12  17:00:00,53.458757990600006,55.771738176599996
 01/12  18:00:00,61.1154246573,62.6572106289
 01/12  19:00:00,49.2706354437,70.5396159547
 01/12  20:00:00,49.2706354437,80.3636133729
 01/12  21:00:00,44.7231477645,84.5399472937
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1069992076,0.0
 01/13  03:00:00,15.1069992076,0.0
 01/13  04:00:00,15.1069992076,0.0
 01/13  05:00:00,15.1069992076,0.0
 01/13  06:00:00,15.1069992076,0.0
 01/13  07:00:00,23.8100347521,177.392099033
 01/13  08:00:00,19.5956847269,139.46693347299998
