Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,23.7726042646,143.325465388
 01/02  08:00:00,21.472420906,111.50480648
 01/02  09:00:00,33.200717276999995,88.73202536299999
 01/02  10:00:00,49.592994169799994,58.6531937266
 01/02  11:00:00,49.592994169799994,43.781202055200005
 01/02  12:00:00,49.592994169799994,23.8148944004
 01/02  13:00:00,49.592994169799994,10.362589420099999
 01/02  14:00:00,49.592994169799994,2.8891023697600002
 01/02  15:00:00,49.592994169799994,0.178719319445
 01/02  16:00:00,49.592994169799994,0.0
 01/02  17:00:00,55.33549416979999,0.0
 01/02  18:00:00,61.07799416979999,0.0
 01/02  19:00:00,49.2332049562,0.125006145035
 01/02  20:00:00,49.2332049562,2.69644559769
 01/02  21:00:00,44.685717276999995,4.1702046192
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1069992076,0.0
 01/03  06:00:00,15.1069992076,0.0
 01/03  07:00:00,23.7726042646,45.994188319799996
 01/03  08:00:00,21.472420906,23.5280768663
 01/03  09:00:00,33.200717276999995,5.06170704378
 01/03  10:00:00,49.592994169799994,0.0
 01/03  11:00:00,49.592994169799994,0.0
 01/03  12:00:00,49.592994169799994,0.0
 01/03  13:00:00,49.6223363821,0.0
 01/03  14:00:00,49.831164136000005,0.0
 01/03  15:00:00,49.836893943599996,0.0
 01/03  16:00:00,49.8581876238,0.0
 01/03  17:00:00,55.3542174759,0.0
 01/03  18:00:00,61.07799416979999,0.0
 01/03  19:00:00,49.2332049562,0.0
 01/03  20:00:00,49.2332049562,0.0
 01/03  21:00:00,44.685717276999995,0.0
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.1069992076,0.0
 01/04  05:00:00,15.1069992076,0.0
 01/04  06:00:00,15.1069992076,0.0
 01/04  07:00:00,23.7726042646,43.416147528100005
 01/04  08:00:00,21.472420906,26.5220855375
 01/04  09:00:00,33.200717276999995,10.2906154331
 01/04  10:00:00,49.592994169799994,0.0
 01/04  11:00:00,49.592994169799994,0.0
 01/04  12:00:00,49.592994169799994,0.0
 01/04  13:00:00,49.592994169799994,0.0
 01/04  14:00:00,49.592994169799994,0.0
 01/04  15:00:00,49.592994169799994,0.0
 01/04  16:00:00,49.7717240258,0.0
 01/04  17:00:00,55.525257134600004,0.0
 01/04  18:00:00,61.07799416979999,0.0
 01/04  19:00:00,49.2332049562,0.0
 01/04  20:00:00,49.2332049562,0.0
 01/04  21:00:00,44.685717276999995,0.0
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1069992076,0.0
 01/05  06:00:00,15.1069992076,0.0
 01/05  07:00:00,23.7726042646,162.972757903
 01/05  08:00:00,21.472420906,136.08281838
 01/05  09:00:00,33.200717276999995,122.817643064
 01/05  10:00:00,49.592994169799994,103.640315143
 01/05  11:00:00,49.592994169799994,98.200722001
 01/05  12:00:00,49.592994169799994,93.07207051510001
 01/05  13:00:00,49.592994169799994,92.1030178269
 01/05  14:00:00,49.592994169799994,81.6761780129
 01/05  15:00:00,49.592994169799994,79.7404525823
 01/05  16:00:00,49.592994169799994,79.4224152673
 01/05  17:00:00,53.4213275031,85.79974513100001
 01/05  18:00:00,61.07799416979999,96.4323923437
 01/05  19:00:00,49.2332049562,108.270411231
 01/05  20:00:00,49.2332049562,120.933069552
 01/05  21:00:00,44.685717276999995,129.723924101
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.168246086400002,1.86490511178
 01/06  02:00:00,15.2196402706,3.28438530426
 01/06  03:00:00,15.3557851183,7.18005440602
 01/06  04:00:00,15.5317966098,12.460798583699999
 01/06  05:00:00,15.9836533198,25.5274327414
 01/06  06:00:00,16.047111473,27.4467789611
 01/06  07:00:00,23.7726042646,260.06696359
 01/06  08:00:00,21.472420906,253.400050975
 01/06  09:00:00,33.200717276999995,218.804356155
 01/06  10:00:00,49.592994169799994,179.39592508299998
 01/06  11:00:00,49.592994169799994,158.640740228
 01/06  12:00:00,49.592994169799994,140.690809716
 01/06  13:00:00,49.592994169799994,129.664746221
 01/06  14:00:00,49.592994169799994,122.518068054
 01/06  15:00:00,49.592994169799994,119.97191530799999
 01/06  16:00:00,49.592994169799994,118.229567341
 01/06  17:00:00,53.4213275031,129.666805604
 01/06  18:00:00,61.07799416979999,143.81002716
 01/06  19:00:00,49.2332049562,152.719860069
 01/06  20:00:00,49.2332049562,162.08245816
 01/06  21:00:00,44.685717276999995,169.414925133
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1436462057,1.11357787749
 01/06  24:00:00,15.173301051300001,2.01792986808
 01/07  01:00:00,14.8322852902,5.053617805880001
 01/07  02:00:00,14.863883621400001,5.93803673742
 01/07  03:00:00,14.9126203421,7.395208660800001
 01/07  04:00:00,15.067029513,12.0343412537
 01/07  05:00:00,15.210682641199998,16.1370474961
 01/07  06:00:00,15.434681848699999,22.646802480700003
 01/07  07:00:00,23.3231858086,253.038571175
 01/07  08:00:00,16.9249332268,215.14247868
 01/07  09:00:00,24.1057419186,187.35129564
 01/07  10:00:00,37.7482049562,155.574088883
 01/07  11:00:00,49.592994169799994,130.65641469
 01/07  12:00:00,49.592994169799994,112.90012339200001
 01/07  13:00:00,49.592994169799994,103.169824544
 01/07  14:00:00,49.592994169799994,94.76394595219999
 01/07  15:00:00,49.592994169799994,89.92431489479999
 01/07  16:00:00,49.592994169799994,90.06114472430001
 01/07  17:00:00,53.4213275031,94.88526265899999
 01/07  18:00:00,61.07799416979999,103.42257687799999
 01/07  19:00:00,44.685717276999995,120.210069494
 01/07  20:00:00,35.5907419186,129.24575676
 01/07  21:00:00,35.5907419186,134.75575961299998
 01/07  22:00:00,26.4957665602,146.274203323
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.657580751600001,0.0
 01/08  02:00:00,14.6864705698,0.8804763307790001
 01/08  03:00:00,14.7276257732,2.13550269248
 01/08  04:00:00,14.8164096195,4.56084354531
 01/08  05:00:00,14.8718986248,6.1899349284800005
 01/08  06:00:00,14.849675726700001,5.511831139119999
 01/08  07:00:00,14.902212595,7.05589701618
 01/08  08:00:00,5.32020874746,6.796243760019999
 01/08  09:00:00,15.0107665602,224.06530241
 01/08  10:00:00,15.0107665602,167.22897821799998
 01/08  11:00:00,28.653229597800003,129.132188659
 01/08  12:00:00,28.653229597800003,111.18627261200001
 01/08  13:00:00,37.7482049562,93.15632746850001
 01/08  14:00:00,37.7482049562,85.686246734
 01/08  15:00:00,37.7482049562,81.7752522985
 01/08  16:00:00,37.7482049562,84.71710531810001
 01/08  17:00:00,41.5765382895,89.59123075469999
 01/08  18:00:00,40.1382295978,119.390859221
 01/08  19:00:00,31.0432542394,132.606427707
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.657580751600001,0.0
 01/08  24:00:00,14.657580751600001,0.0
 01/09  01:00:00,15.133173839400001,0.798437653333
 01/09  02:00:00,15.1540168578,1.4371759257899999
 01/09  03:00:00,15.166247596600002,1.80174566568
 01/09  04:00:00,15.2552272752,4.26380120773
 01/09  05:00:00,15.265061675999998,4.58036088124
 01/09  06:00:00,15.3262564677,6.28752446364
 01/09  07:00:00,23.7726042646,239.92923211599998
 01/09  08:00:00,21.472420906,200.80469894799998
 01/09  09:00:00,33.200717276999995,179.98584685900002
 01/09  10:00:00,49.592994169799994,151.780832589
 01/09  11:00:00,49.592994169799994,137.174917445
 01/09  12:00:00,49.592994169799994,121.913394185
 01/09  13:00:00,49.592994169799994,112.691744427
 01/09  14:00:00,49.592994169799994,104.99602985899999
 01/09  15:00:00,49.592994169799994,100.48780517200001
 01/09  16:00:00,49.592994169799994,100.700521834
 01/09  17:00:00,53.4213275031,106.140449742
 01/09  18:00:00,61.07799416979999,114.375242571
 01/09  19:00:00,49.2332049562,121.388985103
 01/09  20:00:00,49.2332049562,130.857215609
 01/09  21:00:00,44.685717276999995,137.34355948700002
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1382734147,0.9517193674940001
 01/10  01:00:00,15.1947820093,2.59880532468
 01/10  02:00:00,15.311574466600002,5.89394906005
 01/10  03:00:00,15.3915300685,8.28605044379
 01/10  04:00:00,15.737346461500001,18.3939916841
 01/10  05:00:00,16.006394157,26.246809902800003
 01/10  06:00:00,16.0978042528,28.8634333758
 01/10  07:00:00,23.7726042646,260.06696359
 01/10  08:00:00,21.472420906,257.597191759
 01/10  09:00:00,33.200717276999995,230.037604208
 01/10  10:00:00,49.592994169799994,184.94527128400003
 01/10  11:00:00,49.592994169799994,158.414755321
 01/10  12:00:00,49.592994169799994,141.73348569700002
 01/10  13:00:00,49.592994169799994,140.181121404
 01/10  14:00:00,49.592994169799994,140.19460259
 01/10  15:00:00,49.592994169799994,141.010134535
 01/10  16:00:00,49.592994169799994,142.531561383
 01/10  17:00:00,53.4213275031,155.645576679
 01/10  18:00:00,61.07799416979999,174.245932085
 01/10  19:00:00,49.2332049562,189.61682624099998
 01/10  20:00:00,49.2332049562,204.778480403
 01/10  21:00:00,44.685717276999995,214.63612903799998
 01/10  22:00:00,22.4125410716,1.0608049556399999
 01/10  23:00:00,15.404116645699999,8.589346316030001
 01/10  24:00:00,15.9727324896,25.3110798861
 01/11  01:00:00,16.333474308099998,35.7188392912
 01/11  02:00:00,16.5058708959,40.8541154982
 01/11  03:00:00,16.7787098861,48.7007796214
 01/11  04:00:00,16.8447237721,50.7891222505
 01/11  05:00:00,17.0664487032,57.1036762708
 01/11  06:00:00,17.0026537983,55.431426319799996
 01/11  07:00:00,23.7726042646,260.06696359
 01/11  08:00:00,21.472420906,260.06696359
 01/11  09:00:00,33.200717276999995,250.905422729
 01/11  10:00:00,49.592994169799994,195.17620891099997
 01/11  11:00:00,49.592994169799994,163.513541323
 01/11  12:00:00,49.592994169799994,135.746172887
 01/11  13:00:00,49.592994169799994,115.93064884799999
 01/11  14:00:00,49.592994169799994,96.9652542678
 01/11  15:00:00,49.592994169799994,81.156597134
 01/11  16:00:00,49.592994169799994,67.1641977278
 01/11  17:00:00,53.4213275031,63.354827951000004
 01/11  18:00:00,61.07799416979999,67.2720540768
 01/11  19:00:00,49.2332049562,70.9421310009
 01/11  20:00:00,49.2332049562,76.4683470046
 01/11  21:00:00,44.685717276999995,77.4779595567
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1069992076,0.0
 01/12  07:00:00,23.7726042646,162.52477617600002
 01/12  08:00:00,21.472420906,123.15857294899999
 01/12  09:00:00,33.200717276999995,100.51502838200001
 01/12  10:00:00,49.592994169799994,68.64808548
 01/12  11:00:00,49.592994169799994,52.6923314117
 01/12  12:00:00,49.592994169799994,41.068501534
 01/12  13:00:00,49.592994169799994,35.1793145224
 01/12  14:00:00,49.592994169799994,32.2972448665
 01/12  15:00:00,49.592994169799994,31.7755461906
 01/12  16:00:00,49.592994169799994,32.0406807286
 01/12  17:00:00,53.4213275031,34.6963724231
 01/12  18:00:00,61.07799416979999,35.6315496935
 01/12  19:00:00,49.2332049562,33.197072623400004
 01/12  20:00:00,49.2332049562,37.7368749529
 01/12  21:00:00,44.685717276999995,41.549405586599995
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1069992076,0.0
 01/13  03:00:00,15.1069992076,0.0
 01/13  04:00:00,15.1069992076,0.0
 01/13  05:00:00,15.1069992076,0.0
 01/13  06:00:00,15.1069992076,0.0
