Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,130.671858153,6.233427709430001
 01/01  02:00:00,212.340177208,19.2582468429
 01/01  03:00:00,197.26265308799998,24.662733051999997
 01/01  04:00:00,200.23085922,39.7011677355
 01/01  05:00:00,191.05775169900002,49.72471452439999
 01/01  06:00:00,201.41165880900002,76.45202757050001
 01/01  07:00:00,193.33501302599998,78.4467257803
 01/01  08:00:00,196.010376983,72.8507132653
 01/01  09:00:00,172.73853744,71.4595600267
 01/01  10:00:00,180.28428969400002,61.688899120600006
 01/01  11:00:00,177.556352449,38.8742431606
 01/01  12:00:00,173.06289340900003,24.913559371399998
 01/01  13:00:00,113.72091271299999,15.738745263299998
 01/01  14:00:00,100.15428886,4.85426
 01/01  15:00:00,100.188892549,4.85426
 01/01  16:00:00,100.15103409700001,4.85426
 01/01  17:00:00,99.955770951,4.85426
 01/01  18:00:00,111.887200812,13.446930809000001
 01/01  19:00:00,117.829080921,4.85426
 01/01  20:00:00,118.261467528,4.85426
 01/01  21:00:00,118.208681974,4.85426
 01/01  22:00:00,117.984977859,4.85426
 01/01  23:00:00,117.68091576399999,13.4468863959
 01/01  24:00:00,118.516519319,4.85426
 01/02  01:00:00,117.597834631,4.85426
 01/02  02:00:00,117.57986712,4.85426
 01/02  03:00:00,117.592358775,13.4544337996
 01/02  04:00:00,117.601592736,4.85426
 01/02  05:00:00,118.030262834,4.85426
 01/02  06:00:00,118.00303375600001,13.454455588
 01/02  07:00:00,193.36824855400002,1401.95957942
 01/02  08:00:00,367.55611906,931.44030102
 01/02  09:00:00,444.874671541,702.319330916
 01/02  10:00:00,444.910299978,686.245263788
 01/02  11:00:00,450.90760398099997,661.152975254
 01/02  12:00:00,451.823383495,614.392986951
 01/02  13:00:00,450.87643712,513.38351215
 01/02  14:00:00,444.917656707,444.409636575
 01/02  15:00:00,498.91956843,356.188476705
 01/02  16:00:00,570.164205702,173.68033478200002
 01/02  17:00:00,622.786681053,66.56428244050001
 01/02  18:00:00,538.2689372680001,109.60156314299999
 01/02  19:00:00,501.459946488,116.063201889
 01/02  20:00:00,479.80532961,98.24451872600001
 01/02  21:00:00,471.59623096400003,97.4082839232
 01/02  22:00:00,118.181844696,13.5186539445
 01/02  23:00:00,117.889214454,13.481240518900002
 01/02  24:00:00,118.809813913,4.85426
 01/03  01:00:00,117.930380108,13.454561054700001
 01/03  02:00:00,117.95642625100001,4.85426
 01/03  03:00:00,117.967124336,4.85426
 01/03  04:00:00,117.96512760700001,13.4545957912
