Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,23.9196075215,107.305409563
 01/02  08:00:00,29.2760908296,81.60197324880001
 01/02  09:00:00,33.347720533899995,68.55974398810001
 01/02  10:00:00,49.7399974267,48.8925123767
 01/02  11:00:00,49.7399974267,40.304119038
 01/02  12:00:00,49.7399974267,32.4385368398
 01/02  13:00:00,49.7399974267,24.319313362800003
 01/02  14:00:00,49.7399974267,18.5047196785
 01/02  15:00:00,49.7399974267,11.0463364502
 01/02  16:00:00,49.7399974267,1.05449279296
 01/02  17:00:00,49.7399974267,0.0
 01/02  18:00:00,57.3966640934,0.250389883029
 01/02  19:00:00,49.380208213100005,2.4920254916099998
 01/02  20:00:00,49.380208213100005,6.67492698009
 01/02  21:00:00,44.8327205339,9.16800098673
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1069992076,0.0
 01/03  06:00:00,15.1069992076,0.0
 01/03  07:00:00,23.9196075215,38.6189777841
 01/03  08:00:00,29.2760908296,26.058453441999998
 01/03  09:00:00,33.347720533899995,15.9771603252
 01/03  10:00:00,49.7399974267,0.626117356423
 01/03  11:00:00,49.7399974267,0.0
 01/03  12:00:00,49.7399974267,0.0
 01/03  13:00:00,49.7399974267,0.0
 01/03  14:00:00,49.7399974267,0.0
 01/03  15:00:00,49.7399974267,0.0
 01/03  16:00:00,49.828478742200005,0.0
 01/03  17:00:00,49.8824712653,0.0
 01/03  18:00:00,57.3966640934,0.0
 01/03  19:00:00,49.380208213100005,0.0
 01/03  20:00:00,49.380208213100005,0.0
 01/03  21:00:00,44.8327205339,0.0
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.1069992076,0.0
 01/04  05:00:00,15.1069992076,0.0
 01/04  06:00:00,15.1069992076,0.0
 01/04  07:00:00,23.9196075215,29.7661460765
 01/04  08:00:00,29.2760908296,17.3725643872
 01/04  09:00:00,33.347720533899995,7.554881299139999
 01/04  10:00:00,49.7399974267,0.0
 01/04  11:00:00,49.7399974267,0.0
 01/04  12:00:00,49.7399974267,0.0
 01/04  13:00:00,49.7399974267,0.0
 01/04  14:00:00,49.74395693899999,0.0
 01/04  15:00:00,49.9740506175,0.0
 01/04  16:00:00,50.336558073999996,0.0
 01/04  17:00:00,50.328450376899994,0.0
 01/04  18:00:00,57.7569333113,0.0
 01/04  19:00:00,49.3950448947,0.0
 01/04  20:00:00,49.380208213100005,0.0
 01/04  21:00:00,44.8327205339,0.0
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1069992076,0.0
 01/05  06:00:00,15.1069992076,0.0
 01/05  07:00:00,23.9196075215,109.498328141
 01/05  08:00:00,29.2760908296,96.7470259733
 01/05  09:00:00,33.347720533899995,95.3365326419
 01/05  10:00:00,49.7399974267,84.2831411465
 01/05  11:00:00,49.7399974267,82.3456294314
 01/05  12:00:00,49.7399974267,73.9168472181
 01/05  13:00:00,49.7399974267,73.1432938559
 01/05  14:00:00,49.7399974267,73.0552159746
 01/05  15:00:00,49.7399974267,76.6748890345
 01/05  16:00:00,49.7399974267,76.9411011082
 01/05  17:00:00,49.7399974267,80.0746744659
 01/05  18:00:00,57.3966640934,86.20432601379999
 01/05  19:00:00,49.380208213100005,91.8309835534
 01/05  20:00:00,49.380208213100005,99.59801287200001
 01/05  21:00:00,44.8327205339,103.371545024
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1069992076,0.0
 01/06  03:00:00,15.1069992076,0.0
 01/06  04:00:00,15.1335416979,0.793664862525
 01/06  05:00:00,15.1508523728,1.31333380627
 01/06  06:00:00,15.1657442782,1.7497552806
 01/06  07:00:00,23.9196075215,216.119451507
 01/06  08:00:00,29.2760908296,178.86664706
 01/06  09:00:00,33.347720533899995,168.973838425
 01/06  10:00:00,49.7399974267,147.399201309
 01/06  11:00:00,49.7399974267,128.918607174
 01/06  12:00:00,49.7399974267,109.16142308799999
 01/06  13:00:00,49.7399974267,101.199786785
 01/06  14:00:00,49.7399974267,92.700005353
 01/06  15:00:00,49.7399974267,87.0951737691
 01/06  16:00:00,49.7399974267,82.98972549850001
 01/06  17:00:00,49.7399974267,93.937948796
 01/06  18:00:00,57.3966640934,114.542857481
 01/06  19:00:00,49.380208213100005,131.153366382
 01/06  20:00:00,49.380208213100005,146.006575638
 01/06  21:00:00,44.8327205339,156.99713296
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.132650486,0.7653031397519999
 01/06  24:00:00,15.202937305,2.76697922544
 01/07  01:00:00,14.9149063798,7.27779740582
 01/07  02:00:00,15.0898786223,12.3915498266
 01/07  03:00:00,15.5268213176,24.749176443400003
 01/07  04:00:00,15.576930022300001,26.2105009527
 01/07  05:00:00,15.8311023903,33.3951849062
 01/07  06:00:00,15.797952164200002,32.5225333823
 01/07  07:00:00,23.4701890655,257.097933221
 01/07  08:00:00,24.728603150399998,255.16393655099998
 01/07  09:00:00,24.252745175500003,233.782279719
 01/07  10:00:00,37.8952082131,191.006532535
 01/07  11:00:00,49.7399974267,156.199716145
 01/07  12:00:00,49.7399974267,127.793572361
 01/07  13:00:00,49.7399974267,110.234318789
 01/07  14:00:00,49.7399974267,97.55852794540002
 01/07  15:00:00,49.7399974267,91.651390581
 01/07  16:00:00,49.7399974267,89.0552528016
 01/07  17:00:00,49.7399974267,92.29961642059999
 01/07  18:00:00,57.3966640934,105.161834446
 01/07  19:00:00,44.8327205339,130.052357562
 01/07  20:00:00,35.7377451755,140.59794145799998
 01/07  21:00:00,35.7377451755,144.888807781
 01/07  22:00:00,26.6427698171,159.134068418
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.719915305899999,1.8581976090299999
 01/08  02:00:00,14.8092403778,4.275190020819999
 01/08  03:00:00,14.9068283817,7.0424609145
 01/08  04:00:00,14.9328296403,7.82125931714
 01/08  05:00:00,15.075635415999999,12.0314856469
 01/08  06:00:00,15.1363804498,13.6088682195
 01/08  07:00:00,15.231113931800001,16.3768347974
 01/08  08:00:00,13.328802041500001,16.655034888699998
 01/08  09:00:00,15.1577698171,239.669554787
 01/08  10:00:00,15.1577698171,195.14740397900002
 01/08  11:00:00,28.8002328547,166.516019602
 01/08  12:00:00,28.8002328547,154.075013759
 01/08  13:00:00,37.8952082131,130.64805555200002
 01/08  14:00:00,37.8952082131,119.591689285
 01/08  15:00:00,37.8952082131,115.43341478399999
 01/08  16:00:00,37.8952082131,111.92095548200001
 01/08  17:00:00,37.8952082131,110.21909752299999
 01/08  18:00:00,36.4568995214,134.855826593
 01/08  19:00:00,31.190257496300003,142.79159021799998
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.657580751600001,0.0
 01/08  24:00:00,14.668759924200002,0.336399837385
 01/09  01:00:00,15.145311720999999,1.14343001654
 01/09  02:00:00,15.1510610532,1.31259720984
 01/09  03:00:00,15.225655706500001,3.39176507438
 01/09  04:00:00,15.2459167832,3.9058532709800007
 01/09  05:00:00,15.289066135499999,5.1507131391900005
 01/09  06:00:00,15.2739263965,4.68934508268
 01/09  07:00:00,23.9196075215,228.455327768
 01/09  08:00:00,29.2760908296,185.116485685
 01/09  09:00:00,33.347720533899995,164.342135066
 01/09  10:00:00,49.7399974267,137.727082793
 01/09  11:00:00,49.7399974267,123.75347883
 01/09  12:00:00,49.7399974267,113.22463690299999
 01/09  13:00:00,49.7399974267,107.750661402
 01/09  14:00:00,49.7399974267,102.03760619399999
 01/09  15:00:00,49.7399974267,102.92158628700001
 01/09  16:00:00,49.7399974267,100.897807289
 01/09  17:00:00,49.7399974267,105.63965907299999
 01/09  18:00:00,55.4824974267,113.205235126
 01/09  19:00:00,49.380208213100005,118.308967196
 01/09  20:00:00,49.380208213100005,125.928761745
 01/09  21:00:00,44.8327205339,132.760592648
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1610013891,1.61179266738
 01/10  02:00:00,15.175579991800001,1.9952936858
 01/10  03:00:00,15.279295375799999,4.888901324130001
 01/10  04:00:00,15.2990556703,5.39316464014
 01/10  05:00:00,15.407540346900001,8.55659425569
 01/10  06:00:00,15.6100880428,14.3580603361
 01/10  07:00:00,23.9196075215,253.238424393
 01/10  08:00:00,29.2760908296,228.59019896599997
 01/10  09:00:00,33.347720533899995,209.690183327
 01/10  10:00:00,49.7399974267,175.27779760400003
 01/10  11:00:00,49.7399974267,153.77440658
 01/10  12:00:00,49.7399974267,125.89186700799999
 01/10  13:00:00,49.7399974267,110.497168554
 01/10  14:00:00,49.7399974267,104.241002118
 01/10  15:00:00,49.7399974267,96.74489402180001
 01/10  16:00:00,49.7399974267,89.79840164209999
 01/10  17:00:00,49.7399974267,96.1740735136
 01/10  18:00:00,55.4824974267,113.544639019
 01/10  19:00:00,49.380208213100005,129.897944369
 01/10  20:00:00,49.380208213100005,147.09422133700002
 01/10  21:00:00,44.8327205339,156.44828582600002
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.132677037799999,0.766468955051
 01/10  24:00:00,15.220538058399999,3.2439822166
 01/11  01:00:00,15.341632165899998,6.67565752855
 01/11  02:00:00,15.5997738373,14.1013385024
 01/11  03:00:00,15.8433302405,21.0233207014
 01/11  04:00:00,16.020445834700002,25.9962738117
 01/11  05:00:00,16.1348292607,29.3028097743
 01/11  06:00:00,16.2591886683,32.8060447104
 01/11  07:00:00,23.9196075215,257.097933221
 01/11  08:00:00,29.2760908296,252.68055756799998
 01/11  09:00:00,33.347720533899995,218.66969796700002
 01/11  10:00:00,49.7399974267,165.241683349
 01/11  11:00:00,49.7399974267,131.378587066
 01/11  12:00:00,49.7399974267,99.6056142151
 01/11  13:00:00,49.7399974267,75.8851184511
 01/11  14:00:00,49.7399974267,56.7234424822
 01/11  15:00:00,49.7399974267,42.2922836982
 01/11  16:00:00,49.7399974267,31.4990608693
 01/11  17:00:00,49.7399974267,32.2680797313
 01/11  18:00:00,55.4824974267,49.2704281925
 01/11  19:00:00,49.380208213100005,66.25078862779999
 01/11  20:00:00,49.380208213100005,78.0524774566
 01/11  21:00:00,44.8327205339,86.6475338082
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1069992076,0.0
 01/12  07:00:00,23.9196075215,180.065546178
 01/12  08:00:00,29.2760908296,140.378429518
 01/12  09:00:00,33.347720533899995,116.40018641399999
 01/12  10:00:00,49.7399974267,81.6839055185
 01/12  11:00:00,49.7399974267,59.385232684399995
 01/12  12:00:00,49.7399974267,38.1504347673
 01/12  13:00:00,49.7399974267,26.2044016752
 01/12  14:00:00,49.7399974267,18.2138480896
 01/12  15:00:00,49.7399974267,12.289266089000002
 01/12  16:00:00,49.7399974267,7.29131497212
 01/12  17:00:00,49.7399974267,10.2851757842
 01/12  18:00:00,55.4824974267,27.847654669
 01/12  19:00:00,49.380208213100005,44.818683182799994
 01/12  20:00:00,49.380208213100005,62.905008954799996
 01/12  21:00:00,44.8327205339,76.2894609534
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1069992076,0.0
 01/13  03:00:00,15.1187665525,0.35563117337300004
 01/13  04:00:00,15.1500655227,1.28791032457
 01/13  05:00:00,15.1573318492,1.5017546145899998
 01/13  06:00:00,15.2363705995,3.7089891235900003
 01/13  07:00:00,23.9196075215,220.836982035
 01/13  08:00:00,29.2760908296,178.49592827599997
