Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,24.259749069899996,191.66199180700002
 01/02  08:00:00,21.9595657113,163.12493922
 01/02  09:00:00,33.6878620823,137.935456321
 01/02  10:00:00,50.0801389751,99.72689538799999
 01/02  11:00:00,50.0801389751,75.8485407501
 01/02  12:00:00,50.0801389751,54.9418397322
 01/02  13:00:00,50.0801389751,39.3124403152
 01/02  14:00:00,50.0801389751,29.9075595392
 01/02  15:00:00,50.0801389751,22.9763124733
 01/02  16:00:00,50.0801389751,20.4208858659
 01/02  17:00:00,50.0801389751,31.575529695700002
 01/02  18:00:00,59.6509723084,50.0765249868
 01/02  19:00:00,49.720349761499996,66.0733930312
 01/02  20:00:00,49.720349761499996,78.893482804
 01/02  21:00:00,45.17286208229999,87.6300956889
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.135390555299999,0.627618022587
 01/03  05:00:00,15.1693502203,1.3783290500799998
 01/03  06:00:00,15.2181640466,2.3673772946000002
 01/03  07:00:00,24.259749069899996,204.34647666599997
 01/03  08:00:00,21.9595657113,195.69587328
 01/03  09:00:00,33.6878620823,159.01946296399998
 01/03  10:00:00,50.0801389751,119.590289034
 01/03  11:00:00,50.0801389751,98.90837969549999
 01/03  12:00:00,50.0801389751,74.1822406826
 01/03  13:00:00,50.0801389751,59.1561360975
 01/03  14:00:00,50.0801389751,48.593823631599996
 01/03  15:00:00,50.0801389751,42.167098721900004
 01/03  16:00:00,50.0801389751,38.3853052237
 01/03  17:00:00,50.0801389751,46.594332236599996
 01/03  18:00:00,59.6509723084,68.46518295050001
 01/03  19:00:00,49.720349761499996,90.1172514368
 01/03  20:00:00,49.720349761499996,106.010473186
 01/03  21:00:00,45.17286208229999,119.53553164200001
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1362903969,0.647509885484
 01/04  02:00:00,15.1753584971,1.51114778387
 01/04  03:00:00,15.299692320799998,4.019287385309999
 01/04  04:00:00,15.3323487458,4.59609033648
 01/04  05:00:00,15.4510389796,7.01993550202
 01/04  06:00:00,15.5156111004,8.58844691639
 01/04  07:00:00,24.259749069899996,204.34647666599997
 01/04  08:00:00,21.9595657113,204.34647666599997
 01/04  09:00:00,33.6878620823,179.41306379099998
 01/04  10:00:00,50.0801389751,117.57809919399999
 01/04  11:00:00,50.0801389751,81.7961787645
 01/04  12:00:00,50.0801389751,51.5696251399
 01/04  13:00:00,50.0801389751,34.7056975692
 01/04  14:00:00,50.0801389751,23.286506182800004
 01/04  15:00:00,50.0801389751,17.1739187323
 01/04  16:00:00,50.0801389751,9.69402890474
 01/04  17:00:00,50.0801389751,18.2574479113
 01/04  18:00:00,59.6509723084,45.203777896000005
 01/04  19:00:00,49.720349761499996,65.7262419338
 01/04  20:00:00,49.720349761499996,85.502177859
 01/04  21:00:00,45.17286208229999,96.5496929763
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1069992076,0.0
 01/05  06:00:00,15.1069992076,0.0
 01/05  07:00:00,24.259749069899996,160.75173644
 01/05  08:00:00,21.9595657113,119.09152820799999
 01/05  09:00:00,33.6878620823,94.71435532059999
 01/05  10:00:00,50.0801389751,66.39649995810001
 01/05  11:00:00,50.0801389751,60.014053737
 01/05  12:00:00,50.0801389751,54.3110687183
 01/05  13:00:00,50.0801389751,58.8379370079
 01/05  14:00:00,50.0801389751,54.7189515593
 01/05  15:00:00,50.0801389751,54.9493293241
 01/05  16:00:00,50.0801389751,55.941729870500005
 01/05  17:00:00,50.0801389751,49.514128967
 01/05  18:00:00,59.6509723084,51.331458123000004
 01/05  19:00:00,49.720349761499996,55.16444048899999
 01/05  20:00:00,49.720349761499996,61.9020812651
 01/05  21:00:00,45.17286208229999,64.4567466338
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1069992076,0.0
 01/06  03:00:00,15.1069992076,0.0
 01/06  04:00:00,15.1069992076,0.0
 01/06  05:00:00,15.1069992076,0.0
 01/06  06:00:00,15.1069992076,0.0
 01/06  07:00:00,24.259749069899996,142.848226824
 01/06  08:00:00,21.9595657113,112.252838285
 01/06  09:00:00,33.6878620823,98.6608681512
 01/06  10:00:00,50.0801389751,72.8587745213
 01/06  11:00:00,50.0801389751,53.49718785979999
 01/06  12:00:00,50.0801389751,27.7528270796
 01/06  13:00:00,50.0801389751,9.1849584667
 01/06  14:00:00,50.0801389751,0.215695159861
 01/06  15:00:00,50.0801389751,0.0
 01/06  16:00:00,50.0801389751,0.0
 01/06  17:00:00,50.0801389751,0.0
 01/06  18:00:00,59.6509723084,1.05711790505
 01/06  19:00:00,49.720349761499996,18.24909138
 01/06  20:00:00,49.720349761499996,35.3559157727
 01/06  21:00:00,45.17286208229999,36.0023254623
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1069992076,0.0
 01/06  24:00:00,15.1069992076,0.0
 01/07  01:00:00,14.657580751600001,0.0
 01/07  02:00:00,14.657580751600001,0.0
 01/07  03:00:00,14.657580751600001,0.0
 01/07  04:00:00,14.657580751600001,0.0
 01/07  05:00:00,14.657580751600001,0.0
 01/07  06:00:00,14.657580751600001,0.0
 01/07  07:00:00,23.8103306139,173.436671412
 01/07  08:00:00,17.412078032100002,144.765223534
 01/07  09:00:00,24.592886723899998,117.242980145
 01/07  10:00:00,38.235349761500004,76.6562757298
 01/07  11:00:00,50.0801389751,55.6674032442
 01/07  12:00:00,50.0801389751,39.292169025300005
 01/07  13:00:00,50.0801389751,26.8213384969
 01/07  14:00:00,50.0801389751,16.8345361924
 01/07  15:00:00,50.0801389751,9.31269154783
 01/07  16:00:00,50.0801389751,8.044202455419999
 01/07  17:00:00,50.0801389751,12.9434210887
 01/07  18:00:00,59.6509723084,34.8531380627
 01/07  19:00:00,45.17286208229999,69.969333177
 01/07  20:00:00,36.0778867239,88.7969135224
 01/07  21:00:00,36.0778867239,100.50566537799999
 01/07  22:00:00,26.9829113655,113.58600406
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.657580751600001,0.0
 01/08  02:00:00,14.657580751600001,0.0
 01/08  03:00:00,14.657580751600001,0.0
 01/08  04:00:00,14.7124703452,1.2133872109200001
 01/08  05:00:00,14.734486345699999,1.70007205885
 01/08  06:00:00,14.7908545152,2.7931281015200002
 01/08  07:00:00,14.8500206618,3.9679585172900005
 01/08  08:00:00,5.2543146500199995,3.46292744546
 01/08  09:00:00,15.4979113655,193.469282985
 01/08  10:00:00,15.4979113655,130.189136984
 01/08  11:00:00,29.1403744031,77.67461187319999
 01/08  12:00:00,29.1403744031,47.12485123810001
 01/08  13:00:00,38.235349761500004,16.5727236179
 01/08  14:00:00,38.235349761500004,1.9507372867800001
 01/08  15:00:00,38.235349761500004,0.0
 01/08  16:00:00,38.235349761500004,0.0
 01/08  17:00:00,38.235349761500004,0.0
 01/08  18:00:00,38.7112077364,16.856859606700002
 01/08  19:00:00,31.530399044699998,41.1954525813
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.657580751600001,0.0
 01/08  24:00:00,14.657580751600001,0.0
 01/09  01:00:00,15.1069992076,0.0
 01/09  02:00:00,15.1069992076,0.0
 01/09  03:00:00,15.1069992076,0.0
 01/09  04:00:00,15.1069992076,0.0
 01/09  05:00:00,15.1069992076,0.0
 01/09  06:00:00,15.1069992076,0.0
 01/09  07:00:00,24.259749069899996,157.95715967700002
 01/09  08:00:00,21.9595657113,123.144008194
 01/09  09:00:00,33.6878620823,87.1979909993
 01/09  10:00:00,50.0801389751,30.3589812236
 01/09  11:00:00,50.0801389751,1.17525486983
 01/09  12:00:00,50.0801389751,0.0
 01/09  13:00:00,50.609960495600006,0.0
 01/09  14:00:00,52.7955757871,0.0
 01/09  15:00:00,55.011301744300006,0.0
 01/09  16:00:00,57.001281495,0.0
 01/09  17:00:00,54.490501106800004,0.0
 01/09  18:00:00,60.5821287996,0.0
 01/09  19:00:00,49.7370392199,0.0
 01/09  20:00:00,49.720349761499996,0.0
 01/09  21:00:00,45.17286208229999,0.0
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1069992076,0.0
 01/10  02:00:00,15.1069992076,0.0
 01/10  03:00:00,15.1069992076,0.0
 01/10  04:00:00,15.1069992076,0.0
 01/10  05:00:00,15.1069992076,0.0
 01/10  06:00:00,15.1069992076,0.0
 01/10  07:00:00,24.259749069899996,75.0844097854
 01/10  08:00:00,21.9595657113,49.1503740258
 01/10  09:00:00,33.6878620823,25.811211583400002
 01/10  10:00:00,50.0801389751,0.549199515554
 01/10  11:00:00,50.0801389751,0.0
 01/10  12:00:00,51.6395054129,0.0
 01/10  13:00:00,54.0044766128,0.0
 01/10  14:00:00,54.933921825,0.0
 01/10  15:00:00,55.2358263212,0.0
 01/10  16:00:00,56.169606403900005,0.0
 01/10  17:00:00,54.6564938466,0.0
 01/10  18:00:00,59.310886056099996,0.0
 01/10  19:00:00,49.87355811810001,0.0
 01/10  20:00:00,49.720349761499996,0.0
 01/10  21:00:00,45.17286208229999,0.0
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1069992076,0.0
 01/11  02:00:00,15.1069992076,0.0
 01/11  03:00:00,15.1069992076,0.0
 01/11  04:00:00,15.1069992076,0.0
 01/11  05:00:00,15.1069992076,0.0
 01/11  06:00:00,15.1069992076,0.0
 01/11  07:00:00,24.259749069899996,30.2734298625
 01/11  08:00:00,21.9595657113,27.0523242762
 01/11  09:00:00,33.6878620823,18.9146685915
 01/11  10:00:00,50.0801389751,4.13539979897
 01/11  11:00:00,50.0801389751,2.26055877462
 01/11  12:00:00,50.0801389751,0.0123614288708
 01/11  13:00:00,50.0801389751,0.0
 01/11  14:00:00,50.0801389751,0.0
 01/11  15:00:00,50.0801389751,0.0
 01/11  16:00:00,50.0801389751,0.0
 01/11  17:00:00,50.0801389751,0.0
 01/11  18:00:00,57.7368056417,0.0
 01/11  19:00:00,49.720349761499996,1.7407183009799998
 01/11  20:00:00,49.720349761499996,8.51599738152
 01/11  21:00:00,45.17286208229999,16.6356231269
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1069992076,0.0
 01/12  07:00:00,24.259749069899996,88.0133731775
 01/12  08:00:00,21.9595657113,71.022191146
 01/12  09:00:00,33.6878620823,53.6273951965
 01/12  10:00:00,50.0801389751,17.3511345699
 01/12  11:00:00,50.0801389751,1.14496440604
 01/12  12:00:00,50.0801389751,0.0
 01/12  13:00:00,50.0801389751,0.0
 01/12  14:00:00,50.092340389300006,0.0
 01/12  15:00:00,50.352918054499995,0.0
 01/12  16:00:00,50.692809948900006,0.0
 01/12  17:00:00,50.3648348817,0.0
 01/12  18:00:00,57.7368056417,0.0
 01/12  19:00:00,49.720349761499996,0.015610412996600001
 01/12  20:00:00,49.720349761499996,6.55071512299
 01/12  21:00:00,45.17286208229999,24.707774052199998
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1069992076,0.0
 01/13  03:00:00,15.1069992076,0.0
 01/13  04:00:00,15.1069992076,0.0
 01/13  05:00:00,15.1069992076,0.0
 01/13  06:00:00,15.1069992076,0.0
 01/13  07:00:00,24.259749069899996,174.610995763
 01/13  08:00:00,21.9595657113,140.37321569
 01/13  09:00:00,33.6878620823,100.833671792
 01/13  10:00:00,50.0801389751,52.2937254119
 01/13  11:00:00,50.0801389751,17.1912500591
 01/13  12:00:00,50.0801389751,0.0
