Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,55.635026403999994,3.22568
 01/01  02:00:00,55.6338099679,3.22568
 01/01  03:00:00,55.6487527387,6.088364823609999
 01/01  04:00:00,55.650365256899995,3.22568
 01/01  05:00:00,55.8948387821,3.22568
 01/01  06:00:00,55.876926831700004,6.088424096259999
 01/01  07:00:00,55.8872344122,3.22568
 01/01  08:00:00,50.105518418500004,6.088335241369999
 01/01  09:00:00,47.259671320900004,3.22568
 01/01  10:00:00,47.2904703057,6.08986291233
 01/01  11:00:00,47.299654408100004,3.22568
 01/01  12:00:00,47.9760819419,6.0897887509599995
 01/01  13:00:00,47.27765877109999,3.22568
 01/01  14:00:00,47.3094125007,6.08993862559
 01/01  15:00:00,47.312579658000004,3.22568
 01/01  16:00:00,47.2859073093,6.088329086919999
 01/01  17:00:00,47.1852469821,3.22568
 01/01  18:00:00,54.334695415,6.08838843946
 01/01  19:00:00,55.7601775016,3.22568
 01/01  20:00:00,56.008741861400004,3.22568
 01/01  21:00:00,55.9878195701,6.088447713480001
 01/01  22:00:00,55.8473267491,3.22568
 01/01  23:00:00,55.6643732601,6.08835887903
 01/01  24:00:00,56.349257800299995,3.22568
 01/02  01:00:00,55.658888693,3.22568
 01/02  02:00:00,55.6377318682,6.08996060982
 01/02  03:00:00,55.6152310705,6.0898895265499995
 01/02  04:00:00,55.6038295912,3.22568
 01/02  05:00:00,55.8431243091,6.0898184336000005
 01/02  06:00:00,55.8344481647,3.22568
 01/02  07:00:00,73.0074579164,36.737936211
 01/02  08:00:00,132.092654104,27.771295172800002
 01/02  09:00:00,176.693612937,44.065747690100004
 01/02  10:00:00,180.843194215,49.826808058000005
 01/02  11:00:00,193.55021586400002,54.343339451000006
 01/02  12:00:00,199.89842258,52.5071480723
 01/02  13:00:00,202.618743928,52.5230030433
 01/02  14:00:00,201.179664958,39.459835010700004
 01/02  15:00:00,207.30779821599998,33.4932469654
 01/02  16:00:00,208.160971154,23.614988234000002
 01/02  17:00:00,194.725390668,6.12816634141
 01/02  18:00:00,148.304876596,6.14014200334
 01/02  19:00:00,144.955298907,10.5415780188
 01/02  20:00:00,141.455975997,16.0157226174
 01/02  21:00:00,140.513478142,21.1429324692
 01/02  22:00:00,55.806964218500006,8.9800149961
 01/02  23:00:00,55.6534025483,6.095309573810001
 01/02  24:00:00,56.363886869,6.09291019908
 01/03  01:00:00,55.660889660100004,6.0899326471399995
 01/03  02:00:00,55.6695153971,3.22568
 01/03  03:00:00,55.6801842476,6.0898645704
 01/03  04:00:00,55.683391316999995,3.22568
 01/03  05:00:00,56.9036214076,6.08979645806
