Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.799605803,6.41512148629
 01/01  02:00:00,9.776593063089999,3.59317664084
 01/01  03:00:00,9.82105694234,3.0211
 01/01  04:00:00,9.83662116738,3.5931566838999998
 01/01  05:00:00,9.99844823979,3.0211
 01/01  06:00:00,13.9773633757,5.97820094061
 01/01  07:00:00,28.477639414000002,14.670170028900001
 01/01  08:00:00,26.5621466061,22.1729626467
 01/01  09:00:00,20.9430680278,16.7434728841
 01/01  10:00:00,21.0552541552,16.1707731868
 01/01  11:00:00,26.928422309499997,37.0505405886
 01/01  12:00:00,29.0554324875,45.1266900528
 01/01  13:00:00,28.180365666799997,38.9010514285
 01/01  14:00:00,27.4666509694,34.9734070358
 01/01  15:00:00,21.343633991199997,23.894084370799998
 01/01  16:00:00,20.961572569,21.8198601946
 01/01  17:00:00,20.9184561769,25.3946015338
 01/01  18:00:00,28.4062229851,28.3977065625
 01/01  19:00:00,28.6631306293,29.5468325794
 01/01  20:00:00,28.8348644715,30.1211928715
 01/01  21:00:00,23.5570691994,25.3959705494
 01/01  22:00:00,23.4647810057,25.0453841414
 01/01  23:00:00,23.3385482686,21.4681521768
 01/01  24:00:00,24.4792606528,4.73916686756
 01/02  01:00:00,14.0529142524,4.77284527758
 01/02  02:00:00,9.7952991145,3.59319204795
 01/02  03:00:00,9.79844350134,3.0211
 01/02  04:00:00,9.79651005649,3.5931832084599997
 01/02  05:00:00,9.95604584172,3.0211
 01/02  06:00:00,13.9238286269,8.857149280069999
 01/02  07:00:00,28.403720286,15.4999790721
 01/02  08:00:00,26.4814391463,26.197522841599998
 01/02  09:00:00,20.8523335423,19.044008366
 01/02  10:00:00,20.887453572200002,19.0422484115
 01/02  11:00:00,25.9287105516,36.4740225788
 01/02  12:00:00,27.656361418400003,43.9776176959
 01/02  13:00:00,27.623321395399998,39.474923249899994
 01/02  14:00:00,27.594365664,34.3988720886
 01/02  15:00:00,22.295246584,23.893843131799997
 01/02  16:00:00,22.1235763047,21.819501410100003
 01/02  17:00:00,21.743239831900002,24.8213004973
 01/02  18:00:00,28.527852258000003,28.9713601363
 01/02  19:00:00,28.5909630963,30.1233623342
 01/02  20:00:00,28.5244047295,30.1251981044
 01/02  21:00:00,23.491378574000002,27.1201908984
 01/02  22:00:00,23.4083874105,25.0470099725
 01/02  23:00:00,23.276007024400002,22.068390459299998
 01/02  24:00:00,24.4038480586,5.3671547120300005
 01/03  01:00:00,13.9853653655,6.98990126007
 01/03  02:00:00,9.786420498730001,3.0211
 01/03  03:00:00,9.8274115407,3.59316085409
 01/03  04:00:00,9.84266221991,3.0211
 01/03  05:00:00,10.5911292175,3.5931667753199994
 01/03  06:00:00,14.5408336369,6.557266168150001
 01/03  07:00:00,28.714528584,14.670224920699999
 01/03  08:00:00,26.5390899842,26.1963793338
 01/03  09:00:00,20.9138550057,19.6187582453
 01/03  10:00:00,20.9833354021,18.467960929500002
 01/03  11:00:00,26.522598456100003,36.4737096616
 01/03  12:00:00,28.5978379682,43.9774381508
 01/03  13:00:00,28.592659738600002,39.4747685301
 01/03  14:00:00,28.5751780743,34.3981628695
 01/03  15:00:00,22.934203696500003,23.8933744329
 01/03  16:00:00,22.7056775883,21.819936851799998
 01/03  17:00:00,22.5507047795,25.394614244899998
 01/03  18:00:00,29.5692946277,28.9710916567
 01/03  19:00:00,29.9177258896,29.5487814023
 01/03  20:00:00,29.593417290599998,30.6982986389
 01/03  21:00:00,24.392307099699998,26.546199969099998
 01/03  22:00:00,24.3542048483,25.620661675300003
 01/03  23:00:00,24.1189254466,21.4691897963
 01/03  24:00:00,24.8002474081,5.31307063642
 01/04  01:00:00,14.1161459022,4.764567872200001
 01/04  02:00:00,9.86009010585,3.5931585334300005
 01/04  03:00:00,9.878224769310002,3.0211
 01/04  04:00:00,9.88685882621,3.59316445835
 01/04  05:00:00,10.0588989145,3.0211
 01/04  06:00:00,14.0469094302,4.55721307397
 01/04  07:00:00,28.5535632643,15.2427831475
 01/04  08:00:00,27.2042098932,25.6230032282
 01/04  09:00:00,21.672195362199997,19.6194421796
 01/04  10:00:00,22.160150432600002,19.0425913206
 01/04  11:00:00,28.0191632839,35.900623493699996
 01/04  12:00:00,30.3736197183,44.5522551497
 01/04  13:00:00,30.242826785300004,39.4750469292
