Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,67.7667426715,58.2023379774
 01/02  02:00:00,91.758602536,93.2888843683
 01/02  03:00:00,71.14848974350001,60.383847815
 01/02  04:00:00,85.09723550689999,88.33976563629999
 01/02  05:00:00,130.00377187,111.67223665600001
 01/02  06:00:00,140.834982008,181.950114437
 01/02  07:00:00,204.476708214,147.992796231
 01/02  08:00:00,224.72591095599998,128.837001184
 01/02  09:00:00,236.96983023,123.34482503
 01/02  10:00:00,250.39064009900002,128.94605738200002
 01/02  11:00:00,254.17176242,117.39138653799999
 01/02  12:00:00,257.84529995400004,114.871845637
 01/02  13:00:00,246.89054368400002,121.29518102
 01/02  14:00:00,260.789136963,110.64543132600001
 01/02  15:00:00,263.639256219,115.776311208
 01/02  16:00:00,264.82500255900004,103.36805789799999
 01/02  17:00:00,263.45232934,106.169464609
 01/02  18:00:00,272.675460246,106.572793046
 01/02  19:00:00,174.338210813,85.5518058805
 01/02  20:00:00,177.47305761299998,81.9971523398
 01/02  21:00:00,149.578577046,95.5480761117
 01/02  22:00:00,103.68828875,60.494987027
 01/02  23:00:00,91.3741200313,84.9894445994
 01/02  24:00:00,74.6503933796,58.12347840859999
 01/03  01:00:00,94.29312855110001,90.9623391072
 01/03  02:00:00,77.07057382890001,59.534794134399995
 01/03  03:00:00,87.82966467780001,84.8243387655
 01/03  04:00:00,74.2461011115,54.9171818334
 01/03  05:00:00,138.97223635,111.11305237399999
 01/03  06:00:00,145.957174475,180.08713187200001
 01/03  07:00:00,211.655138567,146.614029879
 01/03  08:00:00,233.122506409,127.42620888
 01/03  09:00:00,246.55211155599997,130.226543225
 01/03  10:00:00,259.567603321,118.13864132299999
 01/03  11:00:00,261.348735612,115.14176915899999
 01/03  12:00:00,264.629701187,119.767640201
 01/03  13:00:00,256.21729179,102.108543885
 01/03  14:00:00,272.584865563,99.8454880002
 01/03  15:00:00,273.72550446900004,86.5950410919
 01/03  16:00:00,272.767266854,89.7772846734
 01/03  17:00:00,269.765072653,104.27246213
 01/03  18:00:00,275.988064156,102.385758223
 01/03  19:00:00,175.820417432,74.0650510458
 01/03  20:00:00,178.203835495,79.6350891676
 01/03  21:00:00,150.21621201600001,93.6409770322
 01/03  22:00:00,103.25768613,56.171606645299995
 01/03  23:00:00,92.71692048930001,83.8872295412
 01/03  24:00:00,76.0908280275,53.7378973089
 01/04  01:00:00,98.0049379826,88.300086076
 01/04  02:00:00,70.8112148113,66.6143146002
 01/04  03:00:00,99.06540451149999,92.3867915573
 01/04  04:00:00,70.7355873624,58.5408513724
 01/04  05:00:00,140.417018929,111.150966937
 01/04  06:00:00,146.441487538,179.50081116200002
 01/04  07:00:00,214.52525555900002,145.862682143
 01/04  08:00:00,236.822968445,126.432848063
 01/04  09:00:00,251.14116329200002,118.34899089
 01/04  10:00:00,265.35042604299997,108.540498264
 01/04  11:00:00,268.72520325,106.94948563700001
 01/04  12:00:00,269.764219108,93.46988263850001
 01/04  13:00:00,257.426259791,103.130150544
 01/04  14:00:00,269.828065647,92.67090206030001
 01/04  15:00:00,269.685570415,93.31170715209998
 01/04  16:00:00,268.667281581,104.72982240200001
 01/04  17:00:00,267.622981753,97.03613985530001
 01/04  18:00:00,278.42315102099997,96.9843687079
 01/04  19:00:00,180.206414242,82.9635087962
 01/04  20:00:00,183.525899275,80.2856724981
 01/04  21:00:00,156.757465604,93.76194353049999
 01/04  22:00:00,109.737601766,61.2190340342
 01/04  23:00:00,105.422364309,83.2737863004
 01/04  24:00:00,78.0788936972,57.6166729865
 01/05  01:00:00,103.45285639,91.5609784699
 01/05  02:00:00,82.38659891520001,61.7522964632
 01/05  03:00:00,94.8092185397,86.60029996729999
 01/05  04:00:00,78.2600381707,55.452413066000005
 01/05  05:00:00,140.27692225200002,108.99834471700001
 01/05  06:00:00,146.51658900200002,179.74589943400002
 01/05  07:00:00,201.993352888,146.699669874
 01/05  08:00:00,213.60606279799998,126.242131477
 01/05  09:00:00,227.269732173,125.862480026
 01/05  10:00:00,243.064375556,110.333898495
 01/05  11:00:00,246.48197851700002,104.96523378100001
 01/05  12:00:00,250.434403136,109.662848754
 01/05  13:00:00,241.923659605,97.9049351876
 01/05  14:00:00,256.134615643,103.671053912
 01/05  15:00:00,256.98729992299997,93.1222734723
 01/05  16:00:00,255.86215379200002,92.741682846
 01/05  17:00:00,252.50727926099998,103.2281046
 01/05  18:00:00,257.267611874,99.4571462509
 01/05  19:00:00,160.181698791,73.2423452365
 01/05  20:00:00,156.863651225,79.8979325948
 01/05  21:00:00,129.931722079,94.4759814967
 01/05  22:00:00,92.1035649891,60.2311460201
 01/05  23:00:00,76.3073006364,85.1024761705
 01/05  24:00:00,68.4856415351,57.1207025274
 01/06  01:00:00,76.75225641729999,92.9505747443
 01/06  02:00:00,67.40266139319999,60.1373869174
 01/06  03:00:00,74.84241262270001,94.3743221202
 01/06  04:00:00,66.6317926191,54.7930898857
 01/06  05:00:00,122.49463057700001,112.65816583
 01/06  06:00:00,134.617397759,181.775626843
 01/06  07:00:00,189.869982717,148.414673867
 01/06  08:00:00,205.29937157700002,129.588410642
 01/06  09:00:00,214.98447671099999,124.14567812700001
 01/06  10:00:00,227.424796413,120.928422809
 01/06  11:00:00,227.679662348,126.852184347
 01/06  12:00:00,227.77648596,116.13033704200001
 01/06  13:00:00,214.42584648599998,123.081525469
 01/06  14:00:00,225.7044661,112.90768771100001
 01/06  15:00:00,226.82522246599999,111.73363023700001
 01/06  16:00:00,226.092413517,119.70305412799999
 01/06  17:00:00,224.877099654,111.27110686799999
 01/06  18:00:00,236.852069027,111.45778373200001
 01/06  19:00:00,146.711410469,90.6713205404
 01/06  20:00:00,148.578992398,87.472603849
 01/06  21:00:00,118.629473727,101.18143778299999
 01/06  22:00:00,87.51339572229999,63.272769556499995
 01/06  23:00:00,75.3998647446,98.2406886931
 01/06  24:00:00,73.652379519,80.60234951380001
 01/07  01:00:00,75.1497788404,102.17059602200001
 01/07  02:00:00,70.96605248520001,82.61789843310001
 01/07  03:00:00,80.2627808907,104.993292471
 01/07  04:00:00,68.52774809649999,85.2065234886
 01/07  05:00:00,88.9842449824,126.09524557
 01/07  06:00:00,90.9674194405,127.49640663
 01/07  07:00:00,117.230187463,113.995455349
 01/07  08:00:00,172.381987825,173.960224189
 01/07  09:00:00,170.465191932,170.766954941
 01/07  10:00:00,194.04882839799998,160.85556578
 01/07  11:00:00,193.336655092,165.871082792
 01/07  12:00:00,193.01346538599998,155.616353592
 01/07  13:00:00,181.40583850299998,152.660018975
 01/07  14:00:00,178.263410747,148.872435448
 01/07  15:00:00,179.273606818,148.02802769
 01/07  16:00:00,134.480947412,87.1597933191
 01/07  17:00:00,135.759777229,93.6470795694
 01/07  18:00:00,136.30716039799998,88.4987403019
 01/07  19:00:00,95.7791723544,109.941473927
 01/07  20:00:00,101.077899895,115.82037896
 01/07  21:00:00,103.56043294700001,123.865423769
 01/07  22:00:00,92.0504711464,102.47484219100001
 01/07  23:00:00,90.28912716069999,87.8402513698
 01/07  24:00:00,95.50485878389999,110.20496021700001
 01/08  01:00:00,90.09875814719999,89.69968243379999
 01/08  02:00:00,95.3055158774,112.861374346
 01/08  03:00:00,91.59625431799999,91.29711781280001
 01/08  04:00:00,96.1943676258,114.277418745
 01/08  05:00:00,91.9772681321,92.2801694847
 01/08  06:00:00,95.44246461549999,115.48672559399999
 01/08  07:00:00,91.4890961275,93.2706270079
 01/08  08:00:00,79.03050950020001,116.555957194
 01/08  09:00:00,101.511679628,91.5446723007
 01/08  10:00:00,104.38765456799999,111.57089041200001
 01/08  11:00:00,100.51880459700001,89.7799824183
 01/08  12:00:00,104.11240662899999,110.413412989
 01/08  13:00:00,100.19233671200001,89.28098076469999
 01/08  14:00:00,103.549652494,110.318783758
 01/08  15:00:00,102.74321693600001,91.45345222200001
 01/08  16:00:00,106.087074607,113.85491147100001
 01/08  17:00:00,85.1225606564,91.012223847
 01/08  18:00:00,91.06446649290001,116.047354055
 01/08  19:00:00,91.97372012870001,103.77190175
 01/08  20:00:00,95.19108325549999,118.91105847700001
 01/08  21:00:00,93.4433640306,96.0245142503
 01/08  22:00:00,95.67699546829999,119.62895289299999
 01/08  23:00:00,95.1347969007,96.42520968059999
 01/08  24:00:00,98.4422282645,120.096725659
 01/09  01:00:00,99.6865313219,96.108757269
 01/09  02:00:00,101.556174564,119.193373623
 01/09  03:00:00,99.5302596833,95.9777561212
 01/09  04:00:00,101.343800425,119.410937652
 01/09  05:00:00,127.214155735,136.45559388700002
 01/09  06:00:00,165.08666520100002,208.41008844700002
 01/09  07:00:00,220.96660141599997,175.603979677
 01/09  08:00:00,224.530067036,153.602429819
 01/09  09:00:00,227.033836537,144.30735198600001
 01/09  10:00:00,236.396927495,147.640427802
 01/09  11:00:00,238.93934240000002,135.182077293
 01/09  12:00:00,239.08218184700002,140.582734593
 01/09  13:00:00,226.37769066299998,129.40746979999997
 01/09  14:00:00,234.806725847,127.26281212200001
 01/09  15:00:00,233.613308198,134.20615545799998
 01/09  16:00:00,233.10259358,124.45089342200001
 01/09  17:00:00,233.43318373099999,123.649181947
 01/09  18:00:00,245.799153633,131.490671529
 01/09  19:00:00,145.651737067,92.85154583459999
 01/09  20:00:00,152.862285284,97.77071922569999
 01/09  21:00:00,124.35710508700001,111.11943119899999
 01/09  22:00:00,111.519888682,95.2424742365
 01/09  23:00:00,90.8233895103,84.2093207679
 01/09  24:00:00,107.563182778,107.21397555600001
 01/10  01:00:00,93.289741068,87.046410925
 01/10  02:00:00,108.60211021200001,109.641701896
 01/10  03:00:00,94.67385262379999,88.9417751139
 01/10  04:00:00,112.51279419299999,111.862567453
 01/10  05:00:00,130.092222902,125.984656466
 01/10  06:00:00,179.327491561,198.51747305
 01/10  07:00:00,216.26069305599998,163.884788848
 01/10  08:00:00,216.30195964799998,149.27035012
 01/10  09:00:00,219.19508253400002,131.278414356
 01/10  10:00:00,229.97008576599998,123.652353336
 01/10  11:00:00,230.931210545,125.829856041
 01/10  12:00:00,232.735174906,112.501043818
 01/10  13:00:00,223.47515276200002,108.964162142
 01/10  14:00:00,236.21238848099998,114.38787881299999
 01/10  15:00:00,238.13394469,103.5273578
 01/10  16:00:00,234.73994269599999,111.69167815799999
 01/10  17:00:00,229.858312303,104.671228655
 01/10  18:00:00,241.34134944099998,107.92161203100001
 01/10  19:00:00,151.31296152299998,81.04277578850001
 01/10  20:00:00,151.540726271,88.3790360324
 01/10  21:00:00,131.614786428,111.398958191
 01/10  22:00:00,105.856969739,89.26188546379998
 01/10  23:00:00,77.9583849951,79.5693722317
 01/10  24:00:00,95.69169600069999,102.049145076
