Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,24.238173440500002,12.7616997941
 01/02  08:00:00,20.0238234153,5.951851683759999
 01/02  09:00:00,33.666286452899996,0.398673164214
 01/02  10:00:00,50.058563345699994,0.0
 01/02  11:00:00,50.058563345699994,0.0
 01/02  12:00:00,50.058563345699994,0.0
 01/02  13:00:00,50.204439852700006,0.0
 01/02  14:00:00,51.0888572146,0.0
 01/02  15:00:00,52.8579033845,0.0
 01/02  16:00:00,55.9412772413,0.0
 01/02  17:00:00,54.6670823813,0.0
 01/02  18:00:00,61.549647037,0.0
 01/02  19:00:00,50.5350081435,0.0
 01/02  20:00:00,49.870046054300005,0.0
 01/02  21:00:00,45.1512864529,0.0
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1069992076,0.0
 01/03  06:00:00,15.1069992076,0.0
 01/03  07:00:00,24.238173440500002,0.0
 01/03  08:00:00,20.0238234153,0.0
 01/03  09:00:00,33.666286452899996,0.0
 01/03  10:00:00,50.058563345699994,0.0
 01/03  11:00:00,50.2680729111,0.0
 01/03  12:00:00,53.2121752395,0.0
 01/03  13:00:00,58.619995681899994,0.0
 01/03  14:00:00,63.1002280242,0.0
 01/03  15:00:00,64.3272656945,0.0
 01/03  16:00:00,64.3741114129,0.0
 01/03  17:00:00,61.7691578672,0.0
 01/03  18:00:00,66.7086591556,0.0
 01/03  19:00:00,53.440299042700005,0.0
 01/03  20:00:00,50.864907447600004,0.0
 01/03  21:00:00,45.3556077998,0.0
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.1069992076,0.0
 01/04  05:00:00,15.1069992076,0.0
 01/04  06:00:00,15.1069992076,0.0
 01/04  07:00:00,24.238173440500002,0.0
 01/04  08:00:00,20.0238234153,0.0
 01/04  09:00:00,33.666286452899996,0.0
 01/04  10:00:00,50.507901402799995,0.0
 01/04  11:00:00,54.291445789899996,0.0
 01/04  12:00:00,58.3636331588,0.0
 01/04  13:00:00,58.9912756374,0.0
 01/04  14:00:00,59.6709714036,0.0
 01/04  15:00:00,59.9844531589,0.0
 01/04  16:00:00,60.095906765500004,0.0
 01/04  17:00:00,58.5871576758,0.0
 01/04  18:00:00,65.8047541445,0.0
 01/04  19:00:00,54.149182108699996,0.0
 01/04  20:00:00,52.244593174799995,0.0
 01/04  21:00:00,46.7932811925,0.0
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1069992076,0.0
 01/05  06:00:00,15.1069992076,0.0
 01/05  07:00:00,24.238173440500002,0.462305002359
 01/05  08:00:00,20.0238234153,0.20555295472399998
 01/05  09:00:00,33.666286452899996,0.0
 01/05  10:00:00,50.058563345699994,0.0
 01/05  11:00:00,51.7421281738,0.0
 01/05  12:00:00,56.50998292479999,0.0
 01/05  13:00:00,59.280513572,0.0
 01/05  14:00:00,61.0293034376,0.0
 01/05  15:00:00,61.944691462600005,0.0
 01/05  16:00:00,62.0523238962,0.0
 01/05  17:00:00,59.795417435299996,0.0
 01/05  18:00:00,64.24152941979999,0.0
 01/05  19:00:00,50.1805289628,0.0
 01/05  20:00:00,49.6987741321,0.0
 01/05  21:00:00,45.1512864529,0.0
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1069992076,0.0
 01/06  03:00:00,15.1069992076,0.0
 01/06  04:00:00,15.1069992076,0.0
 01/06  05:00:00,15.1069992076,0.0
 01/06  06:00:00,15.1069992076,0.0
 01/06  07:00:00,24.238173440500002,46.7713606099
 01/06  08:00:00,20.0238234153,34.7745586462
 01/06  09:00:00,33.666286452899996,25.4898007016
 01/06  10:00:00,50.058563345699994,9.50937726604
 01/06  11:00:00,50.058563345699994,5.677439583380001
 01/06  12:00:00,50.058563345699994,1.0623943084899998
 01/06  13:00:00,50.058563345699994,0.254689789424
 01/06  14:00:00,50.058563345699994,0.0059389708933
 01/06  15:00:00,50.058563345699994,0.0
 01/06  16:00:00,50.058563345699994,0.0
 01/06  17:00:00,50.058563345699994,0.0512901290804
 01/06  18:00:00,59.629396678999996,2.55218411787
 01/06  19:00:00,49.6987741321,7.23100911955
 01/06  20:00:00,49.6987741321,18.41697902
 01/06  21:00:00,45.1512864529,29.6464193161
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1069992076,0.0
 01/06  24:00:00,15.1069992076,0.0
 01/07  01:00:00,14.657580751600001,0.0
 01/07  02:00:00,14.657580751600001,0.0
 01/07  03:00:00,14.657580751600001,0.0
 01/07  04:00:00,14.657580751600001,0.0
 01/07  05:00:00,14.657580751600001,0.0
 01/07  06:00:00,14.657580751600001,0.0
 01/07  07:00:00,23.7887549845,142.36876408
 01/07  08:00:00,15.4763357361,119.951928505
 01/07  09:00:00,24.571311094499997,107.46028409
 01/07  10:00:00,38.2137741321,88.83939621559999
 01/07  11:00:00,50.058563345699994,78.11318526779999
 01/07  12:00:00,50.058563345699994,69.4351699146
 01/07  13:00:00,50.058563345699994,64.50716606729999
 01/07  14:00:00,50.058563345699994,59.1672467711
 01/07  15:00:00,50.058563345699994,56.332781056099996
 01/07  16:00:00,50.058563345699994,51.613023694
 01/07  17:00:00,50.058563345699994,50.7785794058
 01/07  18:00:00,59.629396678999996,56.8837945275
 01/07  19:00:00,45.1512864529,75.3039848552
 01/07  20:00:00,36.056311094499996,83.0676047954
 01/07  21:00:00,36.056311094499996,83.4917159077
 01/07  22:00:00,26.9613357361,89.8527874567
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.657580751600001,0.0
 01/08  02:00:00,14.657580751600001,0.0
 01/08  03:00:00,14.657580751600001,0.0
 01/08  04:00:00,14.657580751600001,0.0
 01/08  05:00:00,14.657580751600001,0.0
 01/08  06:00:00,14.657580751600001,0.0
 01/08  07:00:00,14.657580751600001,0.0
 01/08  08:00:00,3.1725807516000004,0.0
 01/08  09:00:00,15.4763357361,142.737301317
 01/08  10:00:00,15.4763357361,112.635761806
 01/08  11:00:00,29.1187987737,94.24211755420001
 01/08  12:00:00,29.1187987737,84.3362425101
 01/08  13:00:00,38.2137741321,71.5277943459
 01/08  14:00:00,38.2137741321,68.85601841270001
 01/08  15:00:00,38.2137741321,71.9821372697
 01/08  16:00:00,38.2137741321,72.1054162843
 01/08  17:00:00,38.2137741321,68.61051564590001
 01/08  18:00:00,38.689632107,93.43884495530001
 01/08  19:00:00,31.508823415300004,109.059627764
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.657580751600001,0.0
 01/08  24:00:00,14.657580751600001,0.0
 01/09  01:00:00,15.1069992076,0.0
 01/09  02:00:00,15.1069992076,0.0
 01/09  03:00:00,15.1069992076,0.0
 01/09  04:00:00,15.1069992076,0.0
 01/09  05:00:00,15.1069992076,0.0
 01/09  06:00:00,15.1069992076,0.0
 01/09  07:00:00,24.238173440500002,167.34602416200002
 01/09  08:00:00,20.0238234153,132.94767478100002
 01/09  09:00:00,33.666286452899996,111.323274309
 01/09  10:00:00,50.058563345699994,88.20445139520001
 01/09  11:00:00,50.058563345699994,79.3950930125
 01/09  12:00:00,50.058563345699994,68.48520908569999
 01/09  13:00:00,50.058563345699994,64.9887619196
 01/09  14:00:00,50.058563345699994,62.7788467263
 01/09  15:00:00,50.058563345699994,59.25897556939999
 01/09  16:00:00,50.058563345699994,56.8130624783
 01/09  17:00:00,50.058563345699994,60.902198201400005
 01/09  18:00:00,59.629396678999996,68.3714019359
 01/09  19:00:00,49.6987741321,78.5118569338
 01/09  20:00:00,49.6987741321,92.89283007270001
 01/09  21:00:00,45.1512864529,101.84881488399999
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1069992076,0.0
 01/10  02:00:00,15.1069992076,0.0
 01/10  03:00:00,15.1069992076,0.0
 01/10  04:00:00,15.1069992076,0.0
 01/10  05:00:00,15.1360770332,0.648193111968
 01/10  06:00:00,15.1069992076,0.0
 01/10  07:00:00,24.238173440500002,176.723066731
 01/10  08:00:00,20.0238234153,123.508396637
 01/10  09:00:00,33.666286452899996,83.0726285951
 01/10  10:00:00,50.058563345699994,35.8065009304
 01/10  11:00:00,50.058563345699994,7.79348626874
 01/10  12:00:00,50.058563345699994,0.0
 01/10  13:00:00,50.058563345699994,0.0
 01/10  14:00:00,50.058563345699994,0.0
 01/10  15:00:00,50.075654703999994,0.0
 01/10  16:00:00,50.1661385054,0.0
 01/10  17:00:00,50.058563345699994,0.0
 01/10  18:00:00,59.629396678999996,0.0
 01/10  19:00:00,49.6987741321,11.475983366500001
 01/10  20:00:00,49.6987741321,45.5847831965
 01/10  21:00:00,45.1512864529,61.6258743689
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1069992076,0.0
 01/11  02:00:00,15.1069992076,0.0
 01/11  03:00:00,15.1069992076,0.0
 01/11  04:00:00,15.1069992076,0.0
 01/11  05:00:00,15.1069992076,0.0
 01/11  06:00:00,15.1448629098,0.844044918916
 01/11  07:00:00,24.238173440500002,200.144409366
 01/11  08:00:00,20.0238234153,170.573587668
 01/11  09:00:00,33.666286452899996,140.448179877
 01/11  10:00:00,50.058563345699994,105.20974868100001
 01/11  11:00:00,50.058563345699994,83.5095894085
 01/11  12:00:00,50.058563345699994,60.6753272076
 01/11  13:00:00,50.058563345699994,46.8738544654
 01/11  14:00:00,50.058563345699994,34.758702111999995
 01/11  15:00:00,50.058563345699994,25.870477846700002
 01/11  16:00:00,50.058563345699994,20.3507590665
 01/11  17:00:00,50.058563345699994,27.2258296532
 01/11  18:00:00,59.629396678999996,47.9272235505
 01/11  19:00:00,49.6987741321,65.24914939140001
 01/11  20:00:00,49.6987741321,80.032147408
 01/11  21:00:00,45.1512864529,89.92940213530001
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1314039645,0.544022637159
 01/12  07:00:00,24.238173440500002,193.66257157099997
 01/12  08:00:00,20.0238234153,163.024495755
 01/12  09:00:00,33.666286452899996,141.922868733
 01/12  10:00:00,50.058563345699994,115.53461264399999
 01/12  11:00:00,50.058563345699994,105.97094454100001
 01/12  12:00:00,50.058563345699994,93.5686817925
 01/12  13:00:00,50.058563345699994,89.89826738200001
 01/12  14:00:00,50.058563345699994,88.2033390127
 01/12  15:00:00,50.058563345699994,86.1129492484
 01/12  16:00:00,50.058563345699994,85.3975074709
 01/12  17:00:00,50.058563345699994,91.6322111607
 01/12  18:00:00,59.629396678999996,103.088563505
 01/12  19:00:00,49.6987741321,107.21506966
 01/12  20:00:00,49.6987741321,108.43507137700001
 01/12  21:00:00,45.1512864529,110.09102628299999
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1069992076,0.0
 01/13  03:00:00,15.1069992076,0.0
 01/13  04:00:00,15.1069992076,0.0
 01/13  05:00:00,15.1418065943,0.775914562366
 01/13  06:00:00,15.1670439907,1.3384981174
 01/13  07:00:00,24.238173440500002,199.096038467
 01/13  08:00:00,20.0238234153,170.923712959
 01/13  09:00:00,33.666286452899996,149.040025679
 01/13  10:00:00,50.058563345699994,116.896407916
 01/13  11:00:00,50.058563345699994,108.597875734
 01/13  12:00:00,50.058563345699994,98.00771672129999
 01/13  13:00:00,50.058563345699994,96.2863407385
 01/13  14:00:00,50.058563345699994,94.2587221552
