Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,72.1501084112,51.7591599807
 01/02  02:00:00,86.71905669559999,86.3778482849
 01/02  03:00:00,68.6247780416,48.037275251400004
 01/02  04:00:00,84.2990085493,84.4666463268
 01/02  05:00:00,132.550174402,107.622756134
 01/02  06:00:00,137.742401326,176.018146365
 01/02  07:00:00,203.091867357,142.266335974
 01/02  08:00:00,227.12933068900003,123.22025358399999
 01/02  09:00:00,237.35428252900002,117.594684764
 01/02  10:00:00,252.444892849,121.829055779
 01/02  11:00:00,256.949252168,109.364678054
 01/02  12:00:00,258.98770449200003,115.04385044700001
 01/02  13:00:00,250.74057357799998,100.175810124
 01/02  14:00:00,264.98870724799997,94.3361149586
 01/02  15:00:00,265.120534127,104.182564682
 01/02  16:00:00,264.865915475,97.11872255739999
 01/02  17:00:00,263.488544382,106.46049289700001
 01/02  18:00:00,271.495730581,99.4185535466
 01/02  19:00:00,171.689456656,72.3236181172
 01/02  20:00:00,172.41759850900002,78.0278799685
 01/02  21:00:00,144.968680397,92.0604424559
 01/02  22:00:00,98.7959302425,63.8805534292
 01/02  23:00:00,93.55283519950001,82.037296973
 01/02  24:00:00,68.4069703855,55.933210429
 01/03  01:00:00,92.2597468844,83.1708858695
 01/03  02:00:00,68.2819144858,57.099519032399996
 01/03  03:00:00,92.8557157486,83.2248085178
 01/03  04:00:00,63.157247719,48.6896480526
 01/03  05:00:00,135.795385922,108.56158433200001
 01/03  06:00:00,140.988019519,175.081611732
 01/03  07:00:00,208.75018328299998,141.48197429299998
 01/03  08:00:00,233.93809924,122.41858941
 01/03  09:00:00,245.378336184,115.188539345
 01/03  10:00:00,259.638157402,115.389781095
 01/03  11:00:00,262.903198113,96.91346965540001
 01/03  12:00:00,265.039722032,98.9149610172
 01/03  13:00:00,255.695707906,84.2608583785
 01/03  14:00:00,271.042673245,86.95797069540001
 01/03  15:00:00,271.587123365,80.735665962
 01/03  16:00:00,271.614112944,86.91193825360001
 01/03  17:00:00,268.691227638,91.5328787144
 01/03  18:00:00,276.38713837,94.3689178173
 01/03  19:00:00,175.635565844,70.668428448
 01/03  20:00:00,173.290223142,76.8089061259
 01/03  21:00:00,150.17896772,99.46034285299999
 01/03  22:00:00,102.948937878,54.18166261100001
 01/03  23:00:00,93.0245582749,81.10431783840001
 01/03  24:00:00,76.8599414508,53.924510290200004
 01/04  01:00:00,90.84028344069999,89.16266129690001
 01/04  02:00:00,77.8080496891,56.1822402768
 01/04  03:00:00,91.2271645675,89.6427249965
 01/04  04:00:00,78.2195291312,56.3770909674
 01/04  05:00:00,138.12248076,106.14971757
 01/04  06:00:00,144.297055049,171.137162625
 01/04  07:00:00,212.246373545,135.749604085
 01/04  08:00:00,236.942775747,115.678503429
 01/04  09:00:00,248.285681483,106.073938628
 01/04  10:00:00,262.302692656,108.132214957
 01/04  11:00:00,265.153414596,91.2465732202
 01/04  12:00:00,266.89785207299997,94.0837696587
 01/04  13:00:00,255.769217586,82.7497550125
 01/04  14:00:00,269.674555789,87.4332129038
 01/04  15:00:00,270.365731905,74.1895411358
 01/04  16:00:00,269.340554939,83.70852243270001
