Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,46.5870383766,1.03696609072
 01/01  02:00:00,45.1489288382,7.36318040997
 01/01  03:00:00,39.2693204448,1.7404940029700002
 01/01  04:00:00,38.3126482459,8.752034793310001
 01/01  05:00:00,39.3168237287,9.591814155760002
 01/01  06:00:00,43.197104296199996,9.50237360293
 01/01  07:00:00,64.7506349251,9.096851102130001
 01/01  08:00:00,78.9515309717,14.3727621749
 01/01  09:00:00,106.68035005600001,35.465737257600004
 01/01  10:00:00,91.52047286370001,47.4258870577
 01/01  11:00:00,66.10787280609999,41.4791311232
 01/01  12:00:00,64.894362746,41.428799536599996
 01/01  13:00:00,67.47783074590001,41.3766205768
 01/01  14:00:00,68.5098285522,35.5419987564
 01/01  15:00:00,69.2123804698,41.3793556238
 01/01  16:00:00,69.8955564149,41.3712258769
 01/01  17:00:00,71.9751009219,18.045
 01/01  18:00:00,83.4224037268,5.769937143840001
 01/01  19:00:00,100.033412877,5.795153353709999
 01/01  20:00:00,101.313690577,11.553750648900001
 01/01  21:00:00,108.64082503700001,9.5847743958
 01/01  22:00:00,106.220837678,7.755312851010001
 01/01  23:00:00,80.8795535373,11.6013260671
 01/01  24:00:00,54.8595921368,11.6062535277
 01/02  01:00:00,45.8756733204,0.20224699721900002
 01/02  02:00:00,43.2157355074,6.02994630112
 01/02  03:00:00,40.469693475,6.104114635469999
 01/02  04:00:00,39.9226495474,0.42928537100999997
 01/02  05:00:00,41.1796831989,6.22801260926
 01/02  06:00:00,49.17973487689999,6.2118201955
 01/02  07:00:00,83.8458347615,17.7907948645
 01/02  08:00:00,100.52844596,17.5705257201
 01/02  09:00:00,85.4329810694,23.5289228482
 01/02  10:00:00,83.2289787147,47.3353592986
 01/02  11:00:00,64.9774468209,41.4328930765
 01/02  12:00:00,65.3186250365,35.5480473701
 01/02  13:00:00,68.0608097068,41.3784216797
 01/02  14:00:00,69.39466793140001,35.5397635957
 01/02  15:00:00,69.6299889385,41.381576144899995
 01/02  16:00:00,68.82871308,41.373491383600005
 01/02  17:00:00,72.2933457717,18.045
 01/02  18:00:00,88.67333359969999,11.531793618699998
 01/02  19:00:00,96.7475786686,11.590266431600002
 01/02  20:00:00,99.7377739956,5.78742355224
 01/02  21:00:00,109.13019638700001,11.587511109200001
 01/02  22:00:00,103.725003102,11.601611775899999
 01/02  23:00:00,76.1267920011,11.5666609977
 01/02  24:00:00,52.9172917974,5.77011560189
 01/03  01:00:00,46.205988721000004,0.02
 01/03  02:00:00,43.622607391,5.758288539419999
 01/03  03:00:00,40.914777553200004,5.75821781625
 01/03  04:00:00,40.3951573852,0.02
 01/03  05:00:00,42.0185481759,5.764212569369999
 01/03  06:00:00,50.413177033800004,5.78158257092
 01/03  07:00:00,85.3870314774,17.3921061158
