Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,37.148235445,25.829344105900002
 01/01  02:00:00,36.7726899598,35.1390601301
 01/01  03:00:00,32.135174389899994,29.5077250848
 01/01  04:00:00,32.3333840939,36.4955323407
 01/01  05:00:00,34.629979905999996,32.8414143551
 01/01  06:00:00,39.9560195391,40.451339303400005
 01/01  07:00:00,59.947402786400005,40.6660898283
 01/01  08:00:00,68.9084155702,43.0892164709
 01/01  09:00:00,95.69915677600001,47.9738991401
 01/01  10:00:00,82.5830683984,57.1785252271
 01/01  11:00:00,58.260733685,46.3476812225
 01/01  12:00:00,57.2366667719,37.4531665437
 01/01  13:00:00,58.3391123855,36.9949444433
 01/01  14:00:00,58.8886707283,41.3291547855
 01/01  15:00:00,59.2229267406,35.509911845
 01/01  16:00:00,58.6190142249,35.5119076461
 01/01  17:00:00,61.357322421599996,23.7847636876
 01/01  18:00:00,72.9115861911,7.80195609672
 01/01  19:00:00,88.61923455540001,13.4455676672
 01/01  20:00:00,88.9496290009,17.4083818382
 01/01  21:00:00,94.9485496367,21.2151862407
 01/01  22:00:00,92.1600641421,28.9500537731
 01/01  23:00:00,68.1402694161,25.521294570300004
 01/01  24:00:00,43.930595592399996,32.8491704075
 01/02  01:00:00,35.8870767423,22.5867356382
 01/02  02:00:00,33.9691110636,29.2205690928
 01/02  03:00:00,31.986062839099997,23.8924847979
 01/02  04:00:00,32.0563375406,29.962599974699998
 01/02  05:00:00,33.7211301064,30.845876933099998
 01/02  06:00:00,41.4466223318,31.373527298800003
 01/02  07:00:00,72.4331730089,38.9071243552
 01/02  08:00:00,85.1945685386,37.4387634023
 01/02  09:00:00,73.466437435,43.1863317215
 01/02  10:00:00,71.3801701986,43.2824257874
 01/02  11:00:00,53.790635683000005,46.5981674871
 01/02  12:00:00,54.509992464300005,39.2379216727
 01/02  13:00:00,55.0892470252,39.3968063066
 01/02  14:00:00,54.663272501499996,42.1972552263
 01/02  15:00:00,54.0249913271,36.6079349594
 01/02  16:00:00,54.0693231001,37.7095683877
 01/02  17:00:00,57.7240768891,26.443992171799998
 01/02  18:00:00,74.28663166,9.45183081423
 01/02  19:00:00,82.9781344122,19.1767503841
 01/02  20:00:00,85.9119901932,14.3366990877
 01/02  21:00:00,95.444072845,15.7448955827
 01/02  22:00:00,90.34446606780001,21.9538205027
 01/02  23:00:00,64.0366981105,22.184026129699998
 01/02  24:00:00,42.4157584393,16.9895972034
 01/03  01:00:00,36.8052973705,11.0505604672
 01/03  02:00:00,34.9680570536,16.0694639946
 01/03  03:00:00,32.9015086872,10.1631117891
 01/03  04:00:00,32.7357954389,16.715949218800002
 01/03  05:00:00,34.2474908036,10.9047278963
 01/03  06:00:00,41.9914097008,21.3197619286
 01/03  07:00:00,74.3352680872,19.4986749989
 01/03  08:00:00,88.6539524667,18.0015460148
 01/03  09:00:00,75.8701103234,27.493406848699998
 01/03  10:00:00,72.7739708192,40.1245950091
 01/03  11:00:00,53.9004601022,43.8228358788
 01/03  12:00:00,54.096151374399994,37.7604984548
 01/03  13:00:00,54.7289204384,37.8310986049
 01/03  14:00:00,56.7745605429,41.3364610545
 01/03  15:00:00,58.6633927692,35.510507493
 01/03  16:00:00,57.4522089866,35.8000453534
 01/03  17:00:00,59.3721181305,25.3311331419
 01/03  18:00:00,75.5077892204,8.70697926703
 01/03  19:00:00,84.0923011332,18.3252794274
 01/03  20:00:00,87.08839238639999,13.7570270724
 01/03  21:00:00,96.76125446530001,15.6287219502
 01/03  22:00:00,91.0398269034,23.690699595599998
 01/03  23:00:00,63.820243822399995,25.7083326951
 01/03  24:00:00,41.9986742391,15.743585691300002
 01/04  01:00:00,36.231190366,22.8242488529
 01/04  02:00:00,34.2522551519,24.0624781255
 01/04  03:00:00,32.0912677396,18.938973061600002
 01/04  04:00:00,31.8927639961,25.618450514099997
 01/04  05:00:00,33.304958816100005,21.240925986500002
 01/04  06:00:00,40.948572613,32.3913255164
 01/04  07:00:00,72.7739330491,31.6059255371
 01/04  08:00:00,85.65877635359999,29.5266355251
 01/04  09:00:00,72.90843778680001,36.518252398499996
 01/04  10:00:00,69.7373818039,54.0904322666
 01/04  11:00:00,51.2400217532,54.6975864651
 01/04  12:00:00,51.3396240885,47.6161806458
 01/04  13:00:00,51.374682074,45.6964758178
 01/04  14:00:00,51.4449306006,50.756947611
 01/04  15:00:00,51.3544461034,44.8380838536
 01/04  16:00:00,50.9381947271,46.6024641201
 01/04  17:00:00,54.54314974020001,35.2243756541
 01/04  18:00:00,71.58590546149999,17.5817276939
 01/04  19:00:00,80.7230022354,26.367402166199998
 01/04  20:00:00,83.47876769310001,22.0981535202
 01/04  21:00:00,92.5038235268,25.745631226799997
 01/04  22:00:00,87.0060591307,34.3185668927
 01/04  23:00:00,61.2658945058,36.8674491357
 01/04  24:00:00,40.4281179252,26.788219436
 01/05  01:00:00,35.5553541486,32.642287472
 01/05  02:00:00,34.3560728749,34.2728423871
 01/05  03:00:00,33.2121388403,29.878254085300004
 01/05  04:00:00,34.6987274165,36.9527203867
 01/05  05:00:00,37.8426318824,33.7830879706
 01/05  06:00:00,45.9409607831,44.86480742770001
 01/05  07:00:00,72.3003068496,44.0436922444
 01/05  08:00:00,85.0388382515,40.8886145241
 01/05  09:00:00,73.2135484784,42.691075137
 01/05  10:00:00,70.9235956003,54.2595924438
 01/05  11:00:00,53.6536725726,49.9490226554
 01/05  12:00:00,53.8005085976,40.3795815405
 01/05  13:00:00,54.519724912600005,39.1665592624
 01/05  14:00:00,55.542364300200006,41.3592007268
 01/05  15:00:00,56.1133810466,35.513127396
 01/05  16:00:00,56.1604026836,35.5132869197
 01/05  17:00:00,59.1401782339,24.4515960189
 01/05  18:00:00,74.9318759291,8.4632210765
 01/05  19:00:00,82.713883093,19.7188490601
 01/05  20:00:00,84.76558426369999,18.7816330178
 01/05  21:00:00,93.766809814,22.122412466700002
 01/05  22:00:00,88.2139426912,30.5060647127
 01/05  23:00:00,62.081828077,31.601466828400003
 01/05  24:00:00,40.9179817494,21.1400809456
 01/06  01:00:00,35.4239744265,29.798154387600004
 01/06  02:00:00,33.7869005509,32.0074489014
 01/06  03:00:00,32.0087911275,26.537400345100004
 01/06  04:00:00,32.099915114699996,29.7352272161
 01/06  05:00:00,33.8821981027,22.0792798684
 01/06  06:00:00,41.5074842354,31.707442422
 01/06  07:00:00,72.6996482463,30.343513126199998
 01/06  08:00:00,85.6129200603,27.3002376011
 01/06  09:00:00,73.059898734,38.8365970992
 01/06  10:00:00,70.7687049529,40.1928745369
 01/06  11:00:00,52.8585457775,44.0733345309
 01/06  12:00:00,53.9314611294,36.3792051063
 01/06  13:00:00,55.952239328500006,35.5684395759
 01/06  14:00:00,56.4784301568,41.332234134299995
 01/06  15:00:00,56.6033270916,35.5124762361
 01/06  16:00:00,56.742927548000004,35.5107747741
 01/06  17:00:00,59.5690324114,23.7847311206
 01/06  18:00:00,76.0062909409,6.666938212459999
 01/06  19:00:00,84.6940553583,14.6080197399
 01/06  20:00:00,87.5207383814,11.1575280862
 01/06  21:00:00,97.2429926378,13.210614444700001
 01/06  22:00:00,91.7259497644,20.3498214274
 01/06  23:00:00,64.2151297021,22.7546344635
 01/06  24:00:00,42.3929776517,17.507977207899998
 01/07  01:00:00,38.0825505698,10.846355407599999
 01/07  02:00:00,37.9404816592,15.9036801754
 01/07  03:00:00,32.9910593046,9.972745842610001
 01/07  04:00:00,32.799858697,16.5680147294
 01/07  05:00:00,34.277693703699995,17.1508640192
 01/07  06:00:00,38.3606834644,10.8628869058
 01/07  07:00:00,59.3184334482,21.6521162498
 01/07  08:00:00,70.4555675016,20.025744599
 01/07  09:00:00,99.8159965217,32.568337784499995
 01/07  10:00:00,85.4173565313,42.6403847375
 01/07  11:00:00,59.2793952939,42.3125106304
 01/07  12:00:00,57.6226946747,35.5436503185
 01/07  13:00:00,58.967682799399995,41.3326129549
 01/07  14:00:00,59.9541055116,35.5126995603
 01/07  15:00:00,60.477316187,35.5083766633
 01/07  16:00:00,60.2716712024,35.5092764604
 01/07  17:00:00,63.4501686207,23.7858083824
 01/07  18:00:00,76.23240545899999,5.766029050009999
 01/07  19:00:00,93.49758526219999,6.809034757490001
 01/07  20:00:00,94.4969650442,7.8127707823899994
 01/07  21:00:00,101.140654195,15.2443717668
 01/07  22:00:00,98.86553532120001,10.248056500399999
