Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,145.943725823,110.376640996
 01/01  02:00:00,156.22583187799998,93.12963368850001
 01/01  03:00:00,144.028340455,89.3589836726
 01/01  04:00:00,148.234326347,83.8885763429
 01/01  05:00:00,170.690281555,111.596988397
 01/01  06:00:00,182.568573762,139.436622655
 01/01  07:00:00,312.947030863,212.272091935
 01/01  08:00:00,389.418124535,362.036625104
 01/01  09:00:00,417.922815856,496.35906512400004
 01/01  10:00:00,361.29364007,399.512677781
 01/01  11:00:00,317.96991685,345.407850317
 01/01  12:00:00,313.901335889,293.154317398
 01/01  13:00:00,313.236800981,243.896047485
 01/01  14:00:00,294.431711148,239.58884040200002
 01/01  15:00:00,292.868729813,226.82783807099997
 01/01  16:00:00,294.07824696299997,237.75232764
 01/01  17:00:00,325.29051701,219.37089919599998
 01/01  18:00:00,369.96827545300005,215.479903274
 01/01  19:00:00,430.623020105,235.040633915
 01/01  20:00:00,433.24710944599997,265.980505682
 01/01  21:00:00,452.85022772699995,264.343770502
 01/01  22:00:00,424.45659366,259.550869077
 01/01  23:00:00,371.717321215,359.533324315
 01/01  24:00:00,310.21882497900003,219.948332548
 01/02  01:00:00,134.440786075,111.528873976
 01/02  02:00:00,137.448022835,83.8051855676
 01/02  03:00:00,168.679861359,83.8850610315
 01/02  04:00:00,139.601026008,83.8079246449
 01/02  05:00:00,183.052975786,138.97439635700002
 01/02  06:00:00,190.04783372900002,260.901800063
 01/02  07:00:00,328.268840783,395.06624
 01/02  08:00:00,422.96727712300003,480.037267035
 01/02  09:00:00,380.70467892,372.02261032300004
 01/02  10:00:00,351.338710276,319.746462856
 01/02  11:00:00,301.785064217,286.72805661900003
 01/02  12:00:00,302.776857061,235.51371073099997
 01/02  13:00:00,302.60255352900003,235.038641505
 01/02  14:00:00,293.94473853,228.124303317
 01/02  15:00:00,294.51770065700003,220.490256039
 01/02  16:00:00,294.750502562,227.149783187
 01/02  17:00:00,323.67427365,206.574408252
 01/02  18:00:00,375.746977338,222.512055642
 01/02  19:00:00,428.38343012900003,353.871007684
 01/02  20:00:00,435.540265906,258.626762582
 01/02  21:00:00,460.311816791,258.615695643
 01/02  22:00:00,435.42097181199995,355.00389503900004
 01/02  23:00:00,372.76455881,285.86188614900004
 01/02  24:00:00,307.867621235,164.08186091
 01/03  01:00:00,145.337210815,111.542781498
 01/03  02:00:00,146.790033872,83.8174971223
 01/03  03:00:00,174.279321855,83.8858879771
 01/03  04:00:00,180.36607583900002,83.9178818269
 01/03  05:00:00,141.064307085,111.675721585
 01/03  06:00:00,204.582545496,196.22576498
 01/03  07:00:00,354.755517413,336.412415184
 01/03  08:00:00,423.11455323800004,460.402245529
 01/03  09:00:00,381.084289396,373.29081087
 01/03  10:00:00,350.229945671,316.588793933
 01/03  11:00:00,300.348193015,285.153922701
 01/03  12:00:00,303.291869981,243.82976472099998
 01/03  13:00:00,304.911976154,238.99553115900002
 01/03  14:00:00,295.31118838,229.00048039200001
 01/03  15:00:00,294.19121779700004,213.293914713
 01/03  16:00:00,293.433363644,226.75446729900003
 01/03  17:00:00,323.256013752,204.06583072700002
 01/03  18:00:00,375.723118339,222.299995445
 01/03  19:00:00,428.452594451,356.435590885
 01/03  20:00:00,436.206817427,263.96562876
 01/03  21:00:00,461.781203007,259.033091981
 01/03  22:00:00,438.55126739199994,371.102552595
 01/03  23:00:00,375.303031252,283.126824842
 01/03  24:00:00,308.756055784,161.944271495
 01/04  01:00:00,134.86259552299998,128.649899764
 01/04  02:00:00,140.41706035,95.20184482
 01/04  03:00:00,187.14317127700002,83.8863876336
 01/04  04:00:00,114.248412094,90.7064266828
 01/04  05:00:00,183.476534694,124.290302135
 01/04  06:00:00,213.81560212099998,208.182341027
 01/04  07:00:00,320.056516354,348.893208819
 01/04  08:00:00,422.533990547,462.691236269
 01/04  09:00:00,380.096857495,372.41259029300005
 01/04  10:00:00,354.437931465,330.179691053
 01/04  11:00:00,306.25173643,289.547052685
 01/04  12:00:00,304.134175503,245.036209767
 01/04  13:00:00,302.234654689,235.61703593200002
 01/04  14:00:00,292.816470745,227.71243063400001
 01/04  15:00:00,294.01467345599997,214.816184295
 01/04  16:00:00,293.150400332,227.48820234599998
 01/04  17:00:00,323.126946219,203.800696332
 01/04  18:00:00,375.457419909,226.78161908299998
 01/04  19:00:00,428.73336155699997,356.86005620099996
 01/04  20:00:00,434.974900812,258.774742145
 01/04  21:00:00,458.92868312300004,258.501257336
 01/04  22:00:00,433.858927913,355.088215774
 01/04  23:00:00,368.731248293,276.409760633
 01/04  24:00:00,303.051116869,159.057457814
 01/05  01:00:00,157.75000361,111.57302310799999
 01/05  02:00:00,177.946392669,83.8997887665
 01/05  03:00:00,167.363372704,83.8418173518
 01/05  04:00:00,187.447589327,86.3268550954
 01/05  05:00:00,169.939821376,109.260754836
 01/05  06:00:00,205.99938145299998,196.346068818
 01/05  07:00:00,335.951798883,336.790838189
 01/05  08:00:00,420.073791108,466.78228044199994
 01/05  09:00:00,377.568521685,367.52929841900004
 01/05  10:00:00,346.967803737,324.023385012
 01/05  11:00:00,298.236731319,284.603018998
 01/05  12:00:00,299.246975484,233.921474045
 01/05  13:00:00,299.547386487,233.757368447
 01/05  14:00:00,289.321351277,225.236446728
 01/05  15:00:00,290.36229705799997,217.969568381
 01/05  16:00:00,290.082065881,226.50298000400002
 01/05  17:00:00,320.401934719,203.527858308
 01/05  18:00:00,372.29605170800005,221.17541774900002
 01/05  19:00:00,423.734445905,351.607437933
 01/05  20:00:00,429.587295884,265.62754784599997
 01/05  21:00:00,454.424817505,258.39592245
 01/05  22:00:00,430.353276774,355.16862637699995
 01/05  23:00:00,366.4279296,273.71867352099997
 01/05  24:00:00,300.36750192700003,156.794665656
 01/06  01:00:00,188.831338942,111.63928828
 01/06  02:00:00,194.581726059,83.8538426649
 01/06  03:00:00,201.90644014900002,83.9621233761
 01/06  04:00:00,196.366638262,83.94201578
 01/06  05:00:00,191.840499908,112.27184067200001
 01/06  06:00:00,229.65865572599998,195.87890024
 01/06  07:00:00,331.354318683,337.098246499
 01/06  08:00:00,425.371851731,482.295383688
 01/06  09:00:00,359.85706440900003,398.336966528
 01/06  10:00:00,317.119135116,355.461215885
 01/06  11:00:00,279.598961549,305.68307485099996
 01/06  12:00:00,277.877904762,246.538450138
 01/06  13:00:00,279.833470573,244.73350936900002
 01/06  14:00:00,281.153133336,237.848076855
 01/06  15:00:00,281.49567621299997,229.162510463
 01/06  16:00:00,291.29661561,235.04774875
 01/06  17:00:00,304.855069887,212.524694745
 01/06  18:00:00,350.13864375599996,236.068227398
 01/06  19:00:00,424.81977567,373.872308749
 01/06  20:00:00,441.678225056,269.283833854
 01/06  21:00:00,466.243715427,266.996466957
 01/06  22:00:00,441.759526055,363.047387271
 01/06  23:00:00,377.15964473800005,282.694970269
 01/06  24:00:00,297.073467521,171.111271656
 01/07  01:00:00,132.958473047,108.00844387
