Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,4.2280187684,0.02
 01/01  02:00:00,4.2280187684,0.45306925720200003
 01/01  03:00:00,4.2280187684,0.02
 01/01  04:00:00,4.2280187684,0.453052554131
 01/01  05:00:00,4.2280187684,0.45307012491400006
 01/01  06:00:00,4.2280187684,0.02
 01/01  07:00:00,4.2280187684,0.453063001806
 01/01  08:00:00,1.9250187684,0.453081689632
 01/01  09:00:00,1.9250187684,0.02
 01/01  10:00:00,1.9250187684,0.45308640458899996
 01/01  11:00:00,1.9250187684,0.02
 01/01  12:00:00,1.9250187684,0.45308373725
 01/01  13:00:00,1.9250187684,0.453077734881
 01/01  14:00:00,1.9250187684,0.02
 01/01  15:00:00,1.9250187684,0.453079759821
 01/01  16:00:00,1.9250187684,0.453078175875
 01/01  17:00:00,1.9250187684,0.02
 01/01  18:00:00,3.8441854350699995,0.45308468341700003
 01/01  19:00:00,4.2280187684,0.453084526183
 01/01  20:00:00,4.2280187684,0.02
 01/01  21:00:00,4.2280187684,0.453083358178
 01/01  22:00:00,4.2280187684,0.45307850768999997
 01/01  23:00:00,4.2280187684,0.02
 01/01  24:00:00,4.2280187684,0.453059321188
 01/02  01:00:00,4.7780241307999995,0.02
 01/02  02:00:00,4.7780241307999995,0.45308133089599995
 01/02  03:00:00,4.7780241307999995,0.453069308156
 01/02  04:00:00,4.7780241307999995,0.02
 01/02  05:00:00,4.7780241307999995,0.453057253929
 01/02  06:00:00,5.053026812,0.453090317893
 01/02  07:00:00,7.42305119611,0.0574992614444
 01/02  08:00:00,6.17341796989,0.863067332306
 01/02  09:00:00,12.8147057262,0.463828826537
 01/02  10:00:00,13.4343091127,0.45314415376
 01/02  11:00:00,13.7816986204,0.453142652162
 01/02  12:00:00,13.859370412899999,0.45315407498899996
 01/02  13:00:00,13.4325016453,0.453165409664
 01/02  14:00:00,14.4740710971,0.453140962143
 01/02  15:00:00,14.487465253900002,0.45310953851400004
 01/02  16:00:00,14.3507038872,0.45313084915299995
 01/02  17:00:00,14.352084183199999,0.453125324077
 01/02  18:00:00,10.9352603186,0.45311900444
 01/02  19:00:00,9.23761879538,0.453110631608
 01/02  20:00:00,9.13179299528,0.02
 01/02  21:00:00,8.53458782685,0.453103228551
 01/02  22:00:00,8.509278534589999,0.45308544295500003
 01/02  23:00:00,5.053026812,0.453075301989
 01/02  24:00:00,4.7780241307999995,0.02
 01/03  01:00:00,4.7780241307999995,0.453063279023
 01/03  02:00:00,4.7780241307999995,0.02
