Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,122.157829907,23.0638854714
 01/01  02:00:00,121.554190042,17.2257939915
 01/01  03:00:00,122.560581704,22.6231536874
 01/01  04:00:00,121.54271953799999,20.2504339562
 01/01  05:00:00,122.956368054,35.6726677274
 01/01  06:00:00,121.91313877299999,23.941736406
 01/01  07:00:00,122.949999088,31.2093570498
 01/01  08:00:00,109.85917335,21.576126274099998
 01/01  09:00:00,103.762118525,17.0851792342
 01/01  10:00:00,101.641503011,17.063342615899998
 01/01  11:00:00,100.041675198,4.85426
 01/01  12:00:00,100.85571124399999,4.85426
 01/01  13:00:00,99.94505191479999,13.4557123249
 01/01  14:00:00,100.008847773,4.85426
 01/01  15:00:00,100.004537611,4.85426
 01/01  16:00:00,99.9452175083,4.85426
 01/01  17:00:00,114.6765628,13.447767561400001
 01/01  18:00:00,117.662256184,4.85426
 01/01  19:00:00,117.6349676,4.85426
 01/01  20:00:00,118.042509721,4.85426
 01/01  21:00:00,118.689917042,5.971640142
 01/01  22:00:00,121.48391384600001,21.253099055699998
 01/01  23:00:00,122.44026365799999,19.496473783699997
 01/01  24:00:00,122.399411372,22.3070615465
 01/02  01:00:00,122.418620511,32.458877310300004
 01/02  02:00:00,121.416010805,41.1511729498
 01/02  03:00:00,122.427180553,44.241824667799996
 01/02  04:00:00,126.05509179100001,44.9665527696
 01/02  05:00:00,134.42037939899998,70.8246393928
 01/02  06:00:00,128.325475034,64.68566328770001
 01/02  07:00:00,195.752496675,2912.31035246
 01/02  08:00:00,360.06362264,2073.3395149999997
 01/02  09:00:00,445.907062475,1732.89234242
 01/02  10:00:00,445.899790501,1580.32260276
 01/02  11:00:00,451.89348304099997,1506.76663492
 01/02  12:00:00,453.02614248099997,1415.34326141
 01/02  13:00:00,452.34966472800005,1344.21499374
 01/02  14:00:00,446.50607268,1303.178623
 01/02  15:00:00,445.91252545,1237.37775055
 01/02  16:00:00,437.42968175199996,1126.79986716
 01/02  17:00:00,446.992417315,1017.86536767
 01/02  18:00:00,370.21628477900003,1114.92946164
 01/02  19:00:00,370.24245601800004,1131.18065224
 01/02  20:00:00,370.66071848800004,1105.2030574999999
 01/02  21:00:00,370.635675009,1126.75303213
 01/02  22:00:00,117.64478973899999,13.5257291479
 01/02  23:00:00,117.432676999,13.483915435999998
 01/02  24:00:00,119.221468016,5.026234157749999
 01/03  01:00:00,118.89903635,12.5525062972
 01/03  02:00:00,118.566442938,6.31337209168
 01/03  03:00:00,118.596268508,5.09672568452
 01/03  04:00:00,118.636524658,5.101935349790001
 01/03  05:00:00,120.77682798,13.6906557982
 01/03  06:00:00,120.43892739,5.08627678097
 01/03  07:00:00,192.53939322,1071.35352274
 01/03  08:00:00,357.19432791099996,956.213038548
 01/03  09:00:00,443.52658658400003,763.4023162289999
 01/03  10:00:00,443.540778326,673.592425092
 01/03  11:00:00,449.700608229,582.066447577
 01/03  12:00:00,451.66577995800003,518.806432875
 01/03  13:00:00,451.060457933,473.64649048300004
 01/03  14:00:00,444.409250594,435.32578807
 01/03  15:00:00,444.86116154300004,430.467661997
 01/03  16:00:00,436.87927495900004,407.850539921
 01/03  17:00:00,445.655271556,346.318668936
 01/03  18:00:00,368.782898679,513.041782106
 01/03  19:00:00,368.805791799,550.515764977
 01/03  20:00:00,368.81059742699995,579.576831072
 01/03  21:00:00,368.835593185,614.977862729
 01/03  22:00:00,117.531132969,13.5260122694
 01/03  23:00:00,117.601039974,13.483962919000001
 01/03  24:00:00,118.62092334,4.85426
