Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,77.52609273270001,3.4606356846099997
 01/01  02:00:00,69.7881967336,2.71833876239
 01/01  03:00:00,81.681362633,4.9600951622
 01/01  04:00:00,71.8793770803,3.0806290301200003
 01/01  05:00:00,85.9204379076,5.70341304681
 01/01  06:00:00,75.6191867321,3.84020578999
 01/01  07:00:00,91.7805635021,6.873651874510001
 01/01  08:00:00,64.94907671189999,4.542947401
 01/01  09:00:00,56.6364421491,6.09154600786
 01/01  10:00:00,39.500389087600006,3.19216401241
 01/01  11:00:00,43.3744902058,2.91744896256
 01/01  12:00:00,36.077376679699995,2.17930642565
 01/01  13:00:00,39.3853155559,1.5321084155000002
 01/01  14:00:00,33.2966018758,0.0831217905025
 01/01  15:00:00,34.3194023678,1.1030852264700002
 01/01  16:00:00,30.678649137399997,0.02
 01/01  17:00:00,51.83463302689999,1.1181563994
 01/01  18:00:00,53.384962223100004,0.0969252892422
 01/01  19:00:00,62.1587973329,1.52327298659
 01/01  20:00:00,60.1560691875,0.56629299003
 01/01  21:00:00,71.275632856,1.65487556727
 01/01  22:00:00,65.0624319731,2.60753854464
 01/01  23:00:00,76.4569612376,2.81267330828
 01/01  24:00:00,68.53725781760001,3.3625202454400003
 01/02  01:00:00,84.267390836,3.5737312056099997
 01/02  02:00:00,75.55195975560001,4.02454334034
 01/02  03:00:00,86.6387433351,4.20334336285
 01/02  04:00:00,76.8673559108,4.3247299236300005
 01/02  05:00:00,87.9189334415,4.509945301569999
 01/02  06:00:00,80.1413652748,4.45990141421
 01/02  07:00:00,293.539231722,2.00166115919
 01/02  08:00:00,245.21382771,62.2893755282
 01/02  09:00:00,233.070198885,54.305005881599996
 01/02  10:00:00,199.473623562,47.0892437372
 01/02  11:00:00,185.101162238,37.4705202419
 01/02  12:00:00,176.858990468,29.1608766289
 01/02  13:00:00,176.62138802400003,24.6142519698
 01/02  14:00:00,163.428105204,22.8698488602
 01/02  15:00:00,150.198318688,18.6239261505
 01/02  16:00:00,146.06847676700002,19.1049363187
 01/02  17:00:00,168.74436323,24.9095159457
 01/02  18:00:00,171.117413704,25.3148162505
 01/02  19:00:00,145.94845237299998,27.615798293
 01/02  20:00:00,147.697107087,27.154313854899996
 01/02  21:00:00,143.698772362,31.047341277199997
 01/02  22:00:00,145.41040190200002,33.6190270618
 01/02  23:00:00,41.6166002114,0.02
 01/02  24:00:00,38.9361841996,1.10304052323
 01/03  01:00:00,38.9361841996,0.02
 01/03  02:00:00,38.9361841996,1.1030393762200001
 01/03  03:00:00,38.9361841996,0.02
 01/03  04:00:00,45.5966808493,1.24045915343
 01/03  05:00:00,44.7811070928,0.0453283306262
 01/03  06:00:00,50.0791018763,1.23963990943
 01/03  07:00:00,198.216754181,0.02
 01/03  08:00:00,166.787214829,46.0572204562
 01/03  09:00:00,183.846821769,34.4297848617
 01/03  10:00:00,163.502676468,28.523857444
 01/03  11:00:00,156.516866147,27.637365658
 01/03  12:00:00,148.949639329,24.796522864499998
 01/03  13:00:00,150.796034961,21.652792104699998
 01/03  14:00:00,145.250764435,20.8480221559
 01/03  15:00:00,141.369637256,19.1249895588
 01/03  16:00:00,138.502083041,21.5781581027
 01/03  17:00:00,161.11029239,33.352943828499996
 01/03  18:00:00,163.56793177,50.1048314529
 01/03  19:00:00,139.650526901,61.2921373273
 01/03  20:00:00,137.891296067,46.2657242616
 01/03  21:00:00,132.455190582,36.8310577495
 01/03  22:00:00,135.04272073,37.4780131865
 01/03  23:00:00,41.6166002114,0.02
 01/03  24:00:00,38.9361841996,1.1030428925
 01/04  01:00:00,38.9361841996,0.02
 01/04  02:00:00,38.9361841996,1.1030430076200002
 01/04  03:00:00,38.9361841996,0.02
 01/04  04:00:00,41.6321641243,1.29706307915
 01/04  05:00:00,43.8174095039,0.503086956401
 01/04  06:00:00,50.214780660200006,1.36338731769
 01/04  07:00:00,187.923528877,0.02
 01/04  08:00:00,159.940061715,52.0827962313
 01/04  09:00:00,175.351609076,46.586264738000004
 01/04  10:00:00,151.353776449,40.7777600019
 01/04  11:00:00,146.270165984,36.395863839200004
 01/04  12:00:00,144.713019935,32.953219236500004
 01/04  13:00:00,146.464075551,29.4162234613
 01/04  14:00:00,139.841844388,24.5800616581
 01/04  15:00:00,131.017045997,21.5766805728
 01/04  16:00:00,130.431313992,24.402132019099998
 01/04  17:00:00,150.492363651,36.3970736837
 01/04  18:00:00,155.974444084,48.7423130163
 01/04  19:00:00,128.904186004,47.8722484472
 01/04  20:00:00,127.59036489799999,36.4014098052
 01/04  21:00:00,121.45175484299999,35.7489178875
 01/04  22:00:00,124.39875922899999,32.456208352800004
 01/04  23:00:00,41.6166002114,1.10324424975
 01/04  24:00:00,38.9361841996,1.10303205967
 01/05  01:00:00,38.9361841996,0.02
 01/05  02:00:00,38.9361841996,0.02
 01/05  03:00:00,38.9361841996,1.1030437289200001
 01/05  04:00:00,38.9361841996,0.02
 01/05  05:00:00,38.9361841996,1.10304299226
 01/05  06:00:00,41.6166002114,1.10317483916
