Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,258.278813049,291.61605261
 01/01  02:00:00,256.51238195900004,322.543349682
 01/01  03:00:00,261.23573750400004,477.82608511
 01/01  04:00:00,256.535594687,337.86419921099997
 01/01  05:00:00,273.502442701,509.893916377
 01/01  06:00:00,293.272065682,394.326643995
 01/01  07:00:00,346.909280334,558.2418763119999
 01/01  08:00:00,323.859462043,351.861917417
 01/01  09:00:00,319.131171132,325.193991918
 01/01  10:00:00,276.98590718400004,159.180202533
 01/01  11:00:00,232.30741656599997,164.98531656
 01/01  12:00:00,228.015884041,86.03190428319999
 01/01  13:00:00,232.22107450299998,85.878851966
 01/01  14:00:00,227.027909174,56.978009371400006
 01/01  15:00:00,229.31604261599998,48.478951226099994
 01/01  16:00:00,227.01491215400003,43.0891511334
 01/01  17:00:00,323.818336635,80.07941959029999
 01/01  18:00:00,364.82151184099996,78.0873210405
 01/01  19:00:00,369.063127416,116.778390465
 01/01  20:00:00,340.397156424,100.43856793299999
 01/01  21:00:00,344.63511326599996,136.48255472399998
 01/01  22:00:00,315.961950582,112.967338165
 01/01  23:00:00,295.78111725400004,176.504597
 01/01  24:00:00,267.11893068,163.986046931
 01/02  01:00:00,308.998409298,226.457563441
 01/02  02:00:00,304.751906506,182.468789937
 01/02  03:00:00,309.03021618,267.43443598
 01/02  04:00:00,304.771084775,206.14951246
 01/02  05:00:00,321.257817207,274.1142667
 01/02  06:00:00,366.342369613,191.24673893099998
 01/02  07:00:00,430.437546432,2834.44285963
 01/02  08:00:00,510.55609014099997,2177.50477457
 01/02  09:00:00,1049.22135215,1264.10981256
 01/02  10:00:00,1012.17675463,949.503761372
 01/02  11:00:00,963.0108326430001,700.712559297
 01/02  12:00:00,962.900711245,602.793642106
 01/02  13:00:00,1072.97398711,597.875403089
 01/02  14:00:00,1344.96625789,408.568250449
 01/02  15:00:00,1428.85046222,338.745119654
 01/02  16:00:00,1455.30578389,267.270669185
 01/02  17:00:00,1549.87020645,259.444726235
 01/02  18:00:00,1442.30622649,330.94205184
 01/02  19:00:00,1240.24953466,463.102729286
 01/02  20:00:00,1212.27320604,459.396115478
 01/02  21:00:00,1057.62080739,580.531479476
 01/02  22:00:00,1030.27232464,577.3186823259999
 01/02  23:00:00,349.356938071,2.19061618871
 01/02  24:00:00,299.992178953,4.3610919483599995
 01/03  01:00:00,287.76998239,2.1904823753000002
 01/03  02:00:00,287.769982375,2.19056232044
 01/03  03:00:00,287.769982724,2.1906422175699998
 01/03  04:00:00,287.769982732,4.36115513582
 01/03  05:00:00,299.992180171,2.19051332559
 01/03  06:00:00,349.35844724599997,4.36689090736
 01/03  07:00:00,556.662223794,715.0371081430001
 01/03  08:00:00,508.73798705,679.840840902
 01/03  09:00:00,1082.95062994,241.14851579400002
 01/03  10:00:00,1041.6051717,179.446263328
 01/03  11:00:00,1053.96363611,136.711904542
 01/03  12:00:00,1075.46931416,123.25727677799999
 01/03  13:00:00,1181.85444726,126.17004375799999
 01/03  14:00:00,1408.46330546,78.8405843461
 01/03  15:00:00,1401.4791928,78.2150161042
 01/03  16:00:00,1378.02797912,92.2527414674
 01/03  17:00:00,1237.006615,112.79957968
 01/03  18:00:00,949.768794104,138.624674672
 01/03  19:00:00,750.4550227889999,205.547768765
 01/03  20:00:00,787.785704106,207.39413529900003
 01/03  21:00:00,784.014998979,264.362328844
 01/03  22:00:00,806.558853173,293.80932386
 01/03  23:00:00,349.356939766,4.3609073847
 01/03  24:00:00,299.992180438,2.19053237517
 01/04  01:00:00,287.769983955,2.19061775058
 01/04  02:00:00,287.769984083,2.1907008967099997
 01/04  03:00:00,287.769984352,4.36091264121
 01/04  04:00:00,287.76998414900004,2.1905816324400003
 01/04  05:00:00,299.992181752,2.1906650417400004
 01/04  06:00:00,349.358449771,4.36721695851
 01/04  07:00:00,427.148905406,453.161094681
 01/04  08:00:00,508.565966735,461.002417329
 01/04  09:00:00,1080.47059712,212.06775562599998
 01/04  10:00:00,1025.14749281,178.39396623
 01/04  11:00:00,962.494063063,164.343254514
 01/04  12:00:00,962.475736195,136.881879188
 01/04  13:00:00,1271.63259405,130.037561674
 01/04  14:00:00,1462.6423132000002,94.7165634341
 01/04  15:00:00,1469.58551493,86.55381403049999
 01/04  16:00:00,1464.65997843,89.67546800870001
 01/04  17:00:00,1548.84713407,101.52658359799999
 01/04  18:00:00,1439.91155837,109.927910614
 01/04  19:00:00,1238.0618737,162.838708376
 01/04  20:00:00,1136.80516398,181.449530157
 01/04  21:00:00,696.549936744,242.102649159
 01/04  22:00:00,552.104875309,291.985570907
 01/04  23:00:00,349.35694115300004,2.1906317825
 01/04  24:00:00,299.992181867,2.19071523697
 01/05  01:00:00,287.769985717,2.1904329533599998
 01/05  02:00:00,287.769985878,4.36112613161
 01/05  03:00:00,287.769985675,2.1906930350400002
 01/05  04:00:00,287.769985545,2.1905957820200004
 01/05  05:00:00,299.992183471,2.19049636504
 01/05  06:00:00,349.358452054,4.36723874118
 01/05  07:00:00,502.232872591,624.025260763
 01/05  08:00:00,508.575211914,464.46648518300003
 01/05  09:00:00,1048.05478427,168.342427417
 01/05  10:00:00,1011.41172486,178.48141291599998
 01/05  11:00:00,963.93356628,171.347793805
 01/05  12:00:00,966.0926328710001,147.039383568
 01/05  13:00:00,916.40276063,187.03146791900002
 01/05  14:00:00,966.264951545,171.431615862
 01/05  15:00:00,964.9962126969999,134.668671299
 01/05  16:00:00,963.082909298,190.602094354
 01/05  17:00:00,1045.69504209,334.771324983
 01/05  18:00:00,950.0383946860001,468.713829444
 01/05  19:00:00,750.806780985,607.914367307
 01/05  20:00:00,726.467094065,693.48471482
 01/05  21:00:00,577.117697298,832.36404795
 01/05  22:00:00,552.8652694169999,947.22993358
 01/05  23:00:00,349.35694241199997,2.19072603396
 01/05  24:00:00,299.992183497,4.361216328769999
 01/06  01:00:00,287.76998704700003,2.1907438745200003
 01/06  02:00:00,288.542726329,5.8573386273
 01/06  03:00:00,289.316270534,10.2723222683
 01/06  04:00:00,289.709039743,20.1931309496
 01/06  05:00:00,301.547263391,18.4084825526
 01/06  06:00:00,351.325075041,45.5852378533
 01/06  07:00:00,427.90314987,958.179991977
 01/06  08:00:00,512.315130378,2408.03687371
 01/06  09:00:00,1050.12776338,904.8422978230001
 01/06  10:00:00,1012.43620048,519.9522618780001
 01/06  11:00:00,963.7457198960001,321.71834170700004
 01/06  12:00:00,965.2022069430001,186.487538423
 01/06  13:00:00,915.576798918,173.117840092
 01/06  14:00:00,965.391635348,140.159934964
 01/06  15:00:00,963.495796823,137.048851279
 01/06  16:00:00,962.574496588,136.57038128899998
 01/06  17:00:00,1045.69627527,208.06113317900002
 01/06  18:00:00,950.019284517,286.328529167
 01/06  19:00:00,750.710178695,339.690780164
 01/06  20:00:00,726.293053055,377.96241012699994
 01/06  21:00:00,576.8902065030001,494.16950467
 01/06  22:00:00,552.513014959,561.597564377
 01/06  23:00:00,349.356943909,2.1906538528
 01/06  24:00:00,299.992184977,2.19055748442
 01/07  01:00:00,237.929261766,4.36139446067
 01/07  02:00:00,238.702088223,5.86221262979
 01/07  03:00:00,239.47590206700002,10.4325479011
 01/07  04:00:00,239.869069915,18.3918925066
 01/07  05:00:00,251.706148409,19.9070301961
 01/07  06:00:00,276.5526636,34.599856131100005
