Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,37.4562256905,27.6388497819
 01/01  02:00:00,37.1967437129,37.9383287
 01/01  03:00:00,32.3673203866,38.68183234
 01/01  04:00:00,32.3610272887,38.2049657699
 01/01  05:00:00,34.119408043600004,38.0179212205
 01/01  06:00:00,38.8787657034,40.2542463702
 01/01  07:00:00,58.8044843651,38.2417571867
 01/01  08:00:00,68.6208823087,45.3233096567
 01/01  09:00:00,95.2988809276,59.6373150025
 01/01  10:00:00,81.3556615724,61.657255417799995
 01/01  11:00:00,56.3818249079,60.1743258466
 01/01  12:00:00,54.07231982729999,58.19217690520001
 01/01  13:00:00,54.2327976298,50.854114137799996
 01/01  14:00:00,54.151832829300005,48.051969311899995
 01/01  15:00:00,53.874289413999996,49.286651373299996
 01/01  16:00:00,53.090205437600005,52.5552337433
 01/01  17:00:00,63.7395521566,36.1289079597
 01/01  18:00:00,71.1342009784,19.4760336519
 01/01  19:00:00,86.3635746285,22.0794697109
 01/01  20:00:00,87.5047677977,29.173776385700002
 01/01  21:00:00,94.05252849850001,31.1207092364
 01/01  22:00:00,91.7299088188,31.6681664624
 01/01  23:00:00,68.14389880600001,38.6175626744
 01/01  24:00:00,44.1927859845,26.7645202523
 01/02  01:00:00,36.355643012600005,26.3616622793
 01/02  02:00:00,34.5184097146,26.637311000500002
 01/02  03:00:00,32.4489599222,26.890476436900002
 01/02  04:00:00,32.341168456700004,21.3593137951
 01/02  05:00:00,33.8635796373,27.296747321799998
 01/02  06:00:00,41.5206061513,33.5523018388
 01/02  07:00:00,73.0753882444,38.0422027467
 01/02  08:00:00,85.9998226677,34.0791820993
 01/02  09:00:00,73.4394266702,46.4527325879
 01/02  10:00:00,70.10843536,58.2688031885
 01/02  11:00:00,51.561505018199995,52.692086260500005
 01/02  12:00:00,51.5284732169,51.411625510600004
 01/02  13:00:00,51.722498709300005,48.6338613371
 01/02  14:00:00,51.54178387939999,53.399541002700005
 01/02  15:00:00,51.5950572561,46.4744827741
 01/02  16:00:00,51.2549696144,48.0702818422
 01/02  17:00:00,62.4581356845,31.7892554575
 01/02  18:00:00,74.10772208680001,14.3696648403
 01/02  19:00:00,81.3133801287,28.9089404967
 01/02  20:00:00,84.3076861503,18.5023800486
 01/02  21:00:00,94.0809227886,23.9541602775
 01/02  22:00:00,89.0756028432,30.035585886
 01/02  23:00:00,63.0540382371,24.528922914099997
 01/02  24:00:00,41.7743743194,19.989593159800002
 01/03  01:00:00,36.2432756923,19.814532546800002
 01/03  02:00:00,34.3991364479,20.4357824714
 01/03  03:00:00,32.2944230151,21.2399265958
 01/03  04:00:00,32.1873167315,15.653322494500001
 01/03  05:00:00,33.719897975100004,21.5406544259
 01/03  06:00:00,41.3026308259,26.674432087800003
 01/03  07:00:00,73.15558835659999,31.523169097399997
 01/03  08:00:00,86.0604287985,30.1965502043
 01/03  09:00:00,73.4772130696,43.871497087
 01/03  10:00:00,70.2574112516,55.516293431899996
 01/03  11:00:00,51.4419589385,50.89065690899999
 01/03  12:00:00,51.298272937700006,50.2292889695
 01/03  13:00:00,51.2069014475,49.433528496
 01/03  14:00:00,51.681779848199994,46.264472705200006
 01/03  15:00:00,51.8895018888,50.3196028535
 01/03  16:00:00,51.319534323599996,46.7114911943
 01/03  17:00:00,60.7137022513,29.6207172218
 01/03  18:00:00,74.21384027100001,12.475049327
 01/03  19:00:00,81.2606757146,22.669604814
 01/03  20:00:00,84.1962182036,24.391770296599997
 01/03  21:00:00,93.3380918544,26.3009315836
 01/03  22:00:00,88.1551646992,32.6057653234
 01/03  23:00:00,62.2961708211,27.5460011508
 01/03  24:00:00,41.1746463169,22.6064284831
 01/04  01:00:00,35.7083769195,22.884486898600002
 01/04  02:00:00,33.8465668239,24.353891879499997
 01/04  03:00:00,31.7631769925,19.5726403048
 01/04  04:00:00,31.730129801900002,24.38515367
 01/04  05:00:00,33.378277725,22.7229589502
 01/04  06:00:00,41.2108682862,26.9118957422
 01/04  07:00:00,73.2570675795,25.0316893716
 01/04  08:00:00,86.0587076313,36.3293135972
 01/04  09:00:00,73.878343038,42.4767915463
 01/04  10:00:00,70.66321244699999,54.290424534799996
 01/04  11:00:00,51.9734622592,48.8095675189
 01/04  12:00:00,52.1490534002,46.864074009700005
 01/04  13:00:00,52.1199787588,46.9753787763
 01/04  14:00:00,52.0460058771,49.1162296848
 01/04  15:00:00,52.1494876915,47.431079224399994
 01/04  16:00:00,52.030645541300004,45.5821839334
 01/04  17:00:00,61.7013480674,27.0796276277
 01/04  18:00:00,75.4636975622,8.515118796769999
 01/04  19:00:00,82.85534679130001,22.9043494109
 01/04  20:00:00,86.68661203299999,10.8623871684
 01/04  21:00:00,96.7815421433,18.9371811687
 01/04  22:00:00,91.5511885284,25.9828494754
 01/04  23:00:00,64.1216404108,23.3894119744
 01/04  24:00:00,42.1917195541,20.3002944237
 01/05  01:00:00,36.515566825,21.6103824909
 01/05  02:00:00,34.641546798200004,22.4590669141
 01/05  03:00:00,32.4460581458,23.7099949483
 01/05  04:00:00,32.1945972097,19.979202544
 01/05  05:00:00,33.6116944012,27.8472662396
 01/05  06:00:00,41.2148682152,34.729452888800004
 01/05  07:00:00,72.9494877704,40.4532403031
 01/05  08:00:00,85.5404679598,38.5219124946
 01/05  09:00:00,72.7469106279,51.977457828
 01/05  10:00:00,69.5655581854,63.8290858893
 01/05  11:00:00,51.5401592704,58.7847937095
 01/05  12:00:00,51.638260680100004,58.689881504700004
 01/05  13:00:00,51.51083824,62.9610653624
 01/05  14:00:00,51.6985220567,56.38917615810001
 01/05  15:00:00,51.5594788007,56.5436995678
 01/05  16:00:00,50.998003734499996,58.4035730135
 01/05  17:00:00,59.9852574308,42.3742525566
 01/05  18:00:00,73.1559208068,26.5798323331
 01/05  19:00:00,80.2301205249,43.954530803400004
 01/05  20:00:00,83.0312089534,40.220639473
 01/05  21:00:00,92.1071843356,36.6457788523
 01/05  22:00:00,86.7447641605,50.1255055841
 01/05  23:00:00,61.4274190448,47.4340653713
 01/05  24:00:00,41.0180100229,43.6264894862
 01/06  01:00:00,36.1024430431,44.8934229745
 01/06  02:00:00,35.242144654200004,45.974193550100004
 01/06  03:00:00,33.9541739239,46.7908405877
 01/06  04:00:00,34.8787555749,43.107531637600005
 01/06  05:00:00,37.5848698352,50.1896511844
 01/06  06:00:00,46.009485463800004,57.9263028225
 01/06  07:00:00,74.0025819681,66.9926055189
 01/06  08:00:00,85.1795823839,66.0114319031
 01/06  09:00:00,74.0640937101,66.28047186939999
 01/06  10:00:00,71.05191596520001,69.4962336471
 01/06  11:00:00,53.8472668427,67.6949742614
 01/06  12:00:00,53.5906700846,60.179289437600005
 01/06  13:00:00,52.9630429375,57.93539435939999
 01/06  14:00:00,52.666784766599996,56.959182069200004
 01/06  15:00:00,52.258672382600004,56.8685925644
 01/06  16:00:00,51.485902651,58.5579195122
 01/06  17:00:00,60.3866067153,42.7908387246
 01/06  18:00:00,73.12799651350001,25.3324857245
 01/06  19:00:00,80.3276628185,40.3200481054
 01/06  20:00:00,83.279099938,34.2689026496
 01/06  21:00:00,92.47946420950001,35.3020708231
 01/06  22:00:00,87.24145268790001,35.8473767777
 01/06  23:00:00,61.9093362628,36.9011169273
 01/06  24:00:00,41.2067005783,36.7891793716
 01/07  01:00:00,37.2268256023,30.950192387199998
 01/07  02:00:00,37.2263110935,25.553917267600003
 01/07  03:00:00,32.870498849899995,32.7878436762
