Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.4031190881,97.3484297157
 01/01  02:00:00,14.6427773995,3.93196389235
 01/01  03:00:00,14.6612926127,3.3598800000000004
 01/01  04:00:00,14.6728618227,3.3598800000000004
 01/01  05:00:00,14.8235047518,3.9319439444699995
 01/01  06:00:00,22.5377923377,112.36241752
 01/01  07:00:00,38.496008234099996,117.33112935700001
 01/01  08:00:00,42.7825270139,125.44064262
 01/01  09:00:00,41.734024763899995,121.183038717
 01/01  10:00:00,34.248051638,107.51689395700001
 01/01  11:00:00,41.750277396,126.97926194200001
 01/01  12:00:00,42.5278716817,117.15557889200001
 01/01  13:00:00,41.8145928645,108.298991512
 01/01  14:00:00,34.2879076725,101.556651122
 01/01  15:00:00,34.2885651411,94.83881564100001
 01/01  16:00:00,34.276358260100004,106.142794201
 01/01  17:00:00,42.758795905999996,123.595931922
 01/01  18:00:00,45.9307042169,129.26444968299998
 01/01  19:00:00,45.931045792700004,131.866700559
 01/01  20:00:00,38.5736477647,119.492945632
 01/01  21:00:00,38.554734013200004,114.45863099700001
 01/01  22:00:00,38.483389395900005,111.667127402
 01/01  23:00:00,38.3727961975,105.579923443
 01/01  24:00:00,39.1819671193,93.3542395489
 01/02  01:00:00,22.4241872988,96.1730307433
 01/02  02:00:00,14.6447659607,3.9319388390800003
 01/02  03:00:00,14.667428665,3.3598800000000004
 01/02  04:00:00,14.6810480479,3.93194476351
 01/02  05:00:00,14.832810716400001,3.3598800000000004
 01/02  06:00:00,22.5369594394,98.0851589229
 01/02  07:00:00,38.499668806100004,108.33997051200001
 01/02  08:00:00,42.7948973757,119.692563421
 01/02  09:00:00,41.740760920599996,135.343643283
 01/02  10:00:00,34.2604822161,114.761970481
 01/02  11:00:00,41.7684313048,119.89069931799999
 01/02  12:00:00,42.5152784469,117.36147311799999
 01/02  13:00:00,41.7940027489,114.239862442
 01/02  14:00:00,34.268043828,108.621151285
 01/02  15:00:00,34.2649009057,103.03953004
 01/02  16:00:00,34.2518866756,116.646775721
 01/02  17:00:00,42.739620600500004,133.161568324
 01/02  18:00:00,45.9237662529,134.372077335
 01/02  19:00:00,45.931219653,136.63730129200002
 01/02  20:00:00,38.5721521961,124.27286555399999
 01/02  21:00:00,38.5519133318,124.66269704700001
 01/02  22:00:00,38.480116131100004,125.65529331100001
 01/02  23:00:00,38.3695918833,123.270726151
 01/02  24:00:00,39.178585287800004,115.937698981
 01/03  01:00:00,22.4195520685,126.66487693399999
 01/03  02:00:00,14.631902865599999,3.3598800000000004
 01/03  03:00:00,14.6489901297,3.3598800000000004
 01/03  04:00:00,14.660089445599999,3.93196444926
 01/03  05:00:00,15.325351807799999,3.3598800000000004
 01/03  06:00:00,23.040541494899998,137.472242082
 01/03  07:00:00,38.714276225300004,137.28295904
 01/03  08:00:00,42.783291171799995,141.245486811
 01/03  09:00:00,41.7356330338,139.275572446
 01/03  10:00:00,34.2534720091,119.35666243
 01/03  11:00:00,41.7434643965,130.879434392
 01/03  12:00:00,42.5127545801,120.46243483399999
 01/03  13:00:00,41.8007649842,107.75304835600001
 01/03  14:00:00,34.2790767395,99.7166780802
 01/03  15:00:00,34.2758504121,95.5467963443
 01/03  16:00:00,34.263821666300004,108.428506357
 01/03  17:00:00,42.7416728782,129.149966586
 01/03  18:00:00,45.9258297888,139.351734575
 01/03  19:00:00,45.9294785567,142.404999121
 01/03  20:00:00,38.4277919679,133.889986871
 01/03  21:00:00,38.4164391808,140.258314366
 01/03  22:00:00,38.3736776228,145.550359408
 01/03  23:00:00,38.3655991098,142.194736716
 01/03  24:00:00,39.174820532199995,135.929533666
 01/04  01:00:00,22.4132959442,140.431765071
 01/04  02:00:00,14.6205808342,3.3598800000000004
 01/04  03:00:00,14.638709148499998,3.93193038062
 01/04  04:00:00,14.6548103045,3.3598800000000004
 01/04  05:00:00,14.8096229192,3.3598800000000004
 01/04  06:00:00,22.528495893899997,125.022152351
 01/04  07:00:00,38.4896267135,136.08000510899998
 01/04  08:00:00,42.7823097183,149.683234753
 01/04  09:00:00,41.7370981339,142.574849455
 01/04  10:00:00,34.2618637901,116.94199451899999
 01/04  11:00:00,41.7626388041,121.41778235299999
 01/04  12:00:00,42.5374726269,106.534865076
 01/04  13:00:00,41.8439800598,90.59200791149999
 01/04  14:00:00,34.3218601452,82.5687850124
 01/04  15:00:00,34.3135953215,81.48416812159999
 01/04  16:00:00,34.2931039924,99.38568660950001
 01/04  17:00:00,42.7705395144,118.852703283
 01/04  18:00:00,45.9345398212,126.89310284700001
 01/04  19:00:00,45.9368663372,126.98547235
 01/04  20:00:00,38.577570700100004,119.42270766799999
 01/04  21:00:00,38.5573568123,124.628353518
 01/04  22:00:00,38.4831571845,130.965330943
 01/04  23:00:00,38.3706728756,126.51525759399999
 01/04  24:00:00,39.1788887612,116.50989277
 01/05  01:00:00,22.419130012100002,126.032068436
 01/05  02:00:00,14.633783295899999,3.9319727533099997
 01/05  03:00:00,14.6532720116,3.3598800000000004
 01/05  04:00:00,14.664718871300002,3.9319269163499997
 01/05  05:00:00,14.8136380152,3.3598800000000004
 01/05  06:00:00,22.5280904081,136.07284057299998
 01/05  07:00:00,38.489259241300005,137.597105635
 01/05  08:00:00,42.7878995676,135.803820585
