Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,114.86454544899999,100.43590308200001
 01/02  02:00:00,103.28513026700001,86.123771948
 01/02  03:00:00,122.074277896,107.887233717
 01/02  04:00:00,103.86715585600001,87.3890929575
 01/02  05:00:00,147.723416292,123.481139434
 01/02  06:00:00,178.61203692799998,192.23093693299998
 01/02  07:00:00,229.88750767,174.751812897
 01/02  08:00:00,239.486404319,155.286413654
 01/02  09:00:00,236.175584273,153.84145787
 01/02  10:00:00,234.59982895599998,152.11231573
 01/02  11:00:00,238.203255094,122.275346239
 01/02  12:00:00,246.202857076,127.52441886700001
 01/02  13:00:00,233.36923659299998,125.01392089
 01/02  14:00:00,243.069404413,131.718569366
 01/02  15:00:00,241.88186544299998,120.596052225
 01/02  16:00:00,241.700280225,126.97230987399999
 01/02  17:00:00,246.791178237,121.04364990399999
 01/02  18:00:00,257.827880391,134.298076417
 01/02  19:00:00,165.866337556,88.5028035923
 01/02  20:00:00,167.821600916,93.20248475860001
 01/02  21:00:00,145.468818932,106.47160553
 01/02  22:00:00,124.980371496,91.3704302773
 01/02  23:00:00,104.966026035,80.7854127208
 01/02  24:00:00,115.941212815,103.662094149
 01/03  01:00:00,108.30714679100001,84.8484264427
 01/03  02:00:00,118.255197619,108.57874
 01/03  03:00:00,111.62212918799999,89.8605983124
 01/03  04:00:00,120.316034519,110.985776051
 01/03  05:00:00,151.192725179,125.280344482
 01/03  06:00:00,183.09432229700002,196.76773903400002
 01/03  07:00:00,238.02299470900002,202.164395839
 01/03  08:00:00,246.30976921400003,177.542567663
 01/03  09:00:00,243.482429072,170.551621291
 01/03  10:00:00,249.38464271799998,145.601583323
 01/03  11:00:00,248.200209252,140.849419796
 01/03  12:00:00,246.42604435299998,121.79999771
 01/03  13:00:00,233.52922924599997,120.536878301
 01/03  14:00:00,243.241668221,107.904962427
 01/03  15:00:00,242.55324332200001,114.67037971799999
 01/03  16:00:00,242.592605219,105.50144979299999
 01/03  17:00:00,246.07374010200002,119.968881459
 01/03  18:00:00,255.972901489,126.49549546200001
 01/03  19:00:00,164.93070761200002,88.2381260245
 01/03  20:00:00,165.56224443,92.8513260181
 01/03  21:00:00,141.53297130200002,115.392163972
 01/03  22:00:00,125.861075194,92.9826577502
 01/03  23:00:00,98.77544962569999,82.31179884939999
 01/03  24:00:00,119.957399077,106.530991644
 01/04  01:00:00,105.24319407200001,89.36531186030001
 01/04  02:00:00,126.4516744,112.99733151
 01/04  03:00:00,107.296435515,90.0416818416
 01/04  04:00:00,124.668266231,111.86001611799999
 01/04  05:00:00,143.571754666,125.486172978
 01/04  06:00:00,194.489926515,195.196892023
 01/04  07:00:00,234.275789348,198.936323158
 01/04  08:00:00,243.712338382,184.84700839099997
 01/04  09:00:00,238.23055908,166.179071438
 01/04  10:00:00,241.15968070099998,153.47774021200001
 01/04  11:00:00,240.65962902299998,125.53674863100001
 01/04  12:00:00,244.04551562,121.451607905
 01/04  13:00:00,234.756422839,109.10987771200001
 01/04  14:00:00,245.163492052,115.48974025700001
 01/04  15:00:00,243.565816463,114.90884803600001
 01/04  16:00:00,240.92871198900002,107.838215201
 01/04  17:00:00,244.544161577,109.97296380799999
 01/04  18:00:00,252.574897584,124.895608473
 01/04  19:00:00,163.149246621,86.57271835709999
 01/04  20:00:00,164.88372919100001,91.865221676
 01/04  21:00:00,141.123948937,105.60582931399999
 01/04  22:00:00,114.301234885,91.337086555
 01/04  23:00:00,95.69080674370001,81.2661800789
 01/04  24:00:00,115.276681311,104.24311283
 01/05  01:00:00,101.352010272,85.3044700338
 01/05  02:00:00,120.13357804299999,108.454582665
 01/05  03:00:00,102.923254108,88.2816057402
 01/05  04:00:00,122.996652481,111.187156284
 01/05  05:00:00,143.27694865799998,134.12630188
 01/05  06:00:00,192.717561993,195.41570681299999
 01/05  07:00:00,231.771477354,201.933892316
 01/05  08:00:00,241.18051761900003,173.933528358
 01/05  09:00:00,241.215835086,155.414080902
 01/05  10:00:00,247.255436105,154.547640954
 01/05  11:00:00,242.354669972,135.463106593
 01/05  12:00:00,235.30740108400002,141.602807565
 01/05  13:00:00,221.69505306,132.855570849
 01/05  14:00:00,235.17097674099998,132.320806643
