Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,155.757990396,233.621619485
 01/01  02:00:00,149.295554558,177.845324678
 01/01  03:00:00,128.250280075,177.79931131700002
 01/01  04:00:00,126.604304987,175.23454392
 01/01  05:00:00,134.782411671,213.002200127
 01/01  06:00:00,149.01243991200002,253.70389123799998
 01/01  07:00:00,230.04492201,353.099524471
 01/01  08:00:00,303.359109604,755.9200821310001
 01/01  09:00:00,355.75102520900003,993.0454888910001
 01/01  10:00:00,280.176875082,840.5334901560001
 01/01  11:00:00,213.2808224,753.630717132
 01/01  12:00:00,201.57268791400003,685.96562052
 01/01  13:00:00,193.80401134299998,609.497690558
 01/01  14:00:00,172.91793555299998,605.359309809
 01/01  15:00:00,171.986802402,603.705949013
 01/01  16:00:00,170.933916554,620.333434015
 01/01  17:00:00,215.989324514,578.017540403
 01/01  18:00:00,252.090317832,573.951288598
 01/01  19:00:00,326.009981123,608.85986004
 01/01  20:00:00,342.729857267,651.419215257
 01/01  21:00:00,371.548244417,645.0100838669999
 01/01  22:00:00,344.78611038099996,636.671844781
 01/01  23:00:00,290.924844579,792.8755312339999
 01/01  24:00:00,205.800400983,593.571118205
 01/02  01:00:00,144.15376364,232.90389587200002
 01/02  02:00:00,129.898957122,183.482015832
 01/02  03:00:00,119.136432032,177.51310892
 01/02  04:00:00,117.68504340700001,168.30524664700002
 01/02  05:00:00,125.821417379,212.68994416799998
 01/02  06:00:00,161.895132319,334.345239683
 01/02  07:00:00,289.187344651,539.746208405
 01/02  08:00:00,366.588204121,902.193803975
 01/02  09:00:00,292.489620361,811.473474715
 01/02  10:00:00,259.086371902,729.3872683139999
 01/02  11:00:00,204.18541723,676.343226665
 01/02  12:00:00,201.727248396,606.146590889
 01/02  13:00:00,203.339731506,601.0998622019999
 01/02  14:00:00,184.49626755,585.690170783
 01/02  15:00:00,182.93491609400002,579.679310554
 01/02  16:00:00,183.42636522400002,574.488162715
 01/02  17:00:00,225.380829181,537.236945946
 01/02  18:00:00,271.147680555,579.506690877
 01/02  19:00:00,343.095163889,785.0875078160001
 01/02  20:00:00,349.72464489699996,650.74505402
 01/02  21:00:00,380.82977104,664.477989903
 01/02  22:00:00,370.47754521300004,811.5372577610001
 01/02  23:00:00,285.406207531,697.990461783
 01/02  24:00:00,194.812231355,549.584124325
 01/03  01:00:00,140.892439297,241.740678559
 01/03  02:00:00,127.62912091,190.363618426
 01/03  03:00:00,117.163102237,184.322213712
 01/03  04:00:00,115.795777335,175.003507312
 01/03  05:00:00,123.872731271,219.94601539200002
 01/03  06:00:00,157.96549569799998,343.69357538099996
 01/03  07:00:00,281.734981976,555.107953095
 01/03  08:00:00,357.344380778,1055.54807038
