Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,149.42278938299998,147.489171892
 01/01  02:00:00,152.82113421100001,157.005111327
 01/01  03:00:00,154.215065414,235.113064563
 01/01  04:00:00,144.575926821,156.335792077
 01/01  05:00:00,155.800834539,249.169824348
 01/01  06:00:00,152.29400004200002,165.675009284
 01/01  07:00:00,157.704881547,248.360186646
 01/01  08:00:00,128.37605286299998,138.37206194
 01/01  09:00:00,131.063489638,202.968846914
 01/01  10:00:00,115.07726906299999,118.682144725
 01/01  11:00:00,118.400857192,154.542877049
 01/01  12:00:00,118.23721718600001,101.837533319
 01/01  13:00:00,109.338277298,109.91410652200001
 01/01  14:00:00,114.995395122,69.66207024159999
 01/01  15:00:00,108.25151120299999,89.929084994
 01/01  16:00:00,111.756897654,78.8921488855
 01/01  17:00:00,130.16567430799998,98.76161363620001
 01/01  18:00:00,127.775305824,78.2490547896
 01/01  19:00:00,132.040815539,109.123839746
 01/01  20:00:00,126.98556091399999,90.47576938790002
 01/01  21:00:00,131.709911011,104.862996411
 01/01  22:00:00,134.930537979,88.9151991241
 01/01  23:00:00,127.419469836,111.73019014200001
 01/01  24:00:00,133.89168017,81.1712156391
 01/02  01:00:00,127.028316298,116.140092556
 01/02  02:00:00,132.268967081,82.8976798409
 01/02  03:00:00,127.009188826,111.428846219
 01/02  04:00:00,131.106902477,94.4081798201
 01/02  05:00:00,147.664388245,120.56664488
 01/02  06:00:00,132.817976391,88.5871084327
 01/02  07:00:00,195.38818642200002,2612.90055884
 01/02  08:00:00,360.238348809,1919.91132928
 01/02  09:00:00,445.114531742,1579.15498249
 01/02  10:00:00,444.74007663099997,1477.14210015
 01/02  11:00:00,450.18338665,1296.46740011
 01/02  12:00:00,450.681891471,1053.34773345
 01/02  13:00:00,449.468936167,943.656375148
 01/02  14:00:00,443.549636202,986.6300405210001
 01/02  15:00:00,443.64820399300004,1041.99653082
 01/02  16:00:00,435.93544458400004,1041.18402503
 01/02  17:00:00,449.209540834,1057.13729023
 01/02  18:00:00,370.71574163400004,1374.37287868
 01/02  19:00:00,371.279500861,1491.5680905
 01/02  20:00:00,371.723540914,1618.80380845
 01/02  21:00:00,371.73611806599996,1752.12242261
 01/02  22:00:00,118.93399186399999,23.2479121065
 01/02  23:00:00,119.11666993700001,6.800126747819999
 01/02  24:00:00,123.09613781899999,18.8587120029
 01/03  01:00:00,121.80325960799999,12.439624371199999
 01/03  02:00:00,126.27450554,30.0465642678
 01/03  03:00:00,127.86052755700001,31.1230282263
 01/03  04:00:00,135.658271778,55.417552827
 01/03  05:00:00,153.838941204,78.4435563512
 01/03  06:00:00,150.97840977799999,113.03818167700001
 01/03  07:00:00,197.711466167,3351.95197553
 01/03  08:00:00,361.44769328900003,2937.69290022
 01/03  09:00:00,446.41111561599996,2649.67740064
 01/03  10:00:00,446.33882927699995,2585.29432092
 01/03  11:00:00,452.304221884,2533.21861124
 01/03  12:00:00,453.290285229,2437.5218132
 01/03  13:00:00,452.20609799,2384.19415231
 01/03  14:00:00,446.216305226,2333.5358592
 01/03  15:00:00,446.193504313,2296.7442374
 01/03  16:00:00,438.32486353400003,2219.26308814
 01/03  17:00:00,451.337741475,2173.52488921
 01/03  18:00:00,371.693289501,2346.11797827
 01/03  19:00:00,371.721730822,2380.91173111
 01/03  20:00:00,371.696935916,2360.53967845
 01/03  21:00:00,371.69930527400004,2363.03089079
 01/03  22:00:00,120.18460856200001,30.880970153000003
 01/03  23:00:00,121.428525228,27.6555000089
 01/03  24:00:00,130.59629219299998,66.1735174036
 01/04  01:00:00,134.524921383,59.518784385500005
 01/04  02:00:00,147.617683701,125.02149492299999
 01/04  03:00:00,146.640604551,101.318381691
 01/04  04:00:00,158.297076922,172.17125076099998
 01/04  05:00:00,156.837682537,139.700890663
 01/04  06:00:00,164.794467687,213.157738837
 01/04  07:00:00,197.118439976,3420.48722228
 01/04  08:00:00,362.186191038,2940.60227637
 01/04  09:00:00,446.576429845,2577.75077611
 01/04  10:00:00,446.453786837,2512.01979031
 01/04  11:00:00,452.37918927199996,2435.05041866
 01/04  12:00:00,453.38092103400004,2406.05483332
 01/04  13:00:00,452.388863697,2441.62946332
 01/04  14:00:00,446.382399567,2416.74662304
 01/04  15:00:00,446.292892646,2354.61592935
 01/04  16:00:00,438.408505156,2243.98198538
 01/04  17:00:00,451.40311166699996,2129.61748346
 01/04  18:00:00,371.727353661,2236.17879262
 01/04  19:00:00,371.814792867,2254.54707367
 01/04  20:00:00,372.189827092,2211.13704687
 01/04  21:00:00,372.071092427,2170.95504336
 01/04  22:00:00,120.10413809200001,23.8517319159
 01/04  23:00:00,121.429797921,28.772398462800002
 01/04  24:00:00,128.151976829,51.4095948554
 01/05  01:00:00,126.06137780899999,43.196980303000004
 01/05  02:00:00,137.262802466,76.6945283054
 01/05  03:00:00,133.022872156,77.50523035020001
 01/05  04:00:00,146.463928733,112.797276647
 01/05  05:00:00,140.609858458,99.13212745540001
 01/05  06:00:00,148.63065135899998,149.071095928
 01/05  07:00:00,197.045566452,3226.26480611
 01/05  08:00:00,361.62825258,2788.81040763
 01/05  09:00:00,446.402393712,2481.26559746
 01/05  10:00:00,446.22972071199996,2322.03850343
 01/05  11:00:00,452.101852876,2147.58349452
 01/05  12:00:00,453.08195705,1996.57135412
 01/05  13:00:00,452.031912003,1952.53236001
 01/05  14:00:00,446.06599419300005,1936.1289458
 01/05  15:00:00,446.04237075,1882.57850281
 01/05  16:00:00,438.15986772900004,1779.74327276
 01/05  17:00:00,451.139561335,1734.32546991
 01/05  18:00:00,371.452987488,1912.63355483
 01/05  19:00:00,371.498627605,2000.8469739
 01/05  20:00:00,371.93812867400004,2068.02741212
 01/05  21:00:00,371.960196934,2182.45522278
 01/05  22:00:00,119.9533337,30.0205343806
 01/05  23:00:00,121.417033332,18.2425229172
 01/05  24:00:00,128.15707109,52.296634465299995
 01/06  01:00:00,132.53483541100002,55.6906529642
 01/06  02:00:00,148.603734992,116.554495116
 01/06  03:00:00,149.359055636,106.174441703
 01/06  04:00:00,163.277874286,188.14591365799998
 01/06  05:00:00,155.268723481,171.19598083
 01/06  06:00:00,171.233305009,258.664131053
 01/06  07:00:00,197.894135857,3748.80851435
 01/06  08:00:00,362.55492930099996,3333.02072332
 01/06  09:00:00,446.82403355699995,2944.39905589
 01/06  10:00:00,446.50646190699996,2812.00939965
 01/06  11:00:00,452.331226194,2690.37937204
 01/06  12:00:00,453.25922197,2527.66684248
 01/06  13:00:00,452.162546456,2463.0665114999997
 01/06  14:00:00,446.175043407,2431.3012151999997
 01/06  15:00:00,446.143122436,2373.52122221
 01/06  16:00:00,438.293206077,2294.01718213
 01/06  17:00:00,451.330829002,2270.5669106
 01/06  18:00:00,371.69219737599997,2451.90055175
 01/06  19:00:00,371.731110727,2490.10654973
 01/06  20:00:00,371.72132904,2476.07476933
 01/06  21:00:00,371.739595367,2485.57696606
 01/06  22:00:00,120.58106146,37.948964862
 01/06  23:00:00,122.04658172100001,38.0642908959
 01/06  24:00:00,130.610716247,59.3992627968
 01/07  01:00:00,135.54087598799998,73.1946642791
 01/07  02:00:00,157.234002403,128.286740138
 01/07  03:00:00,148.421616146,128.638808131
 01/07  04:00:00,158.769666061,165.44221845799999
 01/07  05:00:00,153.711360575,167.651429947
 01/07  06:00:00,167.484461832,203.180265368
 01/07  07:00:00,155.896091813,224.49835152400001
 01/07  08:00:00,141.595999304,182.484834855
 01/07  09:00:00,130.202134659,159.92843549399998
 01/07  10:00:00,140.658367721,177.090013282
 01/07  11:00:00,118.00840487200001,185.3677421
 01/07  12:00:00,137.728079088,172.224480363
 01/07  13:00:00,124.79604320600001,151.775685639
 01/07  14:00:00,128.00655096,149.385536699
 01/07  15:00:00,128.55687649799998,146.05569805
 01/07  16:00:00,127.004560646,160.14257027600001
 01/07  17:00:00,146.887395841,149.543312096
 01/07  18:00:00,147.710424661,182.244439825
 01/07  19:00:00,140.751392219,163.862458
 01/07  20:00:00,152.84675734799998,182.93333503099998
 01/07  21:00:00,152.644079593,180.939545413
 01/07  22:00:00,158.65901166700002,277.94965360599997
 01/07  23:00:00,162.092817467,239.58203969099998
 01/07  24:00:00,163.662518291,250.487875749
 01/08  01:00:00,160.994494199,248.091384239
 01/08  02:00:00,162.689515831,256.802754547
 01/08  03:00:00,162.131931753,251.575806331
 01/08  04:00:00,163.849590289,277.401919089
 01/08  05:00:00,164.829175146,279.204486897
 01/08  06:00:00,164.302351014,293.700711088
 01/08  07:00:00,169.705943993,345.577232775
 01/08  08:00:00,155.58113999399998,298.328256362
 01/08  09:00:00,133.389112533,234.51215160599997
 01/08  10:00:00,141.74393339600002,242.44572475900003
 01/08  11:00:00,135.59842214,240.332750632
 01/08  12:00:00,139.319391532,243.281364081
 01/08  13:00:00,138.395870862,283.599303253
 01/08  14:00:00,142.054128716,277.69761799099996
 01/08  15:00:00,131.764128404,213.158737423
 01/08  16:00:00,142.951460424,290.50139951299997
 01/08  17:00:00,151.77615033,256.98545489400004
 01/08  18:00:00,156.703090724,229.801173424
 01/08  19:00:00,150.601845403,224.295639619
 01/08  20:00:00,161.621643954,272.864534954
 01/08  21:00:00,149.856836337,206.567371865
 01/08  22:00:00,161.726900438,322.99043833400003
 01/08  23:00:00,160.24017233700002,288.660009886
 01/08  24:00:00,173.239298168,327.09728655
 01/09  01:00:00,164.236607094,334.42405746099996
 01/09  02:00:00,174.83251593900002,365.493683479
 01/09  03:00:00,164.560123995,346.71444251199995
 01/09  04:00:00,175.423399404,366.673478664
 01/09  05:00:00,164.728200908,356.121339733
 01/09  06:00:00,175.855313335,376.506191343
 01/09  07:00:00,197.21997255099998,3546.57794781
 01/09  08:00:00,362.814059654,3223.08339889
 01/09  09:00:00,447.924828278,2925.53072728
 01/09  10:00:00,446.898453977,2785.17726732
 01/09  11:00:00,452.538428056,2696.18072053
 01/09  12:00:00,453.360014028,2512.35625159
 01/09  13:00:00,452.214747938,2390.72823843
 01/09  14:00:00,446.17099264800004,2281.36736692
 01/09  15:00:00,446.10511192,2189.82133553
 01/09  16:00:00,438.2434119,2122.90240592
 01/09  17:00:00,448.320744227,2140.82750132
 01/09  18:00:00,371.694620775,2351.44136463
 01/09  19:00:00,371.739920233,2404.91629394
 01/09  20:00:00,372.16778448900004,2394.09513648
 01/09  21:00:00,372.17029179300005,2455.6971888
 01/09  22:00:00,121.006772035,29.9314142953
 01/09  23:00:00,122.645568237,40.8958980416
 01/09  24:00:00,135.365974158,79.1205994655
 01/10  01:00:00,138.388298942,90.22342666959999
 01/10  02:00:00,151.205451668,131.502040465
 01/10  03:00:00,153.370044288,156.562937603
 01/10  04:00:00,165.465891707,191.97912197
 01/10  05:00:00,156.46634543,204.247705287
 01/10  06:00:00,170.057830074,245.532221712
 01/10  07:00:00,197.872518248,3608.0746949
