Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,144.423739995,156.362111194
 01/01  02:00:00,145.67085328,137.389684953
 01/01  03:00:00,147.14346065799998,199.05217487599998
 01/01  04:00:00,153.591751319,142.158179061
 01/01  05:00:00,154.616129612,210.131827227
 01/01  06:00:00,150.179656288,136.521666139
 01/01  07:00:00,151.858230462,198.98522810400002
 01/01  08:00:00,120.800626309,108.229506806
 01/01  09:00:00,115.150326526,156.748327995
 01/01  10:00:00,109.68924185200001,81.20741573810001
 01/01  11:00:00,113.317995269,110.089180778
 01/01  12:00:00,116.677983429,80.8894695591
 01/01  13:00:00,108.536638761,92.87307648459999
 01/01  14:00:00,115.738748964,70.0930144486
 01/01  15:00:00,109.376589021,93.3142594475
 01/01  16:00:00,110.79224912,83.85989835779999
 01/01  17:00:00,132.03125240100002,103.786589785
 01/01  18:00:00,126.936489754,81.0575423916
 01/01  19:00:00,131.662171016,112.638911721
 01/01  20:00:00,134.185753504,103.24345280799999
 01/01  21:00:00,129.333312666,130.858884698
 01/01  22:00:00,146.814817489,129.645049392
 01/01  23:00:00,153.349739119,188.530611183
 01/01  24:00:00,148.436566572,132.833260964
 01/02  01:00:00,150.426911851,203.412311425
 01/02  02:00:00,146.04430541,141.931302583
 01/02  03:00:00,151.881566664,206.528598799
 01/02  04:00:00,150.616792008,151.59212652600002
 01/02  05:00:00,151.627691729,208.095615496
 01/02  06:00:00,153.253452385,144.11469749
 01/02  07:00:00,196.96344852299998,2851.38904584
 01/02  08:00:00,361.789325764,2278.30128492
 01/02  09:00:00,446.45417752699996,1985.18457525
 01/02  10:00:00,446.3032702,1939.98615736
 01/02  11:00:00,452.23240814800005,1897.24044741
 01/02  12:00:00,453.214517631,1821.98457305
 01/02  13:00:00,452.13951199800005,1770.35825993
 01/02  14:00:00,446.14112095900003,1726.25917965
 01/02  15:00:00,446.09035503800004,1648.23638292
 01/02  16:00:00,438.15711814699995,1489.81668592
 01/02  17:00:00,451.10399760300004,1370.20206998
 01/02  18:00:00,371.38696538199997,1495.34628822
 01/02  19:00:00,371.39193718,1524.02476795
 01/02  20:00:00,371.78626266599997,1518.74111882
 01/02  21:00:00,371.754150209,1555.27938478
 01/02  22:00:00,119.09606243100001,24.190270819699997
 01/02  23:00:00,118.78272477600001,7.25378448768
 01/02  24:00:00,122.205115224,20.028794168399997
 01/03  01:00:00,122.105988155,13.3747861611
 01/03  02:00:00,123.632593785,31.2232185619
